title,price,collection_date,brand,model_name,screen_size,color,hard_disk_size,cpu_model,ram_memory,operating_system,special_feature
"15.6 Inch Laptop,Laptop Computer, 8GB RAM, 256GB SSD,Win 11, Celeron Quad-Core Processor(Up to 2.9GHz), IPS Full HD Display with, Type-C, Wi-Fi, USB3.0",$248.89,2025-01-18 13:28:35,NBVCXSD,MTL1561,156.0,,256.0,Celeron N,8.0,Windows 11,"HD Audio, Backlit Keyboard, Memory Card Slot"
"Laptop Screen Extender, 14"" 1080P FHD Triple Monitor for Laptop Extension- 315°Rotate Portable Dual Monitor Screen for 13.3-16.5"" Laptops Type-C/HDMI/USB-A Plug & Play for Wins/Mac/Chro",$258.99,2025-01-18 13:28:35,QGE,Ezbook S7MAX,14.0,,256.0,,16.0,Windows 11,HD Audio
"Late 2019 Apple MacBook Pro with 2.6GHz Intel Core i7 (16-Inch, 16GB RAM, 512GB Storage) - Silver (Renewed)",,2025-01-18 13:28:35,Apple,A2141,16.0,Silver,512.0,Core i7,16.0,Mac OS,Anti Glare Coating
"2020 Apple MacBook Air Laptop: Apple M1 Chip, 13” Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Gold",,2025-01-18 13:28:35,Apple,MacBook Air,133.0,Gold,256.0,Unknown,8.0,Mac OS,Backlit Keyboard
"2024 MacBook Pro Laptop with M4, 10‑core CPU, 10‑core GPU: Built for Apple Intelligence, 14.2-inch Liquid Retina XDR Display, 24GB Unified Memory, 512GB SSD Storage; Space Black - Z1DS0005P",,2025-01-18 13:28:35,Apple,MacBook Pro,142.0,,256.0,Apple M4,24.0,Mac OS,HD Audio
"Mid 2017 Apple MacBook Pro with 2.3GHz Intel Core i5 (13-inch, 8GB RAM, 256GB SSD) Silver (Renewed)",$256.00,2025-01-18 13:28:35,Apple,MacBook Pro,133.0,Silver,256.0,Core i5,8.0,macOS 10.14 Mojave,HD Audio
"2023 MacBook Pro Laptop with Apple M2 Pro chip with 12‑core CPU and 19‑core GPU: 16.2-inch Liquid Retina XDR Display, 16GB Unified Memory, 512GB SSD Storage. Works with iPhone/iPad; Silver",,2025-01-18 13:28:35,Apple,MacBook Pro,162.0,Silver,512.0,Unknown,16.0,Mac OS,Anti Glare Coating
"2020 Apple MacBook Pro with 2.3 GHz Intel Core i7 (13 inch, 16GB RAM, 512GB SSD) Space Gray (Renewed)",$389.99,2025-01-18 13:28:35,Apple,MacBook Pro,133.0,Space Gray,512.0,Core i7,16.0,Mac OS,HD Audio
"15.6 FHD Student Laptop, 16GB RAM, 1TB SSD, Intel Pentium Quad-Core N100(Beat to i3-1115G4, Up to 3.4GHz), 2 Years Warranty, Backlit Keyboard, Fingerprint, Win 11, Rose Gold",$399.99,2025-01-18 13:28:35,NIMO,Nimo N151,156.0,Rose Gold,1.0,Intel N100,16.0,Windows 11,"HD Audio, Fingerprint Reader, Lightweight, Backlit Keyboard, Memory Card Slot"
"2023 MacBook Air Laptop with M2 chip: 15.3-inch Liquid Retina Display, 16GB Unified Memory, 256GB SSD Storage, 1080p FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Midnight",,2025-01-18 13:28:35,Apple,MacBook Air,153.0,Midnight,256.0,Unknown,16.0,Mac OS,"Apple M2 Chip, Liquid Retina display with True Tone, Solid-state drive storage, Backlit Magic Keyboard with Touch ID, Unified Memory   See more"
"2023 MacBook Pro Laptop M3 chip with 8‑core CPU, 10‑core GPU: Built for Apple Intelligence, 14.2-inch Liquid Retina XDR Display, 8GB Unified Memory, 512GB SSD Storage; Silver",,2025-01-18 13:28:35,Apple,MacBook Pro,142.0,Silver,512.0,Apple M3,8.0,Mac OS,HD Audio
"Laptop, 16GB RAM 1152GB Storage, Laptop Computer with Celeron N5095 CPU(Up to 2.9GHz), FHD IPS 1200P Display, 38WH Battery, 2 Speakers, HDMI, 16 Inch Business Laptops.",$999.99,2025-01-18 13:28:35,jumper,Ezbook S7MAX,16.0,Gray,1.0,Celeron,16.0,Windows 11,HD Audio
"Gaming Laptop, 2025 Laptop with Intel Quad-Core Processor(Up to 3.6GHz), 16GB DDR4 512GB SSD Laptop Computer, Windows 11 Laptop, 15.6"" IPS 1080P, Metal Shell, USB3.2, Long Battery Life",$379.99,2025-01-18 13:28:35,KAIGERR,AX15,156.0,Space Gray,512.0,Intel Mobile CPU,16.0,Windows 11,Numeric Keypad
"Model Apple MacBook Air 13.3in 1440 x 900 Glossy Display Laptop, Intel Core i5, 8GB RAM, 128GB SSD, Backlit Keyboard, WIFI, Bluetooth, Mac OS, Silver (Renewed)",,2025-01-18 13:28:35,Apple,MacBook Air,133.0,Silver,128.0,Core i5,8.0,Chrome OS,Backlit Keyboard
"Late-2018 Apple MacBook Air with Core i5 (13-inch, 8GB RAM, 256GB) (QWERTY English) Gold (Renewed)",$375.00,2025-01-18 13:28:35,Apple,MacBook Air,13.0,Gold,256.0,Core i5,8.0,Mac OS,HD Audio
"Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode",$321.99,2025-01-18 13:28:35,acer,Laptop,156.0,Silver,128.0,Ryzen 3,8.0,Windows 11 S,Backlit Keyboard
"Laptop, 4GB RAM 320GB Storage, Office 365 One Year, Laptop Computer with Celeron N4100 CPU, FHD 1080P Display, 2.4G+5G WiFi, BT4.0, 35.52WH Battery, 2 Speakers, Protable Laptops 14 Inch.",$459.99,2025-01-18 13:28:35,jumper,Ezbook S5 Laptop,14.0,Space Gray,320.0,Celeron N,4.0,Windows 11,Lightweight
"14"" Ultral Light Laptop for Students and Business, Intel Quad-Core, 8GB RAM, 192GB Storage(64GB eMMC+128GB Ghost Manta SD Card), 1 Year Office 365, USB C, Win 11 S",$265.99,2025-01-18 13:28:35,HP,HP Laptop,14.0,Snowflake White,64.0,Celeron N,8.0,Windows 11 Home,HD Audio
"Portable Laptop (Include 1 Year Microsoft 365), 14’’ HD Display, 16GB RAM, 64GB eMMC, Intel Quad-Core N4120, Student and Business, Webcam, HDMI, Wi-Fi, RJ-45, Windows 11 Home, Pink",$245.00,2025-01-18 13:28:35,HP,TPN-I130,14.0,Pink,64.0,Celeron N,16.0,Windows 11 Home,HD Audio
"MacBook Pro 16.2"" with M4 Max Chip, Late 2024-16-Core / 40-Core, Space Black, Standard Display, 64GB, 2TB SSD",,2025-01-18 13:28:35,Apple,MacBook Pro 16.2,162.0,,256.0,Apple M4,64.0,Mac OS,HD Audio
"14 Inch Laptop Computer, Gaming Laptop, 8GB RAM 256GB SSD, Intel Celeron N5095 Processors, FHD 1920 x 1080, Supports 180 Angle Opening, Windows 11 Pro",$249.99,2025-01-18 13:28:35,FUNYET,NY-01,141.0,N5095,256.0,Celeron,8.0,Windows 11 Pro,Micro-edge Bezel
"15.6 Inch Laptop Computer,16GB RAM 1TB SSD,N5095 4C/4T Processor(up to 2.9Ghz),UHD Graphics,15.6” FHD 1920 * 1080 Display,WiFi 5,BT5.0,Backlit Keyboard,Fingerprint Unlock",$329.99,2025-01-18 13:28:35,NAIKLULU,NY-04,156.0,Gray,1.0,Celeron N,16.0,OS,"Fingerprint Reader, Backlit Keyboard, Memory Card Slot, Numeric Keypad"
"Laptop Screen Extender, 14"" 1080P FHD Triple Monitor for Laptop Extension- 315°Rotate Portable Dual Monitor Screen for 13.3-16.5"" Laptops Type-C/HDMI/USB-A Plug & Play for Wins/Mac/Chro",$258.99,2025-01-18 13:28:44,QGE,Ezbook S7MAX,14.0,,256.0,,16.0,Windows 11,HD Audio
"Wireless Ergonomic Shape Mouse, 2.4GHz with Mini USB Receiver, Silent Click, Right Hand 2000DPI, 5 Buttons, Optocal Sensor, Compatible with PC, Mac, Laptop, EX-G, Lsize Blue (M-XGL30DBSKBU)",$21.99,2025-01-18 13:28:44,ELECOM,Ezbook S7MAX,136.0,Blue,256.0,,16.0,Windows 11,Wireless
"Laptop Screen Extender 15.6"", 1080P FHD 120% sRGB Portable Monitor, Plug & Play, Detachable Screen, Laptop Monitor Extender of Laptops, Compatible with Windows, Mac, Chrome",$199.99,2025-01-18 13:28:44,UK BONITOYS,Ezbook S7MAX,156.0,,256.0,,16.0,Windows 11,HD Audio
"Laptop Screen Extender, 15.6'' FHD 1080P IPS Portable Monitor for Laptop 13-17.5"", Detachable Screen, USB-C Plug and Play Laptop Monitor Extender for Windows/Mac/Android",$199.99,2025-01-18 13:28:44,Vixtan,Ezbook S7MAX,156.0,,256.0,,16.0,Windows 11,HD Audio
"C920x HD Pro Webcam, Full HD 1080p/30fps Video Calling, Clear Stereo Audio, HD Light Correction, Works with Skype, Zoom, FaceTime, Hangouts, PC/Mac/Laptop/Macbook/Tablet - Black",$67.79,2025-01-18 13:28:44,Logitech,Ezbook S7MAX,27.0,,256.0,,16.0,Windows 11,HD Audio
"Laptop Screen Extender, 14.2"" Portable Triple Monitor for Laptop with Full HD IPS Display, Laptop Extended Monitor Compatible with Mac, Windows, Chrome, Fits 13-17 Inch Laptops",$279.99,2025-01-18 13:28:44,KEFEYA,Ezbook S7MAX,142.0,,256.0,,16.0,Windows 11,HD Audio
"15.6"" Laptop Screen Extender, 120% sRGB FHD 1080P IPS Laptop Monitor Extender Dual Screen, Portable Monitor for Laptops 13-17"" with HDMI/USB-A/Type-C Plug-Play for Windows, Mac, Android",$199.99,2025-01-18 13:28:44,domyfan,Ezbook S7MAX,156.0,,256.0,,16.0,Windows 11,HD Audio
"Laptop Screen Extender, 15.6"" Portable Triple Monitor for Laptop,IPS Ultra-Thin Zero Frame Monitor Compatible with Mac, Windows, Chrome, Fits Laptops",$399.99,2025-01-18 13:28:44,Redalf,Ezbook S7MAX,156.0,,256.0,,16.0,Windows 11,HD Audio
"Wireless Mouse, 2.4G Quiet Computer Mouse with USB Receiver, 4 Buttons Portable Cordless Mice for Chromebook, Laptop, PC, Mac, 800/1200/1600 DPI",$10.79,2025-01-18 13:28:44,TECKNET,Ezbook S7MAX,136.0,Orange Gradient,256.0,,16.0,Windows 11,Ergonomic Design
"Mac Book Pro Charger - 118W USB C Charger Fast Charger Compatible with USB C Port MacBook pro/Air, M1 M2 M3 M4, ipad Pro, Samsung Galaxy and All USB C Device, Include Charge Cable",$26.83,2025-01-18 13:28:44,Sunveza,Ezbook S7MAX,136.0,White,256.0,,16.0,Windows 11,"Charger Ipad Pro Charger Ipad Air Charger Mac Book Charger, Charger Mac Charger Macbook Pro，mac laptop charger Usb C Macbook Charger Usb C Macbook Air Charger，mac air charger Mac Charger Macbook Charger Mac Charger, Charger Macbook Pro Charger Usb C Macbook Usb C Charger, Compatible with Usb C Macbook Charger, Usb C Macbook Pro Charger, Usb C Macbook Air Charger, Mac Charger, Mac Pro Charger, Mac Air Charger, Macbook Charger, Mac Book Charger, Macbook Pro Charger, Macbook Air Charger，Usb C Charger, Ipad Pro Charger, Ipad Air Charger, Macbook Pro Mac Air Charger, Mac Laptop Charger, Mac Charger Usb C, Compatible with Mac Air Charger Mac Laptop Charger Mac Pro Charger Mac Charger Usb C, Mac Pro Charger Mac Charger Usb C，charger mac charger macbook pro，mac air charger mac laptop charger mac pro charger mac charger usb c, Compatible with MacBook Air Charger 2021 2020 2019 2018, MacBook Retina 12 inch 2015, Any USB C device, USB C MacBook Pro 13 14 15 16 inch 2021 2020 2019 2018 2017 2016, IPad Pro 12.9 11, iPad Air 4, iPad Mini 6, Lenovo Thinkpad, Yoga, ideapad, Dell, HP   See more"
"Laptop Privacy Screen MacBook Pro 14 inch 2021~2023 (M1 Pro/M1 Max/M2 Pro / M2 Max A2779/A2442),Removable Computer Screen Privacy Shield for Mac 14Inch",$16.14,2025-01-18 13:28:44,Yamaya,Ezbook S7MAX,14.0,,256.0,,16.0,Windows 11,"UV Block, Anti-Fingerprint, Anti Glare, Privacy Filter, Scratch Resistant"
"External CD/DVD Drive for Laptop, USB 3.0 & Type-C CD Burner, Portable DVD Player, Slim External Optical Drive Compatible with Windows, Mac, Linux OS (2 in 1 USB A&C)",$14.99,2025-01-18 13:28:44,LLMHHKYK,Ezbook S7MAX,136.0,,256.0,,16.0,"Linux, Mac OS, Windows 11, Windows 10","Backward Compatible, Shock Resistant, Lightweight, Plug & Play"
"Laptop Screen Extender - 15.6"" FHD 1080P Portable Monitor for Laptop, Detachable & Plug and Play Dual Laptop Monitor Extender for 13""-17.3"" Laptops, Compatible with Wins/Mac/Android/Chrome",$219.99,2025-01-18 13:28:44,Cevaton,Ezbook S7MAX,156.0,,256.0,,16.0,Windows 11,HD Audio
"Laptop Screen Extender, 14"" FHD 1080P Laptop Monitor Extender, Stretchable Base and Detachable Screen, Plug & Play, Triple Screen Extender Portable Laptop Compatible with Windows, Mac, Chrome",$349.99,2025-01-18 13:28:44,UK BONITOYS,Ezbook S7MAX,14.0,,256.0,,16.0,Windows 11,HD Audio
"Laptop Screen Extender Portable Monitor, Dual 15.6"" 1080P FHD Frameless Screen, Detachable Monitor Extender for Laptop, Fit for 13-17"" Laptop,Plug & Play Compatiable with Windows/Mac/Chrome/Android",$199.00,2025-01-18 13:28:44,AetherSpark,Ezbook S7MAX,156.0,,256.0,,16.0,Windows 11,HD Audio
"Portable Monitor 15.6inch,1080P USB-C HDMI Second External Monitor for Laptop,PC,Mac Phone,PS,Xbox,Swich,IPS Ultra-Thin Zero Frame Gaming Monitor/Premium Smart Cover",$79.99,2025-01-18 13:28:44,ForHelp,Ezbook S7MAX,156.0,,256.0,,16.0,Windows 11,HD Audio
"2022 MacBook Air Laptop with M2 chip: Built for Apple Intelligence, 13.6-inch Liquid Retina Display, 16GB RAM, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera; Starlight",,2025-01-18 13:28:44,Apple,MacBook Air,136.0,Starlight,256.0,Apple M2,16.0,Mac OS,"Fingerprint Reader, Lightweight, Backlit Keyboard"
"2024 MacBook Air 15-inch Laptop with M3 chip: Built for Apple Intelligence, 15.3-inch Liquid Retina Display, 16GB Unified Memory, 256GB SSD Storage, Backlit Keyboard, Touch ID; Midnight",,2025-01-18 13:28:44,Apple,MacBook Air,153.0,Midnight,256.0,Apple M3,16.0,Mac OS,"Fingerprint Reader, HD Audio, Backlit Keyboard"
