Category,Title,Price,Screen Size,Refresh Rate,Response Time,Brand,Model,Collection Date,Condition
Gaming Monitors,"LG 40"" 40WP95C-W 5120x2160 NANO IPS 72Hz 5ms FreeSync Curved Widescreen Gaming",1249.0,40.0,151.0,5.0,LG,PS4087,2025-01-27 00:26:04,New
Gaming Monitors,"34"" Ultra-Wide Curved Gaming Monitor - UWQHD 3440x1440, 120Hz, 1ms, AMD FreeSync",241.42,34.0,163.0,4.0,Unbranded,PS4087,2025-01-27 00:26:25,New
Gaming Monitors,Xiaomi Curved Gaming Monitor 34-inch 180Hz High Reshed Rate 1ms Fast FreeSync,259.99,34.0,180.0,1.0,Xiaomi,PS4087,2025-01-27 00:25:59,New
Gaming Monitors,12.3inch LCD Monitor 1920x720 IPS LCD screen HDMI VGA USB Input Metal Case,148.88,12.3,75.0,4.0,VSDISPLAY,PS4087,2025-01-27 00:24:29,New
Gaming Monitors,Gaming Monitor 185Hz 1ms response time 27 inches,85.0,27.0,185.0,1.0,Sceptre,PS4087,2025-01-27 00:24:11,New
Gaming Monitors,"Acer SA241Y 23.8"" Full HD IPS LED Gaming Monitor",40.0,23.8,75.0,10.0,Acer,SA241Y,2025-01-27 00:26:14,New
Gaming Monitors,7'' 5 Point Capacitive LCD Touch Screen Panel HD HDMI Gaming Monitor PC Display,80.19,7.0,60.0,12.0,Unbranded,PS4087,2025-01-27 00:26:25,New
Gaming Monitors,"30"" Curved Gaming Monitor 21:9 UltraWide 2560x1080 200Hz HDMI DP, Speakers Black",205.03,22.8,112.0,4.0,Does not apply,PS4087,2025-01-27 00:26:11,New
Gaming Monitors,"24"" Full HD Gaming Monitor, 180Hz, 1ms, HDR Ready, Adaptive-Sync, Frameless",154.12,22.8,112.0,4.0,Does not apply,PS4087,2025-01-27 00:26:29,New
Gaming Monitors,"ASUS VG245 24"" Gaming Monitor - Full HD, 1ms Response, Used Working",69.12,22.8,112.0,4.0,LG,PS4087,2025-01-27 00:24:11,New
Gaming Monitors,27 Inch Monitor Can Run Any Type Of Games On Had Good Graphics Etc.,70.0,22.8,112.0,4.0,LG,PS4087,2025-01-27 00:26:02,New
Gaming Monitors,KOORUI 27 Inch Gaming Monitor,99.98,27.0,144.0,1.0,Koorui,PS4087,2025-01-27 00:26:04,New
Gaming Monitors,EYOYO 14 In 4:3 TFT Gaming Monitor 1024x768 BNC/HDMI/VGA/AV Input 300cd/m²,149.0,14.0,100.0,1.0,Eyoyo,PS4087,2025-01-27 00:24:31,New
Gaming Monitors,LG 23.8” UltraGear™ 24GN60R-B 1920x1080 144Hz IPS Gaming Monitor,94.71,23.8,144.0,1.0,LG,24GN60R-B,2025-01-27 00:26:06,New
Gaming Monitors,"Dell, E2221HN, 21.5 inch, 16:9, 1920 X 1080 pixels",77.31,21.5,65.0,5.0,Dell,E2221HN,2025-01-27 00:24:10,New
