title,price,ram,cpu,model,brand,gpu,screen size,storage,collection date
"HP ProBook 11 G2   Computer 11.6""  i3   128GB   10",95.33,8.0,Intel Core i3-6100U,HP ProBook 11 G2,HP,Intel HD Graphics 520,11.6,128.0,1/29/2025 22:22
7'' Mini  Computer Quad  Android 12 2GB  32GB ROM Netbook For Kid,99.0,2.0,Integrated,7'' Mini  Computer Quad  Android 12 2GB  32GB ROM Netbook For Kid,G-ANICA,Unknown,10.0,512.0,1/29/2025 22:23
Lenovo 100W Gen 3  – Open BOX – Model 82HY – WIN 11,99.0,4.0,AMD 3000 Series,100w Gen 3 Laptop (Lenovo) - Type 82HY,Lenovo,Unknown,11.6,64.0,1/29/2025 22:22
"Lenovo 300e 11.6"" 2-in-1   Celeron 4GB  64GB   10",99.5,4.0,Intel Celeron N4100,Lenovo 300e 2nd Gen,Lenovo,Intel UHD Graphics 600,11.6,64.0,1/29/2025 22:23
"10  10.1"" Quad  Computer Mini Netbook WiFi Webcam (pink)",99.96,16.0,Intel Celeron N,"10  10.1"" Quad  Computer Mini Netbook WiFi Webcam (pink)",Unbranded,Unknown,10.1,512.0,1/29/2025 22:22
7''  Computer Quad  Powered by Android 12.0 Netbook with Wifi for Kid,99.99,2.0,Integrated,GBOOK,NBD,Unknown,7.0,512.0,1/29/2025 22:22
"ASUS CX1500CKA ""  NanoEdge  N4500  64GB Military Grade Chromebook",109.0,8.0,Intel Celeron N4500,CX1500CKA-WB84F,ASUS,Intel UHD Graphics,15.6,64.0,1/29/2025 22:23
"Lenovo ThinkPad 14"" Screen  i5 4th Gen   256GB   Home WIFI",115.99,12.0,Intel i5,Lenovo ThinkPad T440S,Lenovo,Intel HD Graphics 4400,14.0,256.0,1/29/2025 22:23
"Dell Latitude   Computer "" HD  i3 16GB  128GB   11",119.4,16.0,Intel Core i3-8145U,Dell Latitude 3310,Dell,Intel HD Graphics 520,13.3,128.0,1/29/2025 22:22
"HP ProBook X360 11 G2   11.6""  i5   128GB  10",119.4,8.0,Intel Core i5-7Y54,HP ProBook X360 11 G2 EE,HP,Intel UHD Graphics,11.6,128.0,1/29/2025 22:23
