Category,Title,Price,RAM,CPU,Model,GPU,Screen Size,Storage,Collection Date
Laptops,EXCELLENT Apple MacBook Air 11 INTEL CORE i5 SSD Mac OS,244.02,8.0,Intel Core,MacBook Air,,11 in,256.0,2025-01-27 01:47:57
Laptops,SEQUOIA Apple MacBook Pro 13 3.8GHz i5 Quad Core 16GB RAM 512GB SSD - WARRANTY,487.06,16.0,Intel Core i5,MacBook Pro (Magic Keyboard),,13 in,512.0,2025-01-27 01:46:11
Laptops,"Apple MacBook Pro A1425 10,2 13 2.6GHz i5 8GB RAM 256GB 10.15 Grade A No AC/Wif",77.99,8.0,Intel Core i5-3230M,"MacBook Pro A1425 10,2 ME662LL/A",,13 in,256.0,2025-01-27 01:46:18
Laptops,"Apple MacBook Pro MR932LL/A 15.4 512GB Mac OSX, Silver",340.0,16.0,Intel Core i7 8th Gen,MR932LL/A,,15.4in.,512.0,2025-01-27 01:48:19
Laptops,MacBook Pro 13 2020 Touch Bar 2.0 GHz Intel i5 16GB 512GB Space Gray,429.99,16.0,Intel Core i5 10th Gen.,MacBook Pro,,13.3 in.,512.0,2025-01-27 01:47:52
Laptops,MacBook Pro 13 Space Gray Late 2016 2.0 GHz Intel Core i5 8GB 256GB Good Cond.,199.99,8.0,Intel Core i5 6th Gen.,MacBook Pro,,13.3 in.,256.0,2025-01-27 01:47:00
Laptops,Apple MacBook Air Core i5 1.1GHz 8GB RAM 512GB SSD 13 MVH22LL/A (2020) - Good,389.97,8.0,Intel Core i5,Apple MacBook Air,,13.3 in,512.0,2025-01-27 01:47:43
Laptops,Apple 2020 Mac Mini M1 3.2GHz (8-Core GPU) 16GB RAM 1TB SSD - Excellent,499.99,16.0,Apple M1,A2348,,,,2025-01-27 01:46:39
Laptops,MacBook Pro 14 2023 [ M3 Pro 11/CPU 14/GPU ]  18GB 512GB UK British Keyboard,760.0,18.0,Apple M3 Pro,A2992,,14 in,512.0,2025-01-27 01:48:11
Laptops,"Apple MLH12LL/A MacBook Pro 13 Intel Core i7-6567U 16GB RAM 1TB SSD, Good",328.99,16.0,Intel Core i7,Apple MacBook Pro,,13 in,,2025-01-27 01:47:37
Laptops,MacBook Pro Retina 15 Silver Mid 2015 2.5GHz i7 16GB 512GB -AMD Radeon R9 M370X,229.99,16.0,Intel Core i7 4th Gen.,MacBook Pro,,15 in,512.0,2025-01-27 01:47:50
Laptops,"NEVER USED APPLE MACBOOK PRO 13 RETINA DISPLAY, 256GB 8GB INTEL i5, ONLY 2 BC!",399.0,8.0,Intel Core i5 7th Gen.,MacBook Pro (Retina),,13.3 in,256.0,2025-01-27 01:48:52
Laptops,Apple MacBook Pro 16 2021 M1 Pro 3.2 GHz 10-Core CPU 16GB 1TB 16-Core GPU Gray,979.99,16.0,Apple M1 Pro,MacBook Pro,,16 in,,2025-01-27 01:46:07
Laptops,Apple Mac mini M2 Chip 16GB RAM 256GB SSD Silver MMFJ3LL/A Very Good,473.34,16.0,Apple M2,MMFJ3LL/A16,,,256.0,2025-01-27 01:47:46
Laptops,MacBook Pro 13 Space Gray 2020 1.4GHz i5 8GB 512GB SSD - Good Condition,329.99,8.0,Intel Core i5 8th Gen.,MacBook Pro,,13 in,512.0,2025-01-27 01:47:35
Laptops,Apple Macbook Pro 2019 Touchbar 16 A2141 i9 2.4GHz 64GB RAM 1TB SSD MVVM2LL/A,706.99,64.0,Intel Core i9 9th Gen.,Apple Pro 16,,16 in,,2025-01-27 01:47:36
Laptops,MacBook Pro 13 Space Gray 2017 2.5 GHz Intel Core i7 16GB 512GB Good Condition,259.99,16.0,Intel Core i7 7th Gen.,MacBook Pro,,13.3 in.,512.0,2025-01-27 01:48:16
Laptops,MacBook Air 11 Silver Early 2014 1.4GHz i5 4GB 128GB Rapid Hybrid Drive - Good,89.99,4.0,Intel Core i5 4th Gen.,MacBook Air,,11 in,128.0,2025-01-27 01:47:33
Laptops,Apple MacBook Air Core i5 1.4GHz 8GB RAM 256GB SSD 13 MD761LL/B 2014 Very Good,189.97,8.0,Intel Core i5,Apple MacBook Air,,13.3 in,256.0,2025-01-27 01:46:00
Laptops,Apple 2020 Mac Mini M1 3.2GHz (8-Core GPU) 16GB RAM 1TB SSD - Excellent,499.99,16.0,Apple M1,A2348,,,,2025-01-27 01:45:52
Laptops,Apple MacBook Pro 13 Touch Bar Space Gray Late 2016 2.9 GHz i5 8GB 256GB - Good,259.99,8.0,Intel Core i5 6th Gen.,MacBook Pro,,13.3 in.,256.0,2025-01-27 01:46:12
Laptops,Apple MacBook Pro Core i5 2.4GHz 8GB RAM 500GB HD 13 - MD313LL/A - Good,179.97,8.0,Intel Core i5,Apple MacBook Pro,,13 in,256.0,2025-01-27 01:49:33
Laptops,Apple MacBook Air 13 2020 M1 7-Core CPU 7-Core GPU 8GB 256GB  in Silver A grade,555.0,8.0,Apple M1,Macbook Air M1 2020,,13.3 in.,256.0,2025-01-27 01:47:42
Laptops,Apple MacBook Air 13.3 Core i3 1.10 GHz 8GB 128GB SSD MWTJ2LL/A,299.99,8.0,Intel Core i3 10th Gen.,MacBook Air,,13.3 in,128.0,2025-01-27 01:46:08
Laptops,Apple MacBook Air 2022 A2681 13in M2 8 Core GPU 8GB RAM 256GB SSD Very Good,636.32,8.0,Apple M2,MacBook Air,,13 in,256.0,2025-01-27 01:47:25
Laptops,Apple MacBook Pro 13.3 Silver 2016 i5-2.0GHz-8GBRAN-256GBSSD macOS Sonoma 2024,285.0,8.0,Intel Core i5 6th Gen.,Apple Pro,,"13 in.3""",256.0,2025-01-27 01:48:01
Laptops,13 MacBook Air 2012 Intel 2.0 i7 8GB RAM 512GB SSD Catalina Warranty Very Good,139.0,8.0,Intel Core i7 3rd Gen.,MacBook Air,,13 in,512.0,2025-01-27 01:47:49
Laptops,Apple MacBook Pro 13 2017 2.3GHz Core i5 8GB RAM 128GB SSD Gray- Very Good,276.99,8.0,Intel Core i5 7th Gen.,A1708,,13.3 in,128.0,2025-01-27 01:47:56
Laptops,MacBook Pro 13 2020 Intel i7 16GB 512GB 2.3 GHz Touch Bar Space Gray Very Good,509.99,16.0,Intel Core i7 10th Gen.,MacBook Pro,,13.3 in.,512.0,2025-01-27 01:46:36
Laptops,"2020 Apple Macbook Air 13'' i5 1.1GHz 8GB RAM 256GB SSD MVH22LLA, Space Gray",399.0,8.0,Intel Core i5 10th Gen.,MacBook Air,,13 in,256.0,2025-01-27 01:46:39
Laptops,Apple 13.3 Macbook Pro i5 2.7GHz 8GB RAM 128GB SSD Silver MF839LL/A Very Good,209.99,8.0,Intel Core i5 5th Gen.,MacBook Pro,,13.3 in,128.0,2025-01-27 01:47:40
Laptops,Mdngt Apple MBK Air 15- 2024 M3 / 8GB RAM / 256GB SSD / 10C gpu & Applecare+,929.99,8.0,Apple M3,MacBook Air,,15 in,256.0,2025-01-27 01:46:24
Laptops,"Apple MacBook Pro (13-, 8GB RAM, 256GB SSD Storage, ) - Silver",799.0,8.0,Intel Core i5 8th Gen.,MacBook Pro,,13.3 in,256.0,2025-01-27 01:48:32
