Category,Title,Price,Screen_Size_in,Aspect_Ratio,Refresh_Rate_Hz,Response_Time_ms,Brand,Model,Collection Date
Gaming Monitors,ASUS VA24E 23.8 Full Monitor - Working Cracked Screen For Repair,10.74,23.8,16:9,100.0,1.0,ASUS,VA24E,2025-01-28 17:19:33
Gaming Monitors,I2C 1602 LCD Display Module 16X2 Blue Backlight LCD Screen for Raspberry Pi,10.99,0.9,,,1.0,52Pi,Raspberry Pi,2025-01-28 17:19:04
Gaming Monitors,BenQ MOBIUZ EX2510-T 24.5 169 LED,12.0,24.5,16:9,144.0,2.0,BenQ,BenQ MOBIUZ EX2510,2025-01-28 17:19:28
Gaming Monitors,Dell E178FPb 17 Monitor VGA - Great For Gaming- Tested Monitor Only,15.0,17.0,,,1.0,Dell,Dell U3421WE,2025-01-28 17:19:50
Gaming Monitors,ASUS VA27E 27 Full Monitor - Functional Broken Screen For Repair Or Parts,15.1,27.0,16:9,100.0,1.0,ASUS,VA27E,2025-01-28 17:19:43
Gaming Monitors,ASUS VA27D 27 Full Monitor - Broken Screen For Parts or Repair,16.12,27.0,16:9,75.0,5.0,ASUS,VA27D,2025-01-28 17:22:15
Gaming Monitors,ASUS VY249 24 Full Monitor - Functional Affordable Option,16.5,24.0,16:9,75.0,1.0,ASUS,ASUS VY279,2025-01-28 17:20:38
Gaming Monitors,3.5 USB Type-c Display Monitor - Secondary Screen for Cpu Gpu Ram Hdd,22.99,24.0,5:4,,1.0,EEEKit,,2025-01-28 17:22:12
Gaming Monitors,ASUS TUF VG32VQ1B 31.5 169 LCD - SKU1697164,24.0,31.5,16:9,165.0,1.0,ASUS,ASUS TUF Gaming VG32VQ1B,2025-01-28 17:20:55
Gaming Monitors,LG 24ML44B-B Widescreen LED FreeSync Monitor,24.99,24.0,16:9,60.0,5.0,LG,24ML44B-B,2025-01-28 17:19:53
Gaming Monitors,ASUS VZ27E 27 Monitor - Ultra-Slim Design Dark Screen Issue For Repair,25.18,27.0,16:9,100.0,1.0,ASUS,VZ27E,2025-01-28 17:19:27
