Category,Title,Price,Case Size,Battery Capacity,Brand,Model,Operating System,Storage Capacity,Collection Date
Smart Watches,W/Camera Mate For iOS Samsung iPhone GSM,13.99,39.8,283,Unknown,Padgene DZ09,Android Wear,16.0,2025-01-28 17:23:09
Smart Watches,Compatible with iPhone and Phones,13.99,40.0,283,Unknown,L2,Android Wear,16.0,2025-01-28 17:23:59
Smart Watches,Fossil Gen 4 Authentic Digital Dial Custom Band,14.99,39.8,283,Fossil,Fossil Gen 4,Unknown,16.0,2025-01-28 17:23:22
Smart Watches,/ iPhone Samsung,19.69,39.8,283,AICase,T12 Pro,Unknown,16.0,2025-01-28 17:24:37
Smart Watches,"/, iPhone Samsung",19.99,22.0,300,IOWODO,Smart Watches,Android Wear,1.0,2025-01-28 17:24:26
Smart Watches,/ forSamsung iPhone,21.99,38.0,283,AICase,Smart Bracelet,Unknown,16.0,2025-01-28 17:24:16
Smart Watches,"/, iPhone Samsung",22.99,40.0,380,IOWODO,R30PRO,Wear OS,64.0,2025-01-28 17:23:51
Smart Watches,/ iPhone Samsung,24.99,40.0,260,AICase,P114,Wear OS,128.0,2025-01-28 17:23:35
Smart Watches,Samsung Galaxy Gear S3 Frontier SM R760 46mm,25.0,46.0,283,Samsung,Samsung Galaxy Gear S3 Frontier,Android Wear,16.0,2025-01-28 17:23:54
Smart Watches,TOZO S2 Alexa,25.95,39.8,283,TOZO,S2,Unknown,16.0,2025-01-28 17:23:57
Smart Watches,/ iPhone Samsung,26.69,43.0,180,AICase,HW20,Android Wear,16.0,2025-01-28 17:23:18
Smart Watches,for iPhone/Samsung,28.55,50.0,283,COLMI,Samsung iPhone,Unknown,16.0,2025-01-28 17:23:55
Smart Watches,"Men For iPhone Samsung, 1.85 inch",29.99,22.0,283,Unknown,smartwatch,Android Wear,1.0,2025-01-28 17:24:25
Smart Watches,Verizon Care -,29.99,39.8,283,Verizon,Verizon Care Smart,Unknown,16.0,2025-01-28 17:23:16
