title,Price,Brand,Memory Size,Memory Type,Chipset/GPU Model,Connectors,Collection Date
AMD ATI Radeon HD 5450,49.5,AMD,2.0,DDR3,ATI Radeon HD 5450,DVI-I,2/5/2025 1:38
AMD AMD Radeon R5 340X,9.99,AMD,2.0,GDDR3,AMD Radeon R5 340X,"DVI-I, DisplayPort, DVI",2/5/2025 1:38
AMD lenovo amd radeon rx550 dp pcie,49.79,AMD,2.0,GDDR5,AMD Radeon RX 550,"DisplayPort, DVI, VGA",2/5/2025 1:38
AMD FIREPRO W4300,33.98,AMD,4.0,DDR5,FIREPRO W4300,Mini DisplayPort,2/5/2025 1:39
AMD AMD FirePro W5100,27.0,AMD,4.0,GDDR5,AMD FirePro W5100,Display Port,2/5/2025 1:38
AMD FIREPRO W4300,39.0,AMD,4.0,GDDR5,FIREPRO W4300,Mini DisplayPort,2/5/2025 1:39
AMD AMD Radeon Pro WX 7100,79.99,AMD,8.0,GDDR5,AMD Radeon Pro WX 7100,4x Display Port,2/5/2025 1:39
ASRock asrock md radeon rx 5700 xt rx5700xt fan broken,120.0,ASRock,8.0,GDDR6,AMD Radeon RX 5700 XT,DisplayPort,2/5/2025 1:38
ASUS asus nvidia geforce gt620 ddr3 gt620sl2gd3v3dp free sh,24.99,ASUS,2.0,DDR3,NVIDIA GeForce GT 620,,2/5/2025 1:39
ASUS asus geforce gt 710 ddr3 low profile,49.99,ASUS,2.0,DDR3,NVIDIA GeForce GT 710,,2/5/2025 1:38
ASUS NVIDIA GeForce GTX 1050,45.45,ASUS,2.0,GDDR5,NVIDIA GeForce GTX 1050,,2/5/2025 1:38
ASUS Asus Radeon R9 290X,30.0,ASUS,4.0,DDR5,Asus Radeon R9 290X,,2/5/2025 1:39
ASUS asus radeon rx 6600 xt,170.0,ASUS,8.0,GDDR6,AMD Radeon RX 6600 XT,"DisplayPort, HDCP, HDMI",2/5/2025 1:38
ASUS GeForce RTX 4060,319.49,ASUS,8.0,GDDR6,GeForce RTX 4060,"DisplayPort, HDMI",2/5/2025 1:38
ASUS asus geforce rtx 3070 turbo turbortx30708g,319.99,ASUS,8.0,GDDR6,NVIDIA GeForce RTX 3070,"DisplayPort, HDMI",2/5/2025 1:39
ASUS NVIDIA GeForce RTX 4080 Super,635.86,ASUS,16.0,GDDR6X,NVIDIA GeForce RTX 4080 Super,"DisplayPort, HDCP, HDMI",2/5/2025 1:39
ASUS asus proart geforce rtx 4080 super,1580.0,ASUS,16.0,GDDR6X,NVIDIA® GeForce RTX™ 4080 SUPER,"DisplayPort, HDMI",2/5/2025 1:38
ASUS asus radeon tuf rx 7900 xt gaming edition 20gb sealed,750.0,ASUS,20.0,GDDR6,AMD Radeon RX 7900 XT,,2/5/2025 1:38
CLEVO GTX 980,134.99,CLEVO,8.0,GDDR5,GTX 980,,2/5/2025 1:39
COOLMOON NVIDIA GeForce RTX 3080,5.53,COOLMOON,10.0,GDDR6X,NVIDIA GeForce RTX 3080,"DisplayPort, HDMI",2/5/2025 1:39
Dell dell amd radeon hd8490 ddr3,9.0,Dell,1.0,DDR3,AMD Radeon HD 8490,"DisplayPort, DVI, DVI-I",2/5/2025 1:38
Dell AMD Radeon HD 7470,47.49,Dell,1.0,GDDR3,AMD Radeon HD 7470,"DisplayPort, DVI, DVI-D, DVI-I",2/5/2025 1:39
Dell dell nvidia nvs 510 4x mini dp 061p37,24.99,Dell,2.0,DDR3,NVIDIA Quadro NVS 510,Mini DisplayPort,2/5/2025 1:38
Dell Nvidia Quadro P600,59.99,Dell,2.0,DDR5,Nvidia Quadro P600,Mini DisplayPort,2/5/2025 1:38
Dell dell amd radeon r5 430 low profile 0f8px,11.97,Dell,2.0,GDDR5,ATI Radeon R5 430,"DVI, DisplayPort",2/5/2025 1:38
Dell Nvidia Quadro K1200,49.99,Dell,4.0,DDR5,Nvidia Quadro K1200,Mini DisplayPort,2/5/2025 1:38
Dell Radeon R7 450,39.99,Dell,4.0,DDR5,Radeon R7 450,"DisplayPort, DVI-D, HDMI",2/5/2025 1:39
Dell AMD Radeon RX 550,40.0,Dell,4.0,GDDR5,AMD Radeon RX 550,"DisplayPort, DVI, HDMI",2/5/2025 1:39
Dell dell nvidia quadro p2000 5gb 4x dp 87cg5,108.95,Dell,5.0,GDDR5,NVIDIA Quadro 2000,DisplayPort,2/5/2025 1:39
Dell NVIDIA Quadro P2200,165.5,Dell,5.0,GDDR5X,NVIDIA Quadro P2200,DisplayPort,2/5/2025 1:38
Dell NVidia GeForce GTX 1660 Ti,129.99,Dell,6.0,GDDR6,NVidia GeForce GTX 1660 Ti,"DisplayPort, DVI, HDMI",2/5/2025 1:39
Dell dell nvidia t1000 low profile pcie 30 x16 05nm32,249.95,Dell,8.0,GDDR6,GDDR6,,2/5/2025 1:38
Dell NVIDIA GeForce RTX 3060 Ti,279.94,Dell,8.0,GDDR6,NVIDIA GeForce RTX 3060 Ti,"DisplayPort, HDMI",2/5/2025 1:38
Dell NVIDIA Tesla M10,179.28,Dell,32.0,GDDR5,NVIDIA Tesla M10,,2/5/2025 1:39
EVGA NVIDIA GeForce 6200,84.99,EVGA,0.5,DDR2,NVIDIA GeForce 6200,"D-Sub, DVI, DVI-I",2/5/2025 1:39
EVGA evga geforce gtx 980 04gp42986kr,30.0,EVGA,4.0,GDDR5,NVIDIA GeForce GTX 980,"DisplayPort, DVI",2/5/2025 1:38
GIGABYTE AMD Radeon HD 6770,19.4,GIGABYTE,1.0,GDDR5,AMD Radeon HD 6770,"DisplayPort, DVI, HDMI",2/5/2025 1:38
GIGABYTE GeForce GTX 1650,169.99,GIGABYTE,4.0,GDDR5,GeForce GTX 1650,"DisplayPort, DVI, HDMI",2/5/2025 1:39
GIGABYTE gigabyte geforce gtx 1660 super gaming 6gb pci 30 x16,109.99,GIGABYTE,6.0,GDDR6,NVIDIA GeForce GTX1660 SUPER,"DisplayPort, HDMI",2/5/2025 1:38
GIGABYTE gigabyte geforce rtx 2080 gaming,280.0,GIGABYTE,8.0,GDDR6,NVIDIA GeForce RTX 2080,"DisplayPort, HDMI, USB-C",2/5/2025 1:39
GIGABYTE gigabyte geforce rtx 4060 gaming 8g 3x windforce fans 128,335.49,GIGABYTE,8.0,GDDR6,NVIDIA GeForce RTX 4060,"DisplayPort, HDMI",2/5/2025 1:39
GIGABYTE gigabyte geforce rtx 3080 gaming 10gb gvn3080gaming,650.0,GIGABYTE,10.0,GDDR6X,NVIDIA GeForce RTX 3080,"DisplayPort, HDMI",2/5/2025 1:38
Gecube Radeon HD 4850,20.79,Gecube,0.5,GDDR3,Radeon HD 4850,,2/5/2025 1:38
Graphics NVIDIA GeForce GTX 1660,20.0,Graphics,6.0,GDDR6,NVIDIA GeForce GTX 1660,,2/5/2025 1:38
NVIDIA GeForce RTX 3050,350.0,Graphics,8.0,GDDR6,NVIDIA GeForce RTX 3050,"DisplayPort Output, HDMI Standard Output",2/5/2025 1:39
NVIDIA GeForce RTX 3070,250.0,Graphics,8.0,GDDR6X,NVIDIA GeForce RTX 3070,"DisplayPort, HDMI",2/5/2025 1:39
A2,499.0,Graphics,16.0,DDR6,A2,,2/5/2025 1:38
ATI Radeon HD 4670,29.99,H.I.S,16.0,DDR3,ATI Radeon HD 4670,,2/5/2025 1:39
HP sff hp 430956001 430965001 nvs 285 p383 splitter win 8,17.42,HP,0.125,DDR2,NVIDIA Quadro,DMS-59 Output,2/5/2025 1:39
HP hp 51885630 radeon x1300 pro svid pcie,18.66,HP,0.5,GDDR3,ATI Radeon X1300 PRO,"DVI, S-Video",2/5/2025 1:39
HP AMD Radeon R5 420,21.0,HP,1.0,GDDR5,AMD Radeon R5 420,"DisplayPort, VGA",2/5/2025 1:39
HP GeForce GTX 1660 Ti,90.0,HP,6.0,GDDR6,GeForce GTX 1660 Ti,,2/5/2025 1:39
HP hp z2 mini g5 nvidia rtx3000 6gb m13733001,179.55,HP,6.0,GDDR6,Nvidia Quadro RTX3000,,2/5/2025 1:38
Inno3D inno3d geforce rtx 4080 super x3,1350.0,Inno3D,16.0,GDDR6X,NVIDIA Geforce RTX 4080 SUPER,"DisplayPort, HDMI",2/5/2025 1:39
Lenovo NVIDIA GeForce GT 730,17.79,Lenovo,2.0,GDDR5,NVIDIA GeForce GT 730,DisplayPort,2/5/2025 1:38
Lenovo Nvidia Quadro P400,31.99,Lenovo,2.0,GDDR5,Nvidia Quadro P400,Mini DisplayPort,2/5/2025 1:39
Lenovo nvidia geforces rtx 4060 lenovo fru 5v11k41546,299.94,Lenovo,8.0,GDDR6,Nvidia GeForce RTX 4060,"DisplayPort, HDMI",2/5/2025 1:38
AMD Radeon R5 320,22.42,MSI,1.0,DDR3,AMD Radeon R5 320,"DisplayPort, HDMI, VGA",2/5/2025 1:38
MSI msi nvidia p106100 miner 6gb,41.0,MSI,6.0,GDDR5,MSI NVIDIA P106-100,,2/5/2025 1:39
MSI msi radeon rx 5600 xt gaming mx near mint,88.0,MSI,6.0,GDDR6,AMD Radeon RX 5600 XT,"DisplayPort, HDMI",2/5/2025 1:39
MSI GeForce RTX 3050,198.99,MSI,6.0,GDDR6,GeForce RTX 3050,,2/5/2025 1:39
Matrox Matrox C420,39.99,Matrox,2.0,GDDR5,Matrox C420,,2/5/2025 1:38
NVIDIA NVIDIA Quadro 410,12.45,NVIDIA,0.5,GDDR3,NVIDIA Quadro 410,DisplayPort,2/5/2025 1:39
NVIDIA NVIDIA GeForce GTX 1650,179.55,NVIDIA,4.0,GDDR5,NVIDIA GeForce GTX 1650,,2/5/2025 1:39
NVIDIA NVIDIA Quadro T400,100.0,NVIDIA,4.0,GDDR6,NVIDIA Quadro T400,Mini DisplayPort,2/5/2025 1:39
"NVIDIA, NVIDIA Quadro",109.99,NVIDIA,4.0625,DDR2,NVIDIA Quadro,DMS-59 Output,2/5/2025 1:38
NVIDIA NVIDIA Quadro P2000,45.0,NVIDIA,5.0,GDDR5,NVIDIA Quadro P2000,"VGA, DisplayPort, DVI, HDCP, DVI-D, HDMI",2/5/2025 1:38
NVIDIA nvidia crystal gtx 1080 ic die specimen tech cyber art decoration gift,50.0,NVIDIA,8.0,GDDR5,NVIDIA GeForce GTX 1080,"DVI, HDMI, DisplayPort",2/5/2025 1:38
NVIDIA CMP 50HX,154.99,NVIDIA,10.0,GDDR6,CMP 50HX,,2/5/2025 1:39
NVIDIA tesla m40 nvidia pg600 9002g6000010000 f pcie 30x16,39.99,NVIDIA,12.0,GDDR5,Nvidia Tesla M40,,2/5/2025 1:39
NVIDIA Tesla M40,38.69,NVIDIA,12.0,GDDR5,Tesla M40,,2/5/2025 1:39
NVIDIA NVIDIA Tesla K80,20.0,NVIDIA,24.0,GDDR5,NVIDIA Tesla K80,,2/5/2025 1:38
NVIDIA A10G,2331.07,NVIDIA,24.0,GDDR6,A10G,,2/5/2025 1:39
PNY pny geforce gtx 460 xlr8 enthusiast edition,20.0,PNY,1.0,GDDR5,NVIDIA GeForce GTX 460,"DVI, DVI-D, mini-HDMI",2/5/2025 1:39
PNY Nvidia Quadro P400,43.56,PNY,2.0,GDDR5,Nvidia Quadro P400,mini-HDMI,2/5/2025 1:38
PNY NVIDIA Quadro 2000,39.95,PNY,5.0,GDDR5,NVIDIA Quadro 2000,DisplayPort,2/5/2025 1:39
