Title,Price,RAM,CPU,Model,Brand,GPU,Screen Size,Storage,Collection Date
HP BookG2 Computer .6 i3 dows 10,95.33,8.0,Intel Core i3-6100U,HP ProBook 11 G2,HP,Intel HD Graphics 520,11.6,128.0,1/29/2025 22:22
7'' MiniComputer QuadAndroid 12ROM Netbook For Kid,99.0,2.0,Integrated,7'' MiniComputer QuadAndroid 12ROM Netbook For Kid,G-ANICA,Unknown Graphics,10.0,512.0,1/29/2025 22:23
Lenovo 100W – Open BOX – Model 82HY –,99.0,4.0,AMD 3000 Series,100w Gen 3 Laptop (Lenovo) - Type 82HY,Lenovo,Unknown Graphics,11.6,64.0,1/29/2025 22:22
Lenovo 300e .62inCeleron dows 10,99.5,4.0,Intel Celeron N4100,Lenovo 300e 2nd Gen,Lenovo,Intel UHD Graphics 600,11.6,64.0,1/29/2025 22:23
dows 1010.1QuadComputer Mini Netbook (pink),99.96,16.0,Intel Celeron N,dows 1010.1QuadComputer Mini Netbook (pink),Unbranded,Unknown Graphics,10.1,512.0,1/29/2025 22:22
7''Computer QuadPowered by Android 12.Netbook withfor Kid,99.99,2.0,Integrated,GBOOK,NBD,Unknown Graphics,7.0,512.0,1/29/2025 22:22
ASUS CX1500CKANanoEdgeN4500 Military Grade Chromebook,109.0,8.0,Intel Celeron N4500,CX1500CKA-WB84F,ASUS,Intel UHD Graphics,15.6,64.0,1/29/2025 22:23
Lenovo inkPad 14Screen 4thdows Home,115.99,12.0,Intel i5,Lenovo ThinkPad T440S,Lenovo,Intel HD Graphics 4400,14.0,256.0,1/29/2025 22:23
Dell Latitude Computer HDi3 dows,119.4,16.0,Intel Core i3-8145U,Dell Latitude 3310,Dell,Intel HD Graphics 520,13.3,128.0,1/29/2025 22:22
HP Book X360G2 .6 dows 10,119.4,8.0,Intel Core i5-7Y54,HP ProBook X360 11 G2 EE,HP,Intel UHD Graphics,11.6,128.0,1/29/2025 22:23
Panasonic Toughbook CF19 MK310UK,123.16,4.0,1.20GHz Intel CPU,Panasonic Toughbook CF-19,Panasonic,Unknown Graphics,10.4,128.0,1/29/2025 22:23
Acer Chromebook Spin 511 | N4100 | Touch |+ |#,124.12,16.0,Intel Core i7-5600U,Acer Chromebook Spin 511 | N4100 | Touch |+ |#,,Unknown Graphics,14.0,512.0,1/29/2025 22:23
HP EliteBook 840 G1 14Computer dows 10,127.05,8.0,Intel Core i5-4200U,HP EliteBook 840 G1,HP,Intel HD Graphics 4000,14.0,256.0,1/29/2025 22:23
CHUWI 14.1''Celeron Memory Natural,129.99,16.0,Intel Core i3-8145U,CHUWI 14.1''Celeron Memory Natural,,Unknown Graphics,14.0,512.0,1/29/2025 22:23
CHUWI 14.1''Celeron Memory Natural,129.99,16.0,Intel Core i5 2nd Gen.,CHUWI 14.1''Celeron Memory Natural,,Unknown Graphics,14.0,512.0,1/29/2025 22:23
Lenovo inkPad W530 3840QM NO /BATTERY,129.99,16.0,Intel Core i3-8145U,Lenovo inkPad W530 3840QM NO /BATTERY,,Unknown Graphics,14.0,512.0,1/29/2025 22:23
Lenovo Chromebook Flex ConvertibleTablet .6,133.65,4.0,MediaTek MT8173C,Lenovo FLEX 3,Lenovo,On board,11.6,32.0,1/29/2025 22:23
CHUWI 14.1''ComputerdowsHome HD,134.99,8.0,Intel Celeron Processor N4020,CHUWI Herobook Pro,Chuwi,"Intel UHD Graphics 600, 650MHz",14.0,128.0,1/29/2025 22:23
Dell Latitude 5580 7300U dows 10,134.99,8.0,Intel Core i5 7th Gen.,Dell Latitude 5580,Dell,Intel HD Graphics,15.6,128.0,1/29/2025 22:23
Dell Latitude E7470 6600U14 10,134.99,16.0,Intel Core i3 4th Gen.,Dell Latitude E7470 6600U14 10,,Unknown Graphics,14.0,512.0,1/29/2025 22:23
HP X360G5 Pentiumdows 10,139.66,8.0,Intel Pentium Silver N5030,HP ProBook X360 11 G5 EE,HP,Intel UHD Graphics 605,11.6,128.0,1/29/2025 22:22
~CD/DVD DRIVE14Dell Latitude!~ Storage!,139.95,16.0,Intel Core i5 2nd Gen.,Dell Latitude E5420,Dell,Intel HD Graphics,14.0,512.0,1/29/2025 22:23
Lenovo inkPad X1 Carbon 3rd,139.99,8.0,Intel core i7-5th Gen,Lenovo ThinkPad X1 Carbon 3rd Gen,Lenovo,Intel HD Graphics Card,14.0,256.0,1/29/2025 22:23
~OVERSTOCK SALE14HP EliteBook 10,144.95,8.0,Intel Core i5 2nd Gen.,HP EliteBook 8460P,HP,Intel HD Graphics,14.0,512.0,1/29/2025 22:23
~CD/DVD Drive14Dell Latitude!,144.95,16.0,Intel Core i5 2nd Gen.,Dell Latitude E6420,Dell,Intel HD Graphics,14.0,512.0,1/29/2025 22:23
HP X360G4 2indows,147.52,16.0,Intel Core i5 2nd Gen.,HP X360G4 2indows,,Unknown Graphics,14.0,512.0,1/29/2025 22:23
Dell Inspiron 3542i3dows,149.0,8.0,Intel Core i3 4th Gen.,Dell Inspiron 3542,Dell,Unknown Graphics,15.6,240.0,1/29/2025 22:22
Dell Latitude dows 10 !,149.95,8.0,Intel Core i7 3rd Gen.,Dell Latitude E6330,Dell,Intel HD Graphics,13.3,256.0,1/29/2025 22:22
Dell Latitude E727012.5HD 2.Backlit 10,149.99,8.0,Intel Core i5-6300U,Dell Latitude E7270,Dell,Intel HD Graphics 520,12.5,256.0,1/29/2025 22:23
Dell Latitude 5410 10210U14 NVMe dows,149.99,16.0,Intel Core i5 10th Generation,Latitude,Dell,Unknown Graphics,14.0,256.0,1/29/2025 22:22
