Title,Price,RAM,CPU,Model,Brand,GPU,Screen Size,Storage,Collection Date
Evolve III Maestro .6HD N3450M.Version,91.99,64.0,Unknown CPU,Evolve III Maestro .6HD N3450M.Version,Intel,Unknown Graphics,11.6,64.0,2025-01-31 23:52:58
.6Dell Latitude3190 Pentium NVMEComputer,94.99,8.0,Unknown CPU,Dell Latitude 3190,Dell,Intel® UHD Graphics 605,11.6,256.0,2025-01-31 23:53:56
HP EliteBook Folio 9470M @ 10,95.0,16.0,Core i5,HP EliteBook Folio 9470M @ 10,,Unknown Graphics,14.0,512.0,2025-01-31 23:53:29
Lenovo 100W – Open BOX – Model 82HY –,99.0,4.0,Unknown CPU,100w Gen 3 Laptop (Lenovo) - Type 82HY,Lenovo,Unknown Graphics,11.6,64.0,2025-01-31 23:53:53
HP X360G32n1 .6 Pentium dows 10,99.55,4.0,Unknown CPU,HP ProBook X360 11 G3 EE,HP,Intel HD Graphics 505,11.6,128.0,2025-01-31 23:52:56
Lenovo IP Flex Chromebook Touch i315G4,99.99,16.0,Core i3,Chromebook IP Flex 5,Lenovo,Unknown Graphics,13.3,128.0,2025-01-31 23:53:08
7''Computer QuadPowered by Android 12.Netbook withfor Kid,99.99,2.0,Unknown CPU,GBOOK,NBD,Unknown Graphics,7.0,512.0,2025-01-31 23:53:17
Lenovo Slim 14Chromebook Mediatek ARMStorage82XJ002DUS,99.99,4.0,Unknown CPU,Lenovo IP Slim 3 Chrome 14M868,Lenovo,ARM Mali-G52,14.0,64.0,2025-01-31 23:53:47
Lenovo 300e Chromebook 2ndAST A4EMMCChrome OS,104.99,16.0,Core i5,Lenovo 300e Chromebook 2ndAST A4EMMCChrome OS,,Unknown Graphics,14.0,512.0,2025-01-31 23:53:35
Lenovo Yoga e.6 Pentium dows 10,109.45,4.0,Unknown CPU,Lenovo ThinkPad Yoga 11e 5th Gen,Lenovo,Intel HD Graphics 620,11.6,256.0,2025-01-31 23:53:40
HP Chromebook x360G3 EE .6 CeleroneMMC 1A769UT#ABA,109.99,8.0,Unknown CPU,HP Chromebook x360 11 G3 EE,HP,Intel UHD Graphics 600,11.6,64.0,2025-01-31 23:52:52
DellComputer Latitude E7270 12.5dows 10,118.95,8.0,Core i5,Dell Latitude E7270,Dell,Intel HD Graphics 520,12.0,128.0,2025-01-31 23:53:03
HP Book X360G2 .6 dows 10,119.4,8.0,Core i5,HP ProBook X360 11 G2 EE,HP,Intel UHD Graphics,11.6,128.0,2025-01-31 23:53:27
Dell Latitude Computer HDi3 dows,119.4,16.0,Core i3,Dell Latitude 3310,Dell,Intel HD Graphics 520,13.3,128.0,2025-01-31 23:53:37
Lenovo inkpad X380 Yoga | in | 8350U ||| Touch,122.19,8.0,Core i5,Lenovo ThinkPad X380 Yoga,Lenovo,Unknown Graphics,13.3,256.0,2025-01-31 23:53:50
