Title,Price,Screen_Size_in,Aspect_Ratio,Refresh_Rate_Hz,Response_Time_ms,Brand,Model,Collection Date
HP V221 Computer Display Monitor,6.0,21.0,16:9,76.0,5.0,HP,,2025-01-30 19:30:19
CRACKED BUT WORKS -- Lenovo G27c-10 27,7.0,27.0,16:9,165.0,1.0,Lenovo,G27c-10,2025-01-30 19:30:39
Sceptre Black 20 in Full Ultra Thin LED Monitor With Adapter Fully Tested,11.99,20.0,16:9,75.0,5.0,Sceptre,,2025-01-30 19:30:34
Acer V203H A 20 Widescreen LCD Monitor Tested Power and VGA Cables Included,14.99,20.0,16:9,60.0,5.0,Acer,Acer V203H A,2025-01-30 19:30:10
HP EliteDisplay E231 23 Widescreen LED Monitor NO STAND,14.99,23.0,16:9,60.0,8.0,HP,E231,2025-01-30 19:30:27
ASUS VS239H-P 23 LED Monitor LED QuickFit FULL 1080,15.0,23.0,,,5.0,HP,VS239H-P,2025-01-30 19:30:11
Large brand 22 LCD Monitor Full 1080p Office Business wStand HDMI,19.98,22.0,16:9,60.0,5.0,Dell/HP,,2025-01-30 19:30:15
Major brand 23 LCD Widescreen Monitor Gaming PS5 PS4 Xbox one Switch Laptop PC,19.99,23.0,16:9,60.0,5.0,"Dell, HP, Samsung, LG, Viewsonic..etc",,2025-01-30 19:30:18
Dell E2417H 23.8 Full VGA DisplayPort Widescreen LED Grade A,19.99,24.0,16:9,60.0,8.0,Dell,E2417H,2025-01-30 19:30:19
EXTERNAL MONTIOR WIMAXIT M1020 HDMI,20.0,10.1,16:9,60.0,5.0,WIMAXIT,,2025-01-30 19:30:37
HMTECH Raspberry Pi HDMI Portable Monitor LCD,20.24,7.0,16:9,60.0,5.0,HMTECH,,2025-01-30 19:30:16
HP ProDisplay P222va 21.5 LED Backlit Monitor 1920 x1080 Power Supply,23.66,21.5,16:9,60.0,8.0,HP,P222VA,2025-01-30 19:30:23
HP Elite Display S140U 14 Portable Monitor 201520162017- B-,23.9,14.0,,,5.0,HP,HP Elite S140U,2025-01-30 19:30:27
Dell Monitor 22 U2211Ht Widescreen VGA DVI DisplayPort NO STAND,24.74,22.0,16:9,60.0,5.0,Dell,U2211Ht,2025-01-30 19:30:06
ViewSonic VA2252SM 22 Widescreen LED Monitor,24.99,22.0,16:9,60.0,6.5,ViewSonic,VS16197,2025-01-30 19:30:24
Asus VS248 24 LED Monitor DVI VGA HDMI no STAND,25.0,24.0,16:9,60.0,2.0,ASUS,VS248,2025-01-30 19:30:34
Lenovo ThinkVision 17 LCD Adjustable Swivel monitor,28.99,17.0,16:9,76.0,8.0,Lenovo,9417-HB2),2025-01-30 19:30:43
ELO ET1515L 15 TouchScreen Retail POS Monitor with Stand - USED TESTED WORKING,29.5,15.0,4:3,75.0,5.0,Elo Touch Solutions,ET1515L,2025-01-30 19:30:26
Asus MB169B 15.6 169 Widescreen LED Backlight Full - SEE DESCRIPTION,29.98,15.6,16:9,,5.0,ASUS,MB169B,2025-01-30 19:30:26
DELL P2011HT 20 Panel LCD Monitor Widescreen 169 VGA DVI NO STAND,29.99,20.0,16:9,,5.0,Dell,P2011HT,2025-01-30 19:30:35
KYY K3 Type-C Full 1920 x 1080 HDMI LCD Portable Monitor,29.99,15.6,16:9,60.0,1.0,KYY,KYY K3,2025-01-30 19:30:06
Dell UltraSharp 2208WFPT 22 Wide Screen LCD Monitor wStand,30.0,22.0,,60.0,5.0,Dell,2208WFPT,2025-01-30 19:30:06
Dell 19 Widescreen DVIVGA Panel LCD Monitor S1909WX - NEW IN BOX,31.5,19.0,16:9,,5.0,Dell,S1909WX,2025-01-30 19:30:17
Dell 2009Wt 2009W 20 Widescreen LCD Monitor DVI-D VGA USB NO STAND,31.99,20.0,16:10,60.0,5.0,Dell,Dell 2009wt,2025-01-30 19:30:08
GOOG Dual HP DELL LG Monitor 19 22 23 24 LCD Widescreen Monitor wCable,35.99,23.0,16:9,,5.0,Dell/HP and more,,2025-01-30 19:30:35
Acer X183H Widescreen LCD Monitor Display Black VGA,37.49,18.5,,,5.0,Acer,X183H,2025-01-30 19:30:30
iLooker 22E 21 22 LCD LED Video Monitor Hood Sunshade Sunhood EU22E,37.5,22.0,,,5.0,iLooker,22E,2025-01-30 19:30:17
US - Portable Monitor LCD Display Screen with AV VGA HDMI Input for PC,38.49,7.0,16:9,75.0,6.0,Unbranded/Generic,M701CH,2025-01-30 19:30:32
Dell P2219H Monitor 22 LCD - - USED,39.99,22.0,,76.0,5.0,Dell,,2025-01-30 19:30:31
Acer UM.CB6AA.A02 B196L 19 LED LCD Monitor - 54 - - 1280 x 1024 - VGA DVI,40.0,19.0,5:4,60.0,5.0,Acer,B196L,2025-01-30 19:30:46
Dell P2214HB 22 1920 x 1080 LCD Panel Monitor WStand.,40.0,22.0,,,5.0,Dell,DELL P2214HB,2025-01-30 19:30:44
Dell UltraSharp 19 LCD Monitor WITH POWER CORD,40.0,19.0,5:4,75.0,5.0,Dell,,2025-01-30 19:30:16
ASUS 21.5in - Black VP228H,42.49,21.5,16:9,60.0,1.0,ASUS,VP228H,2025-01-30 19:30:40
Dual HP DELL Monitor 19 22 23 24 LCD Widescreen Monitor w cables,44.88,23.0,16:9 Aspect Ratio,60.0,5.0,Unbranded,,2025-01-30 19:30:41
Acer XFA240 bmjdpr 24 Gaming G-SYNC Compatible Monitor 1920 x 1080,44.95,24.0,16:9,144.0,1.0,Acer,,2025-01-30 19:30:21
LG 24MP60G-B 24 LED Monitor - Black,45.0,24.0,16:9,75.0,1.0,LG,LG 24MP60G-B,2025-01-30 19:30:18
Dell UltraSharp LCD Monitor with Power cable and VGA cable Grade A 20,45.0,22.0,5:4,75.0,5.0,Dell,P2016,2025-01-30 19:30:22
ASUS VE247H LCD Monitor - Black,45.08,23.6,,,5.0,ASUS,VE247H,2025-01-30 19:30:30
Portable Monitor Dual USB Type-C Touchscreen Display Mini,45.99,12.0,16:9,60.0,3.0,Unbranded,,2025-01-30 19:30:11
7 inch Touch Screen For Raspberry Pi 5 4 3 HDMI LCD Display Monitor,47.5,7.0,16:9,60.0,3.0,Unbranded,Raspberry Pi Touch Screen 7,2025-01-30 19:30:12
HP EliteDisplay S231D Monitor Built in Webcam,47.95,23.0,,60.0,7.0,HP,,2025-01-30 19:30:21
