Title,Price,Screen Size,Maximum Resolution,Aspect Ratio,Refresh Rate,Response Time,Brand,Model,Collection Date
Samsung Curved LED Monitor C24F390FHN CF390 Series 24 inch - LC24F390FHNXZA,$79.99,24 in,,16:9,60 Hz,4 ms,Samsung,CF390,2025-02-01 00:07:29
Rehisk 24Inch 180Hz Full HD 1080P Gaming Monitor,$79.99,,,,75 Hz,1 ms,Bolt Buy,Rehisk,2025-02-01 00:07:37
"CRUA 24""/24.5""/27""/32"" ,75HZ/144HZ/165Hz/180Hz/200HZ Curved Gaming Monitor",$55.99,"24""/24.5""/27""/32""",,16:9,75HZ/144HZ/165/180HZ/200HZ,,CRUA,,2025-02-01 00:07:48
"Onn 22"" Inch Full HD Desktop Computer Monitor HDMI VGA 60hz Refresh 6.5ms 1080p",US $27.98/ea,22 in,,16:9,60 Hz,,ONN,,2025-02-01 00:07:31
SANSUI 24 inch 100Hz Ultra-Slim PC Monitor ES-24F2  HDMI Cable Included,$64.99,24 in,,16:9,100 Hz,,Sansui,ES24-F2,2025-02-01 00:07:39
"Asus MB169B+ 15.6"" 1080p Widescreen Portable LED Monitor - See Desc",$34.98,"15.6""",,16:9,60 Hz,14ms,ASUS,MB169B+,2025-02-01 00:07:38
"LG 27"" inch UltraGear Widescreen Full HD Computer Monitor AMD Freesync 165hz 1ms",$75.05/ea,27 in,,16:9,165 Hz,1 ms,LG,UltraGear,2025-02-01 00:07:42
ELO ET1002L 1-2UWC-1-G   LCD TOUCH SCREEN POS MONITOR  NEW IN BOX,$95.00,10.1 in,,,,,Elo,ET1002L,2025-02-01 00:07:35
HMTECH 7 Inch Raspberry Pi 640X480 HDMI Portable Monitor IPS LCD,$18.89,7 in,,16:9,60 Hz,,HMTECH,,2025-02-01 00:07:38
Westinghouse Computer Monitor 32-inch 4K 60Hz Monitor Ultra HD (UHD),$179.99/ea,32 in,,,60 Hz,,Westinghouse,,2025-02-01 00:07:38
"27-Inch IPS Monitor, 1080P Full HD Display, Ultra-Thin Bezel, HDMI & VGA Ports",$103.90,27 in,,16:9,100 Hz,1 ms,GreBear,,2025-02-01 00:07:43
"22 Inch Business Computer Monitor, Desktop Gaming Monitor, IPS, FHD 1080P, 75Hz,",$199.40,,,,,,Does not apply,,2025-02-01 00:07:41
"24 inch curved gaming monitor 180Hz 1Ms MPRT, 300Cd/M² brightness, 16:9 full HD",$285.65,,,,,,Does not apply,,2025-02-01 00:07:45
Dell Monitor 22” U2211Ht FHD 1920x1080 Widescreen VGA DVI DisplayPort NO STAND,$29.03,22 in,,16:9,60 Hz,5 ms,Dell,U2211Ht,2025-02-01 00:07:27
HP Elite Display E230t 23-inch Touch Monitor,$200.00,23 in,,,,,HP,E230t,2025-02-01 00:07:42
Computer Monitor 22 Inch FHD 1080P Thin LED Monitor Built-in Speaker Eye Care,$57.99/ea,22 in,,,,5 ms,Unbranded,LED-22,2025-02-01 00:07:27
"25 inch (24.5 inch) Gaming Monitor 240Hz 1Ms MPRT 1080P Full HD VA Panel, 350Cd/-",EUR 399.90,,,,,,,,2025-02-01 00:07:49
"NEW Orion Images 24RPCS LED Monitor Series 24"" LED - Backlit Monitor",$120.00,24 in,,,75 Hz,5 ms,Orion,,2025-02-01 00:07:33
"Lenovo ThinkVision T24v-20  24"" LCD Monitor 1920 x 1080 Webcam w/ Stand + Cables",US $64.99/ea,,,,,,,,2025-02-01 00:07:45
"HP E27q G4 27"" 2560x1440 QHD 60Hz IPS LED Monitor DP HDMI VGA",$89.99,27 in,,16:9,60 Hz,5 ms,HP,E27q G4,2025-02-01 00:07:40
"Seneca 23"" X 8.5""Display Screen  SS23XNW01.0  Signage  Monitor A10-3350-23S",$235.00,"23"" × 8.5 """,,,,,Seneca,,2025-02-01 00:07:35
Apple Cinema Display A1316 Widescreen Monitor,$124.99,,,16:9,60 Hz,,Apple,,2025-02-01 00:07:34
"ASUS VG249Q3R TUF Gaming 23.8"" Full HD (1920 x 1080) 180Hz Gaming Monitor",$59.99,23.8 in,,,180 HZ,1 ms,ASUS,,2025-02-01 00:07:44
*TESTED* Sony PlayStation 3D Display LED | PS3 TV CECH-ZED1U,US $169.99,,,,,,,,2025-02-01 00:07:37
"UPERFECT OLED Portable Monitor 16.0"", 3K 2880x1800 | 120Hz | 1ms Portable Gaming",$179.99,16 in,,16:10,120 Hz,1 ms,UPERFECT,UP160B01,2025-02-01 00:07:49
"Lepow 15.6"" FHD IPS 60hz 1080 HDMI Type-C Portable Monitor Display As Is",$34.99,15.6 in,,16:9,60 Hz,10 ms,Lepow,Z1 Series,2025-02-01 00:07:47
"15.6"" Touchscreen Portable Monitor 1080P Unify Y Full HD IPS LCD Display Used",$76.99,15.6 in,,16:9,60 Hz,3 ms,UPERFECT,Unify Y,2025-02-01 00:07:32
Acer KB272 EBI 27'' 1080p FHD IPS LCD Monitor - Black,$90.00,27 in,,,,,Acer,,2025-02-01 00:07:41
"Dell 19"" Inch P1917s LCD Monitor 1280 x 1024 60 Hz 6 MS",$94.00,19 in,,,60 Hz,6 ms,Dell,P1917s,2025-02-01 00:07:36
"AOC Portable 15.6"" USB Monitor E1659FWU - Extend your laptop screen!",$34.99,15.6 in,,16:9,60Hz,5 ms,AOC,E1659FWU,2025-02-01 00:07:34
"Dell 1907FPc 19"" Monitor DVI VGA Grade B",$24.99,19 in,,,75 Hz,8 ms,Dell,,2025-02-01 00:07:44
"OEM Dell HP Dual 22"" 23"" 24"" LCD Widescreen Monitor FHD 1080p W/Stand Cables",$34.99,"22in, 23in, 24in, 27in",,16:9,60 Hz,,"DELL, HP, Samsung",,2025-02-01 00:07:43
"Dual Triple Monitor 1080P IPS FHD Monitor Screen Extender for Laptops 13-17.3""",$238.98,,,,,,,,2025-02-01 00:07:31
"ASUS BE24ECQK 23.8"" FHD IPS LED Monitor",$55.00/ea,23.8 in,,16:9,60 Hz,5 ms,ASUS,ASUS BE24EQK,2025-02-01 00:07:27
"OEM Dell HP Dual 22"" 23"" 24"" LCD Widescreen Monitor FHD 1080p W/Stand Cables",$34.99,"22in, 23in, 24in, 27in",,16:9,60 Hz,,"DELL, HP, Samsung",,2025-02-01 00:07:38
"18.5"" Portable Monitor 1920*1080 Type USB C Screen 120Hz Monitor For Game Xbox",$109.99,18.5 in,,16:9,120 Hz,5 ms,UPERFECT,UP185E03,2025-02-01 00:07:48
Tidbyt Display - Gen 2 - Black - SEALED,$185.50,8.4 in,,,,,Tidbyt,,2025-02-01 00:07:36
