Title,Price,Case Size,Battery Capacity,Brand,Model,Operating System,Storage Capacity,Collection Date
Apple Series 5 40mm Space Aluminum Case Only SEE,0.99,40.0,305,Apple,Apple Watch Series 5,Apple Watch OS,32.0,1/29/2025 22:25
"1.83"" ROHS Wireless 4.0 , Many Options 5.0, 9.0 or Higher",9.95,41.35,305,Unknown,Smart Watch,Android Wear,32.0,1/29/2025 22:25
Men Ladies for iPhone Samsung,13.05,44.0,220,Unknown,Smart Bracelet,Android Wear,32.0,1/29/2025 22:25
Touchscreen Wrist,15.9,44.0,305,Unknown,X6 Smart Watch,Android Wear,32.0,1/29/2025 22:24
"/, iPhone Samsung..",16.99,26.0,305,Unknown,1,Android Wear,32.0,1/29/2025 22:25
Apple Series 4 - 44mm - Nike,17.43,44.0,305,Apple,Apple Watch Series 4 Nike+,Unknown,32.0,1/29/2025 22:25
Itouch Air 4 Brand In Box,18.0,41.0,305,Unknown,iTouch Air 4,Apple Watch OS,32.0,1/29/2025 22:25
"/, iPhone Samsung",19.99,22.0,300,IOWODO,Smart Watches,Android Wear,1.0,1/29/2025 22:24
Men for Samsung,20.79,41.35,305,Unknown,Smart Bracelet,Android Wear,32.0,1/29/2025 22:24
Calling & – with Multi-Sport,23.99,50.0,305,Unknown,Smart Bracelet,Android Wear,32.0,1/29/2025 22:25
Call Monitoring - - UK,27.36,44.0,200,Unknown,Smart Bracelet,Android Wear,5.0,1/29/2025 22:25
NFC for iPhone Samsung,28.99,45.7,260,Unknown,NFC Smart Watch,Android Wear,32.0,1/29/2025 22:24
Men/ For iPhone Samsung US,29.99,41.35,350,Unknown,Military Smart Watches,Android Wear,1.0,1/29/2025 22:25
Samsung Galaxy Active 2 SM-R830 40mm Aluminum Case with Sport Band,29.99,44.0,305,Samsung,Samsung Galaxy Watch Active 2,Tizen,4.0,1/29/2025 22:25
"/, iPhone Samsung",30.0,40.0,305,Unknown,IDW16,Wear OS,64.0,1/29/2025 22:25
Men . .,30.0,41.35,305,Unknown,L81B,Android Wear,32.0,1/29/2025 22:25
Call,30.89,46.3,305,Unknown,Smart Watch,Android Wear,32.0,1/29/2025 22:24
Radley London Digital GradeRose - Perfect ideal gift,32.5,42.0,305,Unknown,Smart Bracelet,Android Wear,5.0,1/29/2025 22:24
MK16 Bluetoot Sport,32.75,55.0,305,Unknown,MK16,Android Wear,64.0,1/29/2025 22:24
/ iPhone Samsung,32.99,22.0,370,Unknown,W50 Smart watch,Android Wear,1.0,1/29/2025 22:24
Samsung Galaxy Sm-r810 42mm 4GB -,39.0,42.0,305,Samsung,Samsung Galaxy Watch,Android Wear,4.0,1/29/2025 22:24
Samsung Galaxy Watch4 Classic 46mm R890 - Poor,39.99,46.0,305,Samsung,Galaxy Watch4 Classic,Wear OS,16.0,1/29/2025 22:24
Samsung titanium 3,40.0,45.0,305,Samsung,Samsung Galaxy Watch,Unknown,32.0,1/29/2025 22:25
2023 Call Oxygen,43.69,49.53,305,Unknown,G102,Android Wear,128.0,1/29/2025 22:25
AK15 IP67Waterproof Bracelet,46.54,38.0,120,Unknown,AK15,Android Wear,64.0,1/29/2025 22:24
Samsung Galaxy Watch4 40mm R860 -,49.99,40.0,305,Samsung,Galaxy Watch4,Wear OS,16.0,1/29/2025 22:25
"Samsung Galaxy Fit 3 1.6"" Rubber Strap",54.99,40.0,305,Samsung,Samsung Galaxy Fit 3,Android Wear,2.0,1/29/2025 22:25
Google Pixel 41mm + + -,54.99,41.0,305,Google,Google Pixel Watch,Wear OS,32.0,1/29/2025 22:25
Huawei GT 46mm Stainless Steel Titanium,57.57,46.0,305,Huawei,Huawei Watch GT,LiteOS,32.0,1/29/2025 22:25
QX15 Call Heartrate Sport Message,58.0,45.0,305,Unknown,QX15,Android Wear,32.0,1/29/2025 22:24
"Motorola Moto 100 & , 42mm - Phantom -",64.74,42.0,305,Unknown,Motorola Moto Watch 100,Moto Watch OS,32.0,1/29/2025 22:25
Fitbit Versa 2 w/ Small & Large Bands,69.99,40.0,305,Fitbit,Fitbit Versa 2,Unknown,32.0,1/29/2025 22:24
Samsung Galaxy Watch4 Aluminum 44mm (SM-),69.99,44.0,305,Samsung,Samsung Galaxy Watch4,Unknown,32.0,1/29/2025 22:25
CMF by Nothing Pro Calling -,69.99,41.35,305,Nothing,Nothing Watch Pro,Android Wear,32.0,1/29/2025 22:25
Apple Series 3 38mm 42mm + + Space,74.99,40.0,305,Apple,Apple Watch Series 3,Apple Watch OS,32.0,1/29/2025 22:25
Google Pixel 2 41mm + Unlocked - Grade B+,81.99,41.0,305,Google,Google Pixel Watch 2,Wear OS,32.0,1/29/2025 22:24
Samsung Galaxy Watch5 Pro 45mm -,87.99,45.0,305,Samsung,Galaxy Watch5 Pro,Wear OS,16.0,1/29/2025 22:25
Brand Pebble Time 501- Kick Starter Backer series - working!,89.95,40.0,305,Pebble,Pebble Time,Pebble OS,32.0,1/29/2025 22:25
Samsung Galaxy Watch5 Pro Sm-r925 45mm + 16GB - Excellent,93.0,45.0,305,Samsung,Samsung Galaxy Watch5 Pro,Android Wear,16.0,1/29/2025 22:24
Garmin Vivoactive 4 All Colors 0GB -,99.0,45.0,305,Garmin,Garmin Vivoactive 4,Android Wear,32.0,1/29/2025 22:25
Samsung Galaxy Gear S SM- Curved Super -,99.95,44.0,305,Samsung,Samsung Galaxy Gear,Tizen,32.0,1/29/2025 22:24
T- 2 2GEN 32GB BOX,99.99,33.0,305,T-Mobile,SyncUp Kids Watch 2nd Gen,Unknown,32.0,1/29/2025 22:25
Apple SE 40mm 44mm + +,104.99,42.0,305,Apple,Apple Watch SE,Apple Watch OS,32.0,1/29/2025 22:25
Michael Kors (Gen 6) Touchscreen /Apple - - 44mm,109.2,44.0,305,Unknown,DW13M1,Wear OS,32.0,1/29/2025 22:24
Withings Steel HR Hybrid /,133.99,40.0,305,Withings,Steel HR,Unknown,32.0,1/29/2025 22:25
"Fitbit Versa 4 ,",136.25,40.0,305,Fitbit,FB523BKBK,Unknown,32.0,1/29/2025 22:25
