Title,Price,Screen Size,Maximum Resolution,Aspect Ratio,Response Time,Model,Refresh Rate,Price (USD),Brand
Data not available,,60.45,,,5.0,nan,,,Unknown
Data not available,,60.45,,,5.0,nan,,,Unknown
Frontech - 50.8 cm (20 inch) HD LED Backlit VA Panel Monitor (MON-0054),3154.0,50.8,1600x900,16:09,5.0,MON-0054,60.0,37.85,Unknown
ZEBRONICS 81.28 cm (32 inch) Curved Full HD VA Panel Wall Mountable Monitor (ZEB -AC32FHD LED),11999.0,81.28,1920x1080,16:09,8.0,ZEB -AC32FHD LED,75.0,143.99,Unknown
Frontech - 50.8 cm (20 inch) HD LED Backlit VA Panel Monitor (MON-0074),2699.0,50.8,1600x900,16:09,3.0,MON-0074,60.0,32.39,Unknown
"SAMSUNG 60.96 cm (24 inch) Full HD IPS Panel Flicker-Free, HDMI, Display Port, Bezel-less Design Flat ...",7399.0,60.96,,16:09,4.0,LS24C330GAWXXL,100.0,88.79,Unknown
MarQ by Flipkart 68.58 cm (27 inch) Full HD LED Backlit VA Panel Monitor (27FHDMMQTT9B),6299.0,68.58,1920x1080,16:09,5.0,27FHDMMQTT9B,100.0,75.59,Unknown
"LG 60.45 cm (23.8 inch) Full HD IPS Panel with 3-Side Borderless Display,Tilt-able Stand, Black Stabil...",7599.0,60.45,,16:09,5.0,24MR400-BA.CTRRMV,100.0,91.19,Unknown
ZEBSTER 50.8 cm (20 inch) HD VA Panel Monitor (Z-GV120),2679.0,50.8,,16:09,8.0,Z-GV120,60.0,32.15,Unknown
"ZEBRONICS 39.62 cm (15.6 inch) Full HD IPS Panel with 180-degree Adjustable Stand, 16:9 Aspect Ratio, ...",9999.0,39.62,1920x1080,16:09,25.0,(Zeb-Pixigo A16 (Zeb-KPM 2)),60.0,119.99,Unknown
Frontech - 48.26 cm (19 inch) HD LED Backlit VA Panel Monitor (MON-0071),2812.0,48.26,1440x900,16:10,5.0,MON-0071,60.0,33.74,Unknown
MarQ by Flipkart 60.96 cm (24 inch) Full HD LED Backlit VA Panel Monitor (24FHDMMQTT9B),5899.0,60.96,1920x1080,16:09,5.0,24FHDMMQTT9B,100.0,70.79,Unknown
