title,Price,Brand,Memory Size,Memory Type,Chipset/GPU Model,Connectors,Collection Date
ZEBRONICS NVIDIA ZEB-GT610 2 GB DDR3 Graphics Card,16.2,ZEBRONICS,2.0,DDR3,ZEB-GT610,HDMI,2025-01-29 02:36:26
ZOTAC NVIDIA GeForce RTX 3060 Twin Edge 12 GB GDDR6 Gra...,286.73,ZOTAC,12.0,GDDR6,GeForce RTX 3060 Twin Edge,Unknown,2025-01-29 02:36:26
Colorful NVIDIA GT-1050 4 GB DDR5 Graphics Card,234.93,Colorful,4.0,DDR5,GT-1050,"HDMI, DVI",2025-01-29 02:36:26
JieShuo AMD Radeon RX 590 8 GB GDDR5 Graphics Card,127.7,JieShuo,8.0,GDDR5,RX 590,HDMI,2025-01-29 02:36:26
ZEBRONICS NVIDIA GT730 4 GB DDR3 Graphics Card,33.11,ZEBRONICS,4.0,DDR3,GT730,"HDMI, DVI",2025-01-29 02:36:26
Xsentuals NVIDIA PCIe Riser Adapter Card VER009S / 009S...,5.17,Xsentuals,16.0,GDDR4,"PCIe Riser Adapter Card VER009S / 009S Black & Gold 16x to 1x 60cm USB 3.0 Extension Cable - GPU Riser Adapter - Mining Bitcoin, Ethereum ETH Zcash ZEC Monero XMR",Unknown,2025-01-29 02:36:26
mytechvision AMD Radeon AMD RADEON 8 GB GDDR5 Graphics ...,130.11,mytechvision,8.0,GDDR5,AMD RADEON,Unknown,2025-01-29 02:36:26
mytechvision AMD Radeon RX 580 8 GB GDDR6 Graphics Card,124.08,mytechvision,8.0,GDDR6,RX 580,Unknown,2025-01-29 02:36:26
JieShuo AMD Radeon RX 5500XT 8 GB GDDR5 Graphics Card,179.51,JieShuo,8.0,GDDR5,RX 5500XT,HDMI,2025-01-29 02:36:26
GIGABYTE NVIDIA GV-N3050WF2OC-6GD GeForce RTX 3050 WIND...,216.75,GIGABYTE,6.0,GDDR6,GV-N3050WF2OC-6GD GeForce RTX 3050 WINDFORCE OC,Unknown,2025-01-29 02:36:26
GIGABYTE NVIDIA GV-N3050WF2OC-6GD GeForce RTX 3050 WIND...,216.75,GIGABYTE,6.0,GDDR6,GV-N3050WF2OC-6GD GeForce RTX 3050 WINDFORCE OC,Unknown,2025-01-29 02:36:57
ZOTAC NVIDIA GeForce GT 1030 2 GB DDR5 Graphics Card,87.51,ZOTAC,2.0,DDR5,GeForce GT 1030,Unknown,2025-01-29 02:36:57
MSI NVIDIA GeForce GT 710 2 GB DDR3 Graphics Card,50.0,MSI,2.0,DDR3,GeForce GT 710,HDMI,2025-01-29 02:36:57
ZEBRONICS NVIDIA Zeb GT 730 4 GD3 4 GB DDR3 Graphics Ca...,32.42,ZEBRONICS,4.0,DDR3,Zeb GT 730 4 GD3,Unknown,2025-01-29 02:36:57
gigabtye NVIDIA ?GV-N4060AORUS E-8GD 8 GB GDDR6 Graphic...,462.8,gigabtye,8.0,GDDR6,?GV-N4060AORUS E-8GD,Unknown,2025-01-29 02:36:57
ZEBRONICS NVIDIA ZEBGT730 4 GB GDDR3 Graphics Card,39.14,ZEBRONICS,4.0,GDDR3,ZEBGT730,Unknown,2025-01-29 02:36:57
Colorful NVIDIA Battle AX Mainstream 8 GB GDDR6 Graphic...,469.88,Colorful,8.0,GDDR6,Battle AX Mainstream,Unknown,2025-01-29 02:36:57
ZOTAC NVIDIA GeForce GT 730 4GB Zone Edition 4 GB DDR3 ...,87.51,ZOTAC,4.0,DDR3,GeForce GT 730 4GB Zone Edition,Unknown,2025-01-29 02:36:57
Jack and Rex NVIDIA NGFF M.2 M key to USB 3.0 Adapter C...,3.0,Jack and Rex,1.0,DDR2,NGFF M.2 M key to USB 3.0 Adapter Card Extender M2 to USB3.0 Adapter Converter for PCI-E Riser Card Graphics GPU Mining Miner Package ships in Anti-electrostatic bags to prevent damage.,Unknown,2025-01-29 02:36:57
ZOTAC NVIDIA GeForce GT 710 2 GB DDR3 Graphics Card,40.83,ZOTAC,2.0,DDR3,GeForce GT 710,"HDMI, DVI",2025-01-29 02:36:57
"Zorbes NVIDIA Graphics Card Bracket, GPU Stand,Graphics...",7.16,Zorbes,1.0,DDR3,"Graphics Card Bracket, GPU Stand,Graphics Card GPU Brace",Unknown,2025-01-29 02:37:26
Nextron NVIDIA GT730 4GB DDR3 4 GB DDR3 Graphics Card,6.7,Nextron,4.0,DDR3,GT730 4GB DDR3,Unknown,2025-01-29 02:37:26
ZEBRONICS NVIDIA Gt610 2Gb graphics card 2 GB DDR3 Grap...,17.35,ZEBRONICS,2.0,DDR3,Gt610 2Gb graphics card,Unknown,2025-01-29 02:37:26
ASRock AMD Radeon RX6800XT PGD 16 GB GDDR6 Graphics Car...,1144.57,ASRock,16.0,GDDR6,RX6800XT PGD,HDMI,2025-01-29 02:37:26
Piplus NVIDIA VER012 Pro 10 Capacitor Pcie Riser Extens...,21.94,Piplus,16.0,GDDR4,VER012 Pro 10 Capacitor Pcie Riser Extension Adapter Card ETH Mining,Unknown,2025-01-29 02:37:26
