Title,Price,Price,Brand,Memory Size,Memory Type,Chipset/GPU Model,Connectors,Collection Date
Colorful NVIDIA GT-1050 4 GB DDR5 Graphics Card,"₹19,499",19499.0,Colorful,4.0,DDR5,GT-1050,"HDMI, DVI",scrape2
ASRock AMD Radeon RX 6400 4 GB GDDR6 Graphics Card,"₹10,599",10599.0,ASRock,4.0,GDDR6,RX 6400,Unknown,scrape2
Consistent NVIDIA Geforce GT 610 2 GB DDR3 Graphics Car...,"₹1,490",1490.0,Consistent,2.0,DDR3,Geforce GT 610,Unknown,scrape2
Xsentuals NVIDIA PCIe Riser Adapter Card VER009S / 009S...,₹429,429.0,Xsentuals,16.0,GDDR4,"PCIe Riser Adapter Card VER009S / 009S Black & Gold 16x to 1x 60cm USB 3.0 Extension Cable - GPU Riser Adapter - Mining Bitcoin, Ethereum ETH Zcash ZEC Monero XMR",Unknown,scrape2
GIGABYTE NVIDIA GV-N3050WF2OC-6GD GeForce RTX 3050 WIND...,"₹17,473",17473.0,GIGABYTE,6.0,GDDR6,GV-N3050WF2OC-6GD GeForce RTX 3050 WINDFORCE OC,Unknown,scrape2
ZEBRONICS NVIDIA GT730 4 GB DDR3 Graphics Card,"₹2,748",2748.0,ZEBRONICS,4.0,DDR3,GT730,"HDMI, DVI",scrape2
mytechvision AMD Radeon RX 580 8 GB GDDR5 Graphics Card,"₹11,299",11299.0,mytechvision,8.0,GDDR5,RX 580,Unknown,scrape2
ASRock AMD Radeon RX 7600 XT 16 GB GDDR6 Graphics Card,"₹32,099",32099.0,ASRock,16.0,GDDR6,RX 7600 XT,Unknown,scrape2
"Xsentuals NVIDIA PCI-E Riser for Mining, PCIE 1x to 16x...",₹399,399.0,Xsentuals,16.0,GDDR4,"PCI-E Riser for Mining, PCIE 1x to 16x Graphics Card Extension Cable GPU Riser Adapter USB 3.0 6-Pin PCIE to SATA Power Cable for Bitcoin Litecoin Ethereum Mining ETH (60CM)",Unknown,scrape2
JieShuo AMD Radeon RX 5500XT 8 GB GDDR5 Graphics Card,"₹14,899",14899.0,JieShuo,8.0,GDDR5,RX 5500XT,HDMI,scrape2
ASRock AMD Radeon RX 7800 XT 16 GB GDDR6 Graphics Card,"₹47,399",47399.0,ASRock,16.0,GDDR6,RX 7800 XT,Unknown,scrape2
ASRock AMD Radeon RX6500XT PGD 4 GB GDDR6 Graphics Card,"₹20,999",20999.0,ASRock,4.0,GDDR6,RX6500XT PGD,HDMI,scrape2
Xsentuals NVIDIA 8-Pin Female to 2(6+2) Pin Male Pin : ...,₹499,499.0,Xsentuals,16.0,GDDR4,"8-Pin Female to 2(6+2) Pin Male Pin : 8Pin Female PCIe to 2 PCIe 8Pin (6P+2P) Male Power Cable, Splitter cable",Unknown,scrape2
Nextron NVIDIA GT730 4GB DDR3 4 GB DDR3 Graphics Card,"₹3,995",3995.0,Nextron,4.0,DDR3,GT730 4GB DDR3,"HDMI, DVI",scrape2
gigabtye NVIDIA ?GV-N4060AORUS E-8GD 8 GB GDDR6 Graphic...,"₹38,412",38412.0,gigabtye,8.0,GDDR6,?GV-N4060AORUS E-8GD,Unknown,scrape2
ZEBRONICS NVIDIA GT730 4 GB DDR3 Graphics Card,"₹2,748",2748.0,ZEBRONICS,4.0,DDR3,GT730,"HDMI, DVI",scrape2
nVIDIA NVIDIA PCI Express Multiplier Riser Card for Min...,"₹2,364",2364.0,nVIDIA,16.0,GDDR5,PCI Express Multiplier Riser Card for Mining Device,Unknown,scrape2
Inno3D NVIDIA GeForce RTX 3050 TWIN X2 8 GB GDDR6 Graph...,"₹20,371",20371.0,Inno3D,8.0,GDDR6,GeForce RTX 3050 TWIN X2,Unknown,scrape2
ZEBRONICS NVIDIA Gt610 2Gb graphics card 2 GB DDR3 Grap...,"₹1,499",1499.0,ZEBRONICS,2.0,DDR3,Gt610 2Gb graphics card,Unknown,scrape2
ASUS NVIDIA GeForce GT 730 2 GB GDDR5 Graphics Card,"₹7,599",7599.0,ASUS,2.0,GDDR5,GeForce GT 730,Unknown,scrape2
ASRock AMD Radeon RX 7700 XT 12 GB GDDR6 Graphics Card,"₹40,749",40749.0,ASRock,12.0,GDDR6,RX 7700 XT,Unknown,scrape2
nVIDIA NVIDIA GEFORCE RTX 2060 Twin X2 6 GB GDDR6 Graph...,"₹34,500",34500.0,nVIDIA,6.0,GDDR6,GEFORCE RTX 2060 Twin X2,Unknown,scrape2
ASRock AMD Radeon RX6600XT CLD 8 GB GDDR6 Graphics Card,"₹39,999",39999.0,ASRock,8.0,GDDR6,RX6600XT CLD,HDMI,scrape2
"Mebako NVIDIA PCI Express Riser Card V014 Pro, GPU Rise...",₹902,902.0,Mebako,2.0,DDR2,"PCI Express Riser Card V014 Pro, GPU Riser Adapter Card PCIE X1 to X16 Extender",Unknown,scrape2
ZEBRONICS NVIDIA GT730 4 GB DDR3 Graphics Card,"₹2,748",2748.0,ZEBRONICS,4.0,DDR3,GT730,"HDMI, DVI",scrape2
ASRock AMD Radeon RX6500XT PGD 4 GB GDDR6 Graphics Card,"₹20,999",20999.0,ASRock,4.0,GDDR6,RX6500XT PGD,HDMI,scrape2
MSI NVIDIA GeForce RTX 4060 Ti VENTUS 2X BLACK 16G OC 1...,"₹49,999",49999.0,MSI,16.0,GDDR6,GeForce RTX 4060 Ti VENTUS 2X BLACK 16G OC,Unknown,scrape2
Inno3D NVIDIA GeForce RTX 2060 Super Twin X2 OC 8 GB GD...,"₹44,999",44999.0,Inno3D,8.0,GDDR6,GeForce RTX 2060 Super Twin X2 OC,Unknown,scrape2
srigs NVIDIA gt730ddr3 4 GB DDR3 Graphics Card,"₹3,488",3488.0,srigs,4.0,DDR3,gt730ddr3,Unknown,scrape2
"Verilux NVIDIA Card for Key M 2230, 2242, 2260, 2280 Si...",₹536,536.0,Verilux,0.0,Unknown,"Card for Key M 2230, 2242, 2260, 2280 Size M.2 SSD, Support PCIe x4 x8 x16",Unknown,scrape2
MSI NVIDIA GeForce RTX 4060 Ti Ventus 2X Black 8G OC 8 ...,"₹1,06,999",106999.0,MSI,8.0,GDDR6,GeForce RTX 4060 Ti Ventus 2X Black 8G OC,Unknown,scrape2
MSI AMD Radeon Radeon RX 6700 XT MECH 2X 12G OC 12 GB G...,"₹76,999",76999.0,MSI,12.0,GDDR6,Radeon RX 6700 XT MECH 2X 12G OC,Unknown,scrape2
ZOTAC NVIDIA GEFORCE RTX 4070 AMP AIRO 12 GB GDDR6X Gra...,"₹63,449",63449.0,ZOTAC,12.0,GDDR6X,GEFORCE RTX 4070 AMP AIRO,Unknown,scrape2
ZOTAC NVIDIA GAMING GEFORE RTX 3050 ECO SOLO 8 GB GDDR6...,"₹20,737",20737.0,ZOTAC,8.0,GDDR6,GAMING GEFORE RTX 3050 ECO SOLO,Unknown,scrape2
MSI NVIDIA RTX 3090 VENTUS 24 GB GDDR6X Graphics Card,"₹2,04,999",204999.0,MSI,24.0,GDDR6X,RTX 3090 VENTUS,Unknown,scrape2
MSI NVIDIA GeForce RTX 4070 SUPER 12G GAMING X SLIM 12 ...,"₹83,999",83999.0,MSI,12.0,GDDR6X,GeForce RTX 4070 SUPER 12G GAMING X SLIM,Unknown,scrape2
MSI NVIDIA RTX 3090 Ti GAMING X TRIO 24G 24 GB GDDR6X G...,"₹2,07,999",207999.0,MSI,24.0,GDDR6X,RTX 3090 Ti GAMING X TRIO 24G,Unknown,scrape2
Sapphire AMD/ATI PULSE AMD RADEON� RX 7800 XT 16 GB GDD...,"₹52,299",52299.0,Sapphire,16.0,GDDR6,PULSE AMD RADEON� RX 7800 XT,Unknown,scrape2
AMD AMD Radeon Sapphire Pulse Radeon™ RX 6800 Graphic C...,"₹99,999",99999.0,AMD,16.0,GDDR6,"Sapphire Pulse Radeon™ RX 6800 Graphic Card with 16 GB GDDR6, RDNA™",Unknown,scrape2
Geforce NVIDIA 3050 8 GB GDDR6 Graphics Card,"₹34,500",34500.0,Geforce,8.0,GDDR6,3050,Unknown,scrape2
"Xsentuals NVIDIA PCI Express Multiplier Riser Card, PCI...","₹1,799",1799.0,Xsentuals,16.0,GDDR4,"PCI Express Multiplier Riser Card, PCIe 1 to 4 PCI-Express 16X Slots Riser Card PCI-E 1X to External 4 USB 3.0 Adapter Multiplier Card PCIe to 4USB for Bitcoin Mining Device",Unknown,scrape2
ZEBRONICS NVIDIA GT730 4 GB DDR3 Graphics Card,"₹2,748",2748.0,ZEBRONICS,4.0,DDR3,GT730,"HDMI, DVI",scrape2
MSI NVIDIA GeForce RTX 4060 Ti VENTUS 2X BLACK 16G OC 1...,"₹49,999",49999.0,MSI,16.0,GDDR6,GeForce RTX 4060 Ti VENTUS 2X BLACK 16G OC,Unknown,scrape2
ZOTAC NVIDIA GAMING GeForce RTX 4070 Twin Edge OC 12 GB...,"₹57,449",57449.0,ZOTAC,12.0,GDDR6X,GAMING GeForce RTX 4070 Twin Edge OC,Unknown,scrape2
Inno3D NVIDIA 3090 x4 4 GB GDDR6X Graphics Card,"₹2,98,900",298900.0,Inno3D,4.0,GDDR6X,3090 x4,Unknown,scrape2
MSI NVIDIA GeForce RTX 4060 Ti VENTUS 2X BLACK 8G OC 8 ...,"₹42,599",42599.0,MSI,8.0,GDDR6,GeForce RTX 4060 Ti VENTUS 2X BLACK 8G OC,Unknown,scrape2
Geforce NVIDIA 3060 12 GB GDDR6X Graphics Card,"₹60,000",60000.0,Geforce,12.0,GDDR6X,3060,Unknown,scrape2
Colorful NVIDIA RTX-3070 Ti 8 GB GDDR6 Graphics Card,"₹64,999",64999.0,Colorful,8.0,GDDR6,RTX-3070 Ti,HDMI,scrape2
AARVEX NVIDIA GT610 1 GB DDR3 Graphics Card,"₹2,790",2790.0,AARVEX,1.0,DDR3,GT610,Unknown,scrape2
AMD AMD Radeon Sapphire Nitro 16 GB GDDR6 Graphics Card,"₹84,999",84999.0,AMD,16.0,GDDR6,Sapphire Nitro,HDMI,scrape2
MSI NVIDIA N730-4GD3V2 4 GB GDDR3 Graphics Card,"₹7,299",7299.0,MSI,4.0,GDDR3,N730-4GD3V2,Unknown,scrape2
ZEBRONICS NVIDIA GT730 4 GB DDR3 Graphics Card,"₹2,748",2748.0,ZEBRONICS,4.0,DDR3,GT730,"HDMI, DVI",scrape2
NexLens AMD/ATI 3D VR Glasses | Virtual Reality Headset...,₹571,571.0,NexLens,2.0,DDR2,"3D VR Glasses | Virtual Reality Headset for Gaming, Movies & Entertainment","HDMI, DVI",scrape2
Xsentuals NVIDIA PCIe Riser for Bitcoin ETH Coin Mining...,"₹3,484",3484.0,Xsentuals,16.0,GDDR4,"PCIe Riser for Bitcoin ETH Coin Mining,VER009S GPU Riser Kits VER009S 6PCS",Unknown,scrape2
NexLens AMD/ATI VR Glasses with Comfort Strap | Virtual...,₹563,563.0,NexLens,2.0,DDR2,VR Glasses with Comfort Strap | Virtual Reality Headset for Gaming & Movies,"HDMI, DVI",scrape2
AMD AMD Radeon Sapphire NITRO+ Radeon™ RX 6800 Graphic ...,"₹1,12,999",112999.0,AMD,16.0,GDDR6,"Sapphire NITRO+ Radeon™ RX 6800 Graphic Card with 16 GB GDDR6, RDNA™ 2",Unknown,scrape2
Tobo NVIDIA VER009S PCIE Riser Express Cable 1X to 16X ...,₹399,399.0,Tobo,2.0,DDR2,"VER009S PCIE Riser Express Cable 1X to 16X (Dual-6pin / MOLEX) with Led Graphics Extension Ethereum ETH Mining Powered PCI-E Riser Adapter Card, with 24inches USB 3.0 Cable (VER009S)",Unknown,scrape2
Xsentuals NVIDIA STC PCIe Riser Adapter VER 009S Plus P...,₹674,674.0,Xsentuals,16.0,GDDR4,STC PCIe Riser Adapter VER 009S Plus PCI-E 16x to 1x 60 cm USB 3.0 Extension Cable and 4 Pin 6 PinB-SATA Power -Ethereum Mining ETH,Unknown,scrape2
MSI NVIDIA GeForce RTX 4070 SUPER 12G GAMING X SLIM MLG...,"₹88,899",88899.0,MSI,12.0,GDDR6,GeForce RTX 4070 SUPER 12G GAMING X SLIM MLG,Unknown,scrape2
Verilux Intel PCI-E PCI Express 3.0 X4 to NVME M.2 NVME...,₹471,471.0,Verilux,1.0,DDR3,PCI-E PCI Express 3.0 X4 to NVME M.2 NVME to NVME SSD PCI-e 3.0 x 4 Host Control,Unknown,scrape2
Electronic Spices AMD Radeon Zotac NTK FD5010U12S DC 12...,₹474,474.0,Electronic Spices,1.0,DDR5,Zotac NTK FD5010U12S DC 12V 0.22AMP graphics fan,Unknown,scrape2
ZEBRONICS NVIDIA GT730 4 GB DDR3 Graphics Card,"₹2,748",2748.0,ZEBRONICS,4.0,DDR3,GT730,"HDMI, DVI",scrape2
Dtech NVIDIA Nvidia GT610 2GB DDR3 2 GB DDR3 Graphics C...,₹556,556.0,Dtech,2.0,DDR3,Nvidia GT610 2GB DDR3,DVI,scrape2
LipiWorld NVIDIA VER011-PRO Riser Card 10 Capacitors PC...,₹604,604.0,LipiWorld,16.0,GDDR4,VER011-PRO Riser Card 10 Capacitors PCI-E 1X to 16X Riser Card,Unknown,scrape2
Piplus NVIDIA VER012 Pro 10 Capacitor Pcie Riser Extens...,"₹1,821",1821.0,Piplus,16.0,GDDR4,VER012 Pro 10 Capacitor Pcie Riser Extension Adapter Card ETH Mining,Unknown,scrape2
Jack and Rex NVIDIA NGFF M.2 M key to USB 3.0 Adapter C...,₹249,249.0,Jack and Rex,1.0,DDR2,NGFF M.2 M key to USB 3.0 Adapter Card Extender M2 to USB3.0 Adapter Converter for PCI-E Riser Card Graphics GPU Mining Miner Package ships in Anti-electrostatic bags to prevent damage.,Unknown,scrape2
"Mebako NVIDIA PCI Express Riser Card V014 Pro, GPU Rise...",₹902,902.0,Mebako,2.0,DDR2,"PCI Express Riser Card V014 Pro, GPU Riser Adapter Card PCIE X1 to X16 Extender",Unknown,scrape2
Electronic Spices AMD Radeon FD5010U12S 12V 0.22AMP for...,₹495,495.0,Electronic Spices,1.0,GDDR5X,FD5010U12S 12V 0.22AMP for hd7350 For Raedon AMD graphic card cooler cooling fan,Unknown,scrape2
LipiWorld NVIDIA (Pack Of 2) VER012-PRO Riser Card 10 C...,"₹1,067",1067.0,LipiWorld,16.0,GDDR4,(Pack Of 2) VER012-PRO Riser Card 10 Capacitors PCI-E 1X to 16X V012 Riser Card,Unknown,scrape2
Mebako NVIDIA Ver018 PCI-E Riser Card 12 Capacitor 60cm...,₹758,758.0,Mebako,2.0,DDR2,Ver018 PCI-E Riser Card 12 Capacitor 60cm USB 3.0 Cable PCI Express 1X to 16X,Unknown,scrape2
Tobo NVIDIA PCI-E 1x to 16x Riser Card PCI-Express 1 to...,"₹2,219",2219.0,Tobo,1.0,DDR2,PCI-E 1x to 16x Riser Card PCI-Express 1 to 4 Slot PCIe USB3.0 Adapter Port,Unknown,scrape2
ZEBRONICS NVIDIA GT730 4 GB DDR3 Graphics Card,"₹2,748",2748.0,ZEBRONICS,4.0,DDR3,GT730,"HDMI, DVI",scrape2
Etzin NVIDIA NVIDIA M.2 to PCI-E X16 Slot Adapter Card(...,₹443,443.0,Etzin,1.0,DDR2,NVIDIA M.2 to PCI-E X16 Slot Adapter Card(EPL-409HS),Unknown,scrape2
Jack and Rex NVIDIA JAR-VER012X PLUS VER012X PLUS / 012...,₹499,499.0,Jack and Rex,1.0,DDR2,JAR-VER012X PLUS VER012X PLUS / 012X / 4 Bigger Capacitor / 16x to 1x Power PCIe Riser Adapter 80cm USB 3.0 Cable,Unknown,scrape2
Inno3D NVIDIA GEFORCE RTX 3060 TI ITWIN X2 LHR 8 GB GDD...,"₹41,499",41499.0,Inno3D,8.0,GDDR6,GEFORCE RTX 3060 TI ITWIN X2 LHR,Unknown,scrape2
MSI NVIDIA GeForce RTX 4070 Ti SUPER 16G VENTUS 2X OC 1...,"₹89,999",89999.0,MSI,16.0,GDDR6,GeForce RTX 4070 Ti SUPER 16G VENTUS 2X OC,Unknown,scrape2
