Title,Price,RAM,CPU,Model,Brand,GPU,Screen Size,Storage,Collection Date
Acer Aspire 3 i3 12th- (8 GB/512 GB /dows 11 Home) A31559 in and Light,368.625,8.0,Core i3,Aspire 3,Acer,Intel Integrated UHD Graphics,39.62 cm (15.6 inch),512.0,2025-02-08
omsonCeleron DualN4020 - (4 GB/128 GB /dows 11 Home) INN15V2C in and Light Lap...,174.875,4.0,Celeron Dual Core,NEO,Thomson,Intel Integrated UHD,39.62 cm (15.6 inch),128.0,2025-02-08
omson NEOSeries i3 12th1215U - (8 GB/256 GB /dows 11 Home) INN15I in ...,312.375,8.0,Core i3,IN-N15I,Thomson,Intel Integrated UHD,39.62 cm (15.6 inch),256.0,2025-02-08
HP 255 G10 (2024) 3 Quad7320U - (8 GB/512 GB /dows 11 Home) 250 G10 in and Lig...,324.9875,8.0,Ryzen 3 Quad Core,255 G10,HP,AMD Radeon AMD RADEON,39.62 cm (15.6 inch),512.0,2025-02-08
ASUS Vivobook 15 i3 12th1215U - (16 GB/512 GB /dows 11 Home) X1502ZAEJ993WS i...,424.875,16.0,Core i3,X1502ZA-EJ993WS,ASUS,Intel Integrated UHD,39.62 cm (15.6 Inch),512.0,2025-02-08
Acer Swift Go 14AIUltra 5 125H - (16 GB/512 GB /dows 11 Home) SFG14...,874.875,16.0,Core Ultra 5,SFG14-73T,Acer,Intel Integrated Arc Graphics,35.56 cm (14 Inch),512.0,2025-02-08
"ASUS Vivobook 15, with Backlit , i3 12th1215U - (8 GB/512 GB /dows 11 Ho...",424.875,8.0,Core i3,Vivobook 15,ASUS,Intel Integrated Integrated Intel® UHD Graphics,39.62 cm (15.6 Inch),512.0,2025-02-08
ASUS Vivobook 15 i3 12th1215U - (16 GB/512 GB /dows 11 Home) X1504ZANJ341WS i...,474.875,16.0,Core i3,X1504ZA-NJ341WS,ASUS,Intel Integrated UHD,39.62 cm (15.6 Inch),512.0,2025-02-08
Lenovo IdeaPad Slim 3 Backlit12th12450H - (16 GB/512 GB /dows 11 Home) 15IAH...,618.7375,16.0,Core i5,15IAH8,Lenovo,Intel Integrated UHD,39.62 cm (15.6 Inch),512.0,2025-02-08
Lenovo IdeaPad Slim 513th13500H - (16 GB/512 GB /dows 11 Home) 16IRL8 in a...,831.125,16.0,Core i5,Slim 5,Lenovo,Intel Integrated Iris Xe,40.64 cm (16 Inch),512.0,2025-02-08
ASUS Vivobook S 15 OLEDEVO HSeries13th13500H - (16 GB/512 GB /dows 1...,937.375,16.0,Core i5,S5504VA-MA541WS,ASUS,Intel Integrated Iris Xe,39.62 cm (15.6 inch),512.0,2025-02-08
ASUS Vivobook 15 i3 12th1215U - (16 GB/512 GB /dows 11 Home) X1504ZANJ342WS i...,474.875,16.0,Core i3,X1504ZA-NJ342WS,ASUS,Intel Integrated UHD,39.62 cm (15.6 Inch),512.0,2025-02-08
DELL Inspiron13th1355U - (16 GB/512 GB /dows 11 Home) 5430,987.375,16.0,Core i7,Inspiron 5430,DELL,Intel Integrated Intel Iris Xe Graphics,35.56 cm (14 inch),512.0,2025-02-08
omson NEOSeries12th1235U - (16 GB/512 GB /dows 11 Home) INN15I in...,374.875,16.0,Core i5,IN-N15I,Thomson,Intel Integrated Iris Xe,39.62 cm (15.6 inch),512.0,2025-02-08
Acer Aspire 3Celeron DualN4500 - (8 GB/512 GB /dows 11 Home) A32445 in and Light...,287.375,8.0,Celeron Dual Core,A324-45,Acer,Intel Integrated UHD,35.56 cm (14 Inch),512.0,2025-02-08
Lenovo IdeaPad 1Celeron DualN4020 - (8 GB/512 GB /dows 11 Home) 14IGL7/ 15IGL7 in...,287.375,8.0,Celeron Dual Core,15IGL7,Lenovo,Intel Integrated UHD,39.62 cm (15.6 Inch),512.0,2025-02-08
Acer Aspire 3 i3 12th- (8 GB/512 GB /dows 11 Home) A31559 in and Light,368.625,8.0,Core i3,Aspire 3,Acer,Intel Integrated UHD Graphics,39.62 cm (15.6 inch),512.0,2025-02-08
SAMSUNG Galaxy Book4 Metal i3 13th1315U - (8 GB/512 GB /dows 11 Home) NP750XGJL...,499.875,8.0,Core i3,NP750XGJ-LG4IN,SAMSUNG,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512.0,2025-02-08
Lenovo 7 Octa7730U - (16 GB/512 GB /dows 11 Home) V15 G4 in and Light,499.9875,16.0,Ryzen 7 Octa Core,V15 G4,Lenovo,AMD Radeon AMD,39.62 cm (15.6 Inch),512.0,2025-02-08
ASUS Vivobook Go 15 OLED 3 Quad7320U - (8 GB/512 GB /dows 11 Home) E1504FALK322...,462.375,8.0,Ryzen 3 Quad Core,E1504FA-LK322WS,ASUS,AMD Radeon AMD,39.62 cm (15.6 Inch),512.0,2025-02-08
HPi3 12th1215U - (8 GB/256 GB /dows 11 Home) 15sfy5010TU in and Light...,393.625,8.0,Core i3,15s-fy5010TU,HP,Intel Integrated UHD,39.62 cm (15.6 inch),256.0,2025-02-08
ASUS TUFF15 - AI Powered 11th11260H - (8 GB/512 GB /dows 11 Ho...,599.875,8.0,Core i5,Gaming F15,ASUS,NVIDIA GeForce RTX 2050,39.62 cm (15.6 Inch),512.0,2025-02-08
Lenovo IdeaPad Slim 513th13500H - (16 GB/512 GB /dows 11 Home) 16IRL8 in a...,831.125,16.0,Core i5,Slim 5,Lenovo,Intel Integrated Iris Xe,40.64 cm (16 Inch),512.0,2025-02-08
omson NEOSeries12th1235U - (8 GB/512 GB /dows 11 Home) INN15I in ...,687.375,8.0,Core i5,IN-N15I,Thomson,Intel Integrated Iris Xe,39.62 cm (15.6 inch),512.0,2025-02-08
Acer Aspire 5 Backlit13th1335U - (16 GB/512 GB /dows 11 Home) A51558M in ...,599.875,16.0,Core i5,A515-58M,Acer,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512.0,2025-02-08
omson NEOSeries i3 12th1215U - (8 GB/512 GB /dows 11 Home) INN15I in ...,324.875,8.0,Core i3,IN-N15I,Thomson,Intel Integrated UHD,39.62 cm (15.6 inch),512.0,2025-02-08
HP 255 G9 3 Dual3250 - (8 GB/512 GB /dows 11 Home) 255 G8 in and Light,312.3625,8.0,Ryzen 3 Dual Core,HP255g9,HP,AMD Radeon Vega 8 Graphics,39.62 cm (15.6 inch),512.0,2025-02-08
Acer Swift Go 14 5 Hexa7430U - (16 GB/512 GB /dows 11 Home) SFG1441R6G9 in a...,487.375,16.0,Ryzen 5 Hexa Core,SFG14-41,Acer,AMD Radeon AMD,35.56 cm (14 Inch),512.0,2025-02-08
DELL Inspiron13th1355U - (16 GB/512 GB /dows 11 Home) 5430,987.375,16.0,Core i7,Inspiron 5430,DELL,Intel Integrated Intel Iris Xe Graphics,35.56 cm (14 inch),512.0,2025-02-08
"DELL Inspiron 15 with Backlit ,13th1355U - (16 GB/512 GB /dows 11 Ho...",859.875,16.0,Core i7,Inspiron 3530,DELL,NA Intel UHD Graphics,39.62 cm (15.6 inch),512.0,2025-02-08
SAMSUNG Galaxy Book413th1355U - (16 GB/512 GB /dows 11 Home) NP750XGJKG3IN ...,805.625,16.0,Core i7,NP750XGJ-KG3IN / NP750XGJ-LG3IN,SAMSUNG,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512.0,2025-02-08
Acer Aspire 3Celeron DualN4500 - (8 GB/512 GB /dows 11 Home) A32445 in and Light...,287.375,8.0,Celeron Dual Core,A324-45,Acer,Intel Integrated UHD,35.56 cm (14 Inch),512.0,2025-02-08
Acer Aspire 3 i3 12th- (8 GB/512 GB /dows 11 Home) A31559 in and Light,368.625,8.0,Core i3,Aspire 3,Acer,Intel Integrated UHD Graphics,39.62 cm (15.6 inch),512.0,2025-02-08
ASUS TUFA15 7 Octa7435HS - (16 GB/512 GB /dows 11 Home/4 GB /NVI...,737.375,16.0,Ryzen 7 Octa Core,Gaming A15,ASUS,NVIDIA GeForce RTX 2050,39.62 cm (15.6 inch),512.0,2025-02-08
SAMSUNG Galaxy Book413th1335U - (8 GB/512 GB /dows 11 Home) NP750XGJKG1IN...,774.875,8.0,Core i5,NP750XGJ-KG1IN / NP750XGJ-LG1IN,SAMSUNG,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512.0,2025-02-08
