Title,Price,Case Size,Battery Capacity,Brand,Model,Operating System,Storage Capacity,Collection Date
Data not available,17.4875,45,,Unknown,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",Android and ios,32,1/29/2025 2:22
"SAMSUNG Galaxy Watch FE, 40mm BT, Sapphire Crystal Disp...",149.9875,40,,Samsung,"Galaxy Watch FE, 40mm BT, Sapphire Crystal Display, Sleep Coach, Fall Detection",Android,16,1/29/2025 2:22
Fastrack Revoltt X2 with 1.91'' BT Calling|Rotating Cro...,14.9875,45,,Fastrack,Revoltt X2 with 1.91'' BT Calling|Rotating Crown|60 Hz Refresh Rate|Fast Charge,Android and ios,32,1/29/2025 2:22
Yash Enterprises PulseWave Smart Band Watch T500 T800 M...,6.1375,45,,Yash Enterprises,PulseWave Smart Band Watch T500 T800 Men BT Call X8 Ultra,Android and ios,32,1/29/2025 2:22
"GameSir Silver T800 Ultra Smartwatch Stainless Steel, B...",9.5,45,,Unknown,"Silver T800 Ultra Smartwatch Stainless Steel, BT Calling, Fitness & Music",Android and ios,512,1/29/2025 2:22
"boAt Storm call 3 w/TBT Navigation,Watch Face Studio,1....",17.4875,45,,Unknown,"Storm call 3 w/TBT Navigation,Watch Face Studio,1.83''(4.6 cm)HD Display,QR Tray",Android and ios,32,1/29/2025 2:22
"boAt Lunar Vista w/ 3.8 cm(1.52"") HD & Always On Displa...",18.7375,45,,Unknown,"Lunar Vista w/ 3.8 cm(1.52"") HD & Always On Display,BT Calling, Functional Crown",Android and ios,32,1/29/2025 2:22
"/, iPhone Samsung",25.99,22,300,IOWODO,Smart Watches,Android Wear,1,1/29/2025 2:22
"Fire-Boltt Rise BT Calling 47mm (1.85), Voice Assistanc...",14.9875,47,,Unknown,"Rise BT Calling 47mm (1.85), Voice Assistance & 123 Sports Single BT Connection",Android and ios,32,1/29/2025 2:22
Fire-Boltt Hunter 51.1mm (2.01) HD Display Buetooth Cal...,17.4875,51.1,,Unknown,"Hunter 51.1mm (2.01) HD Display Buetooth Calling with Single Chipset, Metal Body",Android and ios,32,1/29/2025 2:22
"boAt Wave Fury with 1.83'' HD Display, Bluetooth Callin...",18.7375,45,,Unknown,"Wave Fury with 1.83'' HD Display, Bluetooth Calling & Functional Crown",iOS 9 and Above | Android 6 and Above,32,1/29/2025 2:22
Data not available,14.9875,45,,Unknown,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",Android and ios,32,1/29/2025 2:22
"boAt Lunar Discovery w/ Turn by Turn Navigation, 3.53 c...",18.7375,45,,Unknown,"Lunar Discovery w/ Turn by Turn Navigation, 3.53 cm HD Display & BT Calling",Android and ios,32,1/29/2025 2:22
Fire-Boltt Ninja Talk 35.3mm (1.39) Round Bluetooth Cal...,19.9875,35.3,,Unknown,"Ninja Talk 35.3mm (1.39) Round Bluetooth Calling Metal Body,120 Sports Modes",Android and ios,32,1/29/2025 2:22
"Fire-Boltt 4G Pro Volte Calling- 2.02"" TFT Display, 4G ...",24.9875,45,,Unknown,"4G Pro Volte Calling- 2.02"" TFT Display, 4G Nano-SIM GPS",Android and ios,32,1/29/2025 2:22
"Boult Trail 2.01"" 3D Curved HD Display, Working Crown, ...",17.4875,45,,Unknown,"Trail 2.01"" 3D Curved HD Display, Working Crown, 190+ Watch Faces, Health Track",Android and ios,32,1/29/2025 2:22
"Boult Drift BT Calling 1.69"" HD Display, 140+ Watchface...",17.4875,45,,Unknown,"Drift BT Calling 1.69"" HD Display, 140+ Watchfaces, Complete Health Monitoring",Android and ios,32,1/29/2025 2:22
"Melbon T800 Trending Bluetooth caliing,Game,Fitness, He...",7.875,45,,Unknown,"T800 Trending Bluetooth caliing,Game,Fitness, Health, Ai, NFC Touch screen 1.99""",Android and ios,32,1/29/2025 2:22
Noise Loop 1.85'' Display with Advanced Bluetooth Calli...,17.4875,45,,Unknown,"Loop 1.85'' Display with Advanced Bluetooth Calling, 550 Nits Brightness",Android and ios,32,1/29/2025 2:22
Fastrack Revoltt X-1.83'|Blazing Fast UI|Single Sync BT...,18.1125,45,,Fastrack,Revoltt X-1.83'|Blazing Fast UI|Single Sync BT Calling|Calculator|In-built games,Android and ios,32,1/29/2025 2:22
"boAt Wave Fury with 1.83'' HD Display, Bluetooth Callin...",17.4875,45,,Unknown,"Wave Fury with 1.83'' HD Display, Bluetooth Calling & Functional Crown",Android and ios,32,1/29/2025 2:22
Data not available,17.4875,45,,Unknown,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",Android and ios,32,1/29/2025 2:23
"Boult Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brigh...",13.7375,45,,Unknown,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",Android and ios,32,1/29/2025 2:23
Fastrack Revoltt FS1-1.83''|BT Calling|Fast Charge|110+...,14.3625,45,,Fastrack,Revoltt FS1-1.83''|BT Calling|Fast Charge|110+ Sports Mode|200+ WatchFaces|IP68,Android and ios,32,1/29/2025 2:23
HLMT Teenagers LED Luxurious Fashion Silicone Digital W...,3.0625,45,,Unknown,Teenagers LED Luxurious Fashion Silicone Digital Watch (Not smart watch),Android and ios,32,1/29/2025 2:23
