Title,Price,Brand,Memory Size,Memory Type,Chipset/GPU Model,Connectors
AMD GeForce GT 1030,219.4,AMD,8.0,GDDR5,GeForce GT 1030,DisplayPort; DVI; HDMI
AMD GeForce GT 1030,198.3,AMD,8.0,GDDR5,GeForce GT 1030,DisplayPort; DVI; HDMI
AMD GeForce GT 1030,198.3,AMD,8.0,GDDR5,GeForce GT 1030,DisplayPort; DVI; HDMI
AMD GeForce GT 1030,89.0,AMD,4.0,GDDR5,GeForce GT 1030,DisplayPort; DVI; HDMI
AMD amd rx 550 outperforms gt 1030 by 25 4k,108.1,AMD,4.0,GDDR5,GeForce GT 1030,HDMI
AMD amd rx 550 outperforms gt 1030 by 25 4k,108.1,AMD,4.0,GDDR5,GeForce GT 1030,HDMI
YESTON gaming graphicsfit for yeston gt1030 ddr4 64bit pci,436.9,YESTON,4.0,GDDR5,GeForce GT 1030,VGA; DVI; HDMI
EVGA evga geforce gtx titan z gaming fastest nvidia 12gp43990kr,1234.0,EVGA,12.0,GDDR5,GeForce GT 1030,VGA; DVI; HDMI
EVGA GeForce GT 1030,195.9,EVGA,8.0,GDDR5,GeForce GT 1030,VGA; DVI; HDMI
EVGA GeForce GT 1030,481.4,EVGA,4.0,GDDR5,GeForce GT 1030,VGA; DVI; HDMI
GeForce GT 1030,128.6,EVGA,4.0,GDDR5,GeForce GT 1030,HDMI
EVGA GeForce GT 1030,201.8,EVGA,8.0,GDDR5,GeForce GT 1030,DisplayPort; HDMI
EVGA GeForce GT 1030,112.2,EVGA,8.0,GDDR5,GeForce GT 1030,DisplayPort
‎ZJchao GeForce GT 1030,318.6,‎ZJchao,8.0,GDDR5,GeForce GT 1030,VGA
‎ZJchao GeForce GT 1030,94.2,‎ZJchao,2.0,GDDR5,GeForce GT 1030,VGA
‎ZJchao GeForce GT 1030,73.9,‎ZJchao,2.0,GDDR5,GeForce GT 1030,VGA; DVI; HDMI
AMD amd rx 5500 xt 8 gb as as rx 6500xt 13x gtx 1650 pci,222.9,AMD,8.0,GDDR6,GeForce GT 1030,VGA; DVI; HDMI
AMD GeForce GT 1030,75.4,AMD,1.0,GDDR6,GeForce GT 1030,VGA; DVI; HDMI
AMD GeForce GT 1030,52.4,AMD,1.0,GDDR6,GeForce GT 1030,VGA; DVI; HDMI
AMD GeForce GT 1030,90.8,AMD,2.0,GDDR6,GeForce GT 1030,VGA; DVI; HDMI
AMD GeForce GT 1030,75.6,AMD,4.0,GDDR6,GeForce GT 1030,VGA; DVI; HDMI
AMD GeForce GT 1030,55.2,AMD,2.0,GDDR6,GeForce GT 1030,VGA; DVI; HDMI
AMD GeForce GT 1030,1013108.1,AMD,4.0,GDDR6,GeForce GT 1030,DisplayPort; HDMI
AMD NVIDIA,98.2,AMD,4.0,GDDR5,NVIDIA,VGA
AMD NVIDIA,195.8,AMD,8.0,GDDR5,NVIDIA,VGA
AMD AMD Radeon RX 5600,236.6,AMD,6.0,GDDR6,AMD Radeon RX 5600,VGA
AMD AMD Radeon RX 5600,1013108.1,AMD,4.0,GDDR6,AMD Radeon RX 5600,VGA
AMD AMD Radeon RX 5600,126.9,AMD,4.0,GDDR5,AMD Radeon RX 5600,HDMI
AMD AMD Radeon RX 5600,51.0,AMD,2.0,GDDR5,AMD Radeon RX 5600,HDMI
AMD AMD Radeon RX 5600,355.3,AMD,6.0,GDDR5,AMD Radeon RX 5600,HDMI
ZOTAC GeForce RTX 4070,1644.0,ZOTAC,12.0,GDDR6,GeForce RTX 4070,HDMI
GeForce RTX 4060,555.2,ZOTAC,11.0,GDDR5,GeForce RTX 4060,HDMI
GeForce GT220 1,56.3,ZOTAC,11.0,GDDR5,GeForce GT220 1,HDMI
ZOTAC GeForce GT220 1,402.7,ZOTAC,11.0,GDDR5,GeForce GT220 1,HDMI
ZOTAC GeForce GT220 1,196.3,ZOTAC,11.0,GDDR5,GeForce GT220 1,HDMI
EVGA GeForce GTX 1080,80501030.4,EVGA,12.0,GDDR5,GeForce GTX 1080,3 x DisplayPort 1.4a: 8K @ 60Hz; HDMI 2.1a: 8K @ 60 Hz
NVIDIA kaer nvidia geforce gtx1060 gaming 16 20 3g memory 192,169.6,NVIDIA,12.0,GDDR5,GeForce GTX 1080,3 x DisplayPort 1.4a: 8K @ 60Hz; HDMI 2.1a: 8K @ 60 Hz
NVIDIA AMD,49.0,NVIDIA,2.0,GDDR5,AMD,VGA; DVI; HDMI
NVIDIA AMD,57.8,NVIDIA,2.0,GDDR5,AMD,VGA; DVI; HDMI
ZOTAC zotac gaming geforce rtx 4070 twin edge dlss 3 192bit 21 gbps,1016.8,ZOTAC,12.0,GDDR6,AMD,VGA; DVI; HDMI
ZOTAC GeForce RTX 4070,978.9,ZOTAC,12.0,GDDR6,GeForce RTX 4070,DisplayPort; DVI
ZOTAC GeForce RTX 4070,679.3,ZOTAC,1.0,GDDR6,GeForce RTX 4070,DisplayPort; DVI
ZOTAC GeForce RTX 4070,82.0,ZOTAC,4.0,GDDR6,GeForce RTX 4070,DisplayPort; DVI
ZOTAC GeForce RTX 4070,55.0,ZOTAC,1.0,GDDR6,GeForce RTX 4070,DisplayPort; DVI; HDMI
