Title,Price,Brand,Memory Size,Memory Type,Chipset/GPU Model,Connectors,Collection Date
rx 580 256bit gaming 8k 7000mhz 16 pci 30,219.4,AMD,8,GDDR5,GeForce GT 1030,DisplayPort; DVI; HDMI,1/29/2025 22:26
rx 580 256bit pci 30 x 16 fan,198.3,AMD,8,GDDR5,GeForce GT 1030,DisplayPort; DVI; HDMI,1/29/2025 22:26
rx 580 256bit gaming cards for pc pci,198.3,AMD,8,GDDR5,GeForce GT 1030,DisplayPort; DVI; HDMI,1/29/2025 22:26
computer cards hd6770 128bit ddr5 display port pc gaming,89,AMD,4,GDDR5,GeForce GT 1030,DisplayPort; DVI; HDMI,1/29/2025 22:26
AMD amd rx 550 outperforms gt 1030 by 25 4k,108.1,AMD,4,GDDR5,GeForce GT 1030,HDMI,1/29/2025 22:26
AMD amd rx 550 outperforms gt 1030 by 25 4k,108.1,AMD,4,GDDR5,GeForce GT 1030,HDMI,1/29/2025 22:26
YESTON gaming graphicsfit for yeston gt1030 ddr4 64bit pci,436.9,YESTON,4,GDDR5,GeForce GT 1030,VGA; DVI; HDMI,1/29/2025 22:26
EVGA evga geforce gtx titan z gaming fastest nvidia 12gp43990kr,1234,EVGA,12,GDDR5,GeForce GT 1030,VGA; DVI; HDMI,1/29/2025 22:26
rx 580 gaming 256bit gaming with,195.9,EVGA,8,GDDR5,GeForce GT 1030,VGA; DVI; HDMI,1/29/2025 22:26
gaming graphicsfit for yeston gt1030 64bit ddr4 gp108 pci,481.4,EVGA,4,GDDR5,GeForce GT 1030,VGA; DVI; HDMI,1/29/2025 22:26
GeForce GT 1030,128.6,EVGA,4,GDDR5,GeForce GT 1030,HDMI,1/29/2025 22:26
rx 580 gaming cards 256bit rx 580,201.8,EVGA,8,GDDR5,GeForce GT 1030,DisplayPort; HDMI,1/29/2025 22:26
cheap 24 15 6 128bit ddr5 700mhz,112.2,EVGA,8,GDDR5,GeForce GT 1030,DisplayPort,1/29/2025 22:26
‎ZJchao,318.6,‎ZJchao,8,GDDR5,GeForce GT 1030,VGA,1/29/2025 22:26
‎ZJchao,94.2,‎ZJchao,2,GDDR5,GeForce GT 1030,VGA,1/29/2025 22:26
hd7670 cards 128bit 1000mhz gaming,73.9,‎ZJchao,2,GDDR5,GeForce GT 1030,VGA; DVI; HDMI,1/29/2025 22:26
AMD amd rx 5500 xt 8 gb as as rx 6500xt 13x gtx 1650 pci,222.9,AMD,8,GDDR6,GeForce GT 1030,VGA; DVI; HDMI,1/29/2025 22:26
game hd7670 128bit ddr5 gaming display,75.4,AMD,1,GDDR6,GeForce GT 1030,VGA; DVI; HDMI,1/29/2025 22:26
gt610 for office ddr3 computer with,52.4,AMD,1,GDDR6,GeForce GT 1030,VGA; DVI; HDMI,1/29/2025 22:26
hd6450 64bit 3600mhz ddr3 4k upgrade,90.8,AMD,2,GDDR6,GeForce GT 1030,VGA; DVI; HDMI,1/29/2025 22:26
tbest desktop desktop computer network accessories,75.6,AMD,4,GDDR6,GeForce GT 1030,VGA; DVI; HDMI,1/29/2025 22:27
gt610 computer ddr3 64bit pci x16 gaming,55.2,AMD,2,GDDR6,GeForce GT 1030,VGA; DVI; HDMI,1/29/2025 22:27
gt 730 computer low profile 128bit gddr3 x16,1013108.1,AMD,4,GDDR6,GeForce GT 1030,DisplayPort; HDMI,1/29/2025 22:26
NVIDIA,98.2,AMD,4,GDDR5,NVIDIA,VGA,1/29/2025 22:26
NVIDIA,195.8,AMD,8,GDDR5,NVIDIA,VGA,1/29/2025 22:26
AMD AMD Radeon RX 5600,236.6,AMD,6,GDDR6,AMD Radeon RX 5600,VGA,1/29/2025 22:27
gt 730 computer low profile 128bit gddr3 x16,1013108.1,AMD,4,GDDR6,AMD Radeon RX 5600,VGA,1/29/2025 22:27
cuifati 6g gtx550ti gaming 192bit 3400mhz,126.9,AMD,4,GDDR5,AMD Radeon RX 5600,HDMI,1/29/2025 22:26
jectse gt610 64bit game pci 11 x 16,51,AMD,2,GDDR5,AMD Radeon RX 5600,HDMI,1/29/2025 22:26
gtx 1660s 6gb gdrr6 192bit pciex16 30 computer gaming,355.3,AMD,6,GDDR5,AMD Radeon RX 5600,HDMI,1/29/2025 22:26
ZOTAC GeForce RTX 4070,1644,ZOTAC,12,GDDR6,GeForce RTX 4070,HDMI,1/29/2025 22:26
GeForce RTX 4060,555.2,ZOTAC,11,GDDR5,GeForce RTX 4060,HDMI,1/29/2025 22:26
GeForce GT220 1,56.3,ZOTAC,11,GDDR5,GeForce GT220 1,HDMI,1/29/2025 22:26
gaming graphicsfit for yeston gt1030 64bit ddr4 gp108 pci,402.7,ZOTAC,11,GDDR5,GeForce GT220 1,HDMI,1/29/2025 22:26
rx 580 256bit gaming with cooling fans 16,196.3,ZOTAC,11,GDDR5,GeForce GT220 1,HDMI,1/29/2025 22:26
EVGA GeForce GTX 1080,80501030.4,EVGA,12,GDDR5,GeForce GTX 1080,3 x DisplayPort 1.4a: 8K @ 60Hz; HDMI 2.1a: 8K @ 60 Hz,1/29/2025 22:26
NVIDIA kaer nvidia geforce gtx1060 gaming 16 20 3g memory 192,169.6,NVIDIA,12,GDDR5,GeForce GTX 1080,3 x DisplayPort 1.4a: 8K @ 60Hz; HDMI 2.1a: 8K @ 60 Hz,1/29/2025 22:26
AMD,49,NVIDIA,2,GDDR5,AMD,VGA; DVI; HDMI,1/29/2025 22:26
