Title,Price,RAM,CPU,Model,Brand,GPU,Screen Size,Storage
"HP est HD DisplayAthlon3050Uup to ,Beat ...",687.5,32.0,Core i7,HP,HP,nvidia geforce rtx 4060,14.0,4096.0
2022 est HP HD DisplayComputerthi315G4Up to ...,524.9,32.0,Core i7,2022,HP,nvidia geforce rtx 4060,14.0,4096.0
HP Pavilion 14 1920x1080 IPS| 5825U 8 |Radeon ...,1275.0,,Core i7,Pavilion,HP,intel graphics,16.0,2048.0
Lenovo IdeaPad 5i School & Business 2in 16.0 IPS ...,1139.7,,Core i7,IdeaPad,Lenovo,intel graphics,16.0,2048.0
EXCaliberPC [2024MSI Stealth 14Studio A13VF250USExtreme ...,2970.7,,Core i7,EXCaliberPC,MSI,intel graphics,16.0,2048.0
Lenovo inkPad X1 Carbon 20QES8X60014Full HD 8265U...,1425.3,,,ThinkPad,Lenovo,,,
Lenovo IdeaPad 5i School & Business 2in 16.0 IPS ...,1303.7,,,IdeaPad,Lenovo,,,
Dell 2024 Inspiron 15 Students and BusinessLifetime Microsoft Office ...,769.5,,,Dell,Dell,,,
HP Pavilion |8| |Storage ...,783.1,64.0,Core i7,Pavilion,HP,intel uhd graphics,14.0,4096.0
Alienware m16 R2 16.0240Hz WQXGAUltra 7155H 16...,2998.1,64.0,Core i7,Alienware,Alienware,intel uhd graphics,14.0,4096.0
HP est Pavilion12thcessor ...,1070.1,64.0,Core i7,Pavilion,HP,intel uhd graphics,14.0,4096.0
ASUS ROG Strix G1616Nebula Display QHD 240 Hz 24 ...,3244.0,64.0,Core i7,ROG,ASUS,intel uhd graphics,14.0,4096.0
acer Nitro | 13620H |4050 |IPS 144Hz |DDR5 ...,1359.1,4.0,Celeron N,acer,Acer,intel uhd graphics,14.0,128.0
Lenovo inkPad L14 Home and Business 10510U 4...,3421.6,,,ThinkPad,Lenovo,,,
acer Nitro | 13620H |4050 |IPS 144Hz |DDR5 ...,1381.6,,,acer,Acer,,,
HPfor Student Business Computer14HD Display Quad N4120...,442.9,20.0,Core i7,HP,HP,geforce rtx 4070,16.0,512.0
HP 14 Lightweight Business and Student14HD AntiGlareCeleron ...,318.6,20.0,Core i7,HP,HP,geforce rtx 4070,16.0,512.0
HP 14HD| QuadCeleron N4120 cessor | ...,333.6,20.0,Core i7,HP,HP,geforce rtx 4070,16.0,512.0
ASUS ROG Zephyrus G16 16.0165Hz OLED WUXGA Display13620H...,2485.7,96.0,Intel Core i7,ROG,ASUS,nvidia,17.0,8192.0
HIDevolution [2024MSI Summit A16 AIA3HMTG [16QHD165Hz Touch ...,2696.1,96.0,Intel Core i7,HIDevolution,MSI,nvidia,17.0,8192.0
HIDevolution [2024MSI CreatorPro 16 AI Studio A1VMG 16120Hz Ultra ...,4581.7,96.0,Intel Core i7,HIDevolution,MSI,nvidia,17.0,8192.0
"HIDevolution [2024MSI Prestige 16 AI Evo B1MG [16QHD+,Ultra ...",2491.1,96.0,Intel Core i7,HIDevolution,MSI,nvidia,17.0,8192.0
HIDevolution [2024MSI Vector 16 HX A14VFG 16QHD240Hz 14900HX ...,3529.6,8.0,Core i5,HIDevolution,MSI,intel uhd graphics integrated,14.0,512.0
HP Envy x360 Convertible 15t Home and Business2in 35G7 ...,1357.0,8.0,Core i5,HP,HP,intel uhd graphics integrated,14.0,512.0
HIDevolution [2024MSI CreatorPro Z17 HX Studio A13VKT 17QHD165Hz Touch4....,6098.4,8.0,Core i5,HIDevolution,MSI,intel uhd graphics integrated,14.0,512.0
ASUS ROG Strix G16 16240Hz 14900HX24 sNVIDIA GeForce ...,3420.3,8.0,Core i5,ROG,ASUS,intel uhd graphics integrated,14.0,512.0
Lenovo inkPad P120Y30036US 16Mobile WorkstationWQUXGA3840 2400...,2653.4,32.0,Core i9,ThinkPad,Lenovo,nvidia geforce rtx 4080,18.0,1024.0
