Title,Price,Screen_Size_in,Aspect_Ratio,Refresh_Rate_Hz,Brand,Model
Monitor Full 1080p Computer Monitor with VGA HDMI Ports ...,128.6,27.0,16:9,,Adpop,BM27TM-ADPOP
Monitor Full 1080p Computer Monitor with VGA HDMI Ports ...,128.6,27.0,16:9,,Adpop,BM27TM-ADPOP
Monitor Computer Screen 1080P PC Monitor 5msGTG 99 sRGB Low ...,106.7,15.6,16:9,,Showscren,Computer Monitor
Monitor 1080p Home Office PC Monitor Panel ...,128.6,15.6,16:9,,Showscren,Computer Monitor
PC Monitor 1080P Screen 1800R ...,183.3,15.6,16:9,,Showscren,Computer Monitor
PC Monitor Touchscreen Portable Monitor 100 sRGB ...,142.0,15.6,16:9,,Showscren,Computer Monitor
KOORUI Monitor Computer Monitor 1080P PC Monitor Panel 30001 ...,101.3,22.0,16:9,,Sansui,EEMONITORIPS1K75HZ22V4
Dell Monitor P2722H Full 1080p Computer Monitor Anti Glare 169 ...,373.2,22.0,16:9,,Sansui,EEMONITORIPS1K75HZ22V4
STGAubron Gaming Computer Monitor 1920 x 1080P Office PC LED Display ...,142.3,22.0,16:9,,Sansui,EEMONITORIPS1K75HZ22V4
LYMAX Computer Monitor Led Lights PC Monitor LED Bar Eye Caring Monitor Led Lights ...,54.8,22.0,16:9,,Sansui,EEMONITORIPS1K75HZ22V4
Computer Monitor1440P LED Monitor Display with ...,195.6,23.8,16:9,,Crua,CR240CM
CRUA 24 Monitor FHD1920 1080P 99 sRGB Color Gamut Computer ...,114.9,23.8,16:9,,Crua,CR240CM
SANSUI Computer Monitor Monitor 1080P PC Monitor Monitors ...,99.9,23.8,16:9,,Crua,CR240CM
Touchscreen Portable Monitor Small PC Monitor with HDMI USB C ...,142.3,23.8,16:9,,Crua,CR240CM
Touchscreen Monitor 2K PC Monitor ...,442.9,27.0,16:9,,Luckyfive,M-27LKF1Q165
Touchscreen Monitor Full 1920x1080P 10-Point Multi Touch Screen PC ...,251.6,27.0,16:9,,Luckyfive,M-27LKF1Q165
Touchscreen Monitor Full 1920x1080P 10-Point Multi Touch Screen PC ...,251.6,27.0,16:9,,Luckyfive,M-27LKF1Q165
Touchscreen Monitor Full 1920x1080P 10-Point Multi Touch Screen PC ...,251.6,27.0,16:9,,Luckyfive,M-27LKF1Q165
Dell Monitor P2422H Full 1080p Computer Monitor Anti Glare 169 ...,313.1,32.0,16:9,,Gawfolk,GF320E
Computer Monitor1440P LED Monitor Display with ...,195.6,32.0,16:9,,Gawfolk,GF320E
CRUA Monitor FHD1920 1080P 99 sRGB Computer Monitors Narrow ...,127.7,32.0,16:9,,Gawfolk,GF320E
KOORUI 24-inch Computer Monitor Full 1920 x 1080p Display 30001 Contrast ...,155.9,32.0,16:9,,Gawfolk,GF320E
Monitor Computer Monitor 2560 x 1440 2K 1500R Computer Monitors ...,224.3,32.0,16:9,,Gawfolk,GF320E
PC 2K Built-in Speakers ...,155.9,23.8,16:9,,Prechen,HD-238
Fast 1080P Computer Monitor Adaptive ...,142.3,23.8,16:9,,Prechen,HD-238
20 PC Monitor 169 Kitchen Monitor LED Monitor Build in Speaker 60 ...,134.0,23.8,16:9,,Prechen,HD-238
14 Stretched Bar Touch Screen Display Monitor for Laptop ...,347.2,23.8,16:9,,Prechen,HD-238
ZZA Computer Monitor ...,196.9,27.0,16:9,,Grebear,BM27QY
KOORUI Monitor Computer Monitor 1080P PC Monitor Panel 30001 ...,101.3,27.0,16:9,,Grebear,BM27QY
Computer Monitor1440P LED Monitor Display with ...,195.6,27.0,16:9,,Grebear,BM27QY
2K Computer Monitor Professional PC Monitors 2560 x 1440p ...,224.3,27.0,16:9,,Grebear,BM27QY
LYMAX Computer Monitor Led Lights with Remote PC LED Bar Eye Caring Adjustable Desk ...,54.8,32.0,16:9,,Jlink,B32FP1K
Computer Monitor Monitor 1920x1080P 104 sRGB Display wHDMI VGA ...,237.9,32.0,16:9,,Jlink,B32FP1K
Pink Computer Monitor 1440p Supports Kawaii ...,333.6,32.0,16:9,,Jlink,C32QP1K
Portable Monitor 10.5 1920x1280P Ultra-Slim Mini Monitor 32Standard HDMI ...,142.3,24.0,16:9,,Ktc,H24V27
SANSUI Monitor PC Monitor Computer Monitor 1080p Display Port ...,157.4,24.0,16:9,,Ktc,H24V27
CRUA 30-inch 219 WFHD2560X1080P Computer Monitor ...,237.9,24.0,16:9,,Ktc,H24V27
PC Monitor Screen Desktop Monitor with HDMI VGA BNC AV Ports ...,109.4,27.0,16:9,,Crua,CR270BM
KOORUI Monitor Full 1080P Computer Monitor Display HDMI ...,150.5,27.0,16:9,,Crua,CR270BM
ZZA Computer Monitor ...,213.3,27.0,16:9,,Crua,CR270BM
PC Monitor Desktop Display with HDMI VGA Ports VESA ...,101.2,27.0,16:9,,Crua,CR270BM
Monitor Stand for Desk Riser with RGB Light Foldable Computer ...,46.6,34.0,21:09,,Xundefined,XU34PRO
Dell Monitor 169 with Comfortview TUV-Certified 27 Computer Monitors ...,349.9,34.0,21:09,,Xundefined,XU34PRO
MOUNT PRO Single Monitor Stand Fits Max Computer Screen Free-Standing ...,39.8,34.0,21:09,,Xundefined,XU34PRO
KOORUI Computer Monitor 1920 x 1080p Built-in Speakers ...,129.7,24.0,16:9,,Hp,E24 G5
Dell 27 Monitor - Refresh Rate 15001 Contrast Ratio T V Rheinland Eye ...,333.6,24.0,16:9,,Hp,E24 G5
20 PC Monitor 169 Kitchen Monitor LED Monitor Build in Speaker 60 ...,134.0,24.0,16:9,,Hp,E24 G5
ZZA Computer Monitor ...,196.9,24.0,16:9,,Hp,E24 G5
KOORUI Computer Monitor 1920 x 1080p Built-in Speakers ...,169.6,27.0,16:9,,Wstirhy,Unknown
Gaming Computer Monitor Height ...,196.9,27.0,16:9,,Wstirhy,Unknown
KOORUI Computer Monitor 1920 x 1080p Built-in Speakers ...,169.6,27.0,16:9,,Wstirhy,Unknown
Monitor Z-Edge Computer Monitor Full 1920 x 1080p Display PC ...,142.3,27.0,16:9,,Wstirhy,Unknown
27-Inch 1080p 1920 x 1080 Monitor 169 Panel 99 sRGB HDMI VGA ...,142.2,27.0,16:9,,Wstirhy,Unknown
ZZA Computer Monitor ...,196.9,21.5,16:9,,Westinghouse,WH22FA9420
ZZA Computer Monitor ...,196.9,21.5,16:9,,Westinghouse,WH22FA9420
CRUA 30 Computer Monitor WFHD2560 1080P ...,237.9,21.5,16:9,,Westinghouse,WH22FA9420
KTC Computer Monitor 2K 13001 Contrast Anti-Blue Light ...,169.6,27.0,16:9,,Lg,27MP450
PC 2K Built-in Speakers ...,142.3,27.0,16:9,,Lg,27MP450
Westinghouse Computer Monitor 1080p Full Display Adaptive ...,114.9,27.0,16:9,,Lg,27MP450
19 PC Monitor Office Monitor HDMI VGA LED Desktop Display Dual ...,101.3,27.0,16:9,,Hp,Series 5 527sh
Monitor 2K 1500R 25601440p Gaming Computer Monitor 169 ...,228.0,24.0,16:9,,Lg,24MP400-B
Monitor 2K 1500R 25601440p Gaming Computer Monitor 169 ...,228.0,24.0,16:9,,Lg,24MP400-B
