Title,Price,Case Size,Battery Capacity,Brand,Model,Operating System,Storage Capacity
"Smart Watch for Men Women Answer/Make Calls, Sports Fitness with 100 Sports, Alexa ...",87.6,1.83,400.0,,,Android,128.0
"Smartwatch for Men Women with Bluetooth Call 1.43"" AMOLED screen Round Smart Watch ...",24833.0,1.43,400.0,,,Android,128.0
"Smartwatch for Men Women with Bluetooth Call 1.43"" AMOLED screen Round Smart Watch ...",24833.0,1.43,400.0,,,Android,128.0
"Smart Watch Men with Metal Bezel, Answer Make Call/Heart Rate/Step Counter/Sleep ...",38.4,1.83,400.0,,,Android,128.0
Smart Watch for Men Fitness TrackerAnswer/Dial Call Bluetooth Call 1.39''HD ...,97.1,1.83,2.0,,,Android,128.0
"Smart Watch for MenAnswer/Make Call,Alexa Built-in,1.8""Fitness Tracker with Heart ...",112.2,1.8,2.0,,,Android,128.0
"Smart Watches for Men Women,Built-in Alexa, Fitness Watch with Blood Oxygen/Heart ...",28.9,1.83,2.0,,,Android,128.0
"Smart Watch for MenAnswer/Make Call,Alexa Built-in,1.8""Fitness Tracker with Heart ...",112.2,1.8,2.0,,,Android,128.0
"Smartwatch, Built-in Alexa, GPS, VO2 Max, HRV, Blood Oxygen, Sleep Monitoring, ...",141.6,1.83,280.0,,,Android/iOS,128.0
"Smart Watch, Built-in Alexa, GPS, VO2 Max, HRV, SpO2 Sleep Monitoring, Noise ...",141.6,1.83,280.0,,,Android/iOS,128.0
"Smartwatch for Men Women with Bluetooth Call 1.43"" AMOLED Screen Round Smart Watch ...",54887.6,1.43,280.0,,,Android/iOS,128.0
Smartwatch for Men Android iPhone Watch Smart Watch Answer/Make Call with Heart ...,60382.2,1.83,280.0,,,Android/iOS,128.0
"Smart WatchAnswer/Make Call, 1.96"" Smart Watch for Men Women IP68 Waterproof, ...",30.2,1.96,350.0,,,Android/iOS,128.0
"WalkerFit Men Smart Watches - Round Smart Watch Make/Answer, Waterproof Fitness ...",66.9,1.83,350.0,WalkerFit,,Android/iOS,128.0
"Smart Watch Answer/Make Calls, Ultra Thin 1.43  AMOLED Smart Watches for Men Women, ...",33.0,1.83,350.0,,,Android/iOS,128.0
"Smart Watch for Men Women with 2.1"" HD Screen Military Watches, Call & Text for ...",32845.0,2.1,350.0,,,Android/iOS,128.0
"Smart Watches for Men, 2.02 Inches Sports Fitness Watch with Bluetooth Call, ...",34347.8,1.83,230.0,,,,128.0
"Smart Watch for Men Answer/Make Call for Android iOS, Military Smartwatch Heart ...",60387.6,1.83,2.0,,,Android,128.0
"Smart Watch for Men & Women - Android Phones, Make/Answer Calls, Messaging, Voice ...",60364.3,1.83,2.0,,,Android,128.0
"Smart Watch for Men & Women - Android Phones, Make/Answer Calls, Messaging, Voice ...",60364.3,1.83,2.0,,,Android,128.0
Smartwatch for Men Android iPhone Watch Smart Watch Answer/Make Call with Heart ...,60.3,1.83,2.0,,,Android,128.0
Smartwatch for Men Android iPhone Watch Smart Watch Answer/Make Call with Heart ...,60374.0,1.83,230.0,,,,128.0
"Smart Watch Answer/Make Call, 1.96"" HD Smartwatch for Women, 2025 Fitness Watch ...",1423224.3,1.96,230.0,,,,128.0
Smart Watch for Women Men with Heart Rate Monitor Blood Pressure Blood Oxygen ...,37.1,1.83,230.0,,,,128.0
Smartwatch for Men Android iPhone Watch Smart Watch Answer/Make Call with Heart ...,60374.0,1.83,230.0,,,,128.0
"Smart Watch for Android iOS Phones, HD Display Smartwatch for Women Men Built-in ...",87.6,1.83,230.0,,,,128.0
"Smart Watch for Men Women Answer/Make Calls,1.83"" HD IP68 Waterproof Fitness Watch ...",33.0,1.83,230.0,,,Android/iOS,128.0
"Smart Watch for Women,Fitness WatchAnswer/Make Call,Alexa Built-in, [24H Heart Rate ...",114.9,1.83,230.0,,,,128.0
"Smart Watches for Men Women with Bluetooth Call, Activity Fitness Tracker 1.96"" HD ...",123.1,1.96,230.0,,,,128.0
1.39''HD Smart Watch for Men Fitness TrackerAnswer/Dial CallBluetooth Call Military ...,1054114.8,1.83,230.0,,,,128.0
"Smart Watches for WomenAnswer/Make Calls with Diamonds, 1.3  HD Bluetooth Smart ...",876114.9,1.83,230.0,,,,128.0
"Smart Watch,Fitness Tracker Watches for Men Women, IP67 Waterproof HD Touch Screen ...",46654.8,1.83,250.0,,,Android,128.0
"Smart Watch,Fitness Tracker Watches for Men Women, IP67 Waterproof HD Touch Screen ...",46654.8,1.83,250.0,,,Android,128.0
"Smart Watch for Men Answer/Make Call for Android iOS, Military Smartwatch Heart ...",46687.6,1.83,250.0,,,Android,128.0
"Smart Watch for Men Women Fitness 1.9"" Bluetooth Call Smartwatch for Smart Phone ...",46674.0,1.9,230.0,,,Android,128.0
"Smart Watch Answer/Make Calls, Ultra Thin 1.43  AMOLED Smart Watches for Men Women, ...",19.3,1.83,230.0,,,Android,128.0
"2 Packs Smart Watch for Women and Men with Alexa, Bluetooth Call & Receive Text, ...",100.9,1.83,230.0,,,Android,128.0
Smartwatch for Men Fitness Tracker Watch Smart Watch with Answer/Make Call Heart ...,87.6,1.83,230.0,,,Android,128.0
"Smart Watches for Men- Answer/Dial Calls,Waterproof Fitness Watch 150+ Sport Modes ...",53.5,1.83,230.0,,,,128.0
"Smart Watch Smartwatch 1.85"" Large Display, Fitness Call Music Password Lock Screen ...",27.5,1.85,2.0,,,Android/iOS,128.0
"Smartwatch for Men Fitness Watch - 1.43"" Amoled Touchscreen Smart Watch Answer/Make ...",101.3,1.43,2.0,,,Android/iOS,128.0
"Smart Watch Answer/Make Call & Alexa with 1.38'' Round Rotating Crown, Fitness ...",33.0,1.83,2.0,,,Android/iOS,128.0
"MIDDOW Men's Smart Watch with Earbuds Make/Answer Calls, Fitness Tracker and Sleep ...",1149179.2,1.83,230.0,,,,128.0
"Smart Watch for Men WomenAnswer/Make Call, Smartwatches with Heart ...",74.0,1.83,350.0,,,Android/iOS,128.0
