Title,Price,Case Size,Battery Capacity,Brand,Model,Operating System,Storage Capacity
"Smart Watch for Men Women Answer/Make Calls, Sports Fitness with 100 Sports, Alexa ...",876.0,1.39'',400000.0,,,Android/Ios,128MB
"Smartwatch for Men Women with Bluetooth Call 1.43"" AMOLED screen Round Smart Watch ...",248.0,1.39'',400000.0,,,Android/Ios,128MB
"Smart Watch Men with Metal Bezel, Answer Make Call/Heart Rate/Step Counter/Sleep ...",384.0,1.39'',400000.0,,,Android/Ios,128MB
Smart Watch for Men Fitness TrackerAnswer/Dial Call Bluetooth Call 1.39''HD ...,971.0,1.43'',450000.0,Motsfit,SMART WATCH KCBK80,Android,
"Smart Watch for MenAnswer/Make Call,Alexa Built-in,1.8""Fitness Tracker with Heart ...",1122.0,1.43'',450000.0,Motsfit,SMART WATCH KCBK80,Android,
"Smart Watches for Men Women,Built-in Alexa, Fitness Watch with Blood Oxygen/Heart ...",289.0,1.43'',450000.0,Motsfit,SMART WATCH KCBK80,Android,
"Smartwatch, Built-in Alexa, GPS, VO2 Max, HRV, Blood Oxygen, Sleep Monitoring, ...",1416.0,1.96'',280000.0,Lojusimeh,7.07457E+11,Android/Ios,
"Smart Watch, Built-in Alexa, GPS, VO2 Max, HRV, SpO2 Sleep Monitoring, Noise ...",1416.0,1.96'',280000.0,Lojusimeh,7.07457E+11,Android/Ios,
"Smartwatch for Men Women with Bluetooth Call 1.43"" AMOLED Screen Round Smart Watch ...",548.0,1.96'',280000.0,Lojusimeh,7.07457E+11,Android/Ios,
Smartwatch for Men Android iPhone Watch Smart Watch Answer/Make Call with Heart ...,603.0,1.96'',280000.0,Lojusimeh,7.07457E+11,Android/Ios,
"Smart WatchAnswer/Make Call, 1.96"" Smart Watch for Men Women IP68 Waterproof, ...",302.0,2.02'',350000.0,,,Ios/Android,128MB
"WalkerFit Men Smart Watches - Round Smart Watch Make/Answer, Waterproof Fitness ...",669.0,2.02'',350000.0,,,Ios/Android,128MB
"Smart Watch Answer/Make Calls, Ultra Thin 1.43  AMOLED Smart Watches for Men Women, ...",330.0,2.02'',350000.0,,,Ios/Android,128MB
"Smart Watch for Men Women with 2.1"" HD Screen Military Watches, Call & Text for ...",328.0,2.02'',350000.0,,,Ios/Android,128MB
"Smart Watches for Men, 2.02 Inches Sports Fitness Watch with Bluetooth Call, ...",343.0,,,,,,
"Smart Watch for Men Answer/Make Call for Android iOS, Military Smartwatch Heart ...",603.0,1.43'',450000.0,Motsfit,80KC,Android,
"Smart Watch for Men & Women - Android Phones, Make/Answer Calls, Messaging, Voice ...",603.0,1.43'',450000.0,Motsfit,80KC,Android,
Smartwatch for Men Android iPhone Watch Smart Watch Answer/Make Call with Heart ...,603.0,1.43'',450000.0,Motsfit,80KC,Android,
Smartwatch for Men Android iPhone Watch Smart Watch Answer/Make Call with Heart ...,603.0,,,,,,
"Smart Watch Answer/Make Call, 1.96"" HD Smartwatch for Women, 2025 Fitness Watch ...",1423.0,,,,,,
Smart Watch for Women Men with Heart Rate Monitor Blood Pressure Blood Oxygen ...,371.0,,,,,,
"Smart Watch for Android iOS Phones, HD Display Smartwatch for Women Men Built-in ...",876.0,,,,,,
"Smart Watch for Men Women Answer/Make Calls,1.83"" HD IP68 Waterproof Fitness Watch ...",330.0,1.96'',,Booabei,T19P,Android 4.4 And Above/Ios 9.0 And Above.,
"Smart Watch for Women,Fitness WatchAnswer/Make Call,Alexa Built-in, [24H Heart Rate ...",1149.0,,,,,,
"Smart Watches for Men Women with Bluetooth Call, Activity Fitness Tracker 1.96"" HD ...",1231.0,,,,,,
1.39''HD Smart Watch for Men Fitness TrackerAnswer/Dial CallBluetooth Call Military ...,1054.0,,,,,,
"Smart Watches for WomenAnswer/Make Calls with Diamonds, 1.3  HD Bluetooth Smart ...",876.0,,,,,,
"Smart Watch,Fitness Tracker Watches for Men Women, IP67 Waterproof HD Touch Screen ...",466.0,,250000.0,Vkarood,,Android Wear 2.9,
"Smart Watch for Men Answer/Make Call for Android iOS, Military Smartwatch Heart ...",466.0,,250000.0,Vkarood,,Android Wear 2.9,
"Smart Watch for Men Women Fitness 1.9"" Bluetooth Call Smartwatch for Smart Phone ...",466.0,1.4'',,Walkerfit,A2 PRO,Android-Based (Specific Version Not Specified),
"Smart Watch Answer/Make Calls, Ultra Thin 1.43  AMOLED Smart Watches for Men Women, ...",193.0,1.4'',,Walkerfit,A2 PRO,Android-Based (Specific Version Not Specified),
"2 Packs Smart Watch for Women and Men with Alexa, Bluetooth Call & Receive Text, ...",1009.0,1.4'',,Walkerfit,A2 PRO,Android-Based (Specific Version Not Specified),
Smartwatch for Men Fitness Tracker Watch Smart Watch with Answer/Make Call Heart ...,876.0,1.4'',,Walkerfit,A2 PRO,Android-Based (Specific Version Not Specified),
