title,price,promo,coupon,collection_date
Title not available,$329.00,No promotion,No coupon,2025-01-12 17:41:32
Title not available,$289.99,No promotion,No coupon,2025-01-12 17:41:32
Title not available,$549.99,No promotion,No coupon,2025-01-12 17:41:32
Title not available,$198.08,No promotion,No coupon,2025-01-12 17:41:32
Title not available,$469.99,No promotion,No coupon,2025-01-12 17:41:32
Title not available,$530.26,No promotion,No coupon,2025-01-12 17:41:32
Title not available,$389.99,No promotion,10% off coupon applied,2025-01-12 17:41:32
Title not available,"$1,899.99",No promotion,No coupon,2025-01-12 17:41:32
Title not available,$549.00,No promotion,$90.00 off coupon applied,2025-01-12 17:41:32
Title not available,$299.00,No promotion,No coupon,2025-01-12 17:41:32
Title not available,$238.99,No promotion,No coupon,2025-01-12 17:41:32
Title not available,$145.00,No promotion,No coupon,2025-01-12 17:41:32
Title not available,$199.99,No promotion,No coupon,2025-01-12 17:41:32
Title not available,$158.00,No promotion,No coupon,2025-01-12 17:41:32
Title not available,$862.16,No promotion,No coupon,2025-01-12 17:41:32
Title not available,$599.99,No promotion,20% off coupon applied,2025-01-12 17:41:32
Title not available,$899.99,No promotion,No coupon,2025-01-12 17:41:32
Title not available,$489.99,No promotion,$72.00 off coupon applied,2025-01-12 17:41:32
Title not available,$199.00,No promotion,No coupon,2025-01-12 17:41:32
Title not available,$329.00,No promotion,No coupon,2025-01-12 17:41:37
Title not available,$639.99,No promotion,No coupon,2025-01-12 17:41:37
Title not available,$173.80,No promotion,No coupon,2025-01-12 17:41:37
Title not available,"$1,331.30",No promotion,No coupon,2025-01-12 17:41:37
Title not available,$198.89,No promotion,No coupon,2025-01-12 17:41:37
Title not available,$269.99,No promotion,No coupon,2025-01-12 17:41:37
Title not available,Price not available,No promotion,No coupon,2025-01-12 17:41:37
Title not available,$379.99,No promotion,10% off coupon applied,2025-01-12 17:41:37
Title not available,$549.00,No promotion,$90.00 off coupon applied,2025-01-12 17:41:37
Title not available,$299.00,No promotion,No coupon,2025-01-12 17:41:37
Title not available,"$1,399.99",No promotion,50% off coupon applied,2025-01-12 17:41:37
Title not available,$999.99,No promotion,No coupon,2025-01-12 17:41:37
Title not available,"$1,399.99",No promotion,No coupon,2025-01-12 17:41:37
Title not available,$389.95,No promotion,No coupon,2025-01-12 17:41:37
Title not available,$139.99,No promotion,No coupon,2025-01-12 17:41:37
Title not available,$638.98,No promotion,No coupon,2025-01-12 17:41:37
Title not available,$359.88,No promotion,10% off coupon applied,2025-01-12 17:41:37
Title not available,$209.99,No promotion,$30.00 off coupon applied,2025-01-12 17:41:37
Title not available,$699.00,No promotion,$100.00 off coupon applied,2025-01-12 17:41:37
"HDMI KVM Switch 2 Monitors 2 Computers 4K@60Hz, USB3.0 KVM Switch Dual Monitor with 3 USB 3.0 Ports Sharing Keyboard and Mouse, Printer/Scanner, Desktop Controller",$69.99,"Thu, Jan 23",20% off coupon applied,2025-01-12 17:41:43
"Full HD 1080P Video Webcam and Wide Angle Camera with Built-in Microphone and Rotatable Tripod,for Laptop Computer or Desktop PC,Great for Live Streaming.Calls.Video Conferencing(Black)-1",$49.99,"Thu, Jan 23",30% off coupon applied,2025-01-12 17:41:43
"Acer Nitro V Gaming Laptop | Intel Core i5-13420H Processor | NVIDIA GeForce RTX 4050 Laptop GPU | 15.6"" FHD IPS 144Hz Display | 8GB DDR5 | 512GB Gen 4 SSD | WiFi 6 | Backlit KB | ANV15-51-51H9",$729.97,No promotion,No coupon,2025-01-12 17:41:43
"HP Pavilion 15.6"" HD Touchscreen Anti-Glare Laptop, 16GB RAM, 1TB SSD Storage, Intel Core Processor up to 4.1GHz, Up to 11 Hours Long Battery Life, Type-C, HDMI, Windows 11 Home, Silver",$396.94,No promotion,No coupon,2025-01-12 17:41:43
"ASUS Chromebook CX1, 14"" FHD, Intel® Celeron N4500 Processor, 64GB Storage, 4GB RAM, ChromeOS, Transparent Silver, CX1400CKA-AS44F",$155.79,"Wed, Jan 22",No coupon,2025-01-12 17:41:43
"Acer Aspire Go 15 Slim Laptop | 15.6"" Full HD IPS 1080P Display | Intel Core i3-N305| Intel UHD Graphics | 8GB LPDDR5 | 128GB HD | Wi-Fi 6 | AI PC | Windows 11 Home in S Mode | AG15-31P-3947",$281.85,"Wed, Jan 22",No coupon,2025-01-12 17:41:43
"Lenovo IdeaPad 3i Chromebook, 15.6” FHD Display, Intel Celeron N4500, 8GB RAM, 64GB eMMC, 1920x1080 px, 720p Camera, Chrome OS, Abyss Blue",$219.99,"Thu, Jan 23",No coupon,2025-01-12 17:41:43
"Acer Nitro V Gaming Laptop | Intel Core i9-13900H Processor | NVIDIA GeForce RTX 4060 Laptop GPU | 15.6"" FHD IPS 144Hz Display | 16GB DDR5 | 512GB Gen 4 SSD | WiFi 6 | Backlit KB | ANV15-51-99DR","$1,182.49","Wed, Jan 22",No coupon,2025-01-12 17:41:43
"HP 14 inch Laptop, HD Display, 12th Generation Intel Core i3-1215U, 8 GB RAM, 256 GB SSD, Intel UHD Graphics, Windows 11 Home in S Mode, 14-dq5009nr (2024)",$309.00,"Wed, Jan 22",No coupon,2025-01-12 17:41:43
"ASUS Vivobook Laptop, 14"" FHD Display, i3-1215U, 16GB RAM, 512GB SSD, Wi-Fi 6, HDMI, Webcam, Touchpad, Windows 11 Home, Blue",$308.96,No promotion,No coupon,2025-01-12 17:41:43
"TPV 16"" Laptop Computer Intel Core i5, 16GB RAM, 512GB SSD, MS Office 2024, IPS(1920 x 1200) 16:10 Display, Windows 11 Pro Notebook PC with BT5.0 Wi-Fi, 3xUSB A, HDMI, RJ45, Backlit Keyboard, Gray",$329.00,"Wed, Jan 22",No coupon,2025-01-12 17:41:43
"Bluetooth Headset, Wireless Headset with Microphone for PC, V5.2 Computer Headset with Noise Cancelling Mic, USB Dongle, Charging Base & Mute Button for Work, Cell Phones, Computer (Black)",$59.99,"Wed, Jan 22",$4.00 off coupon applied,2025-01-12 17:41:43
"HP Elite Mini 800 G9 Elite Desk Business Desktop Computer, 14th Gen Intel 24-Core i9-14900 up to 5.8GHz, 64GB DDR5 RAM, 2TB PCIe SSD, WiFi 6, Bluetooth, Keyboard and Mouse, Windows 11 Pro, AZ-XUT","$1,389.00","Wed, Jan 22",No coupon,2025-01-12 17:41:43
