title,price,promo,coupon,product_url,collection_date,brand,model_name,screen_size,operating_system,memory_storage_capacity,battery_capacity,battery_cell_composition,shape
"WHOOP 4.0 with 12 Month Subscription – Wearable Health, Fitness & Activity Tracker – Continuous Monitoring, Performance Optimization, Heart Rate Tracking – Improve Sleep, Strain, Recovery, Wellness",$239.00,"Fri, Jan 31",No coupon,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0MjMxNTUxODQ1MzQwMzg5OjE3MzczOTIxOTU6c3BfYXRmOjMwMDE0MjY3MjA4NTAwMjo6MDo6&url=%2FWHOOP-4-0-Month-Subscription-Optimization%2Fdp%2FB0BWSF6H4Q%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.fOfPpWeLysSGoLwwNwxUVNBe_rVs7BBqbhmyIfXJYdvj3OS5Dp0D8KnYDJgrljOYnch0X5mytHUVHVQ6EQTLywDwl5hThnAnyQOi6LRVCLZ4MlEePYOwEQYmIQuLstL-L7o-zc1kammuvzMGzWzfaj99usuydXamUpOVRrmQzv8IrbVv0xrBccw_yr69jRJKmwtApHdvRxgHq90dOYDffLFaOCjLxM4NMAaji5k5oJo.sl8Y4RqxSuU6XQBj7-fqczGlyzFfaluhQZ9oBhFuU9A%26dib_tag%3Dse%26keywords%3Dsmart%2Bwatch%26qid%3D1737392195%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,2025-01-20 17:56:36,WHOOP,Data not available,4 Inches,Data not available,Data not available,Data not available,Data not available,Data not available
Smart Watches for Women Men with Call: Fitness Trackers with 24-Hour Heart Rate SpO2 Sleep Monitor 5ATM Waterproof 120+ Sport Mode Watches for Women gift Compatible with iPhone Android Phones(3 Bands),$39.99,"Thu, Jan 30",5% off coupon applied,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0MjMxNTUxODQ1MzQwMzg5OjE3MzczOTIxOTU6c3BfYXRmOjMwMDYxOTc1NDQwNjcwMjo6MDo6&url=%2FSmart-Watches-Women-Men-Call%2Fdp%2FB0DGC94K5R%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.fOfPpWeLysSGoLwwNwxUVNBe_rVs7BBqbhmyIfXJYdvj3OS5Dp0D8KnYDJgrljOYnch0X5mytHUVHVQ6EQTLywDwl5hThnAnyQOi6LRVCLZ4MlEePYOwEQYmIQuLstL-L7o-zc1kammuvzMGzWzfaj99usuydXamUpOVRrmQzv8IrbVv0xrBccw_yr69jRJKmwtApHdvRxgHq90dOYDffLFaOCjLxM4NMAaji5k5oJo.sl8Y4RqxSuU6XQBj7-fqczGlyzFfaluhQZ9oBhFuU9A%26dib_tag%3Dse%26keywords%3Dsmart%2Bwatch%26qid%3D1737392195%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,2025-01-20 17:56:36,Sanorum,G56,1.83 Inches,Compatible with iOS 10.0+ and Android 6.0+ smartphones,Data not available,300 Milliamp Hours,Lithium Polymer,Square
"Smart Watch(Answer/Make Call), 1.96"" HD Smartwatch for Men Women, 2025 New Fitness Watch with 110+ Sport Modes, Heart Rate, Sleep Monitor, Pedometer, IP68 Waterproof Activity Tracker for Android iOS",$99.99,"Tue, Feb 4",$5.00 off coupon applied,https://www.amazon.com/Smartwatch-Fitness-Pedometer-Waterproof-Activity/dp/B0DPQGBBCL/ref=sr_1_3?dib=eyJ2IjoiMSJ9.fOfPpWeLysSGoLwwNwxUVNBe_rVs7BBqbhmyIfXJYdvj3OS5Dp0D8KnYDJgrljOYnch0X5mytHUVHVQ6EQTLywDwl5hThnAnyQOi6LRVCLZ4MlEePYOwEQYmIQuLstL-L7o-zc1kammuvzMGzWzfaj99usuydXamUpOVRrmQzv8IrbVv0xrBccw_yr69jRJKmwtApHdvRxgHq90dOYDffLFaOCjLxM4NMAaji5k5oJo.sl8Y4RqxSuU6XQBj7-fqczGlyzFfaluhQZ9oBhFuU9A&dib_tag=se&keywords=smart+watch&qid=1737392195&sr=8-3,2025-01-20 17:56:36,Motast,P99-NEW,1.96 Inches,Android,Data not available,Data not available,Lithium Polymer,Square
"Smart Watch, 1.83"" HD Smartwatch for Men Women (Answer/Make Calls), Fitness Watch with 100+ Sport Modes, IP68 Waterproof/Heart Rate/Sleep Monitor, Activity Trackers for iOS/Android (Black)",$14.95,"Thu, Jan 30",No coupon,https://www.amazon.com/JeeJTek-Smartwatch-Waterproof-Activity-Trackers/dp/B0D95X7GHD/ref=sr_1_4?dib=eyJ2IjoiMSJ9.fOfPpWeLysSGoLwwNwxUVNBe_rVs7BBqbhmyIfXJYdvj3OS5Dp0D8KnYDJgrljOYnch0X5mytHUVHVQ6EQTLywDwl5hThnAnyQOi6LRVCLZ4MlEePYOwEQYmIQuLstL-L7o-zc1kammuvzMGzWzfaj99usuydXamUpOVRrmQzv8IrbVv0xrBccw_yr69jRJKmwtApHdvRxgHq90dOYDffLFaOCjLxM4NMAaji5k5oJo.sl8Y4RqxSuU6XQBj7-fqczGlyzFfaluhQZ9oBhFuU9A&dib_tag=se&keywords=smart+watch&qid=1737392195&sr=8-4,2025-01-20 17:56:36,JeeJTek,Data not available,1.83 Inches,RTOS,Data not available,300 Milliamp Hours,Lithium Polymer,Rectangular
"Smart Watch, 1.85"" HD Smartwatch for Men Women (Answer/Make Calls), Fitness Watch with 120+ Sports Modes, IP68 Waterproof, Heart Rate/Sleep Monitor, Activity Trackers for iOS/Android (Black)",$29.99,"Thu, Jan 30",No coupon,https://www.amazon.com/Jacoosa-Smartwatch-Waterproof-Activity-Trackers/dp/B0DKXD16PV/ref=sr_1_5?dib=eyJ2IjoiMSJ9.fOfPpWeLysSGoLwwNwxUVNBe_rVs7BBqbhmyIfXJYdvj3OS5Dp0D8KnYDJgrljOYnch0X5mytHUVHVQ6EQTLywDwl5hThnAnyQOi6LRVCLZ4MlEePYOwEQYmIQuLstL-L7o-zc1kammuvzMGzWzfaj99usuydXamUpOVRrmQzv8IrbVv0xrBccw_yr69jRJKmwtApHdvRxgHq90dOYDffLFaOCjLxM4NMAaji5k5oJo.sl8Y4RqxSuU6XQBj7-fqczGlyzFfaluhQZ9oBhFuU9A&dib_tag=se&keywords=smart+watch&qid=1737392195&sr=8-5,2025-01-20 17:56:36,Data not available,Data not available,1.85 Inches,"Android 4.0+, iOS 9.0+",128 MB,350 Amp Hours,Lithium Polymer,Square
Smart Watches for Women Men with Call: Fitness Trackers with 24-Hour Heart Rate SpO2 Sleep Monitor 5ATM Waterproof 120+ Sport Mode Watches for Women gift Compatible with iPhone Android Phones(3 Bands),$39.99,"Thu, Jan 30",5% off coupon applied,https://www.amazon.com/Smart-Watches-Women-Men-Call/dp/B0DGC94K5R/ref=sr_1_6?dib=eyJ2IjoiMSJ9.fOfPpWeLysSGoLwwNwxUVNBe_rVs7BBqbhmyIfXJYdvj3OS5Dp0D8KnYDJgrljOYnch0X5mytHUVHVQ6EQTLywDwl5hThnAnyQOi6LRVCLZ4MlEePYOwEQYmIQuLstL-L7o-zc1kammuvzMGzWzfaj99usuydXamUpOVRrmQzv8IrbVv0xrBccw_yr69jRJKmwtApHdvRxgHq90dOYDffLFaOCjLxM4NMAaji5k5oJo.sl8Y4RqxSuU6XQBj7-fqczGlyzFfaluhQZ9oBhFuU9A&dib_tag=se&keywords=smart+watch&qid=1737392195&sr=8-6,2025-01-20 17:56:36,Sanorum,G56,1.83 Inches,Compatible with iOS 10.0+ and Android 6.0+ smartphones,Data not available,300 Milliamp Hours,Lithium Polymer,Square
"FITVII Health & Fitness Tracker (Answer/Make Calls), Smart Watch with 24/7 Heart Rate and Blood Pressure, Sleep Tracking, Blood Oxygen Monitor, 120+ Sport Mode Activity Tracker for Women Men",$49.99,"Thu, Jan 30",10% off coupon applied,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0MjMxNTUxODQ1MzQwMzg5OjE3MzczOTIxOTU6c3BfbXRmOjMwMDE5MjgzNDU2NTkwMjo6MDo6&url=%2FFITVII-Pressure-Tracking-Waterproof-Activity%2Fdp%2FB0CWRJK78S%2Fref%3Dsr_1_7_sspa%3Fdib%3DeyJ2IjoiMSJ9.fOfPpWeLysSGoLwwNwxUVNBe_rVs7BBqbhmyIfXJYdvj3OS5Dp0D8KnYDJgrljOYnch0X5mytHUVHVQ6EQTLywDwl5hThnAnyQOi6LRVCLZ4MlEePYOwEQYmIQuLstL-L7o-zc1kammuvzMGzWzfaj99usuydXamUpOVRrmQzv8IrbVv0xrBccw_yr69jRJKmwtApHdvRxgHq90dOYDffLFaOCjLxM4NMAaji5k5oJo.sl8Y4RqxSuU6XQBj7-fqczGlyzFfaluhQZ9oBhFuU9A%26dib_tag%3Dse%26keywords%3Dsmart%2Bwatch%26qid%3D1737392195%26sr%3D8-7-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,2025-01-20 17:56:36,FITVII,HM57,1.85 Inches,Android 5 / iOS 10.0 above,Data not available,Data not available,Lithium Ion,Rectangular
"Military Smart Watches for Men (Answer/Make Calls), 2.02'' Fitness Smart Watch for Android and iPhone, Waterproof Fitness Tracker with Blood Pressure/Heart Rate/Sleep/100+ Sport Modes, Watches for Men",$49.99,"Thu, Jan 30",25% off coupon applied,https://www.amazon.com/Military-Watches-Fitness-Waterproof-Pressure/dp/B0D2VW7LVZ/ref=sr_1_8?dib=eyJ2IjoiMSJ9.fOfPpWeLysSGoLwwNwxUVNBe_rVs7BBqbhmyIfXJYdvj3OS5Dp0D8KnYDJgrljOYnch0X5mytHUVHVQ6EQTLywDwl5hThnAnyQOi6LRVCLZ4MlEePYOwEQYmIQuLstL-L7o-zc1kammuvzMGzWzfaj99usuydXamUpOVRrmQzv8IrbVv0xrBccw_yr69jRJKmwtApHdvRxgHq90dOYDffLFaOCjLxM4NMAaji5k5oJo.sl8Y4RqxSuU6XQBj7-fqczGlyzFfaluhQZ9oBhFuU9A&dib_tag=se&keywords=smart+watch&qid=1737392195&sr=8-8,2025-01-20 17:56:36,Data not available,Data not available,2.02 Inches,android,128 MB,450 Milliamp Hours,Lithium Polymer,Square
"FITVII Health & Fitness Tracker (Answer/Make Calls), Smart Watch with 24/7 Heart Rate and Blood Pressure, Sleep Tracking, Blood Oxygen Monitor, 120+ Sport Mode Activity Tracker for Women Men",$49.99,"Thu, Jan 30",10% off coupon applied,https://www.amazon.com/FITVII-Pressure-Tracking-Waterproof-Activity/dp/B0CWRJK78S/ref=sr_1_9?dib=eyJ2IjoiMSJ9.fOfPpWeLysSGoLwwNwxUVNBe_rVs7BBqbhmyIfXJYdvj3OS5Dp0D8KnYDJgrljOYnch0X5mytHUVHVQ6EQTLywDwl5hThnAnyQOi6LRVCLZ4MlEePYOwEQYmIQuLstL-L7o-zc1kammuvzMGzWzfaj99usuydXamUpOVRrmQzv8IrbVv0xrBccw_yr69jRJKmwtApHdvRxgHq90dOYDffLFaOCjLxM4NMAaji5k5oJo.sl8Y4RqxSuU6XQBj7-fqczGlyzFfaluhQZ9oBhFuU9A&dib_tag=se&keywords=smart+watch&qid=1737392195&sr=8-9,2025-01-20 17:56:36,FITVII,HM57,1.85 Inches,Android 5 / iOS 10.0 above,Data not available,Data not available,Lithium Ion,Rectangular
"Smart Watches for Women [Gifts for Women/Calls/Answer], 1.27"" Smart Watches for Android Phones＆ iPhone Compatible, 24/7 Fitness Watches for Women with Heart Rate/Sleep Monitor/Steps Monitor/Pedometer",$89.99,"Thu, Jan 30",50% off coupon applied,https://www.amazon.com/Watches-Android-Phones%EF%BC%86-Compatible-Pedometer/dp/B0DCVQ82JB/ref=sr_1_10?dib=eyJ2IjoiMSJ9.fOfPpWeLysSGoLwwNwxUVNBe_rVs7BBqbhmyIfXJYdvj3OS5Dp0D8KnYDJgrljOYnch0X5mytHUVHVQ6EQTLywDwl5hThnAnyQOi6LRVCLZ4MlEePYOwEQYmIQuLstL-L7o-zc1kammuvzMGzWzfaj99usuydXamUpOVRrmQzv8IrbVv0xrBccw_yr69jRJKmwtApHdvRxgHq90dOYDffLFaOCjLxM4NMAaji5k5oJo.sl8Y4RqxSuU6XQBj7-fqczGlyzFfaluhQZ9oBhFuU9A&dib_tag=se&keywords=smart+watch&qid=1737392195&sr=8-10,2025-01-20 17:56:36,Data not available,Data not available,1.27 Inches,Compatible with iOS & Android,128 MB,250 Milliamp Hours,Lithium Polymer,Round
