title,price,promo,coupon,product_url,collection_date,brand,model_name,screen_size,color,hard_disk_size,cpu_model,ram_memory,operating_system,special_feature
"15.6 Inch Laptop,Laptop Computer, 8GB RAM, 256GB SSD,Win 11, Celeron Quad-Core Processor(Up to 2.9GHz), IPS Full HD Display with, Type-C, Wi-Fi, USB3.0",$248.89,"Wed, Jan 29",No coupon,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMDUwOTI0NzgxODI3NTE4OjE3MzcyMDMzMTQ6c3BfYXRmOjMwMDI3NDQ3ODMyNDQwMjo6MDo6&url=%2FNBVCXSD-Computer-Celeron-Quad-Core-Processor%2Fdp%2FB0D14GKWD3%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.5U4_FfJkNT1pta2VxEZfttrvMdC4hHPNx1ar5WSQeI7xB458hyh_0bQuUbniQWue5gJaeF-s7q7ZXj0au3Mhzt9F0tOQoq4UwraXmgAeylRpDg3G82vqifdSX5PMrSiibcYpslBoZDGw2Lyk3cZw3n1gqU4g7L1KN1tY_vj-ZjfKrXgQETaYCxoCx2-C-VklxS5OUbl1lvc17hJBmGEXji6w7FdWzraoJ7-FPl94m_A.Hk4gOTC8vI9M2ieVPPJiKoelM4toFvpcm06iHnDE6pM%26dib_tag%3Dse%26keywords%3Dlaptop%2BMac%26qid%3D1737203314%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,2025-01-18 13:28:35,NBVCXSD,MTL1561,15.6 Inches,Data not available,256 GB,Celeron N,8 GB,Windows 11,"HD Audio, Backlit Keyboard, Memory Card Slot"
"Laptop Screen Extender, 14"" 1080P FHD Triple Monitor for Laptop Extension- 315°Rotate Portable Dual Monitor Screen for 13.3-16.5"" Laptops Type-C/HDMI/USB-A Plug & Play for Wins/Mac/Chro",$258.99,"Wed, Jan 29",No coupon,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMDUwOTI0NzgxODI3NTE4OjE3MzcyMDMzMTQ6c3BfYXRmOjMwMDYwNDMwNDY5OTcwMjo6MDo6&url=%2FQGE-Extender-Extension-315%25C2%25B0Rotate-13-3-16-5%2Fdp%2FB0D8BLXG5N%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.5U4_FfJkNT1pta2VxEZfttrvMdC4hHPNx1ar5WSQeI7xB458hyh_0bQuUbniQWue5gJaeF-s7q7ZXj0au3Mhzt9F0tOQoq4UwraXmgAeylRpDg3G82vqifdSX5PMrSiibcYpslBoZDGw2Lyk3cZw3n1gqU4g7L1KN1tY_vj-ZjfKrXgQETaYCxoCx2-C-VklxS5OUbl1lvc17hJBmGEXji6w7FdWzraoJ7-FPl94m_A.Hk4gOTC8vI9M2ieVPPJiKoelM4toFvpcm06iHnDE6pM%26dib_tag%3Dse%26keywords%3Dlaptop%2BMac%26qid%3D1737203314%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,2025-01-18 13:28:35,QGE,Data not available,14 Inches,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available
"Late 2019 Apple MacBook Pro with 2.6GHz Intel Core i7 (16-Inch, 16GB RAM, 512GB Storage) - Silver (Renewed)",Data not available,No promotion,No coupon,https://www.amazon.com/Apple-MacBook-16-Inch-Storage-2-6GHz/dp/B08CZT64VP/ref=sr_1_3?dib=eyJ2IjoiMSJ9.5U4_FfJkNT1pta2VxEZfttrvMdC4hHPNx1ar5WSQeI7xB458hyh_0bQuUbniQWue5gJaeF-s7q7ZXj0au3Mhzt9F0tOQoq4UwraXmgAeylRpDg3G82vqifdSX5PMrSiibcYpslBoZDGw2Lyk3cZw3n1gqU4g7L1KN1tY_vj-ZjfKrXgQETaYCxoCx2-C-VklxS5OUbl1lvc17hJBmGEXji6w7FdWzraoJ7-FPl94m_A.Hk4gOTC8vI9M2ieVPPJiKoelM4toFvpcm06iHnDE6pM&dib_tag=se&keywords=laptop+Mac&qid=1737203314&sr=8-3,2025-01-18 13:28:35,Apple,A2141,16 Inches,Silver,512 GB,Core i7,16 GB,Mac OS,Anti Glare Coating
"2020 Apple MacBook Air Laptop: Apple M1 Chip, 13” Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Gold",Data not available,No promotion,No coupon,https://www.amazon.com/Apple-MacBook-13-inch-256GB-Storage/dp/B08N5M7S6K/ref=sr_1_4?dib=eyJ2IjoiMSJ9.5U4_FfJkNT1pta2VxEZfttrvMdC4hHPNx1ar5WSQeI7xB458hyh_0bQuUbniQWue5gJaeF-s7q7ZXj0au3Mhzt9F0tOQoq4UwraXmgAeylRpDg3G82vqifdSX5PMrSiibcYpslBoZDGw2Lyk3cZw3n1gqU4g7L1KN1tY_vj-ZjfKrXgQETaYCxoCx2-C-VklxS5OUbl1lvc17hJBmGEXji6w7FdWzraoJ7-FPl94m_A.Hk4gOTC8vI9M2ieVPPJiKoelM4toFvpcm06iHnDE6pM&dib_tag=se&keywords=laptop+Mac&qid=1737203314&sr=8-4,2025-01-18 13:28:35,Apple,MacBook Air,13.3 Inches,Gold,256 GB,Unknown,8 GB,Mac OS,Backlit Keyboard
"2024 MacBook Pro Laptop with M4, 10‑core CPU, 10‑core GPU: Built for Apple Intelligence, 14.2-inch Liquid Retina XDR Display, 24GB Unified Memory, 512GB SSD Storage; Space Black - Z1DS0005P",$700,No promotion,No coupon,https://www.amazon.com/Apple-2024-MacBook-Laptop-10%E2%80%91core/dp/B0DP3KYZDV/ref=sr_1_5?dib=eyJ2IjoiMSJ9.5U4_FfJkNT1pta2VxEZfttrvMdC4hHPNx1ar5WSQeI7xB458hyh_0bQuUbniQWue5gJaeF-s7q7ZXj0au3Mhzt9F0tOQoq4UwraXmgAeylRpDg3G82vqifdSX5PMrSiibcYpslBoZDGw2Lyk3cZw3n1gqU4g7L1KN1tY_vj-ZjfKrXgQETaYCxoCx2-C-VklxS5OUbl1lvc17hJBmGEXji6w7FdWzraoJ7-FPl94m_A.Hk4gOTC8vI9M2ieVPPJiKoelM4toFvpcm06iHnDE6pM&dib_tag=se&keywords=laptop+Mac&qid=1737203314&sr=8-5,2025-01-18 13:28:35,Apple,MacBook Pro,14.2,Data not available,Data not available,Apple M4,24 GB,Mac OS,Data not available
"Mid 2017 Apple MacBook Pro with 2.3GHz Intel Core i5 (13-inch, 8GB RAM, 256GB SSD) Silver (Renewed)",$256.00,No promotion,No coupon,https://www.amazon.com/Apple-MacBook-2-3GHz-13-inch-Renewed/dp/B0BX4M46F2/ref=sr_1_6?dib=eyJ2IjoiMSJ9.5U4_FfJkNT1pta2VxEZfttrvMdC4hHPNx1ar5WSQeI7xB458hyh_0bQuUbniQWue5gJaeF-s7q7ZXj0au3Mhzt9F0tOQoq4UwraXmgAeylRpDg3G82vqifdSX5PMrSiibcYpslBoZDGw2Lyk3cZw3n1gqU4g7L1KN1tY_vj-ZjfKrXgQETaYCxoCx2-C-VklxS5OUbl1lvc17hJBmGEXji6w7FdWzraoJ7-FPl94m_A.Hk4gOTC8vI9M2ieVPPJiKoelM4toFvpcm06iHnDE6pM&dib_tag=se&keywords=laptop+Mac&qid=1737203314&sr=8-6,2025-01-18 13:28:35,Apple,MacBook Pro,13.3 Inches,Silver,256 GB,Core i5,8 GB,macOS 10.14 Mojave,Data not available
"2023 MacBook Pro Laptop with Apple M2 Pro chip with 12‑core CPU and 19‑core GPU: 16.2-inch Liquid Retina XDR Display, 16GB Unified Memory, 512GB SSD Storage. Works with iPhone/iPad; Silver",Data not available,No promotion,No coupon,https://www.amazon.com/Apple-MacBook-Laptop-12%E2%80%91core-19%E2%80%91core/dp/B0BSHF7LLL/ref=sr_1_7?dib=eyJ2IjoiMSJ9.5U4_FfJkNT1pta2VxEZfttrvMdC4hHPNx1ar5WSQeI7xB458hyh_0bQuUbniQWue5gJaeF-s7q7ZXj0au3Mhzt9F0tOQoq4UwraXmgAeylRpDg3G82vqifdSX5PMrSiibcYpslBoZDGw2Lyk3cZw3n1gqU4g7L1KN1tY_vj-ZjfKrXgQETaYCxoCx2-C-VklxS5OUbl1lvc17hJBmGEXji6w7FdWzraoJ7-FPl94m_A.Hk4gOTC8vI9M2ieVPPJiKoelM4toFvpcm06iHnDE6pM&dib_tag=se&keywords=laptop+Mac&qid=1737203314&sr=8-7,2025-01-18 13:28:35,Apple,MacBook Pro,16.2 Inches,Silver,512 GB,Unknown,16 GB,Mac OS,Anti Glare Coating
"2020 Apple MacBook Pro with 2.3 GHz Intel Core i7 (13 inch, 16GB RAM, 512GB SSD) Space Gray (Renewed)",$389.99,No promotion,No coupon,https://www.amazon.com/Apple-MacBook-Intel-512GB-Renewed/dp/B0B446WBYQ/ref=sr_1_8?dib=eyJ2IjoiMSJ9.5U4_FfJkNT1pta2VxEZfttrvMdC4hHPNx1ar5WSQeI7xB458hyh_0bQuUbniQWue5gJaeF-s7q7ZXj0au3Mhzt9F0tOQoq4UwraXmgAeylRpDg3G82vqifdSX5PMrSiibcYpslBoZDGw2Lyk3cZw3n1gqU4g7L1KN1tY_vj-ZjfKrXgQETaYCxoCx2-C-VklxS5OUbl1lvc17hJBmGEXji6w7FdWzraoJ7-FPl94m_A.Hk4gOTC8vI9M2ieVPPJiKoelM4toFvpcm06iHnDE6pM&dib_tag=se&keywords=laptop+Mac&qid=1737203314&sr=8-8,2025-01-18 13:28:35,Apple,MacBook Pro,13.3 Inches,Space Gray,512 GB,Core i7,16 GB,Mac OS,Data not available
"15.6 FHD Student Laptop, 16GB RAM, 1TB SSD, Intel Pentium Quad-Core N100(Beat to i3-1115G4, Up to 3.4GHz), 2 Years Warranty, Backlit Keyboard, Fingerprint, Win 11, Rose Gold",$399.99,"Wed, Jan 29",$50.00 off coupon applied,https://www.amazon.com/NIMO-Quad-Core-i3-1115G4-Warranty-Fingerprint/dp/B0DFY3TK7D/ref=sr_1_9?dib=eyJ2IjoiMSJ9.5U4_FfJkNT1pta2VxEZfttrvMdC4hHPNx1ar5WSQeI7xB458hyh_0bQuUbniQWue5gJaeF-s7q7ZXj0au3Mhzt9F0tOQoq4UwraXmgAeylRpDg3G82vqifdSX5PMrSiibcYpslBoZDGw2Lyk3cZw3n1gqU4g7L1KN1tY_vj-ZjfKrXgQETaYCxoCx2-C-VklxS5OUbl1lvc17hJBmGEXji6w7FdWzraoJ7-FPl94m_A.Hk4gOTC8vI9M2ieVPPJiKoelM4toFvpcm06iHnDE6pM&dib_tag=se&keywords=laptop+Mac&qid=1737203314&sr=8-9,2025-01-18 13:28:35,NIMO,Nimo N151,15.6 Inches,Rose Gold,1 TB,Intel N100,16 GB,Windows 11,"HD Audio, Fingerprint Reader, Lightweight, Backlit Keyboard, Memory Card Slot"
"2023 MacBook Air Laptop with M2 chip: 15.3-inch Liquid Retina Display, 16GB Unified Memory, 256GB SSD Storage, 1080p FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Midnight",Data not available,No promotion,No coupon,https://www.amazon.com/Apple-2023-MacBook-Laptop-chip/dp/B0CDJL36W4/ref=sr_1_10?dib=eyJ2IjoiMSJ9.5U4_FfJkNT1pta2VxEZfttrvMdC4hHPNx1ar5WSQeI7xB458hyh_0bQuUbniQWue5gJaeF-s7q7ZXj0au3Mhzt9F0tOQoq4UwraXmgAeylRpDg3G82vqifdSX5PMrSiibcYpslBoZDGw2Lyk3cZw3n1gqU4g7L1KN1tY_vj-ZjfKrXgQETaYCxoCx2-C-VklxS5OUbl1lvc17hJBmGEXji6w7FdWzraoJ7-FPl94m_A.Hk4gOTC8vI9M2ieVPPJiKoelM4toFvpcm06iHnDE6pM&dib_tag=se&keywords=laptop+Mac&qid=1737203314&sr=8-10,2025-01-18 13:28:35,Apple,MacBook Air,15.3 Inches,Midnight,256 GB,Unknown,16 GB,Mac OS,"Apple M2 Chip, Liquid Retina display with True Tone, Solid-state drive storage, Backlit Magic Keyboard with Touch ID, Unified Memory   See more"
