title,price,promo,coupon,product_url,collection_date,brand,screen_size,color,hard_disk_size,cpu_model
"Amazon Basics 24 Inch Gaming Monitor, FHD 1080P, 165Hz, VESA Compatible, Adaptive sync, 1ms Response, Black",$109.99,No promotion,No coupon,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3NjIxNDc0Nzg5Nzg4MDMxOjE3MzczODU1OTY6c3BfYXRmOjMwMDM0MDU4ODU4MjYwMjo6MDo6&url=%2FAmazon-Basics-Compatible-Adaptive-Response%2Fdp%2FB0CP7TNX8C%2Fref%3Dsr_1_1_ffob_sspa%3Fdib%3DeyJ2IjoiMSJ9.13gnvC8jJBWKR_aHz-dsvL1kR-C3P1qmfczdxd6IOxxjs1PfAF_jka4NaB2lTfPOaTC3xzw_UEvDYXjdTOhllmD_eSo33WGm4-Lx4OojAl009t7cLhSe_rddMQ8-F8zjtqNhP6j4QKZtgGw7nPS8vwwBbDpxR1HXUiPJFT6pn9TWmHhTxqXkbDxemHWrJqQNNVFznT0hyczynjFfUQN8V7gwZU-oHtMobf_78vdi6jo.roB7bdtGgY6D-vwpuo5vsWo6tHo10CuVSVJrRl40pcA%26dib_tag%3Dse%26keywords%3Dmonitor%26qid%3D1737385595%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,2025-01-20 16:06:38,Amazon Basics,24 Inches,FHD 1080p,16:9,Glossy
"GAMEPOWER T50 27 Inch 1500R Curved Gaming Monitor, 200Hz 1080p Display, Full HD, 0.5ms Response Time, VA Panel, FreeSync, HDR, 125% sRGB, RGB Backlight, Dual Speakers, Zero Frame, HDMI/DP",$135.99,"Tue, Feb 4",No coupon,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3NjIxNDc0Nzg5Nzg4MDMxOjE3MzczODU1OTY6c3BfYXRmOjMwMDU5MDMzODY4MzQwMjo6MDo6&url=%2FGAMEPOWER-T50-Response-Refresh-Lighting%2Fdp%2FB0CVRYDQ2P%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.13gnvC8jJBWKR_aHz-dsvL1kR-C3P1qmfczdxd6IOxxjs1PfAF_jka4NaB2lTfPOaTC3xzw_UEvDYXjdTOhllmD_eSo33WGm4-Lx4OojAl009t7cLhSe_rddMQ8-F8zjtqNhP6j4QKZtgGw7nPS8vwwBbDpxR1HXUiPJFT6pn9TWmHhTxqXkbDxemHWrJqQNNVFznT0hyczynjFfUQN8V7gwZU-oHtMobf_78vdi6jo.roB7bdtGgY6D-vwpuo5vsWo6tHo10CuVSVJrRl40pcA%26dib_tag%3Dse%26keywords%3Dmonitor%26qid%3D1737385595%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,2025-01-20 16:06:38,Game Power,27 Inches,FHD 1080p,16:9,Matte
"PHILIPS 24 inch Frameless Full HD (1920 x 1080) 100Hz Monitor, VESA, HDMI x1, VGA Port x1, Eye Care, 4 Year Advance Replacement Warranty, 241V8LB",$79.99,"Thu, Jan 30",No coupon,https://www.amazon.com/PHILIPS-Frameless-Replacement-Warranty-241V8LB/dp/B0C8ZKV5R9/ref=sr_1_3?dib=eyJ2IjoiMSJ9.13gnvC8jJBWKR_aHz-dsvL1kR-C3P1qmfczdxd6IOxxjs1PfAF_jka4NaB2lTfPOaTC3xzw_UEvDYXjdTOhllmD_eSo33WGm4-Lx4OojAl009t7cLhSe_rddMQ8-F8zjtqNhP6j4QKZtgGw7nPS8vwwBbDpxR1HXUiPJFT6pn9TWmHhTxqXkbDxemHWrJqQNNVFznT0hyczynjFfUQN8V7gwZU-oHtMobf_78vdi6jo.roB7bdtGgY6D-vwpuo5vsWo6tHo10CuVSVJrRl40pcA&dib_tag=se&keywords=monitor&qid=1737385595&sr=8-3,2025-01-20 16:06:38,Philips Computer Monitors,23.8 Inches,FHD 1080p,16:9,Glossy
"AOC 22B2HM2 22"" Full HD (1920 x 1080) 100Hz LED Monitor, Adaptive Sync, VGA x1, HDMI x1, Flicker-Free, Low Blue Light, HDR Ready, VESA, Tilt Adjust, Earphone Out, Eco-Friendly",$63.99,"Thu, Jan 30",No coupon,https://www.amazon.com/AOC-22B2HM2-Adaptive-Flicker-Free-Eco-Friendly/dp/B0CXZW42CD/ref=sr_1_4?dib=eyJ2IjoiMSJ9.13gnvC8jJBWKR_aHz-dsvL1kR-C3P1qmfczdxd6IOxxjs1PfAF_jka4NaB2lTfPOaTC3xzw_UEvDYXjdTOhllmD_eSo33WGm4-Lx4OojAl009t7cLhSe_rddMQ8-F8zjtqNhP6j4QKZtgGw7nPS8vwwBbDpxR1HXUiPJFT6pn9TWmHhTxqXkbDxemHWrJqQNNVFznT0hyczynjFfUQN8V7gwZU-oHtMobf_78vdi6jo.roB7bdtGgY6D-vwpuo5vsWo6tHo10CuVSVJrRl40pcA&dib_tag=se&keywords=monitor&qid=1737385595&sr=8-4,2025-01-20 16:06:38,AOC,21.5 Inches,FHD 1080p,16:9,Glossy
"acer SB240Y G0bi 23.8"" IPS Full HD Ultra-Slim Edge-to-Edge Gaming Office Monitor | Adaptive-Sync Support (FreeSync Compatible) | Up to 120Hz Refresh | 1ms (VRB) | Tilt | HDMI & VGA Ports | Black",$79.99,"Thu, Jan 30",No coupon,https://www.amazon.com/acer-Ultra-Slim-Adaptive-Sync-FreeSync-Compatible/dp/B0D2RW526R/ref=sr_1_5?dib=eyJ2IjoiMSJ9.13gnvC8jJBWKR_aHz-dsvL1kR-C3P1qmfczdxd6IOxxjs1PfAF_jka4NaB2lTfPOaTC3xzw_UEvDYXjdTOhllmD_eSo33WGm4-Lx4OojAl009t7cLhSe_rddMQ8-F8zjtqNhP6j4QKZtgGw7nPS8vwwBbDpxR1HXUiPJFT6pn9TWmHhTxqXkbDxemHWrJqQNNVFznT0hyczynjFfUQN8V7gwZU-oHtMobf_78vdi6jo.roB7bdtGgY6D-vwpuo5vsWo6tHo10CuVSVJrRl40pcA&dib_tag=se&keywords=monitor&qid=1737385595&sr=8-5,2025-01-20 16:06:38,Data not available,Data not available,Data not available,Data not available,Data not available
LG 27MS500-B 27 inch IPS Computer Monitor FHD (1920x1080) 100Hz 5ms Reader Mode Borderless Design OnScreen Control Black Stabilizer DAS Crosshair HDMI Black,$99.99,"Thu, Jan 30",No coupon,https://www.amazon.com/LG-27MS500-B-1920x1080-Borderless-Stabilizer/dp/B0CXKPZ13D/ref=sr_1_6?dib=eyJ2IjoiMSJ9.13gnvC8jJBWKR_aHz-dsvL1kR-C3P1qmfczdxd6IOxxjs1PfAF_jka4NaB2lTfPOaTC3xzw_UEvDYXjdTOhllmD_eSo33WGm4-Lx4OojAl009t7cLhSe_rddMQ8-F8zjtqNhP6j4QKZtgGw7nPS8vwwBbDpxR1HXUiPJFT6pn9TWmHhTxqXkbDxemHWrJqQNNVFznT0hyczynjFfUQN8V7gwZU-oHtMobf_78vdi6jo.roB7bdtGgY6D-vwpuo5vsWo6tHo10CuVSVJrRl40pcA&dib_tag=se&keywords=monitor&qid=1737385595&sr=8-6,2025-01-20 16:06:38,LG,27 Inches,FHD 1080p,16:9,Matte
"Laptop Screen Extender, 15.6"" FHD 1080P IPS, Triple Screen, Portable Monitor, Lightweight 3.5lbs, Plug and Play, Multi Screen Monitor Extension for 13.3""-16.1"" Laptop MacBook, Wins, Android,",$299.95,"Thu, Jan 30",No coupon,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3NjIxNDc0Nzg5Nzg4MDMxOjE3MzczODU1OTY6c3BfbXRmOjMwMDU2MzU2NDc5ODQwMjo6MDo6&url=%2FExtender-Portable-Monitor-Lightweight-Extension%2Fdp%2FB0DH66XML4%2Fref%3Dsr_1_7_sspa%3Fdib%3DeyJ2IjoiMSJ9.13gnvC8jJBWKR_aHz-dsvL1kR-C3P1qmfczdxd6IOxxjs1PfAF_jka4NaB2lTfPOaTC3xzw_UEvDYXjdTOhllmD_eSo33WGm4-Lx4OojAl009t7cLhSe_rddMQ8-F8zjtqNhP6j4QKZtgGw7nPS8vwwBbDpxR1HXUiPJFT6pn9TWmHhTxqXkbDxemHWrJqQNNVFznT0hyczynjFfUQN8V7gwZU-oHtMobf_78vdi6jo.roB7bdtGgY6D-vwpuo5vsWo6tHo10CuVSVJrRl40pcA%26dib_tag%3Dse%26keywords%3Dmonitor%26qid%3D1737385595%26sr%3D8-7-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,2025-01-20 16:06:38,theo&things,15.6 Inches,2K DCI 1080p,1.27:1,Matte
"Sceptre New 27-inch Gaming Monitor 100Hz 1ms DisplayPort HDMI x2 100% sRGB AMD FreeSync Build-in Speakers, Eye Care Frameless Machine Black 2024 (E275W-FW100T)",$119.97,"Thu, Jan 30",No coupon,https://www.amazon.com/Sceptre-DisplayPort-FreeSync-Frameless-E275W-FW100T/dp/B0CHHSFMRL/ref=sr_1_8?dib=eyJ2IjoiMSJ9.13gnvC8jJBWKR_aHz-dsvL1kR-C3P1qmfczdxd6IOxxjs1PfAF_jka4NaB2lTfPOaTC3xzw_UEvDYXjdTOhllmD_eSo33WGm4-Lx4OojAl009t7cLhSe_rddMQ8-F8zjtqNhP6j4QKZtgGw7nPS8vwwBbDpxR1HXUiPJFT6pn9TWmHhTxqXkbDxemHWrJqQNNVFznT0hyczynjFfUQN8V7gwZU-oHtMobf_78vdi6jo.roB7bdtGgY6D-vwpuo5vsWo6tHo10CuVSVJrRl40pcA&dib_tag=se&keywords=monitor&qid=1737385595&sr=8-8,2025-01-20 16:06:38,Sceptre,27 Inches,FHD 1080p,16:9,Glossy
"SAMSUNG 27"" Essential S3 (S36GD) Series FHD 1800R Curved Computer Monitor, 100Hz, Game Mode, Advanced Eye Comfort, HDMI and D-sub Ports, LS27D366GANXZA, 2024",$129.99,"Fri, Jan 31",No coupon,https://www.amazon.com/SAMSUNG-Essential-Computer-Advanced-LS27D366GANXZA/dp/B0DB9Q5G3R/ref=sr_1_9?dib=eyJ2IjoiMSJ9.13gnvC8jJBWKR_aHz-dsvL1kR-C3P1qmfczdxd6IOxxjs1PfAF_jka4NaB2lTfPOaTC3xzw_UEvDYXjdTOhllmD_eSo33WGm4-Lx4OojAl009t7cLhSe_rddMQ8-F8zjtqNhP6j4QKZtgGw7nPS8vwwBbDpxR1HXUiPJFT6pn9TWmHhTxqXkbDxemHWrJqQNNVFznT0hyczynjFfUQN8V7gwZU-oHtMobf_78vdi6jo.roB7bdtGgY6D-vwpuo5vsWo6tHo10CuVSVJrRl40pcA&dib_tag=se&keywords=monitor&qid=1737385595&sr=8-9,2025-01-20 16:06:38,SAMSUNG,27 Inches,FHD 1080p,16:9,Curved
LG 27GS60QC-B Ultragear Curved Gaming Monitor 27-Inch QHD (2560x1440) 180Hz 1ms 1000R AMD FreeSync HDR10 HDMIx2 DisplayPort Borderless Design Black Stabilizer DAS Crosshair FPS Counter - Black,$159.99,"Fri, Jan 31",No coupon,https://www.amazon.com/LG-27GS60QC-B-DisplayPort-Borderless-Stabilizer/dp/B0D2FZS3JM/ref=sr_1_10?dib=eyJ2IjoiMSJ9.13gnvC8jJBWKR_aHz-dsvL1kR-C3P1qmfczdxd6IOxxjs1PfAF_jka4NaB2lTfPOaTC3xzw_UEvDYXjdTOhllmD_eSo33WGm4-Lx4OojAl009t7cLhSe_rddMQ8-F8zjtqNhP6j4QKZtgGw7nPS8vwwBbDpxR1HXUiPJFT6pn9TWmHhTxqXkbDxemHWrJqQNNVFznT0hyczynjFfUQN8V7gwZU-oHtMobf_78vdi6jo.roB7bdtGgY6D-vwpuo5vsWo6tHo10CuVSVJrRl40pcA&dib_tag=se&keywords=monitor&qid=1737385595&sr=8-10,2025-01-20 16:06:38,LG,27 Inches,QHD Wide 1440p,16:9,Matte
