title,price,image_url,promo,coupon,collection_date
"Mini PC i9 13900H 32GB RAM 1TB SSD 13th Gen 14Cores 20Threads 5.4GHz Max, Thunderbolt 4 Desktop Gaming Personal Computer Support 8K Quad Display/2x2.5G LAN/Win 11 Pro/WiFi 6/BT 5.2/4x USB 3.2",$849.99,https://m.media-amazon.com/images/I/71PsK3tJd3L._AC_UY218_.jpg,"Wed, Jan 22",$100.00 off coupon applied,2025-01-12 19:08:49
"DreamQuest Mini PC Windows 11 Pro Preloaded, Intel N150 (up to 3.6GHz) Mini Desktop Computers 16GB DDR4 512GB SSD, USB C, DP, HDMI, USB 3.2, Dual LAN,WiFi, Bluetooth, Support 4K 60Hz, Support Linux",$209.99,https://m.media-amazon.com/images/I/61zm4wpWJyL._AC_UY218_.jpg,"Wed, Jan 22",$30.00 off coupon applied,2025-01-12 19:08:49
"HP 14"" Ultral Light Laptop for Students and Business, Intel Quad-Core, 8GB RAM, 192GB Storage(64GB eMMC+128GB Ghost Manta SD Card), 1 Year Office 365, USB C, Win 11 S",$212.00,https://m.media-amazon.com/images/I/81divYKpeTL._AC_UY218_.jpg,"Wed, Jan 22",No coupon,2025-01-12 19:08:49
"Laptop,15.6In Windows 11 Pro Traditional Laptops Computer with Quad Core-12th Alder Lake N97(Up to 3.6GHz), 16GB DDR4 512GB Hard Drive for Business, School, Offic",$359.99,https://m.media-amazon.com/images/I/71JdqA5MGUL._AC_UY218_.jpg,"Thu, Jan 23",No coupon,2025-01-12 19:08:49
"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",$176.99,https://m.media-amazon.com/images/I/815uX7wkOZS._AC_UY218_.jpg,"Wed, Jan 22",No coupon,2025-01-12 19:08:49
"NIMO 15.6 FHD Student Laptop, 16GB RAM, 1TB SSD, Intel Pentium Quad-Core N100(Beat to i3-1115G4, Up to 3.4GHz), 2 Years Warranty, Backlit Keyboard, Fingerprint, Win 11, Rose Gold",$299.99,https://m.media-amazon.com/images/I/71EWAUphg2L._AC_UY218_.jpg,"Wed, Jan 22",No coupon,2025-01-12 19:08:49
"HP Stream 14"" HD BrightView Laptop, Intel Celeron N4120, 16GB RAM, 288GB Storage (128GB eMMC + 160GB Docking Station Set), Intel UHD Graphics, 720p Webcam, Wi-Fi, 1 Year Office 365, Win 11 S, Silver",$309.00,https://m.media-amazon.com/images/I/61Uw0-2+2YL._AC_UY218_.jpg,"Wed, Jan 22",No coupon,2025-01-12 19:08:49
Dell Optiplex 7050 SFF Desktop PC Intel i7-7700 4-Cores 3.60GHz 32GB DDR4 1TB SSD WiFi BT HDMI Duel Monitor Support Windows 10 Pro Excellent Condition(Renewed),$230.99,https://m.media-amazon.com/images/I/61FVIijQp2L._AC_UY218_.jpg,"Wed, Jan 22",No coupon,2025-01-12 19:08:49
HP Chromebook Laptop • 14 Inch Display • Intel Celeron N4120 Processor • 8GB RAM • 128GB eMMC • Intel UHD Graphics 600 • WiFi • Bluetooth • Backlit Keyboard • Chrome OS • Modern Gray,$164.99,https://m.media-amazon.com/images/I/51PsNbMd-CL._AC_UY218_.jpg,"Wed, Jan 22",No coupon,2025-01-12 19:08:49
"HP 15.6"" Portable Laptop (Include 1 Year Microsoft 365), HD Display, Intel Quad-Core N200 Processor, 16GB RAM, 128GB Storage, Wi-Fi 6, Webcam, HDMI, Numeric Keypad, Windows 11 Home, Silver",$329.99,https://m.media-amazon.com/images/I/713XTyObMWL._AC_UY218_.jpg,"Wed, Jan 22",No coupon,2025-01-12 19:08:49
"HP Portable Laptop, Student and Business, 14"" HD Display, Intel Quad-Core N4120, 16GB DDR4 RAM, 64GB eMMC, 1 Year Office 365, Webcam, RJ-45, HDMI, Wi-Fi, Windows 11 Home, Silver",$208.87,https://m.media-amazon.com/images/I/61IpRGnny7L._AC_UY218_.jpg,"Wed, Jan 22",No coupon,2025-01-12 19:08:49
"TPV 16"" Laptop Computer Intel Core i5, 16GB RAM, 512GB SSD, MS Office 2024, IPS(1920 x 1200) 16:10 Display, Windows 11 Pro Notebook PC with BT5.0 Wi-Fi, 3xUSB A, HDMI, RJ45, Backlit Keyboard, Gray",$329.00,https://m.media-amazon.com/images/I/81StbXTGn1L._AC_UY218_.jpg,"Wed, Jan 22",No coupon,2025-01-12 19:08:49
"KAMRUI GK3Plus Mini PC with Windows 11Pro, 16GB RAM 512GB M.2 SSD Mini Computers,12th Gen Alder Lake N95 (up to 3.4GHz) Micro PC, 2.5''SSD, Gigabit Ethernet,4K UHD,WiFi,BT,VESA/Home/Business Small pc",$169.00,https://m.media-amazon.com/images/I/61x9n4E3a7L._AC_UY218_.jpg,"Wed, Jan 22",$20.00 off coupon applied,2025-01-12 19:08:49
"ASUS Chromebook CM14 Laptop, 14"" HD Anti-Glare Display (1366x768), MediaTek Kompanio 520, 4GB RAM, 64GB eMMC, ChromeOS, Gray, CM1402CM2A-DS44, Gravity Grey",$156.47,https://m.media-amazon.com/images/I/616aCuRtnpL._AC_UY218_.jpg,"Wed, Jan 22",No coupon,2025-01-12 19:08:49
"acer Gateway Chromebook 311 CBO311-1H-C1MX Laptop | Intel Celeron N4500 | 11.6"" HD (1366 x 768) Display | 4GB LPDDR4X | 64GB eMMC | Wi-Fi 5 802.11ac | Chrome OS | Star Black",$143.00,https://m.media-amazon.com/images/I/61s7XxkIC5L._AC_UY218_.jpg,No promotion,No coupon,2025-01-12 19:08:49
"Dell OptiPlex 7070 SFF Desktop Computer PC, Intel 8 Core i7-9700 3.0GHz up to 4.70GHz,32GB DDR4 Ram New 1TB NVMe M.2 SSD,AX210 Built-in WiFi 6E,Windows 11 Pro, Wireless Keyboard & Mouse (Renewed)",$396.99,https://m.media-amazon.com/images/I/61GGkjt2U+L._AC_UY218_.jpg,"Wed, Jan 22",No coupon,2025-01-12 19:08:49
"DreamQuest Mini Desktop Computer Windows 11 Pro Preinstalled, Intel 12th N95 (up to 3.4GHz) Mini Pc with 16GB RAM 512GB M.2 SSD, USB3.2, BT4.2,WiFi 5,4k HDMI, Gigabit Port for Home Office",$199.99,https://m.media-amazon.com/images/I/515sHKPX5FL._AC_UY218_.jpg,"Wed, Jan 22",$30.00 off coupon applied,2025-01-12 19:08:49
"Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode",$321.99,https://m.media-amazon.com/images/I/61gKkYQn6lL._AC_UY218_.jpg,"Wed, Jan 22",No coupon,2025-01-12 19:08:49
"ApoloSign 15.6"" Full HD Laptop, 12GB RAM, 512GB SSD, Expandable to 1TB, Intel N5095 Processor, Dual-Band WiFi, 178° Viewing Angle, Dual Speakers-Gray",$289.99,https://m.media-amazon.com/images/I/71yFp1LYUGL._AC_UY218_.jpg,No promotion,No coupon,2025-01-12 19:08:49
"HP 17 Business Laptop, 17.3” HD+ Display, 11th Gen Intel Core i3-1125G4 Processor, 32GB RAM, 1TB SSD, Wi-Fi, HDMI, Webcam, Windows 11 Pro, Silver",$549.99,https://m.media-amazon.com/images/I/61TGRBGTNzL._AC_UY218_.jpg,No promotion,No coupon,2025-01-12 19:08:49
"AINOTE Air 2 Note Taking Tablet, 8.2-inch Writing Tablet for Adults, Voice Transcribe Support 8 Languages, 32GB Memory, Digital Notebook with Stylus Pen, E Ink Paper Tablet for Meetings, Grey",$549.00,https://m.media-amazon.com/images/I/61s6bh84g5L._AC_UY218_.jpg,"Wed, Jan 22",$90.00 off coupon applied,2025-01-12 19:08:49
"15.6"" FHD 1920X1080 Screen Laptop, High Performance Quad-Core Celeron N5095 Processors, 12GB DDR4 512GB SSD Computers Laptop, 2.4G/5G WiFi, Bluetooth 4.2, Webcam(Gray)",$799.99,https://m.media-amazon.com/images/I/71Crmel8LuL._AC_UY218_.jpg,"Fri, Jan 24",No coupon,2025-01-12 19:08:49
"17.3 Inch Laptops Computer, Laptop with Celeron J4105 Processor(up to 2.5 GHz), 8GB DDR4 256GB SSD Notebook, 8000mAh, Webcam, Mini HDMI, Dual WiFi, Type-C, USB3.2 * 2(Gray)",$849.99,https://m.media-amazon.com/images/I/71fBFBDNPXL._AC_UY218_.jpg,"Thu, Jan 23",No coupon,2025-01-12 19:09:03
