Category,Title,Price,Screen Size,Maximum Resolution,Aspect Ratio,Refresh Rate,Response Time,Brand,Model,Collection Date
Gaming Monitors,BenQ MOBIUZ EX240 (24.5-inch IPS HDR 1ms 165Hz) Gaming Monitor-,EUR 68.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:58:15
Gaming Monitors,"27-Inch Curved Gaming Monitor – 100Hz Refresh Rate, FHD 1080P, AMD FreeSync",$157.44,27 in,N/A,16:9,100 Hz,5 ms,Gawfolk,N/A,2025-01-27 01:57:49
Gaming Monitors,"New HP V27i G5 27"" LCD FHD Monitor AMD FreeSync Tilt 75Hz HDMI VGA DisplayPort",$79.99,"27""",N/A,16:9,75 Hz,5 ms,HP,V27i G5,2025-01-27 01:59:04
Gaming Monitors,"MSI 27"" Gaming Monitor 1ms 170Hz (2560x1440) QHD Rapid IPS G-Sync HDR",$130.79,27 in,N/A,16:09,170 Hz,1 ms,MSI,G274QPF,2025-01-27 02:00:59
Gaming Monitors,"MSI G244F E2 24"" FHD Flat Rapid IPS Gaming Monitor, 180Hz/1ms",$89.99,"23.8"" inches",N/A,16:9,180 Hz,1 ms (GTG),MSI,N/A,2025-01-27 01:57:44
Gaming Monitors,"Viotek 27"" Height Adjustable QHD Gaming Monitor 180hz 1440p 1ms HDMI, DP",US $129.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 02:01:59
Gaming Monitors,Gaming moniter,$106.11,21.45,N/A,N/A,75 Hz,1 ms,Xiaomi,Acer Nitro VG270,2025-01-27 01:57:45
Gaming Monitors,"Viotek 22"" LED Monitor GFV22CB, 1080P 5ms, 144Hz, G-Sync-Compatible FreeSync",$74.98,22 in,N/A,16:9,144 Hz,5 ms,VIOTEK,GFV22CB,2025-01-27 02:01:40
Gaming Monitors,"Onn 22"" Inch Full HD Desktop Computer Monitor HDMI VGA 60hz Refresh 6.5ms 1080p",$28.21/ea,22 in,N/A,16:9,60 Hz,N/A,ONN,N/A,2025-01-27 02:00:52
Gaming Monitors,"Viotek 27"" LED Height Adjustable Gaming Monitor 240Hz 1080p Full-HD 1ms HDMI DP",$129.99,27 in,N/A,21:9,240 Hz,1 ms,VIOTEK,GFT27CXB,2025-01-27 01:58:47
Gaming Monitors,G255f Gaming Screen,$115.47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:58:25
