Title,Price,Brand,Memory Size,Memory Type,Chipset/GPU Model,Connectors,Collection Date
XFX SPEEDSTER SWFT 309 Radeon RX 6700 XT 12GB GDDR6 Graphics Card,$250.00 ,XFX,12 GB,GDDR6,AMD Radeon RX 6700 XT,"DisplayPort, HDMI",2/1/2025 17:56
NVIDIA TESLA K80 24GB GDDR5 GPU GRAPHICS CARD ACCELERATOR 699-22080-0200-511,$42.99 ,NVIDIA,24 GB,GDDR5,NVIDIA Tesla K80,N/A,2/1/2025 17:56
ASUS KO Nvidia GeForce RTX 3060 Ti V2 OC Edition 8GB GDDR6 gaming Graphics Card,$1.00 ,ASUS,8 GB,GDDR6,NVIDIA GeForce RTX 3060 Ti,"DisplayPort, HDMI",2/1/2025 17:56
GIGABYTE Radeon RX 7600 XT 16GB Gaming OC GDDR6 Video Graphics Card GPU,$324.99 ,GIGABYTE,16GB,GDDR6,AMD Radeon RX 7600 XT,HDMI,2/1/2025 17:56
Low Profile Bracket For Dell AMD Radeon RX550 RX640 R9J9P 6J78X Graphics Card,$8.65 ,Unbranded,Does Not Apply,N/A,AMD Radeon RX 550,"DisplayPort, Mini DisplayPort",2/1/2025 17:56
AMD Radeon RX 570 8GB GDDR5 Gaming Graphics Card,US $74.00,N/A,N/A,N/A,N/A,N/A,2/1/2025 17:56
SAPPHIRE GeForce GT 705 1GB DDR3 PCI-E Graphics card,$14.00 ,SAPPHIRE,1 GB,DDR3,NVIDIA GeForce GT 705,"DVI, HDMI, VGA",2/1/2025 17:56
Dell Nvidia RTX A5000 QN20-E5-A1 Graphics Card For Precision 7760 - 16 GB NJ5ND,US $355.00,N/A,N/A,N/A,N/A,N/A,2/1/2025 17:56
NVIDIA GTX 1660 SUPER 6GB Graphics Card - PARTS ONLY,US $20.00,N/A,N/A,N/A,N/A,N/A,2/1/2025 17:56
BIOSTAR Radeon RX 550 4GB GDDR5 Graphics Card (VA5515RF41TBMRABS2),$11.50 ,BIOSTAR,4 GB,GDDR5,AMD Radeon RX 550,"DisplayPort, DVI-D, HDMI",2/1/2025 17:56
512MB XFX ATi Radeon HD5750 Dual DVI / HDMI / DisplayPort PCI-e Graphics Card,$21.06 ,XFX,512 MB,GDDR5,ATI Radeon HD 5750,"DisplayPort, DVI, HDMI",2/1/2025 17:56
Dell AMD Radeon R5 340X 2GB GDDR3 PCI-Express DVI DisplayPort Video Graphics Car,$21.95 ,Dell,2 GB,GDDR3,Dell AMD Radeon R5 340X,"DisplayPort, DVI",2/1/2025 17:56
MSI GeForce GTX 1660 SUPER™ VENTUS XS OC 6GB Graphics Card USED WORKS GOOD,$20.00 ,MSI,6 GB,DDR6,GeForce GTX 1660 SUPER™ VENTUS XS,"DisplayPort, HDMI",2/1/2025 17:56
BIOSTAR Radeon RX 550 4GB GDDR5 Graphics Card (VA5515RF41TBMRABS2),$11.50 ,BIOSTAR,4 GB,GDDR5,AMD Radeon RX 550,"DisplayPort, DVI-D, HDMI",2/1/2025 17:56
SAPPHIRE Pulse Radeon RX 580 8GB GDDR5 Graphics Card,$61.00/ea,SAPPHIRE,8 GB,GDDR5,AMD Radeon RX 580,"DisplayPort, DVI, DVI-D, HDMI",2/1/2025 17:56
