Category,Title,Price,Brand,Memory Size,Memory Type,Chipset/GPU Model,Connectors,Collection Date
Graphics Cards,NVIDIA GeForce GTX Titan X 12GB GDDR5 Pascal Graphics Card 900-1G611-2500-000,$159.99,NVIDIA,12GB,GDDR5,NVIDIA GeForce GTX TITAN X,1x DVI / 1x HDMI / 3x Display Port,2025-01-28 17:42:52
Graphics Cards,NVIDIA GeForce GTX TITAN XP 12GB GDDR5X Graphics Card 900-1G611-2530-000,$194.99,NVIDIA,12GB,GDDR5X,NVIDIA GeForce GTX TITAN Xp,1x HDMi 3x Display Port,2025-01-28 17:43:47
Graphics Cards,"Lenovo Radeon RX 7600 graphics card,8GB GDDR6 memory, 1xHDMI and 3xDisplayPorts",$218.98,Dell,8 GB,GDDR6,Radeon RX 7600,"DisplayPort, HDMI",2025-01-28 17:46:18
Graphics Cards,XFX Speedster QICK309 Radeon RX 7600XT Black Gaming Graphics Card 16GB GDDR6,$187.50,XFX,16 GB,GDDR6,AMD Radeon RX 7600XT,"DisplayPort, HDMI",2025-01-28 17:45:59
Graphics Cards,ASROCK AMD Radeon RX 6600 XT Challenger OC 8GB GDDR6 Graphics card New Unopened,$167.50,ASRock,8 GB,GDDR6,AMD Radeon 6600XT,"DisplayPort, HDMI",2025-01-28 17:42:57
Graphics Cards,EVGA GeForce RTX 3070 Ti FTW3 ULTRA GAMING 8GB GDDR6X Graphics Card,$251.00,EVGA,8 GB,GDDR6X,NVIDIA GeForce RTX 3070 Ti,"DisplayPort, HDCP, HDMI",2025-01-28 17:43:40
Graphics Cards,MSI Radeon RX 570 8GB ARMOR 8GB OC GDDR5 AMD Graphics Card,US $27.81,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:45:44
Graphics Cards,SAPPHIRE PULSE Radeon RX 7900 XT 20GB GDDR6 PCI 4.0 ATX Video Graphics Card GPU,$680.99,SAPPHIRE,20 GB,GDDR6,AMD Radeon RX 7900 XT,"DisplayPort, HDMI",2025-01-28 17:44:29
Graphics Cards,ASUS TUF GeForce RTX 3070 OC 8GB GDDR6 Graphics Card,$270.00,ASUS,8 GB,GDDR6,NVIDIA GeForce RTX 3070,"DisplayPort, HDMI",2025-01-28 17:43:42
Graphics Cards,GIGABYTE Gaming OC 4G Graphics Card... Radeon RX 560,$19.99,GIGABYTE,4 GB,GDDR5,NVIDIA GeForce GTX 1070 Ti,"DisplayPort, DVI, DVI-D, HDMI, USB 3.0, Component",2025-01-28 17:46:44
Graphics Cards,OEM New For ASUS ProArt GeForce RTX 4080 16GB OC Edition GDDR6X Graphics card,"US $1,518.00/ea",N/A,N/A,N/A,N/A,N/A,2025-01-28 17:45:23
Graphics Cards,AMD Radeon rx 6900 xt Sapphire Graphics Card GPU,"$2,050.00",SAPPHIRE,16 GB,GDDR6,AMD Radeon RX 6900 XT,"DisplayPort, HDMI",2025-01-28 17:46:21
Graphics Cards,AMD Radeon RX 6800 XT 16GB GDDR6 Graphics Card 102D4120500 694864,US $450.00,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:44:12
Graphics Cards,Dell NDRG5 AMD Radeon RX 550 4GB GDDR5 Graphics Card,$40.00,Dell,4 GB,GDDR5,AMD Radeon RX 550,"DisplayPort, DVI, HDMI",2025-01-28 17:46:26
Graphics Cards,AMD FirePro W5100 4-Port DP 4GB GDDR5 Video Graphics Card; Tested,$29.99,AMD,4GB,GDDR5,AMD FirePro W5100,Display Port,2025-01-28 17:46:25
Graphics Cards,ZOTAC ZT-P10810B-10P GeForce GTX 1080 Ti Blower 11GB GDDR5X Graphics Card,$150.00,ZOTAC,11GB,GDDR5X,NVIDIA GeForce GTX 1080 Ti,"DisplayPort, HDMI",2025-01-28 17:46:17
Graphics Cards,NVIDIA GeForce GTX Titan X 12GB GDDR5 Pascal Graphics Card 900-1G611-2500-000,$159.99,NVIDIA,12GB,N/A,Does not apply,N/A,2025-01-28 17:43:14
Graphics Cards,NVIDIA QUADRO RTX 5000 16GB GDDR6 Graphics Card,$475.00,Graphics,16 GB,GDDR6,NVIDIA Quadro 5000,N/A,2025-01-28 17:46:04
Graphics Cards,PowerColor Red Devil AMD Radeon RX 6900 XT Ultimate 16GB GDDR6 Graphics Card,$460.00,PowerColor,16 GB,GDDR6,AMD Radeon RX 6900 XT,"DisplayPort, HDMI, USB-C",2025-01-28 17:46:45
Graphics Cards,AMD Radeon HD 7770  2GB Graphics Card Used Working,$16.79,AMD Radeon,2 GB,n/a,AMD Radeon HD 7770,"DVI, HDMI",2025-01-28 17:46:01
Graphics Cards,"Zotac GeForce GTX 1070 8GB Mini Graphics Card GPU | 1yr Warranty, Fast Ship!",$119.95/ea,Zotac,8 GB,GDDR5,Nvidia GeForce GTX 1070,"DisplayPort, HDMI",2025-01-28 17:43:38
Graphics Cards,ASRock Radeon RX 6600 8GB PCI Express 4.0 Video Graphics Card CLD 8G GPU,$198.99,ASRock,8 GB,GDDR6,AMD Radeon RX 6600,"DisplayPort, HDMI",2025-01-28 17:43:46
Graphics Cards,NVIDIA Founders Edition GeForce RTX 3080 Ti 12GB GDDR6X GPU - Very Good + Box!,$576.99,NVIDIA,12 GB,GDDR6X,NVIDIA GeForce RTX 3080,"DisplayPort, HDMI",2025-01-28 17:45:56
Graphics Cards,PNY NVIDIA RTX A5000 24GB GDDR6 VRAM Workstation Graphics Card - VCNRTXA5000-PB,"$1,399.99",PNY,24GB,GDDR6,A5000,"DisplayPort, DisplayPort 1.4a",2025-01-28 17:43:37
Graphics Cards,MSI Mech Radeon RX 6500 XT 4GB GDDR6 PCIe 4.0 Video Graphics Card GPU,$99.99,MSI,4GB,GDDR6,Radeon RX 6500 XT,N/A,2025-01-28 17:43:13
Graphics Cards,ASUS Geforce RTX 3070 8GB SI GDDR6 DUAL-RTX3070-8G-SI Video Graphics Card GPU,$349.99,ASUS,8GB,GDDR6,NVIDIA GeForce RTX 3070,HDMI,2025-01-28 17:43:33
Graphics Cards,PowerColor Radeon RX 6950 XT 16GB Red Devil GDDR6 Video Graphics Card GPU,$529.99,PowerColor,16 GB,GDDR6,AMD Radeon RX 6950 XT,"DisplayPort, HDMI",2025-01-28 17:46:03
Graphics Cards,"GIGABYTE Radeon RX 7800 XT GAMING OC 16GB Graphics Card, 3x WINDFORCE Fans GPU",$513.49,GIGABYTE,16 GB,GDDR6,AMD Radeon RX 7800 XT,"DisplayPort, HDMI",2025-01-28 17:43:32
Graphics Cards,ASUS TUF Gaming GeForce RTX 4090 O24G OC D6X 24GB Graphics Card,$799.99,ASUS,24 GB,GDDR6X,GeForce RTX 4090 O24G OC D6X 24GB,"DisplayPort, HDCP, HDMI",2025-01-28 17:46:11
Graphics Cards,Nvidia 1080 Ti Video Card 8GB,$140.00,EVGA,8 GB,N/A,NVIDIA GeForce GTX 1080 Ti,N/A,2025-01-28 17:45:19
Graphics Cards,AMD Radeon RX 550 4GB GDDR5 PCIe Graphics Card DisplayPort FULL HEIGHT,$36.99,AMD,4 GB,GDDR5,AMD Radeon RX 550,"DisplayPort, mini-HDMI",2025-01-28 17:45:54
Graphics Cards,Nvidia Tesla P4 8GB GPU Graphics Card GDDR5 Supermicro PCI-E Both Brackets,$105.00,NVIDIA,8 GB,GDDR5,NVIDIA Tesla P4,N/A,2025-01-28 17:45:52
Graphics Cards,Dell Nvidia T1000 8GB Graphics Card - GDDR6 - Low Profile - PCI-e 3.0 X16 05NM32,$249.95/ea,Dell,8 GB,GDDR6,GDDR6,N/A,2025-01-28 17:43:42
Graphics Cards,*NO BRACKET* PNY NVIDIA GeForce RTX 2080 Ti 11GB PCI-E 3 Graphics Video Card GPU,$239.99,PNY,11 GB,GDDR6,NVIDIA GeForce RTX 2080 Ti,N/A,2025-01-28 17:46:29
Graphics Cards,PNY NVIDIA RTX A400 VCNRTXA400ATX-PB 4 GB GDDR6 PCIe Gen 4 Graphics Card,$182.99,PNY,N/A,N/A,N/A,N/A,2025-01-28 17:43:57
Graphics Cards,MSI GTX 760 2GB GDDR5 Graphics Card HDMI DVI PCI-E 3.0 Cooling,EUR 7.34,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:46:07
Graphics Cards,AMD FirePro W2100 2GB DDR3 Graphics Card - 2x DisplayPort,$8.00,AMD,2 GB,DDR3,AMD FirePro W2100,DisplayPort,2025-01-28 17:46:25
Graphics Cards,NVIDIA Tesla A100 40GB PCI-e SXM4 GPU Graphics Card Driver 900-21001-0000-000,"$4,790.00",NVIDIA,N/A,N/A,NVIDIA Tesla A100,N/A,2025-01-28 17:46:00
Graphics Cards,VisionTek Radeon 9250 128MB PCI Computer Video Card SEALED NEW IN BOX,$59.99,VisionTek,128MB,N/A,ATI Radeon 9250,"DVI-I, TV Out, VGA",2025-01-28 17:45:49
