Title,Price,RAM,CPU,Model,Brand,GPU,Screen Size,Storage,Collection Date
"MICROSOFT SURFACE BOOK 2 - 15"" - i7, 16GB, 1TB SSD, NVIDIA GeForce 1060 GPU",$516.17,N/A,N/A,N/A,N/A,GeForce GTX 1060,N/A,N/A,2025-02-05 01:14:15
"Lenovo Ideapad 5x 2-in-1 14"" OLED Copilot+ PC Snapdragon X Plus 16GB RAM 1TB SSD",$599.99,16 GB,Qualcomm Snapdragon X Plus,83GH0009US,Lenovo,Qualcomm Adreno,14 in,1 TB,2025-02-05 01:14:21
"~UPADATED SPECS~ 15.6"" Lenovo Gaming Laptop: Intel i7! 32GB RAM~1TB SSD! Nvidia!",US $319.95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-02-05 01:14:20
"Dell 15.6"" NVIDIA Gaming Laptop - Intel Quad Core i7 64GB RAM 4TB SSD Windows 11",US $449.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-02-05 01:14:22
"Dell Inspiron 3530 15.6"" FHD Touch Laptop i7-1355U 16GB 1TB SSD i3530-7837BLK",$499.00,16 GB,Intel Core i7,Dell I3530-7837BLK-PUS,Dell,N/A,15.6 In.,1024 GB,2025-02-05 01:14:18
"HP ProBook 650 G2 15.6"" Core i7 6820HQ 2.7GHz 16GB RAM 1TB SSD Win 11 Pro",$269.00,16 GB,Intel Core i7-6820HQ,HP ProBook,HP,Intel HD Graphics,15.6 in,1 TB,2025-02-05 01:14:11
FHD DELL Latitude Laptop: Intel i7! 32GB RAM ~ 1TB NVME SSD! Windows 11 Pro!,$328.95,32 GB,Intel Core i7-8650U,Dell Latitude 7300,Dell,Intel UHD Graphics 620,13.3 in,1 TB,2025-02-05 01:14:14
Dell Precision 15.6” Laptop Core i5 11th Gen 32GB RAM 512GB SSD Windows 11 Pro,$398.03,32 GB,Intel Core i5-1145G7,Dell Precision 3560,Dell,Intel Iris Xe Graphics,15.6 in,512 GB,2025-02-05 01:14:13
"ASUS Zenbook 14 Laptop AMD Ryzen 7 8840HS 16GB RAM 512GB SSD 14"" Touch W11H",US $619.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-02-05 01:14:11
"Dell Latitude Laptop PC Computer 13.3"" HD Core i3 16GB RAM 128GB SSD Windows 11",$129.99,16 GB,Intel Core i3-8145U,Dell Latitude 3310,Dell,Intel HD Graphics 520,13.3 in,128 GB,2025-02-05 01:14:20
"Dell Inspiron 3520 15.6"" FHD Touch i5-1235U 16GB 512GB SSD Webcam Win 11 S Black",$426.87/ea,16 GB,Intel Core i5 12th Gen.,Dell Inspiron 15 3520,Dell,N/A,15.6 in,512 GB,2025-02-05 01:14:18
"Dell Latitude 14"" FHD Laptop 4-Core i5 4.2GHz 16GB RAM 512GB SSD NVMe Windows 11",$258.72,16 GB,Intel Core i5-10210U,Dell Latitude 5410,Dell,Intel UHD Graphics,14 in,512 GB,2025-02-05 01:14:13
Dell Latitude Light Gaming Laptop Core i7 4.20GHz Windows 11 64GB RAM 4TB SSD,$389.99,N/A,Intel Core i7 8th Gen.,Dell Latitude 7490,Dell,Intel UHD Graphics 620,14 in,N/A,2025-02-05 01:14:14
"Lenovo 14"" FHD Laptop - Core i3 - 8GB RAM - 256GB Storage - Win 11 (82QC006KUS)",$219.99,8 GB,Intel Core i3 i3-1215U,82QC006KUS,Lenovo,Intel UHD Graphics,14 in,256 GB,2025-02-05 01:14:17
"Lenovo TP E16 Gen 2 16"" WUXGA Laptop AMD Ryzen 7 7735U 16GB DDR5 512GB SSD W11P",$511.00,16 GB,AMD Ryzen 7 7735U,ThinkPad E16 Gen 2,Lenovo,AMD Radeon 680M,16 in,512 GB,2025-02-05 01:14:17
"Dell Latitude 5590 15.6"" Laptop Intel Core i5 2.7GHz 32GB 512GB SSD W 11 pro",$289.99,32 GB,i5-8250U,Latitude 5590,Dell,N/A,15.6 in,512 GB,2025-02-05 01:14:21
"Dell Inspiron 14 5430 14"" Laptop Intel Core i7 3.7 Ghz 16 GB Ram 1024 GB HDD",$511.80,16 GB,Intel Core i7 13th Gen.,Dell  I5430-7381SLV-PUS,Dell,N/A,14 in,1 TB,2025-02-05 01:14:12
"Lenovo ThinkPad 15.6"" Laptop PC: Intel i5 16GB RAM 1TB SSD Webcam Windows 10",$209.99,16 GB,Intel Core i5 5th Gen.,Lenovo Thinkpad E550,Lenovo,Intel HD Graphics,15.6 in,1 TB,2025-02-05 01:14:19
HP EliteBook 830 G7 FHD Laptop Intel Core i7 32GB RAM 256GB SSD Win11 Pro,$299.99,32 GB,Intel Core i7-10610U,HP EliteBook 830 G7,HP,N/A,13.3 in,256 GB,2025-02-05 01:14:10
"Lenovo ThinkPad T480s 14"" Laptop i5 8th Gen 500GB NVME 16GB RAM Win 11 Pro FHD",$237.99,16 GB,Intel Core i5 8th Gen.,Lenovo ThinkPad T480s,Lenovo,Intel UHD Graphics,14 in,500 GB,2025-02-05 01:14:20
"ThinkPad Yoga 2-In-1 X13 G2 13.3"" TOUCH i7-1185G7 16GB 256GB NVMe SSD Win-11 PRO",$499.95,16 GB,Intel Core i7 11th Gen.,Lenovo ThinkPad X13 Yoga 2nd Generation,Lenovo,Intel Iris Xe Graphics,13.3 in,256 GB,2025-02-05 01:14:20
Dell Latitude Laptop Computer Intel Core i3 Windows 11 8GB RAM 128GB SSD WiFi,$139.31,8 GB,Intel Core i3-8145U,Dell Latitude 3310,Dell,Intel UHD Graphics,13.3 in,128 GB,2025-02-05 01:14:09
"Lenovo IdeaPad 5 2-in-1 14AHP9 Ryzen 7 8845HS 16GB 1TB SSD 14"" FHD+ Touch W11",$469.00,16 GB,AMD Ryzen 7,Lenovo IdeaPad 5 2-in-1,Lenovo,AMD Radeon Graphics,14 in,1 TB,2025-02-05 01:14:22
"HP 15-dy4009cy 15.6"" Touch Laptop Intel i5-1155G7 12gb 512gb SSD Win11",$359.99,12 GB,Intel Core i5 11th Gen.,15-dy4009cy,HP,N/A,15.6 in,512 GB,2025-02-05 01:14:14
"Dell Latitude 3380 13.3"" Laptop PC Intel Core i3 16GB RAM 128GB SSD Windows 10",$122.95,16 GB,Intel Core i3-6006U,Dell Latitude 3380,Dell,Intel HD Graphics 4400,13.3 in,128 GB,2025-02-05 01:14:28
"~CLEARANCE~ 14"" Dell Latitude Laptop PC: Intel i5! 8GB RAM! 256GB SSD! Webcam!",$139.95,8 GB,Intel Core i5 3rd Gen.,Dell Latitude E6230,Dell,Intel HD Graphics,12.5 in,256 GB,2025-02-05 01:14:18
