Category,Title,Price,RAM,CPU,Model,Brand,GPU,Screen Size,Storage,Collection Date
Laptops,"Apple MacBook Pro  13"" 2020 2.3GHz i7 32GB RAM 1TB SSD A2251 macOS Sequoia",US $415.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:14:54
Laptops,2023 Apple MacBook Pro 16-inch Laptop - M3 Max 16C CPU 40C GPU 64GB RAM 1TB SSD,"$2,099.00",64 GB,Apple M3 Max,pro m3 max 16,Apple,N/A,16 in,1 TB,2025-01-28 17:14:49
Laptops,"Apple MacBook Pro 16 in 2019 Silver/Intel Core i7 2.60 GHz, 512 GB 16 GB",$285.00,16 GB,Intel Core i7,MacBook Pro,Apple,N/A,16 in,512 GB,2025-01-28 17:16:29
Laptops,"Apple MacBook Air A1932 13"" Core i5 8GB SSD 256GB Silver 2018.  w/Original Box.",$113.50,8 GB,1.6 GHz Core i5 (I5-8210Y),MVFL2LL/A,Apple,N/A,"13""",256GB,2025-01-28 17:16:35
Laptops,"MacBook 2017 12"" 1.3GHz Core i5 512GB 8GB Gray (Read Description) 3wnikgb9zoib",US $62.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:16:09
Laptops,"2022 Apple Macbook Air 13.6"" M2 Midnight 16GB",$529.00,16 GB,Apple M2,A2681,Apple,N/A,13.6 in,512 GB,2025-01-28 17:14:03
Laptops,"Apple MacBook Pro  13"" 2020 1.4GHz i5 16GB RAM 500GB SSD A2289 macOS Sequoia",$222.50,16 GB,Intel Core i5 10th Gen.,MacBook Pro,Apple,N/A,13 in,500 GB,2025-01-28 17:17:19
Laptops,FULL SET MacBook Pro 16 inch 64GB 1TB HD 5500M AMD Radeon Pro i9 8-core Gray,"$1,590.00",64 GB,Intel Core i9 10th Gen.,MacBook Pro (Magic Keyboard),Apple,N/A,16 in,1 TB,2025-01-28 17:14:52
Laptops,"Apple Macbook Air MLY33LL/A 2022 M2 - Magsafe 3 - 13.6""  8GB/256GB SSD Excellent",$668.00,8 GB,Apple M2,MacBook Air,Apple,N/A,13.6,256 GB,2025-01-28 17:15:56
Laptops,"Apple Macbook Air 13"" Laptop | i5 4GB RAM + 128GB SSD | MacOS Big Sur | Warranty",$139.00,4 GB,Intel Core i5,MacBook Air,Apple,N/A,11 in,128 GB,2025-01-28 17:17:01
Laptops,"Apple MacBook Pro Core i7 2.5GHz 16GB RAM 512GB SSD 15"" MJLT2LL/A - Very Good",$394.97,16 GB,Intel Core i7,Apple MacBook Pro,Apple,N/A,15.4 in,512 GB,2025-01-28 17:14:50
Laptops,"Apple Early 2020 MacBook Air 13"" 1.1GHz i3 16GB RAM 256GB SSD - Very good",$399.99,16 GB,Intel Core i3 10th Gen.,MacBook Air,Apple,N/A,13.3 in,256 GB,2025-01-28 17:14:22
Laptops,"Apple Early 2020 MacBook Air 13"" 1.1GHz i3 16GB RAM 256GB SSD - Very good",$399.99,16 GB,Intel Core i3 10th Gen.,MacBook Air,Apple,N/A,13.3 in,256 GB,2025-01-28 17:17:21
Laptops,"Apple MacBook Pro 13"" Core i7 3.5GHz 16GB RAM 512GB SSD - Very Good",$419.99,16 GB,Intel Core i7 7th Gen.,MacBook Pro,Apple,N/A,13 in,512 GB,2025-01-28 17:15:59
Laptops,"Apple MacBook Air 13.3"" Core i3 1.10 GHz 8GB 128GB SSD MWTJ2LL/A",US $299.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:14:11
Laptops,Apple Macbook Air Mryu3ll/a 2024 Ms3-35w M3 Chip 8GB 15.3in 256GB SSD 8CPU/10GPU,$869.00,8 GB,Apple M3,MacBook Air,Apple,N/A,15.3 in,256 GB,2025-01-28 17:13:51
Laptops,Apple MacBook Air 13-inch 2024 M3 / 8GB RAM / 256GB SSD / 8-Core GPU / Midnight,$799.00,8 GB,Apple M3,13 AIR M3,Apple,N/A,13 in,256 GB,2025-01-28 17:18:29
Laptops,"APPLE MACBOOK PRO A1708 13"" i5 2.0GHz 8GB 256GB 2016 *GRADE D*",$154.99,8 GB,Intel Core i5 6th Gen.,MacBook Pro,Apple,N/A,13 in,256 GB,2025-01-28 17:15:59
Laptops,Apple Macbook Pro 15 Laptop | Quad Core i7 + 8GB RAM + 256GB SSD | OS Catalina,$189.00,8GB,Intel Quad Core i7,MacBook Pro (Retina),Apple,N/A,15 in,256 GB,2025-01-28 17:14:05
Laptops,Apple MacBook Pro 13” Dual Core i5 8GB RAM  500GB HDMacOs Catalina. DVD PLAYER,$129.00/ea,8 GB,Intel Core i5 3rd Gen.,A1278,Apple,N/A,13 in,N/A,2025-01-28 17:16:11
Laptops,"Apple MacBook 2016 12"" 1.1GHz Core M3 256GB SSD 8GB RAM",US $249.00/ea,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:13:45
Laptops,"Apple MacBook Pro 13"" Core i7 3.5GHz 16GB RAM 512GB SSD - Very Good",$419.99,16 GB,Intel Core i7 7th Gen.,MacBook Pro,Apple,N/A,13 in,512 GB,2025-01-28 17:15:53
Laptops,"Apple MacBook Pro Retina 13"" Core i5 8GB SSD 128GB Gray Mid 2017 GOOD CONDITION",$190.00,8 GB,2.3 GHz Core i5 (I5-7360U),MPXQ2LL/A,Apple,N/A,"13""",128GB,2025-01-28 17:16:41
Laptops,"Apple Macbook Air 11"" Laptop | i5 4GB RAM + 128GB SSD | MacOS Big Sur | Light Up",$139.00,4 GB,Intel Core i5 3rd Gen.,MacBook Air,Apple,N/A,11 in,128 GB,2025-01-28 17:16:11
Laptops,Apple Macbook Air Mryu3ll/a 2024 Ms3-35w M3 Chip 8GB 15.3in 256GB SSD 8CPU/10GPU,$869.00,8 GB,Apple M3,MacBook Air,Apple,N/A,15.3 in,256 GB,2025-01-28 17:16:54
