Title,Price,RAM,CPU,Model,Brand,GPU,Screen Size,Storage,Collection Date
"HP X360 11 G5 Laptop 11"" Touchscreen Pentium Silver 8GB RAM 128GB SSD Windows 10",$139.66/ea,8 GB,Intel Pentium Silver N5030,HP ProBook X360 11 G5 EE,HP,Intel UHD Graphics 605,11.6 in,128 GB,1/29/2025 22:22
HP ProBook X360 11 G6 EE Touch Laptop 11.6” Core i3 8GB RAM 128GB SSD Windows 11,$185.71 ,8 GB,Intel Core i3 10th Gen.,HP ProBook X360 11 G6 EE,HP,Intel HD Graphics,11.6 in,128 GB,1/29/2025 22:23
lenovo legion y90,$560.00 ,16 GB,qualcom snapdragon 8 gen 1,lenovo y90,Lenovo,andreno 730,6.9,256 GB,1/29/2025 22:22
"Lenovo 500w Gen 3 11.6"" Touch,Intel Celeron N5100,256G SSD, 8G RAM,W11",US $4.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1/29/2025 22:23
"New! Microsoft Surface Laptop 4 -2K Touchscreen 13.5"" Ryzen 7 16GB/512GB- Black",$449.10 ,16 GB,AMD Ryzen 7 4000 Series,Microsoft Surface Laptop 4,Microsoft,AMD Radeon Graphics,13.5 in,512 GB,1/29/2025 22:22
"Lenovo IdeaPad 5 14AHP9 14"" 2-in-1 Touchscreen Laptop, Ryzen 7 8845HS, 16GB Ob A",US $400.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1/29/2025 22:23
"Dell Latitude 5510 Laptop - i5-10310U, 16GB RAM, 256GB SSD - Win11",$199.99 ,16 GB,Intel Core i5-10310U,Dell Latitude E5570,Dell,Intel HD Graphics,15.6 in,256 GB,1/29/2025 22:23
HP EliteBook 830 G7 FHD Laptop Intel Core i7 32GB RAM 256GB SSD Win11 Pro,$299.99 ,32GB,Intel Core i7-10610U,HP EliteBook 830 G7,HP,N/A,"13.3""",256 GB,1/29/2025 22:23
Dell Inspiron 15.6 Touchscreen Laptop Ryzen 7 7730U 16GB 512GB SSD i3535-A813BLK,$329.00 ,16 GB,Ryzen 7 7730U,N/A,Dell,N/A,15.6 in,512 GB,1/29/2025 22:23
"HP 17-cn2083dx 17.3"" FHD IPS Laptop Intel i3-1215U 3.30 GHz 8GB 256GB SSD W11S",$239.00 ,8 GB,Intel i3-1215U,17-cn2083dx,HP,Intel UHD Graphics,17.3 in,256 GB,1/29/2025 22:23
"Lenovo IdeaPad Slim 5 16IRU9 16"" Touch (1TB SSD, Intel Core 7 150u 16 gb Ob A",$400.00 ,16 GB,Intel Core i7 13th Gen.,16iru9,Lenovo,Intel Iris Xe Graphics,16 in,1 TB,1/29/2025 22:23
"Lenovo LOQ 15.6"" FHD 144Hz Gaming Notebook R7-7435HS 16GB RAM 512GB SSD RTX 4050",$679.99 ,N/A,Ryzen 7 7435HS,83JC007KUS,Lenovo,N/A,"15.6""",N/A,1/29/2025 22:22
"14"" DELL Latitude Laptop: Intel i7QC! 32GB RAM ~ 1TB NVME SSD! Windows 11 Pro!",US $329.95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1/29/2025 22:23
"Dell Latitude Touchscreen 15.6"" FHD Core i5 Laptop Windows 11 16GB RAM 256GB SSD",US $293.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1/29/2025 22:23
"14"" DELL Latitude Laptop: Intel i7QC! 32GB RAM ~ 1TB NVME SSD! Windows 11 Pro!",$329.95 ,32 GB,Intel Core i7-8650U,Dell Latitude 5400,Dell,Intel UHD Graphics 620,14 in,1 TB,1/29/2025 22:22
"Lenovo IdeaPad 1i 15.6"" Laptop Intel I5, 8GB RAM, 256GB Storage, 82QD003VUS",$299.99 ,8 GB,Intel Core i5 12th Gen.,Lenovo IdeaPad 1 15IAU7,Lenovo,Intel Iris Xe Graphics,15.6 in,256 GB,1/29/2025 22:23
HP EliteBook 850 G7 Laptop 15.6” Core i5 4.2GHz 16GB RAM 512GB SSD Windows 11,$298.52 ,16 GB,Intel Core i5-10210U,HP EliteBook 850 G7,HP,Intel UHD Graphics,15.6 in,512 GB,1/29/2025 22:23
"HP ProBook X360 11 G5 2-in-1 Laptop 11.6"" Windows 10 Pentium 8GB RAM 128GB SSD",$149.26 ,8 GB,Intel Pentium Silver N5030,HP ProBook X360 11 G5 EE,HP,Intel HD Graphics 520,11.6 in,128 GB,1/29/2025 22:23
"Lenovo 14"" FHD Laptop - Core i3 - 8GB RAM - 256GB Storage - Win 11 (82QC006KUS)",$219.99 ,8 GB,Intel Core i3 i3-1215U,82QC006KUS,Lenovo,Intel UHD Graphics,14 in,256 GB,1/29/2025 22:22
"Lenovo ThinkPad T490s 14"" TOUCH FHD i7-8565U 16GB NEW 512 SSD Win 11 pro laptop",$299.99 ,16 GB,Intel Core i7 8th Gen.,Lenovo ThinkPad T490 (20N3-S7FT00),Lenovo,Intel UHD Graphics 620,14 in,512,1/29/2025 22:23
CHUWI FreeBook 13.5'' Touchscreen Windows 11 Laptop Intel N5100 12G RAM 512G SSD,$238.49 ,12 GB,Intel Celeron N5100,Freebook,CHUWI,"Intel UHD Graphics, 350MHz-800MHz",13.5 in,512 GB,1/29/2025 22:22
"Dell 15.6"" Light Gaming Laptop Intel Core i7 4.20 GHz 64GB RAM 4TB SSD Win11 Pro",$379.99 ,N/A,Intel Core i7 8th Gen.,Dell Latitude 5590,Dell,Intel UHD Graphics 620,15.6 in,N/A,1/29/2025 22:23
"New Open Box Dell Latitude 5320 13.3"" i7-1185G7 3GHz 16GB 256GB Laptop",$360.00 ,16 GB,Intel Core i7 11th Gen.,Dell 5320,Dell,N/A,13.3 in,256 GB,1/29/2025 22:23
"HP Laptop 14"" HD Intel Core i3-1115G4 16GB 512GB SSD Webcam Windows 11 Silver",$231.57 ,16 GB,Intel Core i3-1115G4,HP 14,HP,Intel UHD Graphics,14 in,512 GB,1/29/2025 22:23
"HP EliteBook 830 G7 13.3"" FHD Gaming Laptop PC Intel Core i7 32GB DDR4 256GB SSD",$299.99 ,32 GB,Intel Core i7-10610U,HP EliteBook 830 G7 Notebook PC,HP,N/A,"13.3""",256 GB,1/29/2025 22:22
HP ProBook Light Gaming Laptop 1920x1080 4-Core i7 32GB RAM 512GB SSD Windows 11,$378.13 ,32 GB,Intel Core i7-10510U,HP ProBook 450 G7,HP,Intel UHD Graphics,15.6 in,512 GB,1/29/2025 22:22
"Samsung Galaxy Book 2 4G LTE W737P 12"" 128GB 4GB Windows 10 (T-Mobile) Excellent",US $229.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1/29/2025 22:23
"Dell 15.6"" Light Gaming Laptop Intel Core i7 4.20 GHz 64GB RAM 4TB SSD Win11 Pro",$379.99 ,N/A,Intel Core i7 8th Gen.,Dell Latitude 5590,Dell,Intel UHD Graphics 620,15.6 in,N/A,1/29/2025 22:23
"~CLEARANCE~ 15.6"" Lenovo ThinkPad Laptop: Intel i5! 16GB RAM~1TB Storage! Webcam",$229.95 ,16 GB,Intel Core i5 3rd Gen.,Lenovo ThinkPad Edge E530,Lenovo,Intel HD Graphics,15.6 in,N/A,1/29/2025 22:23
"Dell laptop Latitude 7480 14"" i7 2.60GHz 16GB NEW 512GB SSD Win 11 Pro WIFI Cam",$239.99 ,16 GB,i7 7th,Dell Latitude 7480,Dell,N/A,14 in,500 GB,1/29/2025 22:23
"HP Laptop 14"" HD Intel Core i3-1115G4 16GB 512GB SSD Webcam Windows 11 Silver",$231.57 ,16 GB,Intel Core i3-1115G4,HP 14,HP,Intel UHD Graphics,14 in,512 GB,1/29/2025 22:23
Lenovo N23 Winbook Laptop Intel 1.60 GHz 4GB Memory 64GB HD Touchscreen Win 10,$84.99 ,4 GB,Intel Celeron N,Lenovo N23 Winbook,Lenovo,Intel HD Graphics,11.6 in,64 GB,1/29/2025 22:23
Dell Latitude 7420 14” Laptop Core i7 11th Gen 32GB RAM 512GB SSD Windows 11 Pro,$398.03 ,32 GB,Intel Core i7-1165G7,Dell Latitude 7420,Dell,Intel Iris Xe Graphics,14 in,512 GB,1/29/2025 22:22
"15.6"" FHD Lenovo ThinkPad Laptop: Ryzen 5 4500U! 16GB RAM~512GB SSD! Windows 11!",$284.95 ,16 GB,AMD Ryzen 5 4500U,Lenovo ThinkPad E15 2nd Gen,Lenovo,Intel HD Graphics,15.6 in,512 GB,1/29/2025 22:23
HP ProBook 450 G7 15.6” Laptop Core i7 4.9GHz 16GB RAM 256GB SSD Windows 11 Pro,$328.37 ,16 GB,Intel Core i7 10th Gen.,HP ProBook 450 G7,HP,Intel HD Graphics,15.6 in,256 GB,1/29/2025 22:23
"Dell Latitude 14"" FHD Laptop Quad-Core i5 4.4GHz 16GB RAM 256GB SSD Windows 11",US $248.77,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1/29/2025 22:23
FHD DELL Latitude Laptop: Intel i7! 32GB RAM ~ 1TB NVME SSD! Windows 11 Pro!,$328.95 ,32 GB,Intel Core i7-8650U,Dell Latitude 7300,Dell,Intel UHD Graphics 620,13.3 in,1 TB,1/29/2025 22:22
Lenovo ThinkBook 13x G1 ITG QHD+ TOUCH 1.1 GHz i5-1130G7 16GB 512GB Excellent,US $255.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1/29/2025 22:22
"HP ProBook X360 11 G2 Touchscreen Laptop 11.6"" Core i5 8GB RAM 128GB Windows 10",$119.40/ea,8 GB,Intel Core i5-7Y54,HP ProBook X360 11 G2 EE,HP,Intel UHD Graphics,11.6 in,128 GB,1/29/2025 22:23
"Dell Vostro 3400 Laptop 14"" HD Core i5 11th Gen 16GB RAM 256GB SSD Windows 11",US $228.86,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1/29/2025 22:22
2024 HP Pavilion Laptop 15 Touch 12th Gen Intel i3 32GB RAM & 1TB SSD Win 11 Pro,$489.00 ,32 GB,Intel 12th Generation Core i3,Hp Pavilion 15,HP,Intel UHD Graphics,15.6 inches,1 TB,1/29/2025 22:23
"HP ProBook X360 11 G2 Touchscreen Laptop 11.6"" Core i5 8GB RAM 128GB Windows 10",$119.40/ea,8 GB,Intel Core i5-7Y54,HP ProBook X360 11 G2 EE,HP,Intel UHD Graphics,11.6 in,128 GB,1/29/2025 22:22
"HP ProBook 11 G2 Laptop PC Computer 11.6"" Core i3 8GB RAM 128GB SSD Windows 10",$95.33 ,8 GB,Intel Core i3-6100U,HP ProBook 11 G2,HP,Intel HD Graphics 520,11.6 in,128 GB,1/29/2025 22:22
"~CLEARANCE~ 14"" Dell Latitude Laptop PC: 16GB RAM! 1TB HDD! Windows 10!",$159.95/ea,16 GB,Intel Core i5 2nd Gen.,Dell Latitude E6420,Dell,Intel HD Graphics,14 in,N/A,1/29/2025 22:23
"HP EliteBook 830 G7 Laptop PC 13.3"" 1920x1080 Core i7 32 GB DDR4 256 GB SSD",US $284.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1/29/2025 22:22
HP X360 11 G4 2-in-1 Touchscreen Laptop Core i5 8GB RAM 128GB SSD Windows 11,US $147.52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1/29/2025 22:23
CHUWI 14.1'' Laptop- Intel Celeron - 8GB Memory - 256GB SSD - Natural Gray,US $129.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1/29/2025 22:23
"Dell Latitude 3310 2-in-1 Laptop 13.3"" Core i5 8GB RAM 256GB SSD Windows 11",$196.05 ,8 GB,Intel Core i5-8265U,Dell Latitude 3310 2-in-1,Dell,Intel HD Graphics 520,13.3 in,256 GB,1/29/2025 22:23
"14"" Dell Latitude PC Laptop: Intel i5! 16GB Ram! 1 TB SSD! Windows 10! Webcam!",$188.95 ,16 GB,Intel i5 Dual Core,Dell Latitude E5420,Dell,Intel HD Graphics,14 in,1 TB,1/29/2025 22:22
CHUWI FreeBook 13.5'' Touchscreen Windows 11 Laptop Intel N5100 12G RAM 512G SSD,$238.49 ,12 GB,Intel Celeron N5100,Freebook,CHUWI,"Intel UHD Graphics, 350MHz-800MHz",13.5 in,512 GB,1/29/2025 22:23
HP EliteBook 840 G10 Touchscreen Core i7 1370P 32GB RAM 512B SSD Win 11 Pro 2028,$599.00 ,32GB Ram,Intel Core i7-1370P - 14 Cores,HP Elitebook 840 G10,HP,Intel Iris Xe Graphics,14,512GB,1/29/2025 22:22
"New Open Box Dell Latitude 5320 13.3"" i7-1185G7 3GHz 16GB 256GB Laptop",$360.00 ,16 GB,Intel Core i7 11th Gen.,Dell 5320,Dell,N/A,13.3 in,256 GB,1/29/2025 22:23
"~CLEARANCE~ 15.6"" Dell Latitude Laptop: Intel i5! 16GB RAM~256GB SSD! Windows 10",$179.95 ,16 GB,Intel Core i5 6th Gen.,Dell Latitude 3560,Dell,Intel HD Graphics,15.6 in,256 GB,1/29/2025 22:22
"15.6"" Dell Latitude Laptop: Intel i5 Dual Core! 16GB Ram! 512GB SSD! Windows 10!",$179.99 ,16 GB,Intel Core i5 2nd Gen.,Dell Latitude E5520,Dell,Intel HD Graphics,15.6 in,512 GB,1/29/2025 22:23
"Dell Latitude Laptop PC Computer 13.3"" HD Core i3 16GB RAM 128GB SSD Windows 11",$119.40 ,16 GB,Intel Core i3-8145U,Dell Latitude 3310,Dell,Intel HD Graphics 520,13.3 in,128 GB,1/29/2025 22:22
CHUWI 14.1'' Laptop- Intel Celeron - 8GB Memory - 256GB SSD - Natural Gray,US $129.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1/29/2025 22:23
"Lenovo ThinkPad W530 Laptop i7 3840QM 2.80GHZ 15.6"" FHD 16GB RAM NO HDD/BATTERY",US $129.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1/29/2025 22:23
"ASUS ROG Ally 7"" Touch Gaming Laptop AMD Ryzen Z1 Extreme 16GB 512GB SSD W11H",$379.99 ,16 GB,AMD Ryzen Z1 Extreme,ROG Ally-1,ASUS,AMD Radeon Graphics,7 in,512 GB,1/29/2025 22:23
Dell Latitude 3420 14” FHD Core i7 11th Gen 16GB RAM 512GB SSD Windows 11 Pro,$337.68 ,16 GB,Intel Core i7-1165G7,Dell Latitude 3420,Dell,Intel Iris Xe Graphics,14 in,512 GB,1/29/2025 22:23
"14"" Lenovo Thinkpad Laptop PC: Touch Intel i7 6th Gen 8GB RAM 256GB SSD Windows!",$229.99 ,8 GB,Intel Core i7 6th Gen.,Lenovo ThinkPad X1 Yoga,Lenovo,Intel® HD Graphics 520,14 in,256 GB,1/29/2025 22:23
"Lenovo 14"" FHD Laptop - Core i3 - 8GB RAM - 256GB Storage - Win 11 (82QC006KUS)",$219.99 ,8 GB,Intel Core i3 i3-1215U,82QC006KUS,Lenovo,Intel UHD Graphics,14 in,256 GB,1/29/2025 22:23
"Dell Latitude Laptop 14"" Core i7 11th Gen 4.8GHz 16GB RAM 512GB SSD Windows 11",$328.37 ,16 GB,Intel Core i7-1185G7,Dell Latitude 5420,Dell,Intel Iris Xe Graphics,14 in,512 GB,1/29/2025 22:23
"Dell Latitude Laptop PC Computer 11.6"" Intel Pentium Windows 10 4GB RAM 64GB SSD",$87.80 ,4 GB,Intel Pentium Silver N5000,Dell Latitude 3190,HP,Intel HD Graphics 600,11.6 in,64 GB,1/29/2025 22:22
