Title,Price,Case Size,Battery Capacity,Brand,Model,Operating System,Storage Capacity,Collection Date
"2025 Smart Watch For Men/Women, Waterproof Smartwatch Bluetooth iPhone Samsung",US $22.99/ea,N/A,N/A,N/A,N/A,N/A,N/A,2025-02-08 16:18:38
Smart Watch Men | Women Bluetooth Smart Watch Heart Rate Blood Pressure Monitor,$8.68,49 mm,N/A,Unbranded,FD68S,N/A,N/A,2025-02-08 16:18:39
2024 Smart Watch For Men/Women Waterproof Smartwatch Bluetooth iPhone Samsung,$26.69,43 mm,180 mAh,AICase,HW20,Android Wear,other,2025-02-08 16:18:40
"SL-TECH SMARTWATCH 1.96"" 430mAh WATERPROOF BLUETOOTH Fitness for SAMSUNG/iPHONE",$25.64/ea,44-49mm,430mAh,SL-TECHNOLOGIES,KT71,"Android, IOS",430mAh,2025-02-08 16:18:38
Apple Watch Series 8 (GPS+LTE) 45MM Midnight Aluminum Case Sport Band 1 YEAR WTY,$199.99,45 mm,N/A,Apple,Apple Watch Series 8,Apple Watch OS,32 GB,2025-02-08 16:18:37
NEW - Amazfit Bip 5 Core Smart Watch Fitness Activity Tracker Black -,$38.00,N\A,N/A,Amazfit,N\A,N/A,N/A,2025-02-08 16:18:36
Trendy Smartwatch AMOLED BT Calling Rubber Upto 2-3 days Smart Watch Black,$27.08,REGULAR,N/A,ARFIRE,SMART WATCH,ANDROID,N/A,2025-02-08 16:18:39
Multifunctional Smart Watch with Call Alerts & Fitness Tracker,$11.99,see description,N/A,Unbranded,Smart Watch,N/A,N/A,2025-02-08 16:18:38
PTHTECHUS Kids Smart Watch Camera Sim Call Phone Game Boys Girls-,EUR 24.99,N/A,N/A,N/A,N/A,N/A,N/A,2025-02-08 16:18:39
"2024 Smart Watch For Men/Women, Waterproof Smartwatch Bluetooth iPhone Samsung",$19.79,45 mm,N/A,AICase,T12PRo,N/A,N/A,2025-02-08 16:18:41
3 x Rizla Silver Short Silver Regular Cards 3x 100 Booklets = 15000 Sheets,$101.21,N/A,N/A,N/A,N/A,N/A,N/A,2025-02-08 16:18:38
Samsung Galaxy Gear S SM-R750A Curved Super AMOLED Smart Watch  - Black,$99.95,44 mm,N/A,Samsung,Samsung Galaxy Gear,Tizen,N/A,2025-02-08 16:18:42
Budget-Friendly Smart Watch Orange AMOLED BT Calling Rubber Upto 2-3 days,$28.44,REGULAR,N/A,nicebuds,NICEBUDS T800,ANDROID,N/A,2025-02-08 16:18:39
Timex iQ+ Move Metro 42mm Leather Strap Activity Tracker Smart Watch,$59.95,42 mm,N/A,Timex,"TW2P92400, Metropolitan",N/A,N/A,2025-02-08 16:18:38
Stylish Modern Design Smartwatch Black Color T800 Ultra Black Smart Watch,$28.00,REGULAR,N/A,TRURTAG,SMART WATCH,ANDROID,N/A,2025-02-08 16:18:36
Samsung Galaxy Watch 4 44mm GPS + WiFi + Bluetooth R870 Smart Watch - Good,$62.99/ea,44 mm,N/A,Samsung,Samsung Galaxy Watch4,Wear OS,16 GB,2025-02-08 16:18:38
Smartwatch Men Women with Phone Function Wristwatch for iPhone Samsung Huawei,$185.80,N/A,N/A,N/A,N/A,N/A,N/A,2025-02-08 16:18:41
"Google Pixel Watch 2 41mm GPS WiFi Bluetooth Gold, Black, Silver G4TSL",$119.99/ea,41 mm,N/A,Google,Google Pixel Watch 2,Android Wear OS 4,32 GB,2025-02-08 16:18:40
Smart Watch Women Men with Phone Function Wristwatch for iPhone Samsung Huawei,$92.85,N/A,N/A,N/A,N/A,N/A,N/A,2025-02-08 16:18:40
Smart Watch Bluetooth call Fitness Tracker Heart Rate Blood Pressure Sport Watch,$24.79,1.3 inch,200mAh,Unbranded,Smart Watch,N/A,N/A,2025-02-08 16:18:36
1.83 Waterproof Smart Watch With Message Call Sleep Monitoring Sports Pedometer,US $16.49/ea,N/A,N/A,N/A,N/A,N/A,N/A,2025-02-08 16:18:41
2024 New 1.85 Inch HD Bluetooth Call Smart Watch Men Sports Fitness Tracker,$37.07,Does not apply,N/A,Does not apply,Does not apply,N/A,N/A,2025-02-08 16:18:37
Google Pixel Watch 3 - 45mm (LTE + Bluetooth) - Matte Black,$289.98,45 mm,N/A,Google,Google Pixel Watch,N/A,32 GB,2025-02-08 16:18:37
Samsung Galaxy Watch4 Classic 46mm R895 GPS + Cellular - Very Good,$59.99,46mm,N/A,Samsung,Galaxy Watch4 Classic,Wear OS,16GB,2025-02-08 16:18:40
Bluetooth Wrist Smart Watch Touch Screen Phone Mate for Android IOS ~,$12.99/ea,As Description,N/A,Unbranded,N/A,N/A,N/A,2025-02-08 16:18:42
Rice Filters Ultra Slim Size 5.7mm Filters Pack Tip 20 Packs 1 Full Box,$29.94,N/A,N/A,N/A,N/A,N/A,N/A,2025-02-08 16:18:40
"K52 Military Smart Watch for Men, Outdoor Bluetooth Sports Watch",$42.99,59mm,N/A,Unbranded,K52 Military,"Android, ios",128 MB,2025-02-08 16:18:39
Stylish Smartwatch with Touch Control Black Smart Watch With Premium Features,US $30.22,N/A,N/A,N/A,N/A,N/A,N/A,2025-02-08 16:18:40
Smart Watch with TWS Earbuds Men Smartwatch 2 in1 Wireless Headset for Mobile Phone,$50.59,N/A,N/A,N/A,N/A,N/A,N/A,2025-02-08 16:18:41
Tuxedo Gold Long King Size Cards And Paper Filters 24 Booklets,$44.41,N/A,N/A,N/A,N/A,N/A,N/A,2025-02-08 16:18:39
"Smart Watch For Men/Women, Waterproof Smartwatch Bluetooth iPhone Android",$13.99/ea,39 mm,N/A,Willful,Smart Bracelet,Compatible with iPhone and Android Phones,N/A,2025-02-08 16:18:36
Smart Watch for Women Men Waterproof  Compatible with iPhone/Android Phones Trac,$17.99/ea,46 mm,N/A,TB39,TB39-HEI,N/A,N/A,2025-02-08 16:18:36
M8 Smart Watch Bracelet Wristband Blood Pressure Sports Heart Rate Tracker Band,$9.04/ea,18.50*7.50*2.50cm,N/A,Unbranded,M8 Watch,N/A,N/A,2025-02-08 16:18:42
2024 New For Xiaomi Military Smart Watch Men IP68 5ATM Outdoor Sports Fitness Tr,$34.99,"1.96 ""HD screen",N/A,abay,Smart Bracelet,N/A,N/A,2025-02-08 16:18:38
Samsung Galaxy Watch4 44mm R870 GPS - Good,US $49.99,N/A,N/A,N/A,N/A,N/A,N/A,2025-02-08 16:18:40
"Ultra Men's 32GB GPS Smart Watch AMOLED Screen 1.5"" Fitness & Health Tracking C",$57.83,N/A,N/A,ADVT,N/A,N/A,N/A,2025-02-08 16:18:41
Smart Watch Women Men with Phone Function Wristwatch for iPhone Samsung Huawei,$92.85,N/A,N/A,N/A,N/A,N/A,N/A,2025-02-08 16:18:40
Raw Black Ultra Thin Pure Paper Cards King Size 50 Booklets,$43.89,N/A,N/A,N/A,N/A,N/A,N/A,2025-02-08 16:18:41
