Category,Title,Price,Case Size,Battery Capacity,Brand,Model,Operating System,Storage Capacity,Collection Date
Smart Watches,2024 Smart Watch 2 For Men & Women Health & Fitness Tracker for Android & iPhone,US $79.99,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:24:20
Smart Watches,"2025 Smart Watch For Men/Women, Waterproof Smartwatch Bluetooth iPhone Samsung",$22.99,40 mm,380mAh,IOWODO,R30PRO,Wear OS,64 MB,2025-01-28 17:23:51
Smart Watches,Samsung Galaxy Gear S3 Frontier Smart Watch SM R760 Bluetooth WiFi 46mm,$25.00,46 mm,N/A,Samsung,Samsung Galaxy Gear S3 Frontier,Android Wear,N/A,2025-01-28 17:23:54
Smart Watches,"2025 Smart Watch For Men/Women, Waterproof Smartwatch Bluetooth iPhone Samsung",$19.99,22 mm,300mAh,IOWODO,Smart Watches,Android Wear,1 GB,2025-01-28 17:24:26
Smart Watches,"Huawei Watch GT 5 Pro 46mm BLACK 1.43"" AMOLED Bluetooth iOS Android Smartwatch",$280.99,46 mm,N/A,Huawei,Huawei Watch GT 5 Pro,N/A,N/A,2025-01-28 17:24:40
Smart Watches,Brand New Samsung Galaxy Watch Ultra 47mm LTE Bluetooth SM-L705U Titanium Silver,US $364.99/ea,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:23:34
Smart Watches,M5 Smart Watch Heart Rate Blood Pressure Monitor Sports Wristband Waterproof,$5.14,40 mm,N/A,Unbranded,M5,N/A,N/A,2025-01-28 17:23:33
Smart Watches,Smart Watch with Earbuds Men Smartwatch 2 In 1 Wireless Headset For Android iOS,$37.14,Does not apply,N/A,Unbranded,Does not apply,N/A,N/A,2025-01-28 17:24:01
Smart Watches,Smart Activity Tracker Watch: Stylish Fitness Management for Active Lifestyles,$3.99/ea,18 mm,N/A,Unbranded,Alcatel OneTouch Watch,N/A,N/A,2025-01-28 17:24:03
Smart Watches,2024 Smart Watch For Men/Women Waterproof Smartwatch Bluetooth iPhone Samsung,$49.99,40 mm,180 mAh,Unbranded,LS02,Android Wear,other,2025-01-28 17:24:01
Smart Watches,Samsung Galaxy Watch4 Classic 46mm R895 GPS + Cellular - Very Good,$59.99,46mm,N/A,Samsung,Galaxy Watch4 Classic,Wear OS,16GB,2025-01-28 17:23:56
Smart Watches,M7 Smart Watch Waterproof Sport Smart Watch Heart Men Woman Rate Blood Pressure,$6.50,/,N/A,Unbranded,/,N/A,N/A,2025-01-28 17:23:58
Smart Watches,UK 2025 New Medical Grade Smart Watch Blood Pressure Oxygen Heart Rate Bluetooth,$48.73,36 mm,N/A,GUHUAVMI,Does Not Apply,Android Wear,N/A,2025-01-28 17:24:07
Smart Watches,Samsung Galaxy Watch 4 40mm GPS + WiFi + Bluetooth R860 Smart Watch - Good,$59.99/ea,40 mm,N/A,Samsung,Samsung Galaxy Watch4,Wear OS,16 GB,2025-01-28 17:23:09
Smart Watches,Xiaomi 70mai Maimo Smart Watch GPS 5ATM Oxygen Blood Heart Rate Monitor,$61.99,"1.6""",N/A,70mai,N/A,Android Wear,/,2025-01-28 17:23:17
Smart Watches,2024 Smart Watch For Men/Women Waterproof Smartwatch Bluetooth iPhone Samsung,$26.69,43 mm,180 mAh,AICase,HW20,Android Wear,other,2025-01-28 17:23:18
Smart Watches,2024 Smart Watch For Men/Women Waterproof Smartwatch Bluetooth iPhone Samsung,$19.69/ea,1.83 inch,N/A,AICase,T12 Pro,IOS,<1G,2025-01-28 17:24:37
Smart Watches,Waterproof Sport Smart Watch Bracelet Heart Rate Blood Pressure Fitness Tracker,$7.29,Other,N/A,Unbranded,Smart Bracelet,N/A,N/A,2025-01-28 17:23:13
Smart Watches,Huawei Watch GT 46mm StainlessSteel Titanium Green Android Watch Open Box CO8805,$47.84,46 mm,N/A,Huawei,Huawei Watch GT,LiteOS,N/A,2025-01-28 17:23:50
Smart Watches,Garmin 010-02496-09 D2 Air X10 Aviator Smartwatch Health Fitness Black Watch,$475.00,N/A,N/A,Garmin,Garmin D2 Air X10,N/A,N/A,2025-01-28 17:24:09
Smart Watches,"70mai Smartwatch, Maimo Watch Flow, GPS 5ATM Oxygen Blood Heart Rate Monitor",$67.50/ea,40.5*35.3*11.18mm,N/A,Maimo,70mai WT2106,Maimo Fit,/,2025-01-28 17:24:04
Smart Watches,SKG R8 Military 1.8'' Smart Watches with Answer/Make Call Alexa Built-in IP68,$46.99,1.8'',N/A,‎SKG,SKG R8,for Android iPhone,/,2025-01-28 17:24:05
Smart Watches,Samsung Galaxy Watch 7 44mm Green WIFI Bluetooth LTE SM-L315U New Sealed 1YR WTY,$199.99/ea,44 mm,N/A,Samsung,Samsung Watch 7,Wear OS,32GB,2025-01-28 17:24:10
Smart Watches,EIGIIS Smart Watch KE5 2024 3ATM Waterproof Original Design Sports Watch With Co,US $39.99,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:24:43
Smart Watches,Smart Watch Waterproof Sports Mode Fitness Tracker Men Women for IOS Android,$22.47,Does not apply,220-300mah,Other,Does not apply,N/A,N/A,2025-01-28 17:23:37
Smart Watches,Kids Smart Watch Camera GPS S0S Call Phone SIM Card Waterproof Boys Girls Gift,$11.99/ea,23 mm,N/A,Unbranded,Kids Smart Watch,N/A,N/A,2025-01-28 17:23:43
Smart Watches,4G LTE Smartwatch 2.13-Inch Screen 2/4+16/64 Android8.1 1000mA GPS WiFi,$94.42,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:24:39
Smart Watches,"smart watch TrackPro F 57L, Upgraded Hilipert TrackPro 2.0, Sherum TrackPro",$27.25,39 mm,220-300mah,Unbranded,Google Pixel Watch,N/A,N/A,2025-01-28 17:24:10
Smart Watches,Apple Watch Series SE (2nd Gen) GPS +Cellular 40mm Smart Watch - Excellent,US $157.99,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:23:24
Smart Watches,Samsung Galaxy Watch 7 - 44mm - (LTE + Bluetooth) - Green,$184.98,44 mm,N/A,Samsung,SM-L315U,N/A,N/A,2025-01-28 17:23:07
Smart Watches,Samsung Galaxy Watch5 Pro 45mm R925N GPS + Cellular - Excellent,US $94.99,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:24:13
Smart Watches,Apple Watch Series 9 - GPS + GSM Cellular 45mm Smart Watch - Excellent,$274.99,45 mm,N/A,Apple,Apple Watch Series 9,Apple Watch OS,64GB,2025-01-28 17:24:23
Smart Watches,Smart Watch Bluetooth Call 1.36in Sleep Monitor Waterproof Smartwatch Men Women,$36.99/ea,None,N/A,Unbranded,smartwatch,N/A,N/A,2025-01-28 17:23:42
