title,price,rating,reviews,image_url,product_url,collection_date,Sales Package,Brand,Graphics Engine,GPU Clock,Processors and Cores,GPU Manufacturing Process,Bus Standard,Model ID,Part Number,Memory,Graphics Technologies Supported,DVI and HDMI Interface,Other Interface,Warranty Summary,Covered in Warranty,Not Covered in Warranty,Service Type,Power Supply Required,Shader,Cooling and Heatsink,3D Support,VGA/D-SUB Output,Mini HDMI,HD Content Support,Supported OS,Dimensions,Weight,Memory Bandwidth,Maximum Resolution,Software Included,Additional Features,RAMDAC Clock Speed,Other System Requirements
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-01-31 23:52:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZEBRONICS NVIDIA GT730 4 GB DDR3 Graphics Card,"₹2,748",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/k/3/g/gt730-zebronics-original-imah6y8ejd9m5bwu.jpeg?q=70,https://www.flipkart.com/zebronics-nvidia-gt730-4-gb-ddr3-graphics-card/p/itm98812b52228f0?pid=GRCG92VDHGPFASRY&lid=LSTGRCG92VDHGPFASRYP0TXK0&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_1_1&otracker=search&fm=organic&iid=en_t0G8sAiinPvzafQSiV5XwNHmFmgfxXspTo5HreYlpxxNGoPdyvuBgEuxoPTxKJBXDW5queREH84L8DTET9mfFA%3D%3D&ppt=None&ppn=None&ssid=840lq45i8g0000001738363969426&qH=ae2a487734c75ca2,2025-01-31 23:52:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASRock AMD Radeon RX 6500 XT 8 GB GDDR6 Graphics Card,"₹15,399",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/e/m/x/-original-imah5yvzhjr3ksyv.jpeg?q=70,https://www.flipkart.com/asrock-amd-radeon-rx-6500-xt-8-gb-gddr6-graphics-card/p/itm83a998f8d91f7?pid=GRCH4JRXRKHA99FD&lid=LSTGRCH4JRXRKHA99FDURT2RL&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_1_5&otracker=search&fm=organic&iid=0109b36e-c330-4a62-a234-0a740d6e74a1.GRCH4JRXRKHA99FD.SEARCH&ppt=None&ppn=None&ssid=840lq45i8g0000001738363969426&qH=ae2a487734c75ca2,2025-01-31 23:52:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIGABYTE NVIDIA GeForce RTX 3060 pci_e_x16 WINDFORCE OC...,"₹26,799",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/0/l/v/gv-n3060wf2oc-12gb-gigabyte-original-imagrzuzbfer8utg.jpeg?q=70,https://www.flipkart.com/gigabyte-nvidia-geforce-rtx-3060-pci-e-x16-windforce-oc-12gd-gv-n3060wf2oc-12gd-12-gb-gddr6-graphics-card/p/itmabe6891376c4e?pid=GRCGRZVFQG7GUA3Y&lid=LSTGRCGRZVFQG7GUA3Y0T5UJC&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_1_9&otracker=search&fm=organic&iid=0109b36e-c330-4a62-a234-0a740d6e74a1.GRCGRZVFQG7GUA3Y.SEARCH&ppt=None&ppn=None&ssid=840lq45i8g0000001738363969426&qH=ae2a487734c75ca2,2025-01-31 23:52:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GALAX NVIDIA GeForce® RTX 2060 Super EX (1-Click OC) 8 ...,"₹18,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/jyeq64w0/graphics-card/4/y/z/galax-geforce-rtx-2060-super-ex-1-click-oc-original-imafgnhtma6tkdyz.jpeg?q=70,https://www.flipkart.com/galax-nvidia-geforce-rtx-2060-super-ex-1-click-oc-8-gb-gddr6-graphics-card/p/itm281415f0467d0?pid=GRCFGNJHJWYRK4YZ&lid=LSTGRCFGNJHJWYRK4YZ2XHQOQ&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_1_13&otracker=search&fm=organic&iid=0109b36e-c330-4a62-a234-0a740d6e74a1.GRCFGNJHJWYRK4YZ.SEARCH&ppt=None&ppn=None&ssid=840lq45i8g0000001738363969426&qH=ae2a487734c75ca2,2025-01-31 23:52:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorful NVIDIA GT-1050 4 GB DDR5 Graphics Card,"₹19,499",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/l37mtu80/graphics-card/o/m/c/mainstream-colorful-original-imagedphztj2ssvw.jpeg?q=70,https://www.flipkart.com/colorful-nvidia-gt-1050-4-gb-ddr5-graphics-card/p/itmdcd63cc660520?pid=GRCGE985HTUVZUUF&lid=LSTGRCGE985HTUVZUUFC7XY29&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_1_17&otracker=search&fm=organic&iid=0109b36e-c330-4a62-a234-0a740d6e74a1.GRCGE985HTUVZUUF.SEARCH&ppt=None&ppn=None&ssid=840lq45i8g0000001738363969426&qH=ae2a487734c75ca2,2025-01-31 23:52:50,"1 Graphic Card, Manual",Colorful,NVIDIA GeForce GTX 1050Ti,1290 MHz,768 CUDA Cores,14 nm,PCI Express 3.0,GT-1050,G-C1050TI 4G-V,"128-bit, 4 GB DDR5 Memory with 7000 MHz",Yes support,"1 x DVI Output Out, 1 x HDMI Output Out",1 x Display Port Out,3 Years Warranty,Manufacturing Defects,"Physical Damage, Industrial Usage or Used for Mining/Farming Applications",Carry In to Service Centre,,,,,,,,,,,,,,,,
GIGABYTE NVIDIA GeForce GTX 1650 D6 pci_e_x16 WINDFORCE...,"₹15,501",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/kfvfwy80/graphics-card/m/s/s/gigabyte-gv-n1656wf2oc-4gd-original-imafw8m2mmcgtzre.jpeg?q=70,https://www.flipkart.com/gigabyte-nvidia-geforce-gtx-1650-d6-pci-e-x16-windforce-oc-4gd-gv-n1656wf2oc-4gd-4-gb-gddr6-graphics-card/p/itm073baf2dff79a?pid=GRCFW8FYXUGERMSS&lid=LSTGRCFW8FYXUGERMSSRPALUK&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_1_21&otracker=search&fm=organic&iid=0109b36e-c330-4a62-a234-0a740d6e74a1.GRCFW8FYXUGERMSS.SEARCH&ppt=None&ppn=None&ssid=840lq45i8g0000001738363969426&qH=ae2a487734c75ca2,2025-01-31 23:52:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASRock AMD Radeon RX 6400 4 GB GDDR6 Graphics Card,"₹10,599",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/l/e/m/-original-imah5yvzfzdekdky.jpeg?q=70,https://www.flipkart.com/asrock-amd-radeon-rx-6400-4-gb-gddr6-graphics-card/p/itmdea95f09d6f5f?pid=GRCH4JRXPZGYSFU8&lid=LSTGRCH4JRXPZGYSFU8JPBPJH&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_1_25&otracker=search&fm=organic&iid=0109b36e-c330-4a62-a234-0a740d6e74a1.GRCH4JRXPZGYSFU8.SEARCH&ppt=None&ppn=None&ssid=840lq45i8g0000001738363969426&qH=ae2a487734c75ca2,2025-01-31 23:52:50,"1 Graphics Card, Quick Installation Guide",ASRock,AMD Radeon OpenGL 4.6,2321 MHz,,,PCI Express 4.0 x4,RX 6400,90-GA3CZZ-00IANF,"64-bit, 4 GB GDDR6 Memory",,,,3 Years Warranty,Manufacturing Defects,Physical Damages,On-site,350 W,,,,,,,,,,,,,,,
Consistent NVIDIA Geforce GT 610 2 GB DDR3 Graphics Car...,"₹1,490",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/l13whow0/graphics-card/m/w/q/ctg2101gd3-consistent-original-imagcqyptfjctvrb.jpeg?q=70,https://www.flipkart.com/consistent-nvidia-geforce-gt-610-2-gb-ddr3-graphics-card/p/itm6634ba7f45df1?pid=GRCGDE7EKEF4JVKR&lid=LSTGRCGDE7EKEF4JVKRH8ETIC&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_1_29&otracker=search&fm=organic&iid=0109b36e-c330-4a62-a234-0a740d6e74a1.GRCGDE7EKEF4JVKR.SEARCH&ppt=None&ppn=None&ssid=840lq45i8g0000001738363969426&qH=ae2a487734c75ca2,2025-01-31 23:52:50,"Graphics Card, Brakets",Consistent,NVIDIA Nvidia,200 MHz,,,PCIe 2.0,Geforce GT 610,CTGT6102GD3,"64-bit, 2 GB DDR3 Memory",,,,2 Years Warranty,Manufacturer Defect,Burn,Service Center,,,,,,,,,,,,,,,,
Xsentuals NVIDIA PCIe Riser Adapter Card VER009S / 009S...,₹429,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/kq2o2vk0/graphics-card/v/o/0/16x-to-1x-powered-pcie-riser-adapter-card-60cm-usb-3-0-extension-original-imag4669dqdfhx5g.jpeg?q=70,https://www.flipkart.com/xsentuals-nvidia-pcie-riser-adapter-card-ver009s-009s-black-gold-16x-1x-60cm-usb-3-0-extension-cable-gpu-mining-bitcoin-ethereum-eth-zcash-zec-monero-xmr-16-gb-gddr4-graphics/p/itm8029f07e19396?pid=GRCG5ZH4F2ZJN7ET&lid=LSTGRCG5ZH4F2ZJN7ET6GNHIC&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_1_33&otracker=search&fm=organic&iid=0109b36e-c330-4a62-a234-0a740d6e74a1.GRCG5ZH4F2ZJN7ET.SEARCH&ppt=None&ppn=None&ssid=840lq45i8g0000001738363969426&qH=ae2a487734c75ca2,2025-01-31 23:52:50,1 x VER009S / 009S PCIe Riser Card,Xsentuals,NVIDIA 1,120 MHz,,,3.0,"PCIe Riser Adapter Card VER009S / 009S Black & Gold 16x to 1x 60cm USB 3.0 Extension Cable - GPU Riser Adapter - Mining Bitcoin, Ethereum ETH Zcash ZEC Monero XMR",VER009S / 009S,"64-bit, 16 GB GDDR4 Memory",,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,
