title,price,rating,reviews,image_url,product_url,collection_date,Sales Package,Brand,Graphics Engine,GPU Clock,Bus Standard,Model ID,Power Supply Required,Part Number,Memory,Memory Bandwidth,Graphics Technologies Supported,3D Support,DVI and HDMI Interface,Other Interface,HD Content Support,Warranty Summary,Covered in Warranty,Not Covered in Warranty,Service Type,VGA/D-SUB Output,Supported OS,Processors and Cores,GPU Manufacturing Process,Shader,RAMDAC Clock Speed,Cooling and Heatsink,Maximum Resolution,Other System Requirements,Software Included,Weight,Additional Features,Dimensions,Mini HDMI
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:00:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOTAC NVIDIA GeForce RTX 4060 8GB Twin Edge 8 GB GDDR6 ...,"₹26,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/e/e/v/geforce-rtx-4060-8gb-twin-edge-zotac-original-imaguxhdmegjwuny.jpeg?q=70,https://www.flipkart.com/zotac-nvidia-geforce-rtx-4060-8gb-twin-edge-8-gb-gddr6-graphics-card/p/itm6016604b999df?pid=GRCGUXHDASYKDGYZ&lid=LSTGRCGUXHDASYKDGYZAB6R1J&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_1_1&otracker=search&fm=organic&iid=bc0ae076-a2e9-4907-bfd1-ab0789667a1f.GRCGUXHDASYKDGYZ.SEARCH&ppt=None&ppn=None&ssid=81484ireao0000001738522805100&qH=ae2a487734c75ca2,2025-02-02 20:00:05,"Graphic Card, User Manual",ZOTAC,NVIDIA Boost: 2475 MHz,2475 MHz,128,GeForce RTX 4060 8GB Twin Edge,500 W,ZT-D40600E-10M,"128-bit, 8 GB GDDR6 Memory with 2475 MHz",17 Gbps,"AMD CrossFireX supported, Yes support",Yes support,Yes x Dual Link DVI Out,"Yes x Co-Axial TV Out, Yes x VIVO Out",HDCP Support and HDTV Support,5 Year,Graphic Card,"Tampers, defaces, or removes any stickers containing product identification information such as model number, serial number, or part number. Tampers, defaces, or removes any stickers indicating void warranty if broken. Causes defects through improper usage, failure to comply with operations, inappropriate operating conditions, or unapproved repairs or modifications. Causes defects through accidents, acts of God, acts of nature, negligence, liquid immersion, or improper ventilation. Knowingly and willingly attempt to defraud the validity of a claim.",Repair,,,,,,,,,,,,,,
ZEBRONICS NVIDIA ZEB-GT610 2 GB DDR3 Graphics Card,"₹1,355",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/kz5vwy80/graphics-card/e/e/o/zeb-gt610-zebronics-original-imagb8f7rrrnwdsk.jpeg?q=70,https://www.flipkart.com/zebronics-nvidia-zeb-gt610-2-gb-ddr3-graphics-card/p/itmdfdf4fb56697a?pid=GRCGB8F7GMGEDYJN&lid=LSTGRCGB8F7GMGEDYJN10F5PG&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&spotlightTagId=FkPickId_4rr%2Ftin%2F6zn&srno=s_1_5&otracker=search&fm=organic&iid=bc0ae076-a2e9-4907-bfd1-ab0789667a1f.GRCGB8F7GMGEDYJN.SEARCH&ppt=None&ppn=None&ssid=81484ireao0000001738522805100&qH=ae2a487734c75ca2,2025-02-02 20:00:05,1 Unit Graphics Card,ZEBRONICS,NVIDIA 610,1000 MHz,PCI 2.0,ZEB-GT610,,ZEB-GT610-2GD3,"64-bit, 2 GB DDR3 Memory with 1000 MHz",,,,1 x HDMI Output Out,,HDTV Support,3 YEAR'S,Manufacturer defect,Broken Product not covered warranty,Carry in,1xVGA DSub Output,All OS,,,,,,,,,,,,
Colorful NVIDIA GT-1050 4 GB DDR5 Graphics Card,"₹19,499",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/l37mtu80/graphics-card/o/m/c/mainstream-colorful-original-imagedphztj2ssvw.jpeg?q=70,https://www.flipkart.com/colorful-nvidia-gt-1050-4-gb-ddr5-graphics-card/p/itmdcd63cc660520?pid=GRCGE985HTUVZUUF&lid=LSTGRCGE985HTUVZUUFC7XY29&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_1_9&otracker=search&fm=organic&iid=bc0ae076-a2e9-4907-bfd1-ab0789667a1f.GRCGE985HTUVZUUF.SEARCH&ppt=None&ppn=None&ssid=81484ireao0000001738522805100&qH=ae2a487734c75ca2,2025-02-02 20:00:05,"1 Graphic Card, Manual",Colorful,NVIDIA GeForce GTX 1050Ti,1290 MHz,PCI Express 3.0,GT-1050,,G-C1050TI 4G-V,"128-bit, 4 GB DDR5 Memory with 7000 MHz",,Yes support,,"1 x DVI Output Out, 1 x HDMI Output Out",1 x Display Port Out,,3 Years Warranty,Manufacturing Defects,"Physical Damage, Industrial Usage or Used for Mining/Farming Applications",Carry In to Service Centre,,,768 CUDA Cores,14 nm,,,,,,,,,,
AARVEX NVIDIA GT 730 4GB GDDR3 GPU 4 GB DDR3 Graphics C...,"₹3,105",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/n/h/p/gt-730-4gb-gddr3-gpu-aarvex-original-imah3t5fmmeeazda.jpeg?q=70,https://www.flipkart.com/aarvex-nvidia-gt-730-4gb-gddr3-gpu-4-gb-ddr3-graphics-card/p/itmfd1d910f58f68?pid=GRCH3T5SWBPRSHCG&lid=LSTGRCH3T5SWBPRSHCGZINPGD&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_1_13&otracker=search&fm=organic&iid=bc0ae076-a2e9-4907-bfd1-ab0789667a1f.GRCH3T5SWBPRSHCG.SEARCH&ppt=None&ppn=None&ssid=81484ireao0000001738522805100&qH=ae2a487734c75ca2,2025-02-02 20:00:05,"AARVEX Graphic Card GT730 4GB, Speed up your PC multimedia experience. Upgrade to the new GT730 dedicated graphics card and get high-speed web browsing, and incredible photo and video editing. It is not a dream to run high-end games with middle-end graphics cards., Hardware-accelerated Blu-ray 3D playback enables the Aarvex GT730 to provide spectacular stereoscopic high-definition video with compatible displays and playback software. The graphics card is equipped with a high-speed 4GB GDDR3 Ram which speeds up the whole process and, a heatsink that cools down the temperature of the GPU in longuses.",AARVEX,NVIDIA GeForce GT 730,1800 MHz,Supports PCI Express (2.0) ×8,GT 730 4GB GDDR3 GPU,350 W,GT730LP-4GD3,"64-bit, 4 GB DDR3 Memory with 1800 MHz",14.4 Gbps,"Microsoft DirectX v12, Open GL Optimization v4.5, No support",No support,"1 x DVI Output Out, No x Dual Link DVI Out, 1 x HDMI Output Out","Yes x Co-Axial TV Out, No x VIVO Out, 3 x Display Port Out, Common Outputs on GT 730: HDMI, DVI, VGA., Potential Features: Audio over HDMI, multi-display support., Additional Connectivity: DisplayPort may be present in some third-party models; adapters are available for connecting different types of displays.",HDCP Support and HDTV Support,3 Year,Not Working,Physical & Damaged,Carry In,1xVGA DSub Output,"Windows 11, Windows 10, Windows 8.1 and 8, Windows 7, Windows XP, Linux: Supported on various distributions, including Ubuntu and Debian, with necessary drivers.","384 Stream Processor, 384 Shader Processors, 192 CUDA Cores",28 nm,Clock speed of 1333 MHz,400 MHz,single-slot cooling solution,"8294400 (Digital), 3145728 (Analog)","Power Supply: Minimum 300 watts; check for specific power connector requirements based on the card model., Physical Slot: PCI Express x16 slot required., Physical Size: Ensure the card fits in your PC case., System RAM: At least 4 GB recommended., Operating System: Compatible with Windows 7, 8, 8.1, 10, 11, and various Linux distributions with appropriate drivers., CPU: A modern processor to avoid performance bottlenecks., Display Connectivity: Match the monitor connections (HDMI, DVI, VGA) with the GPU outputs., Cooling: Adequate case ventilation is important.",Driver,190 g,"NVIDIA GPU Boost: While more prominent in higher-end NVIDIA cards, basic versions of GPU Boost are available in the GT 730, allowing for slight performance increases under certain conditions. However, its capabilities are limited compared to higher-end models., Control Panel: Provides a range of settings and customization options, including display configurations, color adjustments, and performance settings. The NVIDIA Control Panel allows users to tweak various settings for better performance or visual quality., PhysX Support: The GT 730 supports NVIDIA PhysX, a physics simulation engine that enhances the realism of physical interactions and effects in supported games., CUDA Support: Allows the GT 730 to use its GPU cores for parallel computing tasks beyond graphics rendering. CUDA (Compute Unified Device Architecture) is useful for applications that leverage GPU acceleration for tasks such as video encoding or scientific computing., Video Decoding: The GT 730 supports hardware-accelerated video decoding for formats such as H.264 and MPEG-2, which can improve video playback performance and efficiency., Display Configuration: Supports multiple monitors simultaneously through its HDMI, DVI, and VGA outputs. The number of monitors you can connect and manage will depend on the specific outputs available on your GT 730 model., DirectX 12: Provides support for the latest DirectX features, though it’s limited to the feature level available on the GT 730.
OpenGL 4.5: Allows the card to run applications and games that use OpenGL for rendering., Low Power Consumption: The GT 730 is designed to be energy efficient, consuming less power compared to higher-end GPUs. This can be advantageous for systems where power consumption is a concern., HDMI 1.4/2.0: Depending on the specific model, the GT 730 may support HDMI 1.4 or HDMI 2.0, which can provide high-definition audio and video output., V-Sync: Prevents screen tearing by synchronizing the frame rate of the GPU with the refresh rate of the monitor. Adaptive V-Sync adjusts this synchronization dynamically to improve performance during varying frame rates.",,
ASRock AMD Radeon RX 7600 8 GB GDDR6 Graphics Card,"₹24,899",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/z/d/l/-original-imah5yvzkffdhyy4.jpeg?q=70,https://www.flipkart.com/asrock-amd-radeon-rx-7600-8-gb-gddr6-graphics-card/p/itm745577af883d3?pid=GRCH4JRXJ33JBDM2&lid=LSTGRCH4JRXJ33JBDM29WW2WG&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_1_17&otracker=search&fm=organic&iid=bc0ae076-a2e9-4907-bfd1-ab0789667a1f.GRCH4JRXJ33JBDM2.SEARCH&ppt=None&ppn=None&ssid=81484ireao0000001738522805100&qH=ae2a487734c75ca2,2025-02-02 20:00:05,"1 Graphics Card, Quick Installation Guide",ASRock,AMD Radeon OpenGL 4.6,2695 MHz,PCI Express 4.0 x8,RX 7600,550 W,90-GA41ZZ-00UANL,"128-bit, 8 GB GDDR6 Memory",,,,,,,3 Years Warranty,Manufacturing Defects,Physical Damages,On-site,,,,,,,,,,,,,,
Colorful NVIDIA Battle AX Mainstream 4 GB GDDR4 Graphic...,"₹16,000",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/d/3/n/battle-ax-mainstream-colorful-original-imah3j7qdg3zxdzy.jpeg?q=70,https://www.flipkart.com/colorful-nvidia-battle-ax-mainstream-4-gb-gddr4-graphics-card/p/itm0631bc405603f?pid=GRCH3H76EJA6CDWY&lid=LSTGRCH3H76EJA6CDWYCMTGWH&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_1_21&otracker=search&fm=organic&iid=bc0ae076-a2e9-4907-bfd1-ab0789667a1f.GRCH3H76EJA6CDWY.SEARCH&ppt=None&ppn=None&ssid=81484ireao0000001738522805100&qH=ae2a487734c75ca2,2025-02-02 20:00:05,"1 Graphics Card, User Manual",Colorful,NVIDIA GeForce GTX 1650,1410 MHz,PCI Express 3.0,Battle AX Mainstream,400 W,G-C1650NB EX4GD6-V,"128-bit, 4 GB GDDR4 Memory",192 Gbps,No support,,1 x DVI Output Out,3 x Display Port Out,,3 Years Warranty,Manufacturing Defects,Physical Damages,Carry-in,,,,,,,,,,,,,,
ASRock AMD Radeon RX6500XT PGD 4 GB GDDR6 Graphics Card,"₹20,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/l2m78280/graphics-card/o/r/v/rx6500xt-pgd-asrock-original-imagdxayfp2svavs.jpeg?q=70,https://www.flipkart.com/asrock-amd-radeon-rx6500xt-pgd-4-gb-gddr6-graphics-card/p/itme1ff4493695dd?pid=GRCGDUZMTRDG2TKR&lid=LSTGRCGDUZMTRDG2TKRUQTTVC&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_1_25&otracker=search&fm=organic&iid=bc0ae076-a2e9-4907-bfd1-ab0789667a1f.GRCGDUZMTRDG2TKR.SEARCH&ppt=None&ppn=None&ssid=81484ireao0000001738522805100&qH=ae2a487734c75ca2,2025-02-02 20:00:05,"1 Graphic Card, Quick guide",ASRock,AMD Radeon Radeon RX 6500 XT,2365 MHz,PCI Express 4.0 x4,RX6500XT PGD,400 W,RX6500XT,"64-bit, 4 GB GDDR6 Memory with 18000 MHz",144 Gbps,Open GL Optimization v4.6,,1 x HDMI Output Out,1 x Display Port Out,HDCP Support,3 Years Warranty,Manufacturing Defects,Physical Damages,Carry-in,,,1024 Stream Processor,,,2365 MHz,,7680 x 4320 (Digital),,,459 g,"0 dB Silent Cooling, 4GB 64-bit GDDR6, Striped Axial Fan, Hardware Raytracing",240 x 129 x 42 mm,
JieShuo AMD Radeon RX 590 8 GB GDDR5 Graphics Card,"₹10,599",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/2/y/i/rx-590-jieshuo-original-imah6787eavxnzuk.jpeg?q=70,https://www.flipkart.com/jieshuo-amd-radeon-rx-590-8-gb-gddr5-graphics-card/p/itm2e69d0742dc76?pid=GRCH5ZG4QCHAUCGH&lid=LSTGRCH5ZG4QCHAUCGHCL1U4F&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_1_29&otracker=search&fm=organic&iid=bc0ae076-a2e9-4907-bfd1-ab0789667a1f.GRCH5ZG4QCHAUCGH.SEARCH&ppt=None&ppn=None&ssid=81484ireao0000001738522805100&qH=ae2a487734c75ca2,2025-02-02 20:00:05,1 Graphics Card,JieShuo,AMD Radeon AMD,1400 MHz,PCI Express 16,RX 590,550 W,RX590,"256-bit, 8 GB GDDR5 Memory with 2100 MHz",,"AMD CrossFireX supported, No support",,1 x HDMI Output Out,2 x Display Port Out,,1 Year Seller Warranty from NJ Infotech +91 9906910066,Manufacturing defects,Burnt and Physical damage,Replacement,,"Windows 11, Windows 10, Windows 7, Windows 7, Linux",2048 Shader Processors,,Shader Version 5 with Clock speed of 1024 MHz,,High Quality Cooper,7680x4320 (Digital),,AMD Adraline,800 g,It requires a mandatory 550W of Power Supply,30 x 4 x 12 mm,
Colorful NVIDIA Battle AX Mainstream 8 GB GDDR6 Graphic...,"₹39,000",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/j/y/1/battle-ax-mainstream-colorful-original-imah3q58tzrutt4v.jpeg?q=70,https://www.flipkart.com/colorful-nvidia-battle-ax-mainstream-8-gb-gddr6-graphics-card/p/itma2ecc3aab3396?pid=GRCH3PVZ45BXH2QZ&lid=LSTGRCH3PVZ45BXH2QZB2J8JP&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_1_33&otracker=search&fm=organic&iid=bc0ae076-a2e9-4907-bfd1-ab0789667a1f.GRCH3PVZ45BXH2QZ.SEARCH&ppt=None&ppn=None&ssid=81484ireao0000001738522805100&qH=ae2a487734c75ca2,2025-02-02 20:00:05,"1 Graphics Card, User Manual, Warranty Card",Colorful,NVIDIA RTX 4060,1830 MHz,PCI Express 4.0,Battle AX Mainstream,450 W,G-C4060-NBDUO8G,"128-bit, 8 GB GDDR6 Memory",272 Gbps,,,,,,3 Years Warranty,Manufaturing Defects,Physical Damages,Carry-in,,,3072 CUDA Cores,,,,,,,,,,,
