title,price,rating,reviews,image_url,product_url,collection_date,Sales Package,Brand,Graphics Engine,GPU Clock,Bus Standard,Model ID,Power Supply Required,Part Number,Memory,Memory Bandwidth,Graphics Technologies Supported,3D Support,DVI and HDMI Interface,Other Interface,HD Content Support,Warranty Summary,Covered in Warranty,Not Covered in Warranty,Service Type,Cooling and Heatsink,Dimensions,Weight,Additional Features,Processors and Cores,Shader,Maximum Resolution,Supported OS,Software Included,RAMDAC Clock Speed,VGA/D-SUB Output,GPU Manufacturing Process,Mini HDMI,Other System Requirements
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2/5/2025 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOTAC NVIDIA GeForce RTX 4060 8GB Twin Edge 8 GB GDDR6 ...,"₹26,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/e/e/v/geforce-rtx-4060-8gb-twin-edge-zotac-original-imaguxhdmegjwuny.jpeg?q=70,https://www.flipkart.com/zotac-nvidia-geforce-rtx-4060-8gb-twin-edge-8-gb-gddr6-graphics-card/p/itm6016604b999df?pid=GRCGUXHDASYKDGYZ&lid=LSTGRCGUXHDASYKDGYZAB6R1J&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_1_1&otracker=search&fm=organic&iid=7ef4daef-8d55-4f0d-912b-8677999a433a.GRCGUXHDASYKDGYZ.SEARCH&ppt=None&ppn=None&ssid=1adks0ajlc0000001738683947298&qH=ae2a487734c75ca2,2/5/2025 16:45,"Graphic Card, User Manual",ZOTAC,NVIDIA Boost: 2475 MHz,2475 MHz,128,GeForce RTX 4060 8GB Twin Edge,500 W,ZT-D40600E-10M,"128-bit, 8 GB GDDR6 Memory with 2475 MHz",17 Gbps,"AMD CrossFireX supported, Yes support",Yes support,Yes x Dual Link DVI Out,"Yes x Co-Axial TV Out, Yes x VIVO Out",HDCP Support and HDTV Support,5 Year,Graphic Card,"Tampers, defaces, or removes any stickers containing product identification information such as model number, serial number, or part number. Tampers, defaces, or removes any stickers indicating void warranty if broken. Causes defects through improper usage, failure to comply with operations, inappropriate operating conditions, or unapproved repairs or modifications. Causes defects through accidents, acts of God, acts of nature, negligence, liquid immersion, or improper ventilation. Knowingly and willingly attempt to defraud the validity of a claim.",Repair,,,,,,,,,,,,,,
Frontech NVIDIA GT 610 | 64 Bits PCIe 2.0 | High Effici...,"₹1,299",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/v/u/x/gt-610-64-bits-pcie-2-0-high-efficiency-gaming-card-frontech-original-imah8zvgvzcqg79s.jpeg?q=70,https://www.flipkart.com/frontech-nvidia-gt-610-64-bits-pcie-2-0-high-efficiency-gaming-card-2-gb-ddr3-graphics/p/itm16fd3bb878dba?pid=GRCGT6F8GYHYJRNC&lid=LSTGRCGT6F8GYHYJRNCBHXOLI&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_1_5&otracker=search&fm=organic&iid=7ef4daef-8d55-4f0d-912b-8677999a433a.GRCGT6F8GYHYJRNC.SEARCH&ppt=None&ppn=None&ssid=1adks0ajlc0000001738683947298&qH=ae2a487734c75ca2,2/5/2025 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIGABYTE NVIDIA GeForce GTX 1650 D6 pci_e_x16 WINDFORCE...,"₹15,023",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/kfvfwy80/graphics-card/m/s/s/gigabyte-gv-n1656wf2oc-4gd-original-imafw8m2mmcgtzre.jpeg?q=70,https://www.flipkart.com/gigabyte-nvidia-geforce-gtx-1650-d6-pci-e-x16-windforce-oc-4gd-gv-n1656wf2oc-4gd-4-gb-gddr6-graphics-card/p/itm073baf2dff79a?pid=GRCFW8FYXUGERMSS&lid=LSTGRCFW8FYXUGERMSSRPALUK&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_1_9&otracker=search&fm=organic&iid=7ef4daef-8d55-4f0d-912b-8677999a433a.GRCFW8FYXUGERMSS.SEARCH&ppt=None&ppn=None&ssid=1adks0ajlc0000001738683947298&qH=ae2a487734c75ca2,2/5/2025 16:45,1 Graphics card,GIGABYTE,NVIDIA GeForce GTX 1650,1709 MHz,PCI-E 3.0 x 16,GeForce GTX 1650 D6 pci_e_x16 WINDFORCE OC 4GD (GV-N1656WF2OC-4GD),300 W,GV-N1656WF2OC-4GD,"127-bit, 4 GB GDDR6 Memory with 12000 MHz",190 Gbps,,,,1 x Display Port Out,,3 YEARS,MANUFACTURING DEFECT,Physical Damage or Burnt,CARRY IN,,,,,,,,,,,,,,
ZOTAC NVIDIA GAMING GeForce RTX 4070 Ti SUPER Trinity B...,"₹79,897",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/v/i/p/gaming-geforce-rtx-4070-ti-super-trinity-black-edition-zotac-original-imagxarx8hqkdatq.jpeg?q=70,https://www.flipkart.com/zotac-nvidia-gaming-geforce-rtx-4070-ti-super-trinity-black-16-gb-gddr6x-graphics-card/p/itm88816f4c0acca?pid=GRCGXARXQWY5DYUN&lid=LSTGRCGXARXQWY5DYUNYNROL9&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_1_13&otracker=search&fm=organic&iid=7ef4daef-8d55-4f0d-912b-8677999a433a.GRCGXARXQWY5DYUN.SEARCH&ppt=None&ppn=None&ssid=1adks0ajlc0000001738683947298&qH=ae2a487734c75ca2,2/5/2025 16:45,"ZOTAC GAMING GeForce RTX 4070 Ti SUPER Trinity Black Edition 16GB GDDR6X, User Manual, 2 x 8-pin-to-12VHPWR cable. GPU Support Stand",ZOTAC,NVIDIA GEFORCE RTX 4070,2610 MHz,256,GAMING GeForce RTX 4070 Ti SUPER Trinity Black Edition,700 W,4.90E+12,"256-bit, 16 GB GDDR6X Memory",,,,,,,5 Years Warranty,Complete Product Warranty,"Tampers, defaces, or removes any stickers containing product identification information such as model number, serial number, or part number. Tampers, defaces, or removes any stickers indicating void warranty if broken. Causes defects through improper usage, failure to comply with operations, inappropriate operating conditions, or unapproved repairs or modifications. Causes defects through accidents, acts of God, acts of nature, negligence, liquid immersion, or improper ventilation. Knowingly and willingly attempt to defraud the validity of a claim.",Carry-in Warranty,"IceStorm 2.0 advanced cooling. FREEZE fan stop, Active fan control",58 x 119 x 306 mm,1000 g,"SPECIFICATIONS
• NVIDIA GeForce RTX 4070 Ti SUPER GPU
• 8448 CUDA cores
• 16GB GDDR6X memory
• 256-bit memory bus
• Engine boost clock: 2610 MHz
• Memory clock: 21.0 Gbps
• PCI Express 4.0 x16, SOFTWARE COMPATIBILITY
• Game Ready and NVIDIA Studio Drivers
• PCI Express® Gen 4
• Microsoft DirectX® 12 Ultimate
• Vulkan RT APIs, Vulkan 1.3
• OpenGL 4.6
• Windows 11 / Windows 10 64-bit (v1809
 November 2018 or later), CONNECTIONS
• 3 x DisplayPort 1.4a
 (up to 7680x4320@60Hz)
• 1 x HDMI® Connector
 (Supports 4K 120Hz HDR, 8K 60Hz HDR,
 and Variable Refresh Rate as specified in
 the HDMI 2.1a Specification)
• HDCP 2.3 support
• Up to 4 displays simultaneously",,,,,,,,,,
ZOTAC NVIDIA GAMING GeForce RTX 4080 SUPER Trinity Blac...,"₹1,07,692",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/1/d/5/gaming-geforce-rtx-4080-super-trinity-black-edition-zotac-original-imagxat9z5ab6kum.jpeg?q=70,https://www.flipkart.com/zotac-nvidia-gaming-geforce-rtx-4080-super-trinity-black-16-gb-gddr6x-graphics-card/p/itma7e741366a6fd?pid=GRCGXAT94TNMG2VR&lid=LSTGRCGXAT94TNMG2VR30AW92&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_1_17&otracker=search&fm=organic&iid=7ef4daef-8d55-4f0d-912b-8677999a433a.GRCGXAT94TNMG2VR.SEARCH&ppt=None&ppn=None&ssid=1adks0ajlc0000001738683947298&qH=ae2a487734c75ca2,2/5/2025 16:45,"ZOTAC GAMING GeForce RTX 4080 SUPER Trinity Black Edition 16GB GDDR6X, User Manual, 3 x 8-pin-to-12VHPWR cable. GPU Support Stand",ZOTAC,NVIDIA GEFORCE RTX 4080,2550 MHz,256,GAMING GeForce RTX 4080 SUPER Trinity Black Edition,750 W,4.90E+12,"256-bit, 16 GB GDDR6X Memory",,,,,,,5 Years Warranty,Complete Product Warranty,"Tampers, defaces, or removes any stickers containing product identification information such as model number, serial number, or part number. Tampers, defaces, or removes any stickers indicating void warranty if broken. Causes defects through improper usage, failure to comply with operations, inappropriate operating conditions, or unapproved repairs or modifications. Causes defects through accidents, acts of God, acts of nature, negligence, liquid immersion, or improper ventilation. Knowingly and willingly attempt to defraud the validity of a claim.",Carry-in Warranty,"IceStorm 2.0 advanced cooling. FREEZE fan stop, Active fan control",58 x 119 x 306 mm,1000 g,"SPECIFICATIONS
• NVIDIA GeForce RTX 4080 SUPER GPU
• 10240 CUDA cores
• 16GB GDDR6X memory
• 256-bit memory bus
• Engine boost clock: 2550 MHz
• Memory clock: 23.0 Gbps
• PCI Express 4.0 x16, SOFTWARE COMPATIBILITY
• Game Ready and NVIDIA Studio Drivers
• PCI Express® Gen 4
• Microsoft DirectX® 12 Ultimate
• Vulkan RT APIs, Vulkan 1.3
• OpenGL 4.6
• Windows 11 / Windows 10 64-bit (v1809
 November 2018 or later), CONNECTIONS
• 3 x DisplayPort 1.4a
 (up to 7680x4320@60Hz)
• 1 x HDMI® Connector
 (Supports 4K 120Hz HDR, 8K 60Hz HDR,
 and Variable Refresh Rate as specified in
 the HDMI 2.1a Specification)
• HDCP 2.3 support
• Up to 4 displays simultaneously",,,,,,,,,,
ASRock AMD Radeon RX 7600 XT 16 GB GDDR6 Graphics Card,"₹32,099",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/a/3/i/-original-imah5yvz2vrfcxhg.jpeg?q=70,https://www.flipkart.com/asrock-amd-radeon-rx-7600-xt-16-gb-gddr6-graphics-card/p/itma1195463b9f38?pid=GRCH4JRXBUHPHASF&lid=LSTGRCH4JRXBUHPHASFTLYRSG&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_1_21&otracker=search&fm=organic&iid=7ef4daef-8d55-4f0d-912b-8677999a433a.GRCH4JRXBUHPHASF.SEARCH&ppt=None&ppn=None&ssid=1adks0ajlc0000001738683947298&qH=ae2a487734c75ca2,2/5/2025 16:45,"1 Graphics Card, Quick Installation Guide",ASRock,AMD Radeon OpenGL 4.6,2810 MHz,PCI Express 4.0 x8,RX 7600 XT,650 W,90-GA4ZZZ-00IANF,"128-bit, 16 GB GDDR6 Memory",,,,,,,3 Years Warranty,Manufacturing Defects,Physical Damages,On-site,,,,,,,,,,,,,,
Inno3D NVIDIA GEFORCE RTX 4060 Ti TWIN X2 8 GB GDDR6 Gr...,"₹43,409",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/u/e/7/-original-imagrfry9ub4zx7m.jpeg?q=70,https://www.flipkart.com/inno3d-nvidia-geforce-rtx-4060-ti-twin-x2-8-gb-gddr6-graphics-card/p/itmf0f37be584596?pid=GRCGPYG5AAH24PKU&lid=LSTGRCGPYG5AAH24PKUORWR3S&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_1_25&otracker=search&fm=organic&iid=7ef4daef-8d55-4f0d-912b-8677999a433a.GRCGPYG5AAH24PKU.SEARCH&ppt=None&ppn=None&ssid=1adks0ajlc0000001738683947298&qH=ae2a487734c75ca2,2/5/2025 16:45,GPU,Inno3D,NVIDIA GEFORCE RTX 4060,4060 MHz,PCI-E 4.0,GEFORCE RTX 4060 Ti TWIN X2,,N406T2-08D6-171153N,"128-bit, 8 GB GDDR6 Memory",,,,,,,1 Year from the date of purchase,Warranty is applicable on manufacturing defects (If any) for 1 Year from the date of purchase.,"Unauthorized tampering, modification or repair physical damage; water Damage or any other damage due to heat, humidity, moisture and mishandling doing operations",Warranty claim along with the necessary contact information required: RMA Portal - www.acrorma.com or mail on support@acrorma.com,,250 x 118 x 42 mm,990 g,,,,,,,,,,,
ASUS NVIDIA DUAL RTX4060TI OC 8GB GDDR6 Gaming Graphics...,"₹47,500",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/e/q/b/dual-rtx4060ti-oc-8gb-gddr6-gaming-graphics-card-asus-original-imagtyhxu23ck7y3.jpeg?q=70,https://www.flipkart.com/asus-nvidia-dual-rtx4060ti-oc-8gb-gddr6-gaming-graphics-card-8-gb/p/itm649bce0c72cf0?pid=GRCGSYFGUZU6ET2P&lid=LSTGRCGSYFGUZU6ET2PTNZPQP&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_1_29&otracker=search&fm=organic&iid=7ef4daef-8d55-4f0d-912b-8677999a433a.GRCGSYFGUZU6ET2P.SEARCH&ppt=None&ppn=None&ssid=1adks0ajlc0000001738683947298&qH=ae2a487734c75ca2,2/5/2025 16:45,"1 Graphics Card, Speed Setup Manual, Collection Card",ASUS,NVIDIA GeForce RTX 4060 Ti,2565 MHz,PCI Express 4.0,DUAL RTX4060TI OC 8GB GDDR6 Gaming Graphics card,650 W,90YV0J40-M0IA00,"128-bit, 8 GB GDDR6 Memory",,,,,,HDCP Support,3 Years Warranty,Manufacturing Defects,Physical and Liquid Damages,Carry-in,,,,,,,,,,,,,,
ZOTAC NVIDIA GAMING GEFORCE RTX 4060 16 GB GDDR6 Graphi...,"₹44,531",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/m/p/y/gaming-geforce-rtx-4060-zotac-original-imagx6bvnbcpttqw.jpeg?q=70,https://www.flipkart.com/zotac-nvidia-gaming-geforce-rtx-4060-16-gb-gddr6-graphics-card/p/itm640e2debd6490?pid=GRCGX6BVE2GWCRHV&lid=LSTGRCGX6BVE2GWCRHVJV62J3&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_1_33&otracker=search&fm=organic&iid=7ef4daef-8d55-4f0d-912b-8677999a433a.GRCGX6BVE2GWCRHV.SEARCH&ppt=None&ppn=None&ssid=1adks0ajlc0000001738683947298&qH=ae2a487734c75ca2,2/5/2025 16:45,"GAMING GeForce RTX 4060 Ti 16GB Twin Edge, User Manual",ZOTAC,NVIDIA GEFORCE RTX 4060,2535 MHz,128,GAMING GEFORCE RTX 4060,500 W,4.90E+12,"128-bit, 16 GB GDDR6 Memory with 18 MHz",,,,,,,5 Years Warranty,Complete Product Warranty,"Tampers, defaces, or removes any stickers containing product identification information such as model number, serial number, or part number. Tampers, defaces, or removes any stickers indicating void warranty if broken. Causes defects through improper usage, failure to comply with operations, inappropriate operating conditions, or unapproved repairs or modifications. Causes defects through accidents, acts of God, acts of nature, negligence, liquid immersion, or improper ventilation. Knowingly and willingly attempt to defraud the validity of a claim.",Carry-in Warranty,"IceStorm 2.0 advanced cooling, FREEZE Fan Stop, Active Fan Control",40 x 123 x 225 mm,1000 g,,,,,,,,,,,
