title,price,rating,reviews,image_url,product_url,collection_date,Sales Package,Brand,Graphics Engine,GPU Clock,Bus Standard,Model ID,Part Number,Memory,VGA/D-SUB Output,DVI and HDMI Interface,Other Interface,Dimensions,Weight,Warranty Summary,Covered in Warranty,Not Covered in Warranty,Service Type,Power Supply Required,Processors and Cores,Graphics Technologies Supported,Memory Bandwidth,Shader,Cooling and Heatsink,HD Content Support,Maximum Resolution,Supported OS,GPU Manufacturing Process,3D Support,Mini HDMI,Other System Requirements,RAMDAC Clock Speed,Software Included,Additional Features
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 16:23:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frontech NVIDIA GT 610 | 64 Bits PCIe 2.0 | High Effici...,"₹1,249",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/v/u/x/gt-610-64-bits-pcie-2-0-high-efficiency-gaming-card-frontech-original-imah8zvgvzcqg79s.jpeg?q=70,https://www.flipkart.com/frontech-nvidia-gt-610-64-bits-pcie-2-0-high-efficiency-gaming-card-2-gb-ddr3-graphics/p/itm16fd3bb878dba?pid=GRCGT6F8GYHYJRNC&lid=LSTGRCGT6F8GYHYJRNCBHXOLI&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_1_1&otracker=search&fm=organic&iid=8d8a6939-b994-4e33-8f68-39c29e045573.GRCGT6F8GYHYJRNC.SEARCH&ppt=None&ppn=None&ssid=i5bq3pfq280000001739028222351&qH=ae2a487734c75ca2,2025-02-08 16:23:42,"1 Unit Graphics Card, 1 Unit Driver Disc",Frontech,NVIDIA GT 610,533 MHz,PCI Express 2.0,GT 610 | 64 Bits PCIe 2.0 | High Efficiency-Gaming Card,GT 610,"64-bit, 2 GB DDR3 Memory with 1000 MHz",1xVGA DSub Output,"1 x DVI Output Out, 1 x HDMI Output Out","Yes x Co-Axial TV Out, VGA",151 x 22 x 22 mm,230 g,3 Years Warranty,Manufacturing Defects,Physical Damages will not Cover Under Warranty,"For Any warranty-related concerns, please reach out to Frontech Customer Support at 18003454500 or contact info@frontechlimited.com",,,,,,,,,,,,,,,,
ASRock AMD Radeon RX 7600 8 GB GDDR6 Graphics Card,"₹24,899",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/z/d/l/-original-imah5yvzkffdhyy4.jpeg?q=70,https://www.flipkart.com/asrock-amd-radeon-rx-7600-8-gb-gddr6-graphics-card/p/itm745577af883d3?pid=GRCH4JRXJ33JBDM2&lid=LSTGRCH4JRXJ33JBDM29WW2WG&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_1_5&otracker=search&fm=organic&iid=8d8a6939-b994-4e33-8f68-39c29e045573.GRCH4JRXJ33JBDM2.SEARCH&ppt=None&ppn=None&ssid=i5bq3pfq280000001739028222351&qH=ae2a487734c75ca2,2025-02-08 16:23:42,"1 Graphics Card, Quick Installation Guide",ASRock,AMD Radeon OpenGL 4.6,2695 MHz,PCI Express 4.0 x8,RX 7600,90-GA41ZZ-00UANL,"128-bit, 8 GB GDDR6 Memory",,,,,,3 Years Warranty,Manufacturing Defects,Physical Damages,On-site,550 W,,,,,,,,,,,,,,,
ASRock AMD Radeon RX 6400 4 GB GDDR6 Graphics Card,"₹10,599",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/l/e/m/-original-imah5yvzfzdekdky.jpeg?q=70,https://www.flipkart.com/asrock-amd-radeon-rx-6400-4-gb-gddr6-graphics-card/p/itmdea95f09d6f5f?pid=GRCH4JRXPZGYSFU8&lid=LSTGRCH4JRXPZGYSFU8JPBPJH&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_1_9&otracker=search&fm=organic&iid=8d8a6939-b994-4e33-8f68-39c29e045573.GRCH4JRXPZGYSFU8.SEARCH&ppt=None&ppn=None&ssid=i5bq3pfq280000001739028222351&qH=ae2a487734c75ca2,2025-02-08 16:23:42,"1 Graphics Card, Quick Installation Guide",ASRock,AMD Radeon OpenGL 4.6,2321 MHz,PCI Express 4.0 x4,RX 6400,90-GA3CZZ-00IANF,"64-bit, 4 GB GDDR6 Memory",,,,,,3 Years Warranty,Manufacturing Defects,Physical Damages,On-site,350 W,,,,,,,,,,,,,,,
Frontech NVIDIA GT 730 Graphics Card | 64 Bits PCIe 2.0...,"₹2,599",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/l/i/a/gt-730-graphics-card-64-bits-pcie-2-0-high-efficiency-gaming-original-imah2hwcykhgfvf2.jpeg?q=70,https://www.flipkart.com/frontech-nvidia-gt-730-graphics-card-64-bits-pcie-2-0-high-efficiency-gaming-grp-0002-4-gb-ddr3/p/itm9273b94d674b0?pid=GRCH2HWDAYGVH6UH&lid=LSTGRCH2HWDAYGVH6UHR0PVWB&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_1_13&otracker=search&fm=organic&iid=8d8a6939-b994-4e33-8f68-39c29e045573.GRCH2HWDAYGVH6UH.SEARCH&ppt=None&ppn=None&ssid=i5bq3pfq280000001739028222351&qH=ae2a487734c75ca2,2025-02-08 16:23:42,pack of 1,Frontech,NVIDIA GT 730,1600 MHz,PCI Express 2.0,GT 730 Graphics Card | 64 Bits PCIe 2.0| High Efficiency-Gaming Card (GRP-0002 ),GT 730,"64-bit, 4 GB DDR3 Memory with 533 MHz",1xVGA DSub Output,"1 x DVI Output Out, 1 x HDMI Output Out",Yes x Co-Axial TV Out,151 x 22 x 23 mm,230 g,3 Years Warranty,Manufacturing Defects,Physical Damages will not Cover Under Warranty,"For Any warranty-related concerns, please reach out to Frontech Customer Support at 18003454500 or contact info@frontechlimited.com",300 W,3.5 CUDA Cores,"Microsoft DirectX v12, Open GL Optimization v4.5",,,,,,,,,,,,,
ASRock AMD Radeon RX 7800 XT 16 GB GDDR6 Graphics Card,"₹47,399",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/1/x/5/-original-imah5yvzecazywfb.jpeg?q=70,https://www.flipkart.com/asrock-amd-radeon-rx-7800-xt-16-gb-gddr6-graphics-card/p/itmf641642dbc05f?pid=GRCH4JRXWPMH23NH&lid=LSTGRCH4JRXWPMH23NHCUZPN5&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_1_17&otracker=search&fm=organic&iid=8d8a6939-b994-4e33-8f68-39c29e045573.GRCH4JRXWPMH23NH.SEARCH&ppt=None&ppn=None&ssid=i5bq3pfq280000001739028222351&qH=ae2a487734c75ca2,2025-02-08 16:23:42,"1 Graphics Card, Quick Installation Guide",ASRock,AMD Radeon OpenGL 4.6,2520 MHz,PCI Express 4.0 x16,RX 7800 XT,90-GA4RZZ-00IANF,"256-bit, 16 GB GDDR6 Memory",,,,,,3 Years Warranty,Manufacturing Defects,Physical Damages,On-site,800 W,,,,,,,,,,,,,,,
Colorful NVIDIA Battle AX Mainstream 4 GB GDDR4 Graphic...,"₹16,000",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/d/3/n/battle-ax-mainstream-colorful-original-imah3j7qdg3zxdzy.jpeg?q=70,https://www.flipkart.com/colorful-nvidia-battle-ax-mainstream-4-gb-gddr4-graphics-card/p/itm0631bc405603f?pid=GRCH3H76EJA6CDWY&lid=LSTGRCH3H76EJA6CDWYCMTGWH&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_1_21&otracker=search&fm=organic&iid=8d8a6939-b994-4e33-8f68-39c29e045573.GRCH3H76EJA6CDWY.SEARCH&ppt=None&ppn=None&ssid=i5bq3pfq280000001739028222351&qH=ae2a487734c75ca2,2025-02-08 16:23:42,"1 Graphics Card, User Manual",Colorful,NVIDIA GeForce GTX 1650,1410 MHz,PCI Express 3.0,Battle AX Mainstream,G-C1650NB EX4GD6-V,"128-bit, 4 GB GDDR4 Memory",,1 x DVI Output Out,3 x Display Port Out,,,3 Years Warranty,Manufacturing Defects,Physical Damages,Carry-in,400 W,,No support,192 Gbps,,,,,,,,,,,,
ZOTAC NVIDIA Geforce GTX 1630 4 GB GDDR6 4 GB GDDR6 Gra...,"₹16,699",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/f/8/x/geforce-gtx-1630-4-gb-gddr6-zotac-original-imaggduyx77xhnbh.jpeg?q=70,https://www.flipkart.com/zotac-nvidia-geforce-gtx-1630-4-gb-gddr6-graphics-card/p/itm3fb3c4cbf481f?pid=GRCGGDUYTU8U6ZHH&lid=LSTGRCGGDUYTU8U6ZHHEBFNKJ&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_1_25&otracker=search&fm=organic&iid=8d8a6939-b994-4e33-8f68-39c29e045573.GRCGGDUYTU8U6ZHH.SEARCH&ppt=None&ppn=None&ssid=i5bq3pfq280000001739028222351&qH=ae2a487734c75ca2,2025-02-08 16:23:42,"Graphics Card, Manual",ZOTAC,NVIDIA Gtx 1630,1785 MHz,Pcie 3.0,Geforce GTX 1630 4 GB GDDR6,9288-2N595-300Z8,"64-bit, 4 GB GDDR6 Memory",1xVGA DSub Output,1 x HDMI Output Out,1 x Display Port Out,12 x 4 x 16 mm,300 g,3 Years,Not working,Physical Damage,Service Center,75 W,512 CUDA Cores,,,,,,,,,,,,,,
ZEBRONICS NVIDIA Zeb GT 730 4 GD3 4 GB DDR3 Graphics Ca...,"₹2,691",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/c/8/n/zeb-gt-730-4-gd3-zebronics-original-imah5yyv6fgtyrgc.jpeg?q=70,https://www.flipkart.com/zebronics-nvidia-zeb-gt-730-4-gd3-gb-ddr3-graphics-card/p/itmf61a7bd412193?pid=GRCH5YYVEYX3MHFG&lid=LSTGRCH5YYVEYX3MHFGVOHBNK&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_1_29&otracker=search&fm=organic&iid=8d8a6939-b994-4e33-8f68-39c29e045573.GRCH5YYVEYX3MHFG.SEARCH&ppt=None&ppn=None&ssid=i5bq3pfq280000001739028222351&qH=ae2a487734c75ca2,2025-02-08 16:23:42,Pack of 1 graphics_card,ZEBRONICS,NVIDIA GT730,144 MHz,SERIAL,Zeb GT 730 4 GD3,1234,"64-bit, 4 GB DDR3 Memory with 1333 MHz",,,,,,1,1,DAMAGES,1,450 W,,,,Clock speed of 1333 MHz,yes,HDTV Support,,,,,,,,,
MSI NVIDIA GeForce RTX 4060 VENTUS 2X BLACK 8G OC 8 GB ...,"₹29,811",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/x/y/x/geforce-rtx-4060-ventus-2x-black-8g-oc-msi-original-imagt5y9h9npx6vg.jpeg?q=70,https://www.flipkart.com/msi-nvidia-geforce-rtx-4060-ventus-2x-black-8g-oc-8-gb-gddr6-graphics-card/p/itm07265810a9e56?pid=GRCGT5YABYHYTBKH&lid=LSTGRCGT5YABYHYTBKHHICZ4K&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_1_33&otracker=search&fm=organic&iid=8d8a6939-b994-4e33-8f68-39c29e045573.GRCGT5YABYHYTBKH.SEARCH&ppt=None&ppn=None&ssid=i5bq3pfq280000001739028222351&qH=ae2a487734c75ca2,2025-02-08 16:23:42,Graphic Card and Manual,MSI,NVIDIA GeForce RTX 4060,2505 MHz,PCI Express Gen 4 x 8,GeForce RTX 4060 VENTUS 2X BLACK 8G OC,GeForce RTX 4060 VENTUS 2X BLACK 8G OC,"128-bit, 8 GB GDDR6 Memory",,,,,,3 Years Limited Warranty,Manufacturing defects,Physical damage not covered,Please contact MSI Repair Center,,,,,,,,,,,,,,,,
ASRock AMD Radeon RX 7700 XT 12 GB GDDR6 Graphics Card,"₹40,499",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/6/w/d/-original-imah5yvzgmfz89hg.jpeg?q=70,https://www.flipkart.com/asrock-amd-radeon-rx-7700-xt-12-gb-gddr6-graphics-card/p/itm23cefc4d93c68?pid=GRCH4JRXHSSFBM69&lid=LSTGRCH4JRXHSSFBM69T4Y7DZ&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_1_37&otracker=search&fm=organic&iid=8d8a6939-b994-4e33-8f68-39c29e045573.GRCH4JRXHSSFBM69.SEARCH&ppt=None&ppn=None&ssid=i5bq3pfq280000001739028222351&qH=ae2a487734c75ca2,2025-02-08 16:23:42,"1 Graphics Card, Quick Installation Guide",ASRock,AMD Radeon OpenGL 4.6,2599 MHz,PCI Express 4.0 x16,RX 7700 XT,90-GA4PZZ-00IANF,"192-bit, 12 GB GDDR6 Memory",,,,,,3 Years Warranty,Manufacturing Defects,Physical Damages,On-site,750 W,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 16:23:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 16:23:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,"₹15,399",4.7,Data not available,https://rukminim2.flixcart.com/image/300/300/xif0q/graphics-card/e/m/x/-original-imah5yvzhjr3ksyv.jpeg?q=90,URL not available,2025-02-08 16:23:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 16:23:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 16:24:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
