title,price,rating,reviews,image_url,product_url,collection_date,Sales Package,Brand,Graphics Engine,GPU Clock,Bus Standard,Model ID,Part Number,Memory,VGA/D-SUB Output,DVI and HDMI Interface,HD Content Support,Supported OS,Warranty Summary,Covered in Warranty,Not Covered in Warranty,Service Type,Maximum Resolution,Processors and Cores,GPU Manufacturing Process,Graphics Technologies Supported,Other Interface,Shader,Cooling and Heatsink,Power Supply Required,Software Included,Dimensions,Weight,Additional Features,3D Support,Mini HDMI,Memory Bandwidth,RAMDAC Clock Speed,Other System Requirements
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-01-29 02:36:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZEBRONICS NVIDIA ZEB-GT610 2 GB DDR3 Graphics Card,"₹1,345",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/kz5vwy80/graphics-card/e/e/o/zeb-gt610-zebronics-original-imagb8f7rrrnwdsk.jpeg?q=70,https://www.flipkart.com/zebronics-nvidia-zeb-gt610-2-gb-ddr3-graphics-card/p/itmdfdf4fb56697a?pid=GRCGB8F7GMGEDYJN&lid=LSTGRCGB8F7GMGEDYJN10F5PG&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&spotlightTagId=FkPickId_4rr%2Ftin%2F6zn&srno=s_1_1&otracker=search&fm=organic&iid=bd598483-3db1-4ee3-91e6-5914a47634e4.GRCGB8F7GMGEDYJN.SEARCH&ppt=None&ppn=None&ssid=2y28z6j95s0000001738114587680&qH=ae2a487734c75ca2,2025-01-29 02:36:26,1 Unit Graphics Card,ZEBRONICS,NVIDIA 610,1000 MHz,PCI 2.0,ZEB-GT610,ZEB-GT610-2GD3,"64-bit, 2 GB DDR3 Memory with 1000 MHz",1xVGA DSub Output,1 x HDMI Output Out,HDTV Support,All OS,3 YEAR'S,Manufacturer defect,Broken Product not covered warranty,Carry in,,,,,,,,,,,,,,,,,
ZOTAC NVIDIA GeForce RTX 3060 Twin Edge 12 GB GDDR6 Gra...,"₹23,799",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/g/s/b/geforce-rtx-3060-twin-edge-zotac-original-imagqbmgnkrh9n65.jpeg?q=70,https://www.flipkart.com/zotac-nvidia-geforce-rtx-3060-twin-edge-12-gb-gddr6-graphics-card/p/itmcc12682954170?pid=GRCGQBMG33MUMDUR&lid=LSTGRCGQBMG33MUMDURONWOH2&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_1_5&otracker=search&fm=organic&iid=bd598483-3db1-4ee3-91e6-5914a47634e4.GRCGQBMG33MUMDUR.SEARCH&ppt=None&ppn=None&ssid=2y28z6j95s0000001738114587680&qH=ae2a487734c75ca2,2025-01-29 02:36:26,1 Graphic Card,ZOTAC,NVIDIA NVIDIA GeForce RTX 3060,1777 MHz,PCI Express 4.0 16x,GeForce RTX 3060 Twin Edge,RTX 3060,"192-bit, 12 GB GDDR6 Memory",,,,,5 Years Warranty : 3 Years Standard and 2 Years Extended Warranty on Registration,Complete Product Warranty,"Tampers, defaces, or removes any stickers containing product identification information such as model number, serial number, or part number. Tampers, defaces, or removes any stickers indicating void warranty if broken. Causes defects through improper usage, failure to comply with operations, inappropriate operating conditions, or unapproved repairs or modifications. Causes defects through accidents, acts of God, acts of nature, negligence, liquid immersion, or improper ventilation. Knowingly and willingly attempt to defraud the validity of a claim.",Carry-in Warranty,7680 x 4320 (Digital),,,,,,,,,,,,,,,,
Colorful NVIDIA GT-1050 4 GB DDR5 Graphics Card,"₹19,499",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/l37mtu80/graphics-card/o/m/c/mainstream-colorful-original-imagedphztj2ssvw.jpeg?q=70,https://www.flipkart.com/colorful-nvidia-gt-1050-4-gb-ddr5-graphics-card/p/itmdcd63cc660520?pid=GRCGE985HTUVZUUF&lid=LSTGRCGE985HTUVZUUFC7XY29&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_1_9&otracker=search&fm=organic&iid=bd598483-3db1-4ee3-91e6-5914a47634e4.GRCGE985HTUVZUUF.SEARCH&ppt=None&ppn=None&ssid=2y28z6j95s0000001738114587680&qH=ae2a487734c75ca2,2025-01-29 02:36:26,"1 Graphic Card, Manual",Colorful,NVIDIA GeForce GTX 1050Ti,1290 MHz,PCI Express 3.0,GT-1050,G-C1050TI 4G-V,"128-bit, 4 GB DDR5 Memory with 7000 MHz",,"1 x DVI Output Out, 1 x HDMI Output Out",,,3 Years Warranty,Manufacturing Defects,"Physical Damage, Industrial Usage or Used for Mining/Farming Applications",Carry In to Service Centre,,768 CUDA Cores,14 nm,Yes support,1 x Display Port Out,,,,,,,,,,,,
JieShuo AMD Radeon RX 590 8 GB GDDR5 Graphics Card,"₹10,599",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/2/y/i/rx-590-jieshuo-original-imah6787eavxnzuk.jpeg?q=70,https://www.flipkart.com/jieshuo-amd-radeon-rx-590-8-gb-gddr5-graphics-card/p/itm2e69d0742dc76?pid=GRCH5ZG4QCHAUCGH&lid=LSTGRCH5ZG4QCHAUCGHCL1U4F&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_1_13&otracker=search&fm=organic&iid=bd598483-3db1-4ee3-91e6-5914a47634e4.GRCH5ZG4QCHAUCGH.SEARCH&ppt=None&ppn=None&ssid=2y28z6j95s0000001738114587680&qH=ae2a487734c75ca2,2025-01-29 02:36:26,1 Graphics Card,JieShuo,AMD Radeon AMD,1400 MHz,PCI Express 16,RX 590,RX590,"256-bit, 8 GB GDDR5 Memory with 2100 MHz",,1 x HDMI Output Out,,"Windows 11, Windows 10, Windows 7, Windows 7, Linux",1 Year Seller Warranty from NJ Infotech +91 9906910066,Manufacturing defects,Burnt and Physical damage,Replacement,7680x4320 (Digital),2048 Shader Processors,,"AMD CrossFireX supported, No support",2 x Display Port Out,Shader Version 5 with Clock speed of 1024 MHz,High Quality Cooper,550 W,AMD Adraline,30 x 4 x 12 mm,800 g,It requires a mandatory 550W of Power Supply,,,,,
ZEBRONICS NVIDIA GT730 4 GB DDR3 Graphics Card,"₹2,748",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/k/3/g/gt730-zebronics-original-imah6y8ejd9m5bwu.jpeg?q=70,https://www.flipkart.com/zebronics-nvidia-gt730-4-gb-ddr3-graphics-card/p/itm98812b52228f0?pid=GRCG92VDHGPFASRY&lid=LSTGRCG92VDHGPFASRYP0TXK0&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_1_17&otracker=search&fm=organic&iid=bd598483-3db1-4ee3-91e6-5914a47634e4.GRCG92VDHGPFASRY.SEARCH&ppt=None&ppn=None&ssid=2y28z6j95s0000001738114587680&qH=ae2a487734c75ca2,2025-01-29 02:36:26,Pack of 1,ZEBRONICS,NVIDIA GT730,144 MHz,SERIAL,GT730,1234,"64-bit, 4 GB DDR3 Memory with 1333 MHz",1xVGA DSub Output,"0 x DVI Output Out, No x Dual Link DVI Out, 1 x HDMI Output Out",HDTV Support,windows10/11,1,1,DAMAGES,1,,,,Microsoft DirectX v11,"1 x Display Port Out, 0 x Mini Display Port Out",Clock speed of 1333 MHz,yes,450 W,,50 x 50 x 50 mm,2 g,,Yes support,0 x Mini HDMI Output,,,
Xsentuals NVIDIA PCIe Riser Adapter Card VER009S / 009S...,₹429,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/kq2o2vk0/graphics-card/v/o/0/16x-to-1x-powered-pcie-riser-adapter-card-60cm-usb-3-0-extension-original-imag4669dqdfhx5g.jpeg?q=70,https://www.flipkart.com/xsentuals-nvidia-pcie-riser-adapter-card-ver009s-009s-black-gold-16x-1x-60cm-usb-3-0-extension-cable-gpu-mining-bitcoin-ethereum-eth-zcash-zec-monero-xmr-16-gb-gddr4-graphics/p/itm8029f07e19396?pid=GRCG5ZH4F2ZJN7ET&lid=LSTGRCG5ZH4F2ZJN7ET6GNHIC&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_1_21&otracker=search&fm=organic&iid=bd598483-3db1-4ee3-91e6-5914a47634e4.GRCG5ZH4F2ZJN7ET.SEARCH&ppt=None&ppn=None&ssid=2y28z6j95s0000001738114587680&qH=ae2a487734c75ca2,2025-01-29 02:36:26,1 x VER009S / 009S PCIe Riser Card,Xsentuals,NVIDIA 1,120 MHz,3.0,"PCIe Riser Adapter Card VER009S / 009S Black & Gold 16x to 1x 60cm USB 3.0 Extension Cable - GPU Riser Adapter - Mining Bitcoin, Ethereum ETH Zcash ZEC Monero XMR",VER009S / 009S,"64-bit, 16 GB GDDR4 Memory",,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
mytechvision AMD Radeon AMD RADEON 8 GB GDDR5 Graphics ...,"₹10,799",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/x/y/3/amd-radeon-mytechvision-original-imagpaytzdnxufaj.jpeg?q=70,https://www.flipkart.com/mytechvision-amd-radeon-8-gb-gddr5-graphics-card/p/itm1c67fb43bd30c?pid=GRCGPAYUG5PGBZZH&lid=LSTGRCGPAYUG5PGBZZHQW6ZVL&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_1_25&otracker=search&fm=organic&iid=bd598483-3db1-4ee3-91e6-5914a47634e4.GRCGPAYUG5PGBZZH.SEARCH&ppt=None&ppn=None&ssid=2y28z6j95s0000001738114587680&qH=ae2a487734c75ca2,2025-01-29 02:36:26,1 X AMD RX 580 8GB,mytechvision,AMD Radeon RX 580,1700 MHz,PCIE X16,AMD RADEON,RX 580 8GB,"256-bit, 8 GB GDDR5 Memory",,,,,1 YEAR CONTACT 8547331413,ALL,PHYSICAL DAMAGE,REPLACEMENT,,2048 Shader Processors,8 nm,,,,,450 W,,,,,,,,,
mytechvision AMD Radeon RX 580 8 GB GDDR6 Graphics Card,"₹10,299",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/5/u/e/rx-580-mytechvision-original-imagn3hhg2hzqwhb.jpeg?q=70,https://www.flipkart.com/mytechvision-amd-radeon-rx-580-8-gb-gddr6-graphics-card/p/itmd8eb81cba3b50?pid=GRCGN3HHZFVA9BF9&lid=LSTGRCGN3HHZFVA9BF9A7XP3T&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_1_29&otracker=search&fm=organic&iid=bd598483-3db1-4ee3-91e6-5914a47634e4.GRCGN3HHZFVA9BF9.SEARCH&ppt=None&ppn=None&ssid=2y28z6j95s0000001738114587680&qH=ae2a487734c75ca2,2025-01-29 02:36:26,1 X AMD RX 580 8GB GRAPHICS CARD,mytechvision,AMD Radeon RX 580,1750 MHz,PCIE X16,RX 580,AMD RADEON,"256-bit, 8 GB GDDR6 Memory",,,,,1 YEAR CONTACT,ALL,PHYSICAL DAMAGE,REPLACEMENT,,2048 Shader Processors,,,,,,450 W,,,,,,,,,
JieShuo AMD Radeon RX 5500XT 8 GB GDDR5 Graphics Card,"₹14,899",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/d/p/n/rx-5500xt-jieshuo-original-imah858byfcprsfy.jpeg?q=70,https://www.flipkart.com/jieshuo-amd-radeon-rx-5500xt-8-gb-gddr5-graphics-card/p/itmd81a5ce05301a?pid=GRCH858BK7YAMYBC&lid=LSTGRCH858BK7YAMYBCKZHFT8&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_1_33&otracker=search&fm=organic&iid=bd598483-3db1-4ee3-91e6-5914a47634e4.GRCH858BK7YAMYBC.SEARCH&ppt=None&ppn=None&ssid=2y28z6j95s0000001738114587680&qH=ae2a487734c75ca2,2025-01-29 02:36:26,1 Graphics Card,JieShuo,AMD Radeon AMD,1717 MHz,PCI Express 16,RX 5500XT,RX5500XT,"256-bit, 8 GB GDDR5 Memory with 1845 MHz",,1 x HDMI Output Out,,"Windows 11, Windows 10, Windows 7, Windows 7, Linux",1 Year Seller Warranty from NJ Infotech +91 9906910066,Manufacturing defects,Burnt and Physical damage,Replacement,7680x4320 (Digital),1408 Shader Processors,,"AMD CrossFireX supported, No support",3 x Display Port Out,Shader Version 5 with Clock speed of 1200 MHz,High Quality Cooper,600 W,AMD Adraline,30 x 4 x 12 mm,800 g,It requires a mandatory 600W of Power Supply,,,224 Gbps,,
