title,price,rating,reviews,image_url,product_url,collection_date,Sales Package,Model Number,Part Number,Model Name,Series,Color,Type,Suitable For,MS Office Provided,Processor Brand,Processor Name,Processor Generation,SSD,SSD Capacity,RAM,RAM Type,Processor Variant,Clock Speed,Graphic Processor,Storage Type,Operating System,USB Port,Touchscreen,Screen Size,Screen Resolution,Screen Type,Speakers,Internal Mic,Wireless LAN,Bluetooth,Dimensions,Weight,Disk Drive,Web Camera,Finger Print Sensor,Keyboard,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Battery Cell,Backlit Keyboard,Dedicated Graphic Memory Type,Dedicated Graphic Memory Capacity,HDMI Port,Refresh Rate,Face Recognition,EMMC Storage Capacity,Battery Backup,Power Supply,Number of Cores,Mic In,Sound Properties,Pointer Device,Included Software,Additional Features,Domestic Warranty,Cache,Supported Operating System,Expandable Memory,Expandable SSD Capacity,OS Architecture,Multi Card Slot,TGP,RJ45,Chipset,Memory Slots,RPM,Hardware Interface,Ethernet,Security Chip,Antivirus,Lock Port,Inbuilt 4G LTE,Stylus Included,RAM Frequency,System Architecture,S-video,Dock Port,Firewire Port,RJ11,VGA Port,Read/Write Speed,Laptop Bag,Color Gamut,Brightness,NFC Support,Wireless WAN,Recovery Options,Sound Chip,Other Accessories,International Warranty,HDD Capacity,Certification,Cloud Storage
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,1/29/2025 1:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,1/29/2025 1:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMSUNG Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-L...,"₹39,990",4.5,"1,834 Ratings & 242 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/w/u/e/-original-imah46f8th3pnphq.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-np750xgj-lg4in-thin-light-laptop/p/itm1ad811a174c21?pid=COMH4Y6KKRC9YSWE&lid=LSTCOMH4Y6KKRC9YSWERDUMZD&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=en_zb_nxnA3PWcAwo6eH3LtkeDUl3cPkw75WcH6nCQJueQQ_DBdzHEfFbns7t0H8DBBysmMqv3sdvdnOVlyddHRR_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=ztsmuqelow0000001738109154709&qH=312f91285e048e09,1/29/2025 1:05,"Laptop, 45W Charger, Data Cable(USB-C to C, 1.8m), Quick Start Guide",NP750XGJ-LG4IN,NP750XGJ-LG4IN,NP750XGJ-LG4IN,Galaxy Book4 Metal,Gray,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i3,13th Gen,Yes,512 GB,8 GB,LPDDR4X,1315U,Up to 4.5 GHz,Intel Integrated Iris Xe,SSD,Windows 11 Home,"Yes, 2 x USB Type C, 2 x USB 3.2 Type A",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,Full HD LCD Display,"HD Audio Codec, Dolby Atmos, Embedded Stereo Speakers, Internal Digital MIC",Internal Digital MIC,Wi-Fi 6,v5.2,356.6 x 229.15 x 15.4 mm,1.55 Kg,Not Available,"Yes, 1 Megapixel",Yes,QWERTY,1 Year Onsite Warranty,Onsite,Manufacturer Defect Only,Physical Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP 15 (2024) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0154AU Thin and Ligh...,"₹33,990",4.2,"1,807 Ratings & 158 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/c/w/5/-original-imagpecqk6gdp9dh.jpeg?q=70,https://www.flipkart.com/hp-15-2024-amd-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-windows-11-home-15-fc0154au-thin-light-laptop/p/itm341b4714ead99?pid=COMH56DFUBTUMXRH&lid=LSTCOMH56DFUBTUMXRHDFKSBW&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_2&otracker=search&fm=organic&iid=en_zb_nxnA3PWcAwo6eH3LtkeDUl3cPkw75WcH6nCQJueSl1fUYrFO7evd_Key7eXtFuHRopyOVhmCUsW-5_eFRPvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=ztsmuqelow0000001738109154709&qH=312f91285e048e09,1/29/2025 1:05,"Laptop, Power Adaptor, User Guide, Warranty Documents",15-fc0154AU,9D3M8PA,15-fc0154AU,15 (2024),Silver,Thin and Light Laptop,Processing & Multitasking,Yes,AMD,Ryzen 3 Quad Core,,Yes,512 GB,8 GB,DDR4,7320U,Max Turbo Frequency 4.1 GHz,AMD Radeon AMD,SSD,Windows 11 Home,"1 x USB Type-C 5Gbps signaling rate (supports data transfer only and does not support charging or external monitors), 2 x USB Type-A 5Gbps signaling rate",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD, micro-edge, anti-glare, 250 nits, 45% NTSC",Yes,Yes,Realtek Wi-Fi 6 (1x1),v5.3,359.8 x 236 x 18.6 mm,1.59 Kg,Not Available,HP True Vision 1080p FHD camera,,"Full-size, soft grey keyboard with numeric keypad",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ322WS Thin...,"₹31,990",4.3,"10,357 Ratings & 805 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/r/1/u/-original-imah4dgxkumxvuer.jpeg?q=70,https://www.flipkart.com/asus-vivobook-15-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-x1504za-nj322ws-thin-light-laptop/p/itm200184e4e0443?pid=COMH4Y6KT9ZMYXA6&lid=LSTCOMH4Y6KT9ZMYXA60HIRLB&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_3&otracker=search&fm=organic&iid=fa0d6241-f26e-4da5-b0a9-c5fd9f04475f.COMH4Y6KT9ZMYXA6.SEARCH&ppt=None&ppn=None&ssid=ztsmuqelow0000001738109154709&qH=312f91285e048e09,1/29/2025 1:05,"Laptop, Power Adaptor, User Guide, Warranty Documents",X1504ZA-NJ322WS,90NB1022-M00AF0,X1504ZA-NJ322WS,Vivobook 15,Cool Silver,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i3,12th Gen,Yes,512 GB,8 GB,DDR4,1215U,Base frequency 0.9 GHz upto Max Turbo Frequency 4.4 GHz,Intel Integrated UHD,SSD,Windows 11 Home,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 3.2 Gen 1 Type-A",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD, 16:9 aspect ratio, LED Backlit, 60Hz refresh rate, 250nits, 45% NTSC color gamut, Anti-glare display",Built-in speaker,Built-in array microphone,Wi-Fi 6E(802.11ax) (Dual band) 1*1,v5.3,359.7 x 232.5 x 17.9 mm,1.70 Kg,Not Available,720p HD camera With privacy shutter,No,Backlit Chiclet Keyboard,1 Year Onsite Warranty,"please call the ASUS Customer Support - 
1800-2090365 
rc_india@asus.com",Manufacturing Defects,Physical Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP 15s Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5003TU Thin and Light La...,"₹34,790",4.2,"6,342 Ratings & 380 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/w/i/y/-original-imah4qsetuyd8gwa.jpeg?q=70,https://www.flipkart.com/hp-15s-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-15s-fy5003tu-thin-light-laptop/p/itm2977a9ca00317?pid=COMGZVGHE9QU8C6M&lid=LSTCOMGZVGHE9QU8C6MHJQTO4&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_4&otracker=search&fm=organic&iid=fa0d6241-f26e-4da5-b0a9-c5fd9f04475f.COMGZVGHE9QU8C6M.SEARCH&ppt=None&ppn=None&ssid=ztsmuqelow0000001738109154709&qH=312f91285e048e09,1/29/2025 1:05,"Laptop, battery, power adapter, user guide",15s-fy5003TU,7Q700PA#ACJ,15s-fy5003TU,15s,Natural Silver,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i3,12th Gen,Yes,512 GB,8 GB,DDR4,1215U,0.9 GHz upto max turbo frequency at 4.4 Ghz,Intel Integrated UHD,SSD,Windows 11 Home,"1 x USB Type-C 5Gbps signaling rate, 2 x USB Type-A 5Gbps signaling rate",No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD, micro-edge, anti-glare, Brightness: 250 nits, 141 ppi, Color Gamut: 45%NTSC",Yes,Yes,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2),v5.0,,1.69 Kg,Not Available,HP True Vision 720p HD camera,,"Full-size, natural silver keyboard with numeric keypad",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,3 Cell,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSI Thin 15 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,"₹51,990",4.3,"1,133 Ratings & 99 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/t/r/u/-original-imah3acvkdhmxkzq.jpeg?q=70,https://www.flipkart.com/msi-thin-15-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-144-hz-b12ucx-1695in-gaming-laptop/p/itmc1581367ea4e2?pid=COMGYSFG4WHPVAVZ&lid=LSTCOMGYSFG4WHPVAVZ6L3G5Q&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_5&otracker=search&fm=organic&iid=fa0d6241-f26e-4da5-b0a9-c5fd9f04475f.COMGYSFG4WHPVAVZ.SEARCH&ppt=None&ppn=None&ssid=ztsmuqelow0000001738109154709&qH=312f91285e048e09,1/29/2025 1:05,"Laptop,Battery,Power Adapter, User Guide",Thin 15 B12UCX-1695IN,9S7-16R831-1695,Thin 15 B12UCX-1695IN,Thin 15,Cosmos Gray,Gaming Laptop,Gaming,No,Intel,Core i5,12th Gen,Yes,512 GB,16 GB,DDR4,12450H,1.5 GHz upto Max turbo frequency at 4.40 Ghz,NVIDIA GeForce RTX 2050,SSD,Windows 11 Home,"1 x Type-C (USB3.2 Gen1 / DP), 3 x Type-A USB3.2 Gen1",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD, 144Hz 45%NTSC IPS-Level",Yes,Yes,802.11 ax Wi-Fi 6E,v5.3,359 x 254 x 21.7 mm,1.86 Kg,Not Available,HD type (30fps@720p),,Blue Backlit Gaming Keyboard,2 Year Onsite Warranty,Onsite,Manufacturing Defects,"Physical Damage, Burn, Liquid Spill",,,GDDR6,4 GB,1x HDMI (4K @ 30Hz),144 Hz,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer Aspire 7 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,"₹57,990",4.3,"1,569 Ratings & 120 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/k/2/u/-original-imah3zzjkjwumecn.jpeg?q=70,https://www.flipkart.com/acer-aspire-7-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-a715-79g-gaming-laptop/p/itm8208102c97f99?pid=COMH3G96J7CE6ZPH&lid=LSTCOMH3G96J7CE6ZPHSFRCM4&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_6&otracker=search&fm=organic&iid=en_zb_nxnA3PWcAwo6eH3LtkeDUl3cPkw75WcH6nCQJueRUpt4NvUkYk3AFqmmU1GSRZPPjZmjxOBCRLIdPEwAebw891ypMzu4_aryI8_sihJ8%3D&ppt=None&ppn=None&ssid=ztsmuqelow0000001738109154709&qH=312f91285e048e09,1/29/2025 1:05,"Laptop, Power Adaptor, User Guide, Warranty Documents",A715-79G,UN.34NSI.002,A715-79G,Aspire 7,Black,Gaming Laptop,Gaming,No,Intel,Core i5,13th Gen,Yes,512 GB,16 GB,DDR4,13420H,1.5 GHz upto Max Turbo Frequency 4.6 GHz,NVIDIA GeForce RTX 2050,SSD,Windows 11 Home,"1 x USB 3.2 Type-A port, 2 x USB 3.2 Type-C ports, 1 x USB 2.0 Type-A port",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,Full HD,Two built-in stereo speakers,Yes,Intel Wireless Wi-Fi 6 AX101,v5.2,359.5 x 238 x 22.7 mm,1.99 Kg,Not Available,1.0 M HD Video camera,,Multi languages Multi-Color illuminated full size keyboard with numeric pad,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,,GDDR6,4 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Touch Chromebook MediaTek MT8183 - (4 GB/32 GB EMMC Storage/Chrome OS) 11MK G9 Chromebook,"₹9,990",3.3,767 Ratings & 62 Reviews,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/u/a/e/11mk-g9-chromebook-hp-original-imah3behyxsb4auh.jpeg?q=70,https://www.flipkart.com/hp-touch-chromebook-mediatek-mt8183-4-gb-32-gb-emmc-storage-chrome-os-11mk-g9/p/itmbcfcbc0ab424f?pid=COMGZFFXQ9GEXPVR&lid=LSTCOMGZFFXQ9GEXPVR8ZDRE7&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_7&otracker=search&fm=organic&iid=fa0d6241-f26e-4da5-b0a9-c5fd9f04475f.COMGZFFXQ9GEXPVR.SEARCH&ppt=None&ppn=None&ssid=ztsmuqelow0000001738109154709&qH=312f91285e048e09,1/29/2025 1:05,"Laptop, Power Adaptor, User Guide, Warranty Documents",11MK G9,7D2W1PC#ACJ,11MK G9,Touch Chromebook,Black,Chromebook,Processing & Multitasking,No,MediaTek,MT8183,,No,,4 GB,LPDDR4X,,,MediaTek Integrated ARM Mali G72 MP3 Graphics,eMMC,Chrome,"1 x USB 2.0 Type-A, 1 x SuperSpeed USB Type-C 5Gbps signaling rate",Yes,29.46 cm (11.6 Inch),1366 x 768 Pixel,"HD, touch, IPS, anti-glare, 220 nits, 50% NTSC",Yes,Yes,Qualcomm Atheros QCA6174A-5 802.11a/b/g/n/ac (2x2) Wi-Fi,v4.2,295 x 205.3 x 18.8 mm,1.34 Kg,Not Available,720p HD camera,,"Spill resistant, full-size, Chrome keyboard with skirt anchored keycaps",1 Year Carry-in Warranty,Carry-in,Manufacturing Defects,Physical Damage,,,,,,,,32 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Ho...","₹31,990",4.3,"10,357 Ratings & 805 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/6/e/-original-imah4dgwhghr66kw.jpeg?q=70,https://www.flipkart.com/asus-vivobook-15-backlit-keyboard-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-x1504za-nj321ws-thin-light-laptop/p/itmbe5bbf6a5168b?pid=COMGT2ZXC24MFNFA&lid=LSTCOMGT2ZXC24MFNFAH8MFND&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_8&otracker=search&fm=organic&iid=fa0d6241-f26e-4da5-b0a9-c5fd9f04475f.COMGT2ZXC24MFNFA.SEARCH&ppt=None&ppn=None&ssid=ztsmuqelow0000001738109154709&qH=312f91285e048e09,1/29/2025 1:05,"Laptop, Power Adaptor, User Guide, Warranty Documents",X1504ZA-NJ321WS,90NB1021-M00580,Vivobook 15,"Vivobook 15, with Backlit Keyboard,",Quiet Blue,Thin and Light Laptop,Travel & Business,Yes,Intel,Core i3,12th Gen,Yes,512 GB,8 GB,DDR4,1215U,Up to 4.4 GHz,Intel Integrated Integrated Intel® UHD Graphics,SSD,Windows 11 Home,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 3.2 Gen 1 Type-A",No,39.62 cm (15.6 Inch),1920 x 1080 pixel,"Full HD, 16:9 aspect ratio, LED Backlit, 60Hz refresh rate, 250nits, 45% NTSC color gamut, Anti-glare display",,,,YES,,,Not Available,720p HD camera With privacy shutter,,,1-year warranty,Onsite,Manufacturing Defects,Physical Damage,,,,,,,,,UPTO 8 HRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
