title,price,rating,reviews,image_url,product_url,collection_date,Sales Package,Model Number,Part Number,Model Name,Series,Color,Type,Suitable For,Battery Backup,MS Office Provided,Processor Brand,Processor Name,SSD,SSD Capacity,RAM,RAM Type,Graphic Processor,Storage Type,Operating System,Mic In,USB Port,Touchscreen,Screen Size,Screen Resolution,Screen Type,Speakers,Sound Properties,Wireless LAN,Bluetooth,Dimensions,Weight,Disk Drive,Web Camera,Keyboard,Backlit Keyboard,Included Software,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,Power Supply,Processor Variant,Number of Cores,Internal Mic,Pointer Device,Additional Features,Battery Cell,Clock Speed,HDMI Port,Processor Generation,Finger Print Sensor,Cache,Supported Operating System,Expandable Memory,Expandable SSD Capacity,TGP,Dedicated Graphic Memory Type,Dedicated Graphic Memory Capacity,RJ45,Refresh Rate,Face Recognition,OS Architecture,Chipset,EMMC Storage Capacity,Security Chip,Memory Slots,RPM,Hardware Interface,Ethernet,Antivirus,Inbuilt 4G LTE,Stylus Included,RAM Frequency,System Architecture,S-video,Color Gamut,Brightness,NFC Support,Wireless WAN,Read/Write Speed,Recovery Options,Laptop Bag,Lock Port,Dock Port,Firewire Port,RJ11,VGA Port,Multi Card Slot,Sound Chip,Cloud Storage,Other Accessories,International Warranty,Certification,HDD Capacity
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-01 00:04:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-01 00:04:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple MacBook AIR Apple M2 - (16 GB/256 GB SSD/macOS Sequoia) MC7V4HN/A,"₹91,064",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/1/n/p/-original-imagfdfew8gszzhk.jpeg?q=70,https://www.flipkart.com/apple-macbook-air-m2-16-gb-256-gb-ssd-macos-sequoia-mc7v4hn-a/p/itm6533ea968a81e?pid=COMH64PYUPETD5WB&lid=LSTCOMH64PYUPETD5WB801R5F&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=en_Wq31evc97H0IfUO_NAl8fEc7w7G5pz7tP2tXRvjiD9Kd8aAtiMLP2j2_SYQJYG53OnrLRzADKMbyk1xnMtN9wfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=jow4sa1i680000001738364678370&qH=312f91285e048e09,2025-02-01 00:04:39,"13.6 inch MacBook Air USB-C Power Adapter, USB-C to MagSafe 3 Cable (2 m)",MC7V4HN/A,MC7V4HN/A,MacBook Air,MacBook AIR,Silver,Thin and Light Laptop,Processing & Multitasking,Upto 18 Hours,No,Apple,M2,Yes,256 GB,16 GB,Unified Memory,NA,SSD,macOS Sequoia,Yes,2 x Thunderbolt USB 4,No,34.54 cm (13.6 Inch),2560 x 1664 Pixel,"Liquid Retina display, LED-backlit display with IPS technology native resolution at 224 pixels per inch, 500 nits brightness",Built-in Speakers,Four-speaker sound system,Wi-Fi 6 (802.11ax),v5.3,304.1 x 215.0 x 11.3 mm,1.24 kg,Not Available,1080p FaceTime HD camera,Backlit Magic Keyboard,Yes,"Built-in Apps: App Store, Books, Calendar, Contacts, FaceTime, Find My, Freeform, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos, Weather",1 Year Limited Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple MacBook AIR Apple M2 - (8 GB/512 GB SSD/Mac OS Monterey) MLY43HN/A,"₹83,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/2/v/v/-original-imagfdeqter4sj2j.jpeg?q=70,https://www.flipkart.com/apple-macbook-air-m2-8-gb-512-gb-ssd-mac-os-monterey-mly43hn-a/p/itmdc5308fa78421?pid=COMGFB2GDBDYXF9D&lid=LSTCOMGFB2GDBDYXF9DPTKNCZ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_2&otracker=search&fm=organic&iid=en_Wq31evc97H0IfUO_NAl8fEc7w7G5pz7tP2tXRvjiD9KMIFbgAa4jvmoK-70IsJvlTmPgHcV_s20Kn0XXoRBZEoQEIsITtCzc4bHaOMTqL08%3D&ppt=None&ppn=None&ssid=jow4sa1i680000001738364678370&qH=312f91285e048e09,2025-02-01 00:04:39,"MacBook Air, 35W Dual USB-C Port Power Adapter, USB-C to MagSafe 3 Cable",MLY43HN/A,MLY43HN/A,MacBook Air,MacBook AIR,Midnight,Thin and Light Laptop,Processing & Multitasking,Upto 18 Hours,No,Apple,M2,Yes,512 GB,8 GB,Unified Memory,NA,SSD,Mac OS Monterey,Yes,"2 x Thunderbolt / USB 4 Ports (USB 4 (up to 40 Gbps), USB 3.1 Gen 2 (up to 10 Gbps)",No,34.54 cm (13.6 Inch),2560 x 1664 Pixel,"Liquid Retina Display, LED-backlit display with IPS technology, 500 nits brightness, Wide colour (P3), True Tone technology",Built-in Speakers,"Stereo Speakers, Wide Stereo Sound, Support for Dolby Atmos",802.11ax Wi-Fi 6 wireless networking,v5.0,304.1 x 215.0 x 11.3,1.24 Kg,Not Available,1080p FaceTime HD camera,Backlit Magic Keyboard,Yes,"Built-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player",1 Year Limited Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,35 W Dual USB-C Port Power Adapter,Apple M2 Chip,8,Three-mic Array with Directional Beamforming,Force Touch Trackpad,52.6 Watt Hour Lithium Polymer Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer Chromebook Plus Google AI Intel Core i3 N305 - (8 GB/256 GB SSD/Chrome OS) CB514-4H-39T7 Chromebo...,"₹19,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/4/3/o/-original-imah27qsamfccyxz.jpeg?q=70,https://www.flipkart.com/acer-chromebook-plus-google-ai-intel-core-i3-n305-8-gb-256-gb-ssd-chrome-os-cb514-4h-39t7/p/itm5542cc6900ec1?pid=COMHFC9KE39WGHMA&lid=LSTCOMHFC9KE39WGHMADEYWXV&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_3&otracker=search&fm=organic&iid=1b831e53-8190-431e-9a7e-658f869c833c.COMHFC9KE39WGHMA.SEARCH&ppt=None&ppn=None&ssid=jow4sa1i680000001738364678370&qH=312f91285e048e09,2025-02-01 00:04:39,"Laptop, Power Adaptor, User Guide, Warranty Documents",CB514-4H-39T7,NX.KUTSI.002,Chromebook Plus,Chromebook Plus Google AI,Steel Gray,Chromebook,Processing & Multitasking,,No,Intel,Core i3,Yes,256 GB,8 GB,LPDDR5,Intel Integrated UHD,SSD,Chrome,,"2 x USB 3.2 Gen 1 Type-A port, 2 x USB 3.2 Gen 1 Type-C port",No,35.56 cm (14 Inch),1920 x 1080 Pixel,Full HD IPS LED-backlit LCD Dislpay,Yes,,Intel Wireless Wi-Fi 6E AX211,v5.2,326.87 x 224.93 x 20.5 mm,1.43 Kg,Not Available,"FHD camera, 1920 x 1080 Resolution, 1080p video at 60 fps with Temporal Noise Reduction, Support ROI feature, Support HDR feature, Dual Mic",Acer FineTip keyboard with international language support,No,,1 Year Carry-in Warranty,Carry-in,Manufacturing Defects,Physical damage,,45 W,N305,,Yes,,,3 Cell,Max Frequency Up to 3.8 GHz,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo IdeaPad Slim 3 Backlit Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 15IAH...,"₹50,290",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/c/x/0/-original-imahfbdnusadgyr5.jpeg?q=70,https://www.flipkart.com/lenovo-ideapad-slim-3-backlit-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-15iah8-thin-light-laptop/p/itm76f0e5d975817?pid=COMGVQ2Y3ENU2RNV&lid=LSTCOMGVQ2Y3ENU2RNV6DRZRD&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_4&otracker=search&fm=organic&iid=1b831e53-8190-431e-9a7e-658f869c833c.COMGVQ2Y3ENU2RNV.SEARCH&ppt=None&ppn=None&ssid=jow4sa1i680000001738364678370&qH=312f91285e048e09,2025-02-01 00:04:39,"Laptop, Power Adaptor, User Guide, Warranty Documents",15IAH8,83ER008DIN,15IAH8,IdeaPad Slim 3 Backlit,Arctic Grey,Thin and Light Laptop,Processing & Multitasking,,Yes,Intel,Core i5,Yes,512 GB,16 GB,LPDDR5,Intel Integrated UHD,SSD,Windows 11 Home,,"1 x USB-C 3.2 Gen 1 (support data transfer, Power Delivery and DisplayPort 1.2), 2 x USB 3.2 Gen 1",No,39.62 cm (15.6 Inch),1920 X 1080 Pixel,"Full HD, IPS 300nits Anti-glare",Yes,,"Wi-Fi 6, 11ax 2x2",v5.1,359.3 x 235 x 17.9 mm,1.62 Kg,Not Available,Full HD 1080p with Privacy Shutter,"Backlit, English",,,1 Yr. Onsite + 1 Yr. Accidental Damage Protection,Carry-In,Manufacturing Defects,Physical Damage,,,12450H,,Yes,,,,Max Turbo Frequency upto 4.4GHz,1 x HDMI 1.4,12th Gen,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Ho...","₹32,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/6/e/-original-imah4dgwhghr66kw.jpeg?q=70,https://www.flipkart.com/asus-vivobook-15-backlit-keyboard-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-x1504za-nj321ws-thin-light-laptop/p/itmbe5bbf6a5168b?pid=COMGT2ZXC24MFNFA&lid=LSTCOMGT2ZXC24MFNFAH8MFND&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_5&otracker=search&fm=organic&iid=1b831e53-8190-431e-9a7e-658f869c833c.COMGT2ZXC24MFNFA.SEARCH&ppt=None&ppn=None&ssid=jow4sa1i680000001738364678370&qH=312f91285e048e09,2025-02-01 00:04:39,"Laptop, Power Adaptor, User Guide, Warranty Documents",X1504ZA-NJ321WS,90NB1021-M00580,Vivobook 15,"Vivobook 15, with Backlit Keyboard,",Quiet Blue,Thin and Light Laptop,Travel & Business,UPTO 8 HRS,Yes,Intel,Core i3,Yes,512 GB,8 GB,DDR4,Intel Integrated Integrated Intel® UHD Graphics,SSD,Windows 11 Home,,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 3.2 Gen 1 Type-A",No,39.62 cm (15.6 Inch),1920 x 1080 pixel,"Full HD, 16:9 aspect ratio, LED Backlit, 60Hz refresh rate, 250nits, 45% NTSC color gamut, Anti-glare display",,,,YES,,,Not Available,720p HD camera With privacy shutter,,,,1-year warranty,Onsite,Manufacturing Defects,Physical Damage,,,1215U,,,,,,Up to 4.4 GHz,,12th Gen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLXW3HN/A,"₹81,949",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/m/b/n/-original-imagfdf4xnbyyxpa.jpeg?q=70,https://www.flipkart.com/apple-macbook-air-m2-8-gb-256-gb-ssd-mac-os-monterey-mlxw3hn-a/p/itmc2732c112aeb1?pid=COMGFB2GSG8EQXCQ&lid=LSTCOMGFB2GSG8EQXCQJWHH2F&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_6&otracker=search&fm=organic&iid=en_Wq31evc97H0IfUO_NAl8fEc7w7G5pz7tP2tXRvjiD9J3Zw0VIoSr-zRacHGDydz-1YeFPUBT0Glbfq2oUaPSFn3Gaq_wzx4HJysDmGalzMk%3D&ppt=None&ppn=None&ssid=jow4sa1i680000001738364678370&qH=312f91285e048e09,2025-02-01 00:04:39,"MacBook Air, 30W USB-C Power Adapter, USB-C to MagSafe 3 Cable",MLXW3HN/A,MLXW3HN/A,MacBook Air,MacBook AIR,Space Grey,Thin and Light Laptop,Processing & Multitasking,Upto 18 Hours,No,Apple,M2,Yes,256 GB,8 GB,Unified Memory,NA,SSD,Mac OS Monterey,Yes,"2 x Thunderbolt / USB 4 Ports (USB 4 (up to 40 Gbps), USB 3.1 Gen 2 (up to 10 Gbps)",No,34.54 cm (13.6 Inch),2560 x 1664 Pixel,"Liquid Retina Display, LED-backlit display with IPS technology, 500 nits brightness, Wide colour (P3), True Tone technology",Built-in Speakers,"Stereo Speakers, Wide Stereo Sound, Support for Dolby Atmos",802.11ax Wi-Fi 6 wireless networking,v5.0,304.1 x 215.0 x 11.3 mm,1.24 Kg,Not Available,1080p FaceTime HD camera,Backlit Magic Keyboard,Yes,"Built-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player",1 Year Limited Warra­nty,Onsite,Manufacturing Defects,Physical Damage,1 Year,30 W USB-C Power Adapter,Apple M2 Chip,8,Three-mic array with directional beamforming,Force Touch Trackpad,52.6 Watt Hour Lithium polymer Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 H...","₹48,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/o/9/4/-original-imah4qspccqnpsc4.jpeg?q=70,https://www.flipkart.com/asus-vivobook-15-backlit-keyboard-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-x1504za-nj540ws-x1504za-nj542ws-thin-light-laptop/p/itm200184e4e0443?pid=COMHYG8ZSP9DC2GZ&lid=LSTCOMHYG8ZSP9DC2GZECEZQA&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_7&otracker=search&fm=organic&iid=1b831e53-8190-431e-9a7e-658f869c833c.COMHYG8ZSP9DC2GZ.SEARCH&ppt=None&ppn=None&ssid=jow4sa1i680000001738364678370&qH=312f91285e048e09,2025-02-01 00:04:39,"Laptop, Power Adaptor, User Guide, Warranty Documents",X1504ZA-NJ540WS|X1504ZA-NJ542WS,90NB14H2-M00010|90NB1022-M00H20,X1504ZA-NJ540WS|X1504ZA-NJ542WS,"Vivobook 15, with Backlit Keyboard,",Cool Silver,Thin and Light Laptop,Processing & Multitasking,,Yes,Intel,Core i5,Yes,512 GB,16 GB,DDR4,Intel Integrated Integrated,SSD,Windows 11 Home,Yes,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 3.2 Gen 1 Type-A, 1 x DC-in",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"FHD 16:9 aspect ratio, LED Backlit, Refresh rate: 60Hz, Brightness: 250nits, Color gamut: 45% NTSC color gamut, Glare: Anti-glare display, TÜV Rheinland-certified: Screen-to-body ratio: 84%",Built-in speaker,,Wi-Fi 6E(802.11ax) (Dual band) 1 x 1,v5.3,359.7 x 232.5 x 17.9mm,1.70 Kg,Not Available,720p HD camera With privacy shutter,Backlit Chiclet Keyboard,Yes,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,,1235U,10,Built-in array microphone,,42 WHrs Li-ion,3 Cell,Upto 4.4 GHz,1 x HDMI 1.4,12th Gen,,12 MB,Windows 11 Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ322WS Th...,"₹31,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/u/p/-original-imagpxgrxrqsmdqz.jpeg?q=70,https://www.flipkart.com/asus-vivobook-go-15-amd-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-windows-11-home-e1504fa-nj322ws-thin-light-laptop/p/itm968db504ada5b?pid=COMGMGXFQZGYKEZG&lid=LSTCOMGMGXFQZGYKEZGUU1BUT&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_8&otracker=search&fm=organic&iid=1b831e53-8190-431e-9a7e-658f869c833c.COMGMGXFQZGYKEZG.SEARCH&ppt=None&ppn=None&ssid=jow4sa1i680000001738364678370&qH=312f91285e048e09,2025-02-01 00:04:39,"Laptop, battery, power adapter, user guide",E1504FA-NJ322WS,90NB0ZR2-M008C0,E1504FA-NJ322WS,Vivobook Go 15,Mixed Black,Thin and Light Laptop,Processing & Multitasking,,Yes,AMD,Ryzen 3 Quad Core,Yes,512 GB,8 GB,LPDDR5,AMD Radeon AMD,SSD,Windows 11 Home,,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 1 Type-C",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"FHD (1920 x 1080) 16:9 aspect ratio, LED Backlit LCD, Anti-glare display, 250nits Brightness, TUV Rheinland-certified, 84 % Screen-to-body ratio",Built-in Speakers,,Wi-Fi 6E(802.11ax) (Dual band) 1*1,v5.0,360.3 x 232.5 x 17.9 mm,1.63 Kg,Not Available,720p HD camera With privacy shutter,Chiclet Keyboard,,,1 Year Onsite Warranty,"please call the ASUS Customer Support - 
1800-2090365 
rc_india@asus.com",Manufacturing Defects,Physical Damage,1 Year,,7320U,,Yes,,,,2.4 GHz upto max turbo frequency at 4.1 Ghz,,,No,,,NA,1 TB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
