title,price,rating,reviews,image_url,product_url,collection_date,Sales Package,Model Number,Part Number,Model Name,Series,Color,Type,Suitable For,Power Supply,MS Office Provided,Processor Brand,Processor Name,SSD,SSD Capacity,RAM,RAM Type,Processor Variant,Clock Speed,Graphic Processor,Storage Type,Operating System,USB Port,HDMI Port,Touchscreen,Screen Size,Screen Resolution,Screen Type,Speakers,Internal Mic,Wireless LAN,Bluetooth,Dimensions,Weight,Disk Drive,Web Camera,Keyboard,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Processor Generation,Finger Print Sensor,Battery Cell,Backlit Keyboard,Battery Backup,Expandable Memory,OS Architecture,Supported Operating System,Pointer Device,Laptop Bag,Domestic Warranty,Inbuilt 4G LTE,Stylus Included,Dedicated Graphic Memory Type,Number of Cores,Dock Port,Brightness,NFC Support,Face Recognition,Lock Port,Included Software,EMMC Storage Capacity,Mic In,Sound Properties,Additional Features,Cache,Memory Slots,RAM Frequency,RPM,Expandable SSD Capacity,System Architecture,RJ45,Refresh Rate,Color Gamut,Wireless WAN,Dedicated Graphic Memory Capacity,TGP,Chipset,Hardware Interface,Ethernet,Security Chip,Antivirus,S-video,Read/Write Speed,Recovery Options,Multi Card Slot,Sound Chip,VGA Port,Firewire Port,RJ11,Other Accessories,Certification,International Warranty,HDD Capacity
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:04:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:04:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo IdeaPad 1 Intel Celeron Dual Core N4020 - (8 GB/512 GB SSD/Windows 11 Home) 14IGL7 Thin and Lig...,"₹23,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/u/i/g/-original-imah8frtuzfe9yup.jpeg?q=70,https://www.flipkart.com/lenovo-ideapad-1-intel-celeron-dual-core-n4020-8-gb-512-gb-ssd-windows-11-home-14igl7-thin-light-laptop/p/itm146632ae84dbc?pid=COMHFYZ3CN5WHUR8&lid=LSTCOMHFYZ3CN5WHUR8TZX65M&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=en_sh4H2iyymzrRWSxDUE7BmQyC720oSuq_m0rR_rI65NolryI3ECtqR3ZQfoMsYtcxjaZ2UgMNxTic_KSxf2PJoU4IsYyWu-Pj9cxFjFAoaLk%3D&ppt=None&ppn=None&ssid=ss56a4ntc00000001738523098390&qH=312f91285e048e09,2025-02-02 20:04:58,"Laptop, Power Adaptor, User Guide, Warranty Documents",14IGL7,82V6009LIN|82V6009TIN,14IGL7,IdeaPad 1,Cloud Grey,Thin and Light Laptop,Processing & Multitasking,45 W,Yes,Intel,Celeron Dual Core,Yes,512 GB,8 GB,DDR4,N4020,1.10 GHz with Max Turbo Boost Frequency Up to 2.80 GHz,Intel Integrated UHD,SSD,Windows 11 Home,"1 x USB 2.0, 1 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (support data transfer only)",1 x HDMI 1.4b,No,35.56 cm (14 Inch),1366 x 768 Pixel,"HD, TN 220nits Anti-glare",Yes,Yes,11ac 2x2,v5.1,325.3 x 216.5 x 17.9 mm,1.3 Kg,Not Available,HD 720p with Privacy Shutter,"Non-backlit, English",1 Yr. Onsite,Carry-in,Manufacturing Defects,Physical Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMSUNG Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-L...,"₹37,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/w/u/e/-original-imah46f8th3pnphq.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-np750xgj-lg4in-thin-light-laptop/p/itm1ad811a174c21?pid=COMH4Y6KKRC9YSWE&lid=LSTCOMH4Y6KKRC9YSWERDUMZD&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_2&otracker=search&fm=organic&iid=en_sh4H2iyymzrRWSxDUE7BmQyC720oSuq_m0rR_rI65NrzxbgeJjUjqqP4aOLRFnUTc_8R61sR3aCc-w_o0iA2Y_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=ss56a4ntc00000001738523098390&qH=312f91285e048e09,2025-02-02 20:04:58,"Laptop, 45W Charger, Data Cable(USB-C to C, 1.8m), Quick Start Guide",NP750XGJ-LG4IN,NP750XGJ-LG4IN,NP750XGJ-LG4IN,Galaxy Book4 Metal,Gray,Thin and Light Laptop,Processing & Multitasking,,Yes,Intel,Core i3,Yes,512 GB,8 GB,LPDDR4X,1315U,Up to 4.5 GHz,Intel Integrated Iris Xe,SSD,Windows 11 Home,"Yes, 2 x USB Type C, 2 x USB 3.2 Type A",,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,Full HD LCD Display,"HD Audio Codec, Dolby Atmos, Embedded Stereo Speakers, Internal Digital MIC",Internal Digital MIC,Wi-Fi 6,v5.2,356.6 x 229.15 x 15.4 mm,1.55 Kg,Not Available,"Yes, 1 Megapixel",QWERTY,1 Year Onsite Warranty,Onsite,Manufacturer Defect Only,Physical Damage,13th Gen,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer Chromebook Plus Google AI Intel Core i3 N305 - (8 GB/256 GB SSD/Chrome OS) CB514-4H-39T7 Chromebo...,"₹19,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/4/3/o/-original-imah27qsamfccyxz.jpeg?q=70,https://www.flipkart.com/acer-chromebook-plus-google-ai-intel-core-i3-n305-8-gb-256-gb-ssd-chrome-os-cb514-4h-39t7/p/itm5542cc6900ec1?pid=COMHFC9KE39WGHMA&lid=LSTCOMHFC9KE39WGHMADEYWXV&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=s_1_3&otracker=search&fm=organic&iid=485d19fc-6eb5-4a45-8681-f22ec74bf46d.COMHFC9KE39WGHMA.SEARCH&ppt=None&ppn=None&ssid=ss56a4ntc00000001738523098390&qH=312f91285e048e09,2025-02-02 20:04:58,"Laptop, Power Adaptor, User Guide, Warranty Documents",CB514-4H-39T7,NX.KUTSI.002,Chromebook Plus,Chromebook Plus Google AI,Steel Gray,Chromebook,Processing & Multitasking,45 W,No,Intel,Core i3,Yes,256 GB,8 GB,LPDDR5,N305,Max Frequency Up to 3.8 GHz,Intel Integrated UHD,SSD,Chrome,"2 x USB 3.2 Gen 1 Type-A port, 2 x USB 3.2 Gen 1 Type-C port",NA,No,35.56 cm (14 Inch),1920 x 1080 Pixel,Full HD IPS LED-backlit LCD Dislpay,Yes,Yes,Intel Wireless Wi-Fi 6E AX211,v5.2,326.87 x 224.93 x 20.5 mm,1.43 Kg,Not Available,"FHD camera, 1920 x 1080 Resolution, 1080p video at 60 fps with Temporal Noise Reduction, Support ROI feature, Support HDR feature, Dual Mic",Acer FineTip keyboard with international language support,1 Year Carry-in Warranty,Carry-in,Manufacturing Defects,Physical damage,,,3 Cell,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15s-eq2305AU Thin and Light Laptop,"₹44,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/y/z/-original-imah4qsjbjkkymuk.jpeg?q=70,https://www.flipkart.com/hp-amd-ryzen-5-hexa-core-5500u-16-gb-512-gb-ssd-windows-11-home-15s-eq2305au-thin-light-laptop/p/itmfad54ff933d4c?pid=COMGZC2GUZJXNHHS&lid=LSTCOMGZC2GUZJXNHHSJP0KBR&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_4&otracker=search&fm=organic&iid=485d19fc-6eb5-4a45-8681-f22ec74bf46d.COMGZC2GUZJXNHHS.SEARCH&ppt=None&ppn=None&ssid=ss56a4ntc00000001738523098390&qH=312f91285e048e09,2025-02-02 20:04:58,"Laptop, Power Adaptor, User Guide, Warranty Documents",15s-eq2305AU,9D3N8PA,15s-eq2305AU,,Natural Silver,Thin and Light Laptop,Processing & Multitasking,,Yes,AMD,Ryzen 5 Hexa Core,Yes,512 GB,16 GB,DDR4,5500U,Max Frequency Upt o 4.00 GHz,AMD Radeon AMD,SSD,Windows 11 Home,"1 x USB Type-C 5Gbps signaling rate (supports data transfer only and does not support charging or external monitors), 2 x USB Type-A 5Gbps signaling rate",1 x HDMI 1.4b,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD, micro-edge, anti-glare, 250 nits, 45% NTSC",Yes,Yes,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2),v5.0,358.5 x 242 x 17.9 mm,1.69 Kg,Not Available,HP True Vision 720p HD camera with integrated dual array digital microphones,"Full-size, backlit, natural silver keyboard with numeric keypad",1 Year Onsite warranty,Onsite,Manufacturing Defects,Physical Damage,,,,,Up to 9 hours and 30 minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,"₹17,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/u/w/8/-original-imah8zvzzp5fjjta.jpeg?q=70,https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-8-gb-256-gb-ssd-windows-11-home-a311-45-thin-light-laptop/p/itmad38595c5a902?pid=COMH7NCZ8BARKXFF&lid=LSTCOMH7NCZ8BARKXFFIUHV7S&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_5&otracker=search&fm=organic&iid=485d19fc-6eb5-4a45-8681-f22ec74bf46d.COMH7NCZ8BARKXFF.SEARCH&ppt=None&ppn=None&ssid=ss56a4ntc00000001738523098390&qH=312f91285e048e09,2025-02-02 20:04:58,"Laptop, Power Adaptor, User Guide, Warranty Documents",A311-45,UN.354SI.004,Aspire 3,Aspire 3,Steel Grey,Thin and Light Laptop,"Entertainment, Everyday Use, Performance, Processing & Multitasking",3 Pin 36 W AC Adapter,No,Intel,Celeron Dual Core,Yes,256 GB,8 GB,DDR4,,,Intel Integrated UHD,SSD,Windows 11 Home,"1 x Type C Port, 3 x USB 3.2 Port",1 x HDMI Port,No,29.46 cm (11.6 inch),1366 x 768 Pixels,,Two Built-in Stereo Speakers,,802.11 a/b/g/n/ac Wireless LAN,v4.2,277.3 x 193.3 x 16.8 mm,1.0 kg,Not Available,1280 x 720 Resolution/720p HD Video,74-/75-/78-key Acer FineTip Keyboard,1 Year Warranty,Onsite,Manufacturing Defects,Physical Damage,,,38 Wh Li-ion Battery,No,,16 GB,64 bit,Windows 11 Home,"Multi Gesture Touchpad, Supporting Two Finger Scroll, Pinch, Action Center, Multitasking, Application Commands",No,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Pro Laptop,"₹15,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/r/q/-original-imah3gaqg3zjgjny.jpeg?q=70,https://www.flipkart.com/chuwi-intel-celeron-dual-core-11th-gen-n4020-8-gb-256-gb-ssd-windows-11-home-herobook-pro-laptop/p/itm5e1f327988402?pid=COMGQHMZWHRXFWET&lid=LSTCOMGQHMZWHRXFWETVNWSPG&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_6&otracker=search&fm=organic&iid=en_sh4H2iyymzrRWSxDUE7BmQyC720oSuq_m0rR_rI65NqJcGmTQ_ehd1hJzNfZrLEHfmjYLrSm5pzIv9GqdpNskA%3D%3D&ppt=None&ppn=None&ssid=ss56a4ntc00000001738523098390&qH=312f91285e048e09,2025-02-02 20:04:58,"Laptop, Charger, User Guide Manual",HeroBook Pro,CWI514,Hero Book Pro,,Grey,Laptop,"Entertainment, Everyday Use, Learning, Processing & Multitasking, Travel & Business",24 W AC Adapter Fast Charger,No,Intel,Celeron Dual Core,Yes,256 GB,8 GB,DDR4,N4020,2.6GHz,Intel Integrated Intel UHD Graphics,SSD,Windows 11 Home,"1 x USB 3.0, 1xUSB 2.0",1 X HDMI (Mini),No,35.81 cm (14.1 inch),1920 x 1080 pixel,Full HD,Dual Speaker,Yes,WIFI6 (802.11a/b/g/n/ac),4.2,31 x 23 x 2.1,1.39 kg,Not Available,Yes,"Full-Sized Keyword
(Borderless Design)",1 Year Onsite Warranty,Service Center,Manufacturing Defects,Water & Physical Damage,11th Gen,No,,No,Up To 9 Hours,,64 bit,,,No,1 Year,No,No,DDR4,2,No,250 Nits,No,No,No,"WPS Office, Operating System Software",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomson NEO Core Series Intel Core i3 12th Gen 1215U - (8 GB/256 GB SSD/Windows 11 Home) IN-N15I Thin ...,"₹24,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/k/k/t/-original-imah3gydt2hmerny.jpeg?q=70,https://www.flipkart.com/thomson-neo-core-series-intel-i3-12th-gen-1215u-8-gb-256-gb-ssd-windows-11-home-in-n15i-thin-light-laptop/p/itm707312182fa98?pid=COMGXXF2YKRHDTTU&lid=LSTCOMGXXF2YKRHDTTUZ4S2OV&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_7&otracker=search&fm=organic&iid=485d19fc-6eb5-4a45-8681-f22ec74bf46d.COMGXXF2YKRHDTTU.SEARCH&ppt=None&ppn=None&ssid=ss56a4ntc00000001738523098390&qH=312f91285e048e09,2025-02-02 20:04:58,"1 Laptop with Battery, 1 Adaptor, 1 User Manual, 1 Warranty Card",IN-N15I,IN-N15I312-8GR256,IN-N15I,NEO Core Series,Grey Brush,Thin and Light Laptop,Processing & Multitasking,,No,Intel,Core i3,Yes,256 GB,8 GB,LPDDR4,1215U,Max Frequency Up to 4.4 GHz,Intel Integrated UHD,SSD,Windows 11 Home,"2 x USB 3.2 Gen 1, 1 x USB Type C 3.2 Gen 1",1 x HDMI port,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,Full HD,Yes,Yes,IEEE 802.11 ac,v5.0,357.4 x 233.8 x 19.9 mm,1.65 Kg,Not Available,2 Megapixel,Backlit Keyboard,1 Year Onsite warranty,Onsite,Any kind of Manufacturing defect or any hardware problem reported by Engineer will be covered under warranty.,"Screen Damage, Water Spill, Accendental Damage, Fire Damage, Tampering ,Mishandling not covered",12th Gen,,,,Upto 6 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer Aspire 3 Intel Core i7 12th Gen 1255U - (16 GB/1 TB SSD/Windows 11 Home) A324-51 Thin and Light L...,"₹54,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/g/i/l/a324-51-thin-and-light-laptop-acer-original-imah42gdv8rbbjtv.jpeg?q=70,https://www.flipkart.com/acer-aspire-3-intel-core-i7-12th-gen-1255u-16-gb-1-tb-ssd-windows-11-home-a324-51-thin-light-laptop/p/itm858b83f904593?pid=COMHY24RBMAZFKFX&lid=LSTCOMHY24RBMAZFKFXYXFVRJ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_8&otracker=search&fm=organic&iid=485d19fc-6eb5-4a45-8681-f22ec74bf46d.COMHY24RBMAZFKFX.SEARCH&ppt=None&ppn=None&ssid=ss56a4ntc00000001738523098390&qH=312f91285e048e09,2025-02-02 20:04:58,"Laptop, Power Adaptor, User Guide, Warranty Documents",A324-51,UN.343SI.00A,A324-51,Aspire 3,Steel Gray,Thin and Light Laptop,Everyday Use,65 W,No,Intel,Core i7,Yes,1 TB,16 GB,DDR4,1255U,Max turbo frequency at 4.7 Ghz,Intel Integrated Iris Xe,SSD,Windows 11 Home,,1x HDMI Port,No,35.56 cm (14 Inch),1920 x 1080 Pixel,"Full HD display with IPS (In-Plane Switching) technology, LED-backlit TFT LCD",Two built-in stereo speakers,Yes,WIFI 6,v5.2,321.7 x 206.6 x 19.4 mm,1.45 Kg,Not Available,2M With Privacy Camera Shutter,84-key Acer backlit keyboard layout with US language,1 Year Domestic Warranty,Onsite,Manufacturing Defects,Physical Damage,12th Gen,No,2 cell,Yes,,,64 bit,,Touchpad,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
