title,price,rating,reviews,image_url,product_url,collection_date,Model Name,Color,Display,Panel Type,Screen Resolution Type,Sales Package,Screen Form Factor,Number of Colors,Maximum Refresh Rate,Aspect Ratio,Horizontal Viewing Angle,Vertical Viewing Angle,Response Time,Brightness,Color Gamut,Power Requirement,HDMI,Display Port,HDCP Support,System Requirements,Warranty Summary,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,Backlight,Resolution,HD Standard,Contrast Ratio,Pixel Pitch,Speakers,Headphone Jack,Microphone Jack,Inbuilt Speaker,Power Consumption,VGA,Other Mounting Features,Plug and Play,Other Features,Width With Stand,Height With Stand,Depth With Stand,Width Without Stand,Height Without Stand,Depth Without Stand,Series,3D,Processor,Display Screen Coating,Maximum 3D Refresh Rate,Horizontal Scanning Frequencies,Other Display Features,Touchscreen Support,Touch Response Time,Touch Accuracy,Touch Capabilities,Other Touchscreen Features,Number of Speakers,Other Audio Features,Power Output Per Speaker,DVI,USB,Audio Out,Audio In,Operating Temperature,Non Operating Temperature,Storage Temperature,Operating Humidity Range,Other Operating Requirements,Stand,Stand Tilt,Stand Swivel,Wall Mounting,Wall Mount Standard,Security Lock Slot,Inbuilt Webcam,Controls,OSD Languages Supported,Weight With Stand,Weight Without Stand,Other Power Features,Other Connectivity Features,Audio Jacks,Part Number
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-01 00:48:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-01 00:48:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAMSUNG 60.96 cm (24 inch) Full HD IPS Panel Flicker-Free, HDMI, Display Port, Bezel-less Design Flat ...","₹7,699",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/q/6/9/-original-imah8pwhvz2tzucv.jpeg?q=70,https://www.flipkart.com/samsung-60-96-cm-24-inch-full-hd-ips-panel-flicker-free-hdmi-display-port-bezel-less-design-flat-monitor-ls24c330gawxxl/p/itm242e33dfe21e9?pid=MONGYYQGKSZJTEBP&lid=LSTMONGYYQGKSZJTEBPM0MVH1&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_bTaZ-nZ2T6Wip5ZUtvp1hj1nrE9qtAzDLVN_7d3viyaSsuBVOp2YTN6CxzBxPLiQ8kzA3ptjAdN2jJ3eHMy0Y_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=adrc2r8pa80000001738367297483&qH=08b5411f848a2581,2025-02-01 00:48:24,LS24C330GAWXXL,Black,60.96 cm (24 inch) LED Display,IPS Panel,Full HD,"1 Monitor, Accessory included, Power Cable (1.5M), HDMI Cable, User Manual",Flat,16.7 m Colors,"100 Hz (Analog), 100 Hz (Digital)",16:09,178° (2D),178° (2D),4 ms,250 nits (2D),72%,AC 100 - 240 V,Yes,Yes,Yes,Windows 10,3 Years Warranty,Manufacturing Defects,Physical Damages,3 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elista 54.61 cm (21.5 inch) Full HD LED Backlit IPS Panel Monitor (ELS-V2210 HD LED Bezel less),"₹5,199",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/d/m/r/els-v2210-hd-led-bezel-less-full-hd-21-5-2023-els-v2210-hd-led-original-imah4fgzhkhv3x2e.jpeg?q=70,https://www.flipkart.com/elista-54-61-cm-21-5-inch-full-hd-led-backlit-ips-panel-monitor-els-v2210-bezel-less/p/itm6202c978219d6?pid=MONGSJWYP2QHCFYD&lid=LSTMONGSJWYP2QHCFYDU3JPSN&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_bTaZ-nZ2T6Wip5ZUtvp1hj1nrE9qtAzDLVN_7d3viyYvtSfwn5tt5GocqMd753ZrUVV75mDd4FEg6EJ9CLhsnw%3D%3D&ppt=None&ppn=None&ssid=adrc2r8pa80000001738367297483&qH=08b5411f848a2581,2025-02-01 00:48:24,ELS-V2210 HD LED Bezel less,Black,54.61 cm (21.5 inch) LED Display,IPS Panel,Full HD,"Monitor-01 No, Base- 01 No, HDMI Cable- 01 No, Power Cord-01 No, User Manual",Flat,16.7 m Colors,"60 Hz (Analog), 60 Hz (Digital)",16:09,178° (2D),178° (2D),4 ms,250 nits (2D),,,"Yes, 1",,,,1 Year Carry in to brand service center.,Products are warranted against defects in materials and craftsmanship for a period of one year from the date of original retail purchase,"The warranty does not include damage resulting from accidents, improper use, maintenance, repair, or from other causes that are not defects in materials or craftsmanship, Burnt or defects arising due to use of CFL",1 Year,LED Backlit Backlight,1920 x 1080 pixels,1920 x 1080,500000:1 (Dynamic),0.248 mm,No,No,No,No,"22 W (Operational), 0.5 W (Standby)",Yes,Can be Wall mounted (Mounting Kit not provided as standard packaging),Yes,"Frameless | IPS Display, | HD Resolution 1920 x 1080, | No Splash, | Flicker Free",540 mm,520 mm,30 mm,540 mm,340 mm,30 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frontech - 50.8 cm (20 inch) HD LED Backlit VA Panel Monitor (MON-0054),"₹3,154",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/0/5/k/mon-0054-hd-20-2023-mon-0054-frontech-original-imahyrryap3ccunb.jpeg?q=70,https://www.flipkart.com/frontech-50-8-cm-20-inch-hd-led-backlit-va-panel-monitor-mon-0054/p/itm8713072821479?pid=MONGS24B7UGXAKTX&lid=LSTMONGS24B7UGXAKTXPSDLVN&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=en_bTaZ-nZ2T6Wip5ZUtvp1hj1nrE9qtAzDLVN_7d3viyaq02ei-nB_e085-SAubiVOXC82Akh87V6Y4aDoXJW6_g%3D%3D&ppt=None&ppn=None&ssid=adrc2r8pa80000001738367297483&qH=08b5411f848a2581,2025-02-01 00:48:24,MON-0054,Black,50.8 cm (20 inch) LED Display,VA Panel,HD,"1 Monitor, 1 Power Cable, 1 Signal Cable, 1 Stand, 1 Manual",Flat,16.7 m Colors,"60 Hz (Analog), 60 Hz (Digital)",16:09,"130° (2D), 160° (3D)","90° (2D), 0° (3D)",5 ms,"250 nits (2D), 0 nits (3D)",86%,AC 180V - 255V,"Yes, 1 x 1.3 Port",Yes,No,"Windows 11, Windows 10, Windows 8.1, Windows 8",1 Year Warranty,Manufacturing Defects,Physical Damages will not Cover Under Warranty,1 Year,LED Backlit Backlight,1600 x 900 pixels,1080p,"1000000:1, 1000000:1 (Dynamic)",0.276 mm,"No, 0 Speaker  with 0 W Power Output Per Speaker",No,No,No,"24 W (Operational), 0 W (Standby)","Yes, 15 Pin",NA,Yes,NA,220 mm,360 mm,471 mm,220 mm,356 mm,471 mm,-,No,-,-,0 Hz,"60 kHz (Analog), 60 kHz (Digital)","Slim Design, Support Wall Mountable","No, Supported by - with -",0 ms,-,-,NA,0,NA,0,Yes,0 x 0 Port,No,No,0 - 50° C,0 - 0° C,20 - 60° C,20 - 60 %,NA,Yes,-3 to 12 Degree,0,215 x 205 x 165 mm,No,-,No,"Auto, Menu, Up, Down, Power",15 Languages,3.25 kg,3 kg,,,,
MarQ by Flipkart 68.58 cm (27 inch) Full HD LED Backlit VA Panel Monitor (27FHDMMQTT9B),"₹6,299",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/m/n/w/-original-imah4vd2wfp74j7k.jpeg?q=70,https://www.flipkart.com/marq-flipkart-68-58-cm-27-inch-full-hd-led-backlit-va-panel-monitor-27fhdmmqtt9b/p/itm3fc7d8f0c0c51?pid=MONGYS8DGZAMY3GQ&lid=LSTMONGYS8DGZAMY3GQZU81W9&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=8595241d-20d8-4504-ab50-31c53a78b06f.MONGYS8DGZAMY3GQ.SEARCH&ppt=None&ppn=None&ssid=adrc2r8pa80000001738367297483&qH=08b5411f848a2581,2025-02-01 00:48:24,27FHDMMQTT9B,Black,68.58 cm (27 inch) LCD Display,VA Panel,Full HD,"Monitor, Stand, Base, HDMI Cable, Power Adapter, User Manual",Flat,16.7 m Colors,"100 Hz (Analog), 100 Hz (Digital)",16:09,178° (2D),,5 ms,250 nits (2D),,,"Yes, 1 x HDMI 1.4 Port",No,,,1 Year Warranty,Manufacturing Defects,Physical Damages,,LED Backlit Backlight,1920 x 1080 pixels,,,,No,No,No,No,,"Yes, D-sub 15 pin",,,,,,,,,,,,,,,,"Anti-glare, Anti-flicker",No,,,,,,,,No,,No,No,,,,,,,,,,VESA,,No,,,,,,,,
MarQ by Flipkart 60.96 cm (24 inch) Full HD LED Backlit VA Panel Monitor (24FHDMMQTT9B),"₹5,899",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/s/u/n/-original-imah4vd2vzpgg3ny.jpeg?q=70,https://www.flipkart.com/marq-flipkart-60-96-cm-24-inch-full-hd-led-backlit-va-panel-monitor-24fhdmmqtt9b/p/itmc9432dbc45a3a?pid=MONGYS8DTADDAXFW&lid=LSTMONGYS8DTADDAXFWA8GEJQ&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=8595241d-20d8-4504-ab50-31c53a78b06f.MONGYS8DTADDAXFW.SEARCH&ppt=None&ppn=None&ssid=adrc2r8pa80000001738367297483&qH=08b5411f848a2581,2025-02-01 00:48:24,24FHDMMQTT9B,Black,60.96 cm (24 inch) LCD Display,VA Panel,Full HD,"Monitor, Stand, Base, HDMI Cable, Power Adapter, User Manual",Flat,16.7 m Colors,"100 Hz (Analog), 100 Hz (Digital)",16:09,178° (2D),,5 ms,250 nits (2D),,,"Yes, 1 x HDMI 1.4 Port",No,,,1 Year Warranty,Manufacturing Defects,Physical Damages,,LED Backlit Backlight,1920 x 1080 pixels,,,,No,No,No,No,,"Yes, D-sub 15 pin",,,,,,,,,,,,,,,,"Anti-glare, Anti-flicker",No,,,,,,,,No,,No,No,,,,,,,,,,VESA,,No,,,,,,,,
ZEBSTER 50.8 cm (20 inch) HD VA Panel Monitor (Z-GV120),"₹2,679",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/g/c/d/z-gv120-hd-20-2024-z-gv120-zebster-original-imah3zynqdxeuwfx.jpeg?q=70,https://www.flipkart.com/zebster-50-8-cm-20-inch-hd-va-panel-monitor-z-gv120/p/itm6b126669774ba?pid=MONH3YRKKXAEFY59&lid=LSTMONH3YRKKXAEFY59BLSPQB&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=8595241d-20d8-4504-ab50-31c53a78b06f.MONH3YRKKXAEFY59.SEARCH&ppt=None&ppn=None&ssid=adrc2r8pa80000001738367297483&qH=08b5411f848a2581,2025-02-01 00:48:24,Z-GV120,Black,50.8 cm (20 inch) LED Display,VA Panel,HD,"1 Monitor, Base, HDMI Cable, Power Cord, User Manual, Stem",Flat,,"60 Hz (Analog), 60 Hz (Digital)",16:09,,,8 ms,400 nits (2D),,,,,,,1 Year Warranty,Manufacturing Defects,Physical Damages,,,,,500000:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MarQ by Flipkart 60.96 cm (24 inch) Full HD IPS Panel Inbuilt Speakers Monitor (24FHDMEQNNXO),"₹6,799",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/j/q/e/-original-imagtdphdh2jcfqy.jpeg?q=70,https://www.flipkart.com/marq-flipkart-60-96-cm-24-inch-full-hd-ips-panel-inbuilt-speakers-monitor-24fhdmeqnnxo/p/itmaf882539be36e?pid=MONGQTEJZA4CEZPP&lid=LSTMONGQTEJZA4CEZPPYC4MNA&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=8595241d-20d8-4504-ab50-31c53a78b06f.MONGQTEJZA4CEZPP.SEARCH&ppt=None&ppn=None&ssid=adrc2r8pa80000001738367297483&qH=08b5411f848a2581,2025-02-01 00:48:24,24FHDMEQNNXO,White,60.96 cm (24 inch) LCD Display,IPS Panel,Full HD,"1 Monitor, Stand, Base, HDMI Cable, Power Adapter, User Manual",Flat,,"100 Hz (Analog), 100 Hz (Digital)",,,,1 ms,300 Nits (2D),,,Yes,,,,1 Year Warranty,Manufacturing Defects,Physical Damages,,,1920 x 1080 pixels,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frontech - 50.8 cm (20 inch) HD LED Backlit VA Panel Monitor (MON-0074),"₹2,799",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/0/t/x/mon-0074-hd-20-2024-mon-0074-frontech-original-imahfcg7gfpbrean.jpeg?q=70,https://www.flipkart.com/frontech-50-8-cm-20-inch-hd-led-backlit-va-panel-monitor-mon-0074/p/itm9e337ade78a95?pid=MONH3VBQMXCYT5SQ&lid=LSTMONH3VBQMXCYT5SQF9NE5M&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_bTaZ-nZ2T6Wip5ZUtvp1hj1nrE9qtAzDLVN_7d3viyYRNnmMA4JRHiKFbr8w65rUYtp2bHyRdnPUx54lbRIuFA%3D%3D&ppt=None&ppn=None&ssid=adrc2r8pa80000001738367297483&qH=08b5411f848a2581,2025-02-01 00:48:24,MON-0074,Black,50.8 cm (20 inch) LED Display,VA Panel,HD,"1 Monitor, 1 Power Cable, 1 Signal Cable, 1 Stand, 1 Manual",Flat,16.7 m Colors,"60 Hz (Analog), 60 Hz (Digital)",16:09,"130° (2D), 160° (3D)","90° (2D), 0° (3D)",3 ms,"250 nits (2D), 0 nits (3D)",86%,AC 180V - 255V,"Yes, 1 x 1.3 Port",Yes,No,"Windows 11, Windows 10, Windows 8.1, Windows 8",1 Year Warranty,Manufacturing Defects,Physical Damages will not Cover Under Warranty,1 Year,LED Backlit Backlight,1600 x 900 pixels,HD,"1000000:1, 1000000:1 (Dynamic)",0.276 mm,"No, 0 Speaker  with 0 W Power Output Per Speaker",No,No,No,"24 W (Operational), 0 W (Standby)","Yes, 15 Pin",NA,Yes,NA,220 mm,360 mm,471 mm,220 mm,356 mm,471 mm,-,No,-,-,0 Hz,"60 kHz (Analog), 60 kHz (Digital)","Slim Design, Support Wall Mountable","No, Supported by - with -",0 ms,-,-,NA,0,NA,0,Yes,0 x 0 Port,No,No,0 - 50° C,0 - 0° C,20 - 60° C,20 - 60 %,NA,Yes,-3 to 12 Degree,0,215 x 205 x 165 mm,No,-,No,"Auto, Menu, Up, Down, Power",15 Languages,3.25 kg,3 kg,,,,
