title,price,rating,reviews,image_url,product_url,collection_date,Model Name,Color,Display,Panel Type,Resolution,Screen Resolution Type,Sales Package,Screen Form Factor,Number of Colors,Maximum Refresh Rate,Aspect Ratio,Contrast Ratio,Horizontal Viewing Angle,Vertical Viewing Angle,Response Time,Brightness,Pixel Pitch,Power Consumption,HDMI,VGA,Width With Stand,Height With Stand,Depth With Stand,Weight With Stand,Warranty Summary,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,Touch Response Time,Speakers,Headphone Jack,Inbuilt Speaker,Series,Backlight,Processor,HD Standard,Display Screen Coating,Color Gamut,Horizontal Scanning Frequencies,Other Display Features,Touchscreen Support,Touch Accuracy,Touch Capabilities,Other Touchscreen Features,Microphone Jack,Number of Speakers,Other Audio Features,Power Output Per Speaker,Power Requirement,Other Power Features,Display Port,USB,Audio Out,Audio In,Other Connectivity Features,Operating Temperature,Non Operating Temperature,Storage Temperature,Other Operating Requirements,Stand,Stand Tilt,Stand Swivel,Wall Mounting,Wall Mount Standard,Security Lock Slot,Other Mounting Features,Inbuilt Webcam,Controls,Plug and Play,HDCP Support,System Requirements,Other Features,Width Without Stand,Height Without Stand,Depth Without Stand,Weight Without Stand,DVI,3D,Maximum 3D Refresh Rate,Operating Humidity Range,OSD Languages Supported,Audio Jacks,Part Number
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZEBRONICS 81.28 cm (32 inch) Curved Full HD VA Panel Wall Mountable Monitor (ZEB -AC32FHD LED),"₹11,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/d/s/x/zeb-ac32fhd-led-full-hd-32-2022-zeb-ac32fhd-zebronics-original-imagydzpqfy3tvaq.jpeg?q=70,https://www.flipkart.com/zebronics-81-28-cm-32-inch-curved-full-hd-va-panel-wall-mountable-monitor-zeb-ac32fhd-led/p/itmd0bf3471b1e6f?pid=MONGD4AF6HGGRHCT&lid=LSTMONGD4AF6HGGRHCTBR05JC&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_taGtRE9jUiG8BLtRx8bqY3Peu9DjLm11xRCFSi7hn-h1tXnYoOTIZJk0cIvo7LeCkQWR1KkEGAQZkqBSfA2RdfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=a08uxvsa800000001738523880821&qH=08b5411f848a2581,2025-02-02 20:18:00,ZEB -AC32FHD LED,White,81.28 cm (32 inch) LED Display,VA Panel,1920x1080 pixels,Full HD,Monitor-1 unit,Curved,16.7 m Colors,"75 Hz (Analog), 75 Hz (Digital)",16:9,500000:1 (Dynamic),178° (2D),178° (2D),8 ms,250 nits (2D),0.3637 mm,50 W (Standby),Yes,Yes,715 mm,515 mm,8 mm,5 kg,Three year carry into service centre,Manufacturing defect,Any physical damage or accessories,3 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZEBRONICS 39.62 cm (15.6 inch) Full HD IPS Panel with 180-degree Adjustable Stand, 16:9 Aspect Ratio, ...","₹9,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/d/t/m/zeb-pixigo-a16-zeb-kpm-2-full-hd-15-6-2024-zeb-pixigo-a16-zeb-original-imah8mhubfkxh5eg.jpeg?q=70,https://www.flipkart.com/zebronics-39-62-cm-15-6-inch-full-hd-ips-panel-180-degree-adjustable-stand-16-9-aspect-ratio-300nits-brightness-16-7m-colors-dual-input-type-c-mini-hdmi-built-in-speakers-portable-monitor-zeb-pixigo-a16-zeb-kpm-2/p/itmc6a4627a657b1?pid=MONH7BV6AG8FMXD3&lid=LSTMONH7BV6AG8FMXD3IV2K5K&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_taGtRE9jUiG8BLtRx8bqY3Peu9DjLm11xRCFSi7hn-i22kPDFqq1TWaHPfhaZhthYf1qLFtrEeEbT5Kc7UTJ9_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=a08uxvsa800000001738523880821&qH=08b5411f848a2581,2025-02-02 20:18:00,(Zeb-Pixigo A16 (Zeb-KPM 2)),Black,39.62 cm (15.6 inch) LED Display,IPS Panel,1920 x1080 pixels,Full HD,"Monitor - 1unit, Mini HDMI Cable - 1unit, Type C DP Cable - 1unit, Power Adapter - 1unit, User Manual - 1unit",Flat,16.7 m Colors,"60 Hz (Analog), 60 Hz (Digital)",16:9,,,,25 ms,300 nits (2D),,,,,35.5 mm,22.2 mm,1.7 mm,0.804 kg,1 year carry into service center,Any manufacturing defect,Any physical damage or accessories,,25 ms,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frontech - 43.18 cm (17 inch) HD LED Backlit VA Panel Monitor (MON-0065),"₹2,469",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/r/y/p/mon-0065-hd-17-2023-mon-0065-frontech-original-imah8nybhchfkhmy.jpeg?q=70,https://www.flipkart.com/frontech-43-18-cm-17-inch-hd-led-backlit-va-panel-monitor-mon-0065/p/itmbc6d42fed6553?pid=MONGS24EAHXVJZMQ&lid=LSTMONGS24EAHXVJZMQACRRSN&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=en_taGtRE9jUiG8BLtRx8bqY3Peu9DjLm11xRCFSi7hn-gHnPJFwudNegLm5YXk_XoPB-p_Ew2DI3ZrmPSsJSo_YA%3D%3D&ppt=None&ppn=None&ssid=a08uxvsa800000001738523880821&qH=08b5411f848a2581,2025-02-02 20:18:00,MON-0065,Black,43.18 cm (17 inch) LED Display,VA Panel,1280x1024 pixels,HD,"1 Monitor, 1 Power Cable, 1 Signal Cable, 1 Stand, 1 Manual",Flat,16.7 m Colors,"60 Hz (Analog), 60 Hz (Digital)",5:4,"1000000:1, 1000000:1 (Dynamic)",130° (2D),90° (2D),5 ms,250 nits (2D),0.264 mm,18 W (Operational),"Yes, 1 x 1.4 Port","Yes, 15 Pin",370 mm,375 mm,370 mm,2.8 kg,1 Year Warranty,Manufacturing Defects,Physical Damages will not Cover Under Warranty,1 Year,,"No, 0 Speaker  with 0 W Power Output Per Speaker",No,No,-,LED Backlit Backlight,-,1080p,-,sRGB,"60 kHz (Analog), 60 kHz (Digital)","Slim Design, Support Wall Mount","No, Supported by - with -",-,-,-,No,0,NA,0,AC 180 - 255V,-,Yes,0 x 0 Port,No,No,-,-,-,-,-,Yes,3-12 Degree,-,215 x 205 x 165 mm,Yes,-,-,No,"Auto, Menu, Up, Down, Power",Yes,No,"Windows 10, Windows 8, Windows 7",-,200 mm,370 mm,370 mm,2.7 kg,,,,,,,
MarQ by Flipkart 68.58 cm (27 inch) Full HD LED Backlit VA Panel Monitor (27FHDMMQTT9B),"₹6,299",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/m/n/w/-original-imah4vd2wfp74j7k.jpeg?q=70,https://www.flipkart.com/marq-flipkart-68-58-cm-27-inch-full-hd-led-backlit-va-panel-monitor-27fhdmmqtt9b/p/itm3fc7d8f0c0c51?pid=MONGYS8DGZAMY3GQ&lid=LSTMONGYS8DGZAMY3GQZU81W9&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=c943b3b7-c3ef-4f69-81f4-dd5ee661e0c3.MONGYS8DGZAMY3GQ.SEARCH&ppt=None&ppn=None&ssid=a08uxvsa800000001738523880821&qH=08b5411f848a2581,2025-02-02 20:18:00,27FHDMMQTT9B,Black,68.58 cm (27 inch) LCD Display,VA Panel,1920 x 1080 pixels,Full HD,"Monitor, Stand, Base, HDMI Cable, Power Adapter, User Manual",Flat,16.7 m Colors,"100 Hz (Analog), 100 Hz (Digital)",16:09,,178° (2D),,5 ms,250 nits (2D),,,"Yes, 1 x HDMI 1.4 Port","Yes, D-sub 15 pin",,,,,1 Year Warranty,Manufacturing Defects,Physical Damages,,,No,No,No,,LED Backlit Backlight,,,,,,"Anti-glare, Anti-flicker",No,,,,No,,,,,,No,,No,No,,,,,,,,,,VESA,,,No,,,,,,,,,,No,,,,,,
"Acer 54.61 cm (21.5 inch) Full HD LED Backlit VA Panel with ZeroFrame Design, Ergonomic Stand, Acer Vi...","₹5,695",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/z/l/6/-original-imagze3c9aggznc9.jpeg?q=70,https://www.flipkart.com/acer-54-61-cm-21-5-inch-full-hd-led-backlit-va-panel-zeroframe-design-ergonomic-stand-vision-care-flicker-free-monitor-ek220q/p/itme973196ea99d8?pid=MONG4GBU5GN9RNNK&lid=LSTMONG4GBU5GN9RNNK0YQLLF&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=c943b3b7-c3ef-4f69-81f4-dd5ee661e0c3.MONG4GBU5GN9RNNK.SEARCH&ppt=None&ppn=None&ssid=a08uxvsa800000001738523880821&qH=08b5411f848a2581,2025-02-02 20:18:00,EK220Q,Black,54.61 cm (21.5 inch) LED Display,VA Panel,1920 x 1080 pixels,Full HD,"LCD MONITOR 1N, USER MANUAL 1N, POWER CABLE N/A",Flat,16.7 M Colors,"100 Hz (Analog), 100 Hz (Digital)",16:09,"3000:1, 100000000:1 (Dynamic)",178° (2D),178° (2D),1 ms,250 nits (2D),0.248 mm,,"Yes, 1 x 1.4 Port",Yes,503 mm,379 mm,181 mm,2.4 kg,3 Years Warranty Provided by the Manufacturer from Date of Purchase,Manufacturing Defects,Physical Damages,3 Year,,No,No,No,,LED Backlit Backlight,,1080p,,72% NTSC,,"Flicker Free, Comfyview, Low Blue Light Technology, AMD Free Sync Technology",No,,,,No,,,,,,No,,No,,,,,,,,5 - 20,,,,,,,,,,,,,,,,No,,,,,,
MarQ by Flipkart 68.58 cm (27 inch) Full HD IPS Panel Inbuilt Speakers Monitor (27FHDMEQNNXO),"₹7,899",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/d/i/m/-original-imagtdphhzehdhyb.jpeg?q=70,https://www.flipkart.com/marq-flipkart-68-58-cm-27-inch-full-hd-ips-panel-inbuilt-speakers-monitor-27fhdmeqnnxo/p/itm2bf4a30641fe6?pid=MONGQTEJJQDWJNNC&lid=LSTMONGQTEJJQDWJNNCAWZO02&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=c943b3b7-c3ef-4f69-81f4-dd5ee661e0c3.MONGQTEJJQDWJNNC.SEARCH&ppt=None&ppn=None&ssid=a08uxvsa800000001738523880821&qH=08b5411f848a2581,2025-02-02 20:18:00,27FHDMEQNNXO,White,68.58 cm (27 inch) LCD Display,IPS Panel,1920 x 1080 pixels,Full HD,"1 Monitor, Stand, Base, HDMI Cable, Power Adapter, User Manual",Flat,,"100 Hz (Analog), 100 Hz (Digital)",,,,,1 ms,300 Nits (2D),,,Yes,,,,,,1 Year Warranty,Manufacturing Defects,Physical Damages,,,Yes,Yes,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZEBSTER 50.8 cm (20 inch) HD VA Panel Monitor (Z-GV120),"₹2,699",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/g/c/d/z-gv120-hd-20-2024-z-gv120-zebster-original-imah3zynqdxeuwfx.jpeg?q=70,https://www.flipkart.com/zebster-50-8-cm-20-inch-hd-va-panel-monitor-z-gv120/p/itm6b126669774ba?pid=MONH3YRKKXAEFY59&lid=LSTMONH3YRKKXAEFY59RMGCFG&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=c943b3b7-c3ef-4f69-81f4-dd5ee661e0c3.MONH3YRKKXAEFY59.SEARCH&ppt=None&ppn=None&ssid=a08uxvsa800000001738523880821&qH=08b5411f848a2581,2025-02-02 20:18:00,Z-GV120,Black,50.8 cm (20 inch) LED Display,VA Panel,,HD,"1 Monitor, Base, HDMI Cable, Power Cord, User Manual, Stem",Flat,,"60 Hz (Analog), 60 Hz (Digital)",16:09,500000:1,,,8 ms,400 nits (2D),,,,,,,,,1 Year Warranty,Manufacturing Defects,Physical Damages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo 60.45 cm (23.8 inch) Full HD VA Panel 3-Side Near Edgeless with TUV Eye Care Monitor (D24-20/D2...,"₹6,599",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/ko8xtow0/monitor/t/a/y/d24-20-66aekac1in-lenovo-original-imag2qwzazcdmqtb.jpeg?q=70,https://www.flipkart.com/lenovo-60-45-cm-23-8-inch-full-hd-va-panel-3-side-near-edgeless-tuv-eye-care-monitor-d24-20-d24-40/p/itm7a2d267d21c3f?pid=MONFV5HRNF4QFVG4&lid=LSTMONFV5HRNF4QFVG4ATFEMN&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_taGtRE9jUiG8BLtRx8bqY3Peu9DjLm11xRCFSi7hn-gQ_mVaMG1RGcuMnKR1LUXCAgo-Ib0a9Zi6OD8jzYQVmvcUmN_6PwCReg_VTM4VLxo%3D&ppt=None&ppn=None&ssid=a08uxvsa800000001738523880821&qH=08b5411f848a2581,2025-02-02 20:18:00,D24-20/D24-40,Black,60.45 cm (23.8 inch) LED Display,VA Panel,,Full HD,"1 Monitor, Power Cable, HDMI Cable,Quick Setup Guide",Flat,,"75 Hz (Analog), 75 Hz (Digital)",,,,,4 ms,,,,,,,,,,3 Years Manufacturer Warranty,Manufacturing Defects,Physical Damage,3 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,
