title,price,rating,reviews,image_url,product_url,collection_date,Model Name,Series,Color,Display,Backlight,Panel Type,Resolution,3D,Screen Resolution Type,Processor,Sales Package,Screen Form Factor,HD Standard,Display Screen Coating,Number of Colors,Maximum Refresh Rate,Maximum 3D Refresh Rate,Aspect Ratio,Contrast Ratio,Horizontal Viewing Angle,Vertical Viewing Angle,Response Time,Brightness,Pixel Pitch,Color Gamut,Horizontal Scanning Frequencies,Other Display Features,Touchscreen Support,Touch Response Time,Touch Accuracy,Touch Capabilities,Other Touchscreen Features,Speakers,Headphone Jack,Microphone Jack,Inbuilt Speaker,Number of Speakers,Other Audio Features,Power Output Per Speaker,Power Requirement,Power Consumption,HDMI,DVI,VGA,Display Port,USB,Audio Out,Audio In,Operating Temperature,Non Operating Temperature,Storage Temperature,Operating Humidity Range,Other Operating Requirements,Stand,Stand Tilt,Stand Swivel,Wall Mounting,Wall Mount Standard,Security Lock Slot,Other Mounting Features,Inbuilt Webcam,Controls,OSD Languages Supported,Plug and Play,HDCP Support,System Requirements,Other Features,Width With Stand,Height With Stand,Depth With Stand,Weight With Stand,Width Without Stand,Height Without Stand,Depth Without Stand,Weight Without Stand,Warranty Summary,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,Other Connectivity Features,Audio Jacks,Other Power Features,Part Number
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2/5/2025 17:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2/5/2025 17:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frontech - 50.8 cm (20 inch) HD LED Backlit VA Panel Monitor (MON-0074),"₹2,649",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/0/t/x/mon-0074-hd-20-2024-mon-0074-frontech-original-imahfcg7gfpbrean.jpeg?q=70,https://www.flipkart.com/frontech-50-8-cm-20-inch-hd-led-backlit-va-panel-monitor-mon-0074/p/itm9e337ade78a95?pid=MONH3VBQMXCYT5SQ&lid=LSTMONH3VBQMXCYT5SQF9NE5M&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_9S0OoTNVPK2pQW7tmYmndXijYdVXH1G8kcvKpUIDOM29tYpP_A5pNe8THHgVb5EQ5AdpL-3puPt4XoxJ7hkmDg%3D%3D&ppt=None&ppn=None&ssid=ip5o4h2kr40000001738685483465&qH=08b5411f848a2581,2/5/2025 17:11,MON-0074,-,Black,50.8 cm (20 inch) LED Display,LED Backlit Backlight,VA Panel,1600 x 900 pixels,No,HD,-,"1 Monitor, 1 Power Cable, 1 Signal Cable, 1 Stand, 1 Manual",Flat,HD,-,16.7 m Colors,"60 Hz (Analog), 60 Hz (Digital)",0 Hz,16:09,"1000000:1, 1000000:1 (Dynamic)","130° (2D), 160° (3D)","90° (2D), 0° (3D)",3 ms,"250 nits (2D), 0 nits (3D)",0.276 mm,86%,"60 kHz (Analog), 60 kHz (Digital)","Slim Design, Support Wall Mountable","No, Supported by - with -",0 ms,-,-,NA,"No, 0 Speaker  with 0 W Power Output Per Speaker",No,No,No,0,NA,0,AC 180V - 255V,"24 W (Operational), 0 W (Standby)","Yes, 1 x 1.3 Port",Yes,"Yes, 15 Pin",Yes,0 x 0 Port,No,No,0 - 50° C,0 - 0° C,20 - 60° C,20 - 60 %,NA,Yes,-3 to 12 Degree,0,215 x 205 x 165 mm,No,-,NA,No,"Auto, Menu, Up, Down, Power",15 Languages,Yes,No,"Windows 11, Windows 10, Windows 8.1, Windows 8",NA,220 mm,360 mm,471 mm,3.25 kg,220 mm,356 mm,471 mm,3 kg,1 Year Warranty,Manufacturing Defects,Physical Damages will not Cover Under Warranty,1 Year,,,,
"DELL S Series 60.45 cm (23.8 inch) Full HD IPS Panel with 3-Years warranty, 99% sRGB, Low Blue Light t...","₹9,799",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/n/r/g/-original-imagyr8vrpzzgrac.jpeg?q=70,https://www.flipkart.com/dell-s-series-60-45-cm-23-8-inch-full-hd-ips-panel-3-years-warranty-99-srgb-low-blue-light-technology-hdmi-x2-tilt-adjustment-ultra-thin-bezel-monitor-s2421hnm-s2421hn/p/itm60f8947b5f259?pid=MONGYDFQTN8ZTEHG&lid=LSTMONGYDFQTN8ZTEHGUGWX0A&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_9S0OoTNVPK2pQW7tmYmndXijYdVXH1G8kcvKpUIDOM22H9uRbuNKqmQYVPPM6wDetgqzmDxwfYY_UZZxPLsdQ_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=ip5o4h2kr40000001738685483465&qH=08b5411f848a2581,2/5/2025 17:11,S2421HNM / S2421HN,S Series,Grey,60.45 cm (23.8 inch) LED Display,,IPS Panel,1920 x 1080 pixels,,Full HD,,"1 Monitor, HDMI Cable",Flat,1080p,Anti Glare,,"75 Hz (Analog), 75 Hz (Digital)",,16:09,,178° (2D),178° (2D),4 ms,,0.3114 mm,,,,No,,,,,No,Yes,,No,,,,,,"Yes, 2 x HDMI 1.4 Port",,,,,,,,,,,,,,,,,Yes,,No,,,No,No,,"LED Edgelight System, 72% NTSC (CIE 1931) Colour Gamut, BFR/PVC-free, Mercury Free, Arsenic-free Glass, Dell Easy Arrange, Dell Comfort View, Low Blue Light Technology, 3-sided Bezel Less",,,,5 kg,,,,6 kg,3 Years Warranty,Manufacturing Defects,Physical Damage,3 Year,Audio Line-out,,,
"DELL S Series 68.58 cm (27 inch) Full HD IPS Panel with 5-Years warranty, 99% sRGB, Low Blue Light tec...","₹11,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/v/t/u/-original-imagysfvjzxaegke.jpeg?q=70,https://www.flipkart.com/dell-s-series-68-58-cm-27-inch-full-hd-ips-panel-5-years-warranty-99-srgb-low-blue-light-technology-hdmi-x2-tilt-adjustment-3-sided-bezel-less-monitor-s2721hnm-s2721hn/p/itme14d367b6a471?pid=MONGYDFQE2JJHNF3&lid=LSTMONGYDFQE2JJHNF3HYP52D&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=en_9S0OoTNVPK2pQW7tmYmndXijYdVXH1G8kcvKpUIDOM1cIrDj0roKVfZa8RjlRRX6qtaB1GqyOxLpX-q-D5ACHPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=ip5o4h2kr40000001738685483465&qH=08b5411f848a2581,2/5/2025 17:11,S2721HNM / S2721HN,S Series,Grey,68.58 cm (27 inch) LED Display,,IPS Panel,1920 x 1080 pixels,,Full HD,,"1 Monitor, HDMI Cable",Flat,1080p,Anti Glare,,"75 Hz (Analog), 75 Hz (Digital)",,,,178° (2D),178° (2D),4 ms,300 nits (2D),0.3114 mm,,,,No,,,,,No,Yes,,No,,,,,,"Yes, 2 x HDMI 1.4 Port",,,,,,,,,,,,,-5 - 21 Degrees,,100 x 100 mm,VESA,Yes,,No,,,No,Yes,,"LED Edgelight System, 72% NTSC (CIE 1931) Colour Gamut, BFR/PVC-free, Mercury Free, Arsenic-free Glass, Dell Easy Arrange, Dell Comfort View, Low Blue Light Technology, 3-sided Bezel Less",,,,6.5 kg,,,,7.6 kg,5 Years Warranty,Manufacturing Defects,Physical Damage,5 Year,Audio Line-out,,,
Frontech - 50.8 cm (20 inch) HD LED Backlit VA Panel Monitor (MON-0054),"₹3,154",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/0/5/k/mon-0054-hd-20-2023-mon-0054-frontech-original-imahyrryap3ccunb.jpeg?q=70,https://www.flipkart.com/frontech-50-8-cm-20-inch-hd-led-backlit-va-panel-monitor-mon-0054/p/itm8713072821479?pid=MONGS24B7UGXAKTX&lid=LSTMONGS24B7UGXAKTXPSDLVN&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=ef6365b3-c350-4216-a5bc-875ba3c56143.MONGS24B7UGXAKTX.SEARCH&ppt=None&ppn=None&ssid=ip5o4h2kr40000001738685483465&qH=08b5411f848a2581,2/5/2025 17:11,MON-0054,-,Black,50.8 cm (20 inch) LED Display,LED Backlit Backlight,VA Panel,1600 x 900 pixels,No,HD,-,"1 Monitor, 1 Power Cable, 1 Signal Cable, 1 Stand, 1 Manual",Flat,1080p,-,16.7 m Colors,"60 Hz (Analog), 60 Hz (Digital)",0 Hz,16:09,"1000000:1, 1000000:1 (Dynamic)","130° (2D), 160° (3D)","90° (2D), 0° (3D)",5 ms,"250 nits (2D), 0 nits (3D)",0.276 mm,86%,"60 kHz (Analog), 60 kHz (Digital)","Slim Design, Support Wall Mountable","No, Supported by - with -",0 ms,-,-,NA,"No, 0 Speaker  with 0 W Power Output Per Speaker",No,No,No,0,NA,0,AC 180V - 255V,"24 W (Operational), 0 W (Standby)","Yes, 1 x 1.3 Port",Yes,"Yes, 15 Pin",Yes,0 x 0 Port,No,No,0 - 50° C,0 - 0° C,20 - 60° C,20 - 60 %,NA,Yes,-3 to 12 Degree,0,215 x 205 x 165 mm,No,-,NA,No,"Auto, Menu, Up, Down, Power",15 Languages,Yes,No,"Windows 11, Windows 10, Windows 8.1, Windows 8",NA,220 mm,360 mm,471 mm,3.25 kg,220 mm,356 mm,471 mm,3 kg,1 Year Warranty,Manufacturing Defects,Physical Damages will not Cover Under Warranty,1 Year,,,,
MarQ by Flipkart 68.58 cm (27 inch) Full HD IPS Panel Inbuilt Speakers Monitor (27FHDMEQNNXO),"₹7,899",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/d/i/m/-original-imagtdphhzehdhyb.jpeg?q=70,https://www.flipkart.com/marq-flipkart-68-58-cm-27-inch-full-hd-ips-panel-inbuilt-speakers-monitor-27fhdmeqnnxo/p/itm2bf4a30641fe6?pid=MONGQTEJJQDWJNNC&lid=LSTMONGQTEJJQDWJNNCAWZO02&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=ef6365b3-c350-4216-a5bc-875ba3c56143.MONGQTEJJQDWJNNC.SEARCH&ppt=None&ppn=None&ssid=ip5o4h2kr40000001738685483465&qH=08b5411f848a2581,2/5/2025 17:11,27FHDMEQNNXO,,White,68.58 cm (27 inch) LCD Display,,IPS Panel,1920 x 1080 pixels,,Full HD,,"1 Monitor, Stand, Base, HDMI Cable, Power Adapter, User Manual",Flat,,,,"100 Hz (Analog), 100 Hz (Digital)",,,,,,1 ms,300 Nits (2D),,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Year Warranty,Manufacturing Defects,Physical Damages,,,,,
"LG 60.45 cm (23.8 inch) Full HD IPS Panel with 3-Side Borderless Display,Tilt-able Stand, Black Stabil...","₹7,599",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/9/n/9/-original-imagyahhmczxzhqw.jpeg?q=70,https://www.flipkart.com/lg-60-45-cm-23-8-inch-full-hd-ips-panel-3-side-borderless-display-tilt-able-stand-black-stabilizer-onscreen-control-ergo-design-monitor-24mr400-ba-ctrrmv/p/itm0e25cac2a60d6?pid=MONGW4N96FVHTT7C&lid=LSTMONGW4N96FVHTT7C1RULRO&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&spotlightTagId=BestsellerId_6bo%2Fg0i%2F9no&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=ef6365b3-c350-4216-a5bc-875ba3c56143.MONGW4N96FVHTT7C.SEARCH&ppt=None&ppn=None&ssid=ip5o4h2kr40000001738685483465&qH=08b5411f848a2581,2/5/2025 17:11,24MR400-BA.CTRRMV,,Black,60.45 cm (23.8 inch) LED Display,,IPS Panel,,,Full HD,,"1 Monitor, Power Cord, HDMI Cable, Stand Body, Stand Base, Adapter, User Manual, Warranty Card",Flat,,,,"100 Hz (Analog), 60 Hz (Digital)",,16:09,,,,5 ms,200 nits (2D),,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Years Warranty,Manufacturing Defects,Physical and Water Damages,3 Year,,,,
"SAMSUNG 68.58 cm (27 inch) Full HD IPS Panel Flicker-Free, HDMI, Display Port, Bezel-less Design Flat ...","₹10,099",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/r/m/y/-original-imah8pwhqqngwh8v.jpeg?q=70,https://www.flipkart.com/samsung-68-58-cm-27-inch-full-hd-ips-panel-flicker-free-hdmi-display-port-bezel-less-design-flat-monitor-ls27c330gawxxl/p/itm242e33dfe21e9?pid=MONGYYQGEEKHQZFB&lid=LSTMONGYYQGEEKHQZFBGG8SBB&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=ef6365b3-c350-4216-a5bc-875ba3c56143.MONGYYQGEEKHQZFB.SEARCH&ppt=None&ppn=None&ssid=ip5o4h2kr40000001738685483465&qH=08b5411f848a2581,2/5/2025 17:11,LS27C330GAWXXL,,Black,68.58 cm (27 inch) LED Display,,IPS Panel,,,Full HD,,"1 Monitor, Accessory included, Power Cable (1.5M), HDMI Cable, User Manual",Flat,,,16.7 m Colors,"100 Hz (Analog), 100 Hz (Digital)",,16:09,,178° (2D),178° (2D),4 ms,250 nits (2D),,72%,,,,,,,,,,,,,,,AC 100 - 240 V,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,Yes,Windows 10,,,,,,,,,,3 Years Warranty,Manufacturing Defects,Physical Damages,3 Year,,,,
"BenQ GW2490 60.96 cm (24 inch) Full HD LED Backlit IPS Panel 99% sRGB, Eye-careU, Dual HDMI, Display P...","₹8,199",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/i/x/5/gw2490-full-hd-24-2024-gw2490-benq-original-imagy6vfbvxjjhpu.jpeg?q=70,https://www.flipkart.com/benq-gw2490-60-96-cm-24-inch-full-hd-led-backlit-ips-panel-99-srgb-eye-careu-dual-hdmi-display-port-bezel-less-eyesafe-vesa-mediasync-brightness-intelligence-low-blue-light-speakers-2wx2-wall-mountable-monitor-gw2490/p/itm4af37e8d586ae?pid=MONGXXF4ETTSY3NK&lid=LSTMONGXXF4ETTSY3NKREMWFH&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_9S0OoTNVPK2pQW7tmYmndXijYdVXH1G8kcvKpUIDOM1oR80Jgrf793juo10sLYWVKvFuUTf1glkHX1r2mXtfDcsrgPW5YLzJU0_H6_RHKR0%3D&ppt=None&ppn=None&ssid=ip5o4h2kr40000001738685483465&qH=08b5411f848a2581,2/5/2025 17:11,GW2490,GW2490,Black,60.96 cm (24 inch) LED Display,LED Backlit Backlight,IPS Panel,1920 x 1080 pixels,,Full HD,,"1 Monitor, 1.5 m Power Cord, HDMI Signal Cable, User Manual, Warranty Card",Flat,1080p,Anti-glare,16.7 m Colors,"100 Hz (Analog), 100 Hz (Digital)",,16:09,,,,5 ms,250 nits (2D),0.274 mm,99% sRGB,,,No,,,,,"Yes, 2 Speakers",Yes,,Yes,2,,,"AC 100 - 240 V, 50/60 Hz",35 W (Operational),"Yes, 2",,No,Yes,,No,Yes,,,,,,,,,,VESA,Kensington Lock,,No,,18 Languages,Yes,Yes,,,,,,,,,,,39 Months Warranty,Manufacturing Defects,Physical Damages,39 Months,,Audio In,,
