title,price,rating,reviews,image_url,product_url,collection_date,Model Name,Series,Color,Display,Backlight,Panel Type,Resolution,Screen Resolution Type,Processor,Sales Package,Screen Form Factor,HD Standard,Display Screen Coating,Number of Colors,Maximum Refresh Rate,Aspect Ratio,Contrast Ratio,Horizontal Viewing Angle,Vertical Viewing Angle,Response Time,Brightness,Pixel Pitch,Color Gamut,Horizontal Scanning Frequencies,Other Display Features,Touchscreen Support,Touch Accuracy,Touch Capabilities,Other Touchscreen Features,Speakers,Headphone Jack,Microphone Jack,Inbuilt Speaker,Number of Speakers,Other Audio Features,Power Output Per Speaker,Power Requirement,Power Consumption,Other Power Features,HDMI,VGA,Display Port,USB,Audio Out,Audio In,Other Connectivity Features,Operating Temperature,Non Operating Temperature,Storage Temperature,Other Operating Requirements,Stand,Stand Tilt,Stand Swivel,Wall Mounting,Wall Mount Standard,Security Lock Slot,Other Mounting Features,Inbuilt Webcam,Controls,Plug and Play,HDCP Support,System Requirements,Other Features,Width With Stand,Height With Stand,Depth With Stand,Weight With Stand,Width Without Stand,Height Without Stand,Depth Without Stand,Weight Without Stand,Warranty Summary,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,DVI,Audio Jacks,Maximum 3D Refresh Rate,Touch Response Time,Operating Humidity Range,OSD Languages Supported,3D,Part Number
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 16:51:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 16:51:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frontech - 43.18 cm (17 inch) HD LED Backlit VA Panel Monitor (MON-0065),"₹2,469",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/r/y/p/mon-0065-hd-17-2023-mon-0065-frontech-original-imah8nybhchfkhmy.jpeg?q=70,https://www.flipkart.com/frontech-43-18-cm-17-inch-hd-led-backlit-va-panel-monitor-mon-0065/p/itmbc6d42fed6553?pid=MONGS24EAHXVJZMQ&lid=LSTMONGS24EAHXVJZMQACRRSN&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_iBLp4v9fSAmpx75gdZbINWgG1iR-m8Vzsp-_mX4DRnpsewhvZOl5FfOo1wq7b68WCqRom06340VzckKR3kW-3w%3D%3D&ppt=None&ppn=None&ssid=wb9sxx7yu80000001739029886809&qH=08b5411f848a2581,2025-02-08 16:51:27,MON-0065,-,Black,43.18 cm (17 inch) LED Display,LED Backlit Backlight,VA Panel,1280x1024 pixels,HD,-,"1 Monitor, 1 Power Cable, 1 Signal Cable, 1 Stand, 1 Manual",Flat,1080p,-,16.7 m Colors,"60 Hz (Analog), 60 Hz (Digital)",5:4,"1000000:1, 1000000:1 (Dynamic)",130° (2D),90° (2D),5 ms,250 nits (2D),0.264 mm,sRGB,"60 kHz (Analog), 60 kHz (Digital)","Slim Design, Support Wall Mount","No, Supported by - with -",-,-,-,"No, 0 Speaker  with 0 W Power Output Per Speaker",No,No,No,0,NA,0,AC 180 - 255V,18 W (Operational),-,"Yes, 1 x 1.4 Port","Yes, 15 Pin",Yes,0 x 0 Port,No,No,-,-,-,-,-,Yes,3-12 Degree,-,215 x 205 x 165 mm,Yes,-,-,No,"Auto, Menu, Up, Down, Power",Yes,No,"Windows 10, Windows 8, Windows 7",-,370 mm,375 mm,370 mm,2.8 kg,200 mm,370 mm,370 mm,2.7 kg,1 Year Warranty,Manufacturing Defects,Physical Damages will not Cover Under Warranty,1 Year,,,,,,,,
MarQ by Flipkart 68.58 cm (27 inch) Full HD IPS Panel Inbuilt Speakers Monitor (27FHDMEQNNXO),"₹7,899",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/d/i/m/-original-imagtdphhzehdhyb.jpeg?q=70,https://www.flipkart.com/marq-flipkart-68-58-cm-27-inch-full-hd-ips-panel-inbuilt-speakers-monitor-27fhdmeqnnxo/p/itm2bf4a30641fe6?pid=MONGQTEJJQDWJNNC&lid=LSTMONGQTEJJQDWJNNCAWZO02&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=96659f01-4085-4c41-b099-1a33ec71a830.MONGQTEJJQDWJNNC.SEARCH&ppt=None&ppn=None&ssid=wb9sxx7yu80000001739029886809&qH=08b5411f848a2581,2025-02-08 16:51:27,27FHDMEQNNXO,,White,68.58 cm (27 inch) LCD Display,,IPS Panel,1920 x 1080 pixels,Full HD,,"1 Monitor, Stand, Base, HDMI Cable, Power Adapter, User Manual",Flat,,,,"100 Hz (Analog), 100 Hz (Digital)",,,,,1 ms,300 Nits (2D),,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Year Warranty,Manufacturing Defects,Physical Damages,,,,,,,,,
"SAMSUNG 60.96 cm (24 inch) Full HD IPS Panel Flicker-Free, HDMI, Display Port, Bezel-less Design Flat ...","₹7,699",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/q/6/9/-original-imah8pwhvz2tzucv.jpeg?q=70,https://www.flipkart.com/samsung-60-96-cm-24-inch-full-hd-ips-panel-flicker-free-hdmi-display-port-bezel-less-design-flat-monitor-ls24c330gawxxl/p/itm242e33dfe21e9?pid=MONGYYQGKSZJTEBP&lid=LSTMONGYYQGKSZJTEBPM0MVH1&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&spotlightTagId=BestsellerId_6bo%2Fg0i%2F9no&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=96659f01-4085-4c41-b099-1a33ec71a830.MONGYYQGKSZJTEBP.SEARCH&ppt=None&ppn=None&ssid=wb9sxx7yu80000001739029886809&qH=08b5411f848a2581,2025-02-08 16:51:27,LS24C330GAWXXL,,Black,60.96 cm (24 inch) LED Display,,IPS Panel,,Full HD,,"1 Monitor, Accessory included, Power Cable (1.5M), HDMI Cable, User Manual",Flat,,,16.7 m Colors,"100 Hz (Analog), 100 Hz (Digital)",16:09,,178° (2D),178° (2D),4 ms,250 nits (2D),,72%,,,,,,,,,,,,,,AC 100 - 240 V,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,Yes,Windows 10,,,,,,,,,,3 Years Warranty,Manufacturing Defects,Physical Damages,3 Year,,,,,,,,
MarQ by Flipkart 68.58 cm (27 inch) Full HD LED Backlit VA Panel Monitor (27FHDMMQTT9B),"₹6,499",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/m/n/w/-original-imah4vd2wfp74j7k.jpeg?q=70,https://www.flipkart.com/marq-flipkart-68-58-cm-27-inch-full-hd-led-backlit-va-panel-monitor-27fhdmmqtt9b/p/itm3fc7d8f0c0c51?pid=MONGYS8DGZAMY3GQ&lid=LSTMONGYS8DGZAMY3GQZU81W9&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=96659f01-4085-4c41-b099-1a33ec71a830.MONGYS8DGZAMY3GQ.SEARCH&ppt=None&ppn=None&ssid=wb9sxx7yu80000001739029886809&qH=08b5411f848a2581,2025-02-08 16:51:27,27FHDMMQTT9B,,Black,68.58 cm (27 inch) LCD Display,LED Backlit Backlight,VA Panel,1920 x 1080 pixels,Full HD,,"Monitor, Stand, Base, HDMI Cable, Power Adapter, User Manual",Flat,,,16.7 m Colors,"100 Hz (Analog), 100 Hz (Digital)",16:09,,178° (2D),,5 ms,250 nits (2D),,,,"Anti-glare, Anti-flicker",No,,,,No,No,No,No,,,,,,,"Yes, 1 x HDMI 1.4 Port","Yes, D-sub 15 pin",No,,No,No,,,,,,,,,,VESA,,,No,,,,,,,,,,,,,,1 Year Warranty,Manufacturing Defects,Physical Damages,,No,,,,,,,
ZEBRONICS 81.28 cm (32 inch) Curved Full HD VA Panel Wall Mountable Monitor (ZEB -AC32FHD LED),"₹11,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/d/s/x/zeb-ac32fhd-led-full-hd-32-2022-zeb-ac32fhd-zebronics-original-imagydzpqfy3tvaq.jpeg?q=70,https://www.flipkart.com/zebronics-81-28-cm-32-inch-curved-full-hd-va-panel-wall-mountable-monitor-zeb-ac32fhd-led/p/itmd0bf3471b1e6f?pid=MONGD4AF6HGGRHCT&lid=LSTMONGD4AF6HGGRHCTBR05JC&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=96659f01-4085-4c41-b099-1a33ec71a830.MONGD4AF6HGGRHCT.SEARCH&ppt=None&ppn=None&ssid=wb9sxx7yu80000001739029886809&qH=08b5411f848a2581,2025-02-08 16:51:27,ZEB -AC32FHD LED,,White,81.28 cm (32 inch) LED Display,,VA Panel,1920x1080 pixels,Full HD,,Monitor-1 unit,Curved,,,16.7 m Colors,"75 Hz (Analog), 75 Hz (Digital)",16:9,500000:1 (Dynamic),178° (2D),178° (2D),8 ms,250 nits (2D),0.3637 mm,,,,,,,,,,,,,,,,50 W (Standby),,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,715 mm,515 mm,8 mm,5 kg,,,,,Three year carry into service centre,Manufacturing defect,Any physical damage or accessories,3 Year,,,,,,,,
MarQ by Flipkart 55.88 cm (22 inch) Full HD LED Backlit IPS Panel Monitor (22FHDMEQNNXO),"₹5,899",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/g/r/5/office-monitor-full-hd-22-2024-22fhdmeqnnxo-marq-by-flipkart-original-imahfqfgvmcngf5u.jpeg?q=70,https://www.flipkart.com/marq-flipkart-55-88-cm-22-inch-full-hd-led-backlit-ips-panel-monitor-22fhdmeqnnxo/p/itm811e8a6ec45d2?pid=MONGYS8D3BHSKUMG&lid=LSTMONGYS8D3BHSKUMGX5S6GV&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=96659f01-4085-4c41-b099-1a33ec71a830.MONGYS8D3BHSKUMG.SEARCH&ppt=None&ppn=None&ssid=wb9sxx7yu80000001739029886809&qH=08b5411f848a2581,2025-02-08 16:51:27,22FHDMEQNNXO,,White,55.88 cm (22 inch) LCD Display,LED Backlit Backlight,IPS Panel,1920 x 1080 pixels,Full HD,,"Monitor, Stand, Base, HDMI Cable, Power Adapter, User Manual",Flat,,,16.7 m Colors,"100 Hz (Analog), 100 Hz (Digital)",16:09,,178° (2D),,1 ms,300 nits (2D),,,,"Anti-glare, Anti-flicker",No,,,,No,Yes,No,No,,,,,,,"Yes, 1 x HDMI 1.4 Port",Yes,No,,Yes,No,,,,,,,,,,VESA,,,No,,,,,,,,,,,,,,1 Year Warranty,Manufacturing Defects,Physical Damages,,No,Audio Out,,,,,,
MarQ by Flipkart 60.96 cm (24 inch) Full HD IPS Panel Inbuilt Speakers Monitor (24FHDMEQNNXO),"₹6,799",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/j/q/e/-original-imagtdphdh2jcfqy.jpeg?q=70,https://www.flipkart.com/marq-flipkart-60-96-cm-24-inch-full-hd-ips-panel-inbuilt-speakers-monitor-24fhdmeqnnxo/p/itmaf882539be36e?pid=MONGQTEJZA4CEZPP&lid=LSTMONGQTEJZA4CEZPPYC4MNA&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=96659f01-4085-4c41-b099-1a33ec71a830.MONGQTEJZA4CEZPP.SEARCH&ppt=None&ppn=None&ssid=wb9sxx7yu80000001739029886809&qH=08b5411f848a2581,2025-02-08 16:51:27,24FHDMEQNNXO,,White,60.96 cm (24 inch) LCD Display,,IPS Panel,1920 x 1080 pixels,Full HD,,"1 Monitor, Stand, Base, HDMI Cable, Power Adapter, User Manual",Flat,,,,"100 Hz (Analog), 100 Hz (Digital)",,,,,1 ms,300 Nits (2D),,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Year Warranty,Manufacturing Defects,Physical Damages,,,,,,,,,
Frontech - 48.26 cm (19 inch) HD LED Backlit VA Panel Monitor (MON-0001),"₹2,750",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/r/v/g/mon-0001-hd-19-2023-mon-0001-frontech-original-imah95dynvxxmfv6.jpeg?q=70,https://www.flipkart.com/frontech-48-26-cm-19-inch-hd-led-backlit-va-panel-monitor-mon-0001/p/itm3371e2754e15b?pid=MONGS24CMA2KJYQX&lid=LSTMONGS24CMA2KJYQXWJK85K&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=96659f01-4085-4c41-b099-1a33ec71a830.MONGS24CMA2KJYQX.SEARCH&ppt=None&ppn=None&ssid=wb9sxx7yu80000001739029886809&qH=08b5411f848a2581,2025-02-08 16:51:27,MON-0001,-,Black,48.26 cm (19 inch) LED Display,LED Backlit Backlight,VA Panel,1440 x 900 pixels,HD,-,"1 Monitor, 1 Stand, 1 Unit Power Cable, 1 Unit HDMI Cable, Quick Setup Guide, Warranty Card",Flat,HD,-,16.7 m Colors,"75 Hz (Analog), 75 Hz (Digital)",16:09,"5000000:1, 5000000:1 (Dynamic)","150° (2D), 0° (3D)","130° (2D), 0° (3D)",3 ms,"250 nits (2D), 0 nits (3D)",0.2835 mm,sRGB,"75 kHz (Analog), 75 kHz (Digital)","Slim Design, Support Wall Mountable","No, Supported by 0 with 0",0,0,-,"No, 0 Speaker  with 0 W Power Output Per Speaker",No,No,No,0,NA,0,AC 180 - 255V,"21 W (Operational), 0 W (Standby)",-,"Yes, 1 x 1.4 Port","Yes, 15 Pin",Yes,0,No,No,NA,0 - 50° C,0 - 0° C,20 - 60° C,-,Yes,0,0,215 x 205 x 165 mm,-,-,-,No,"Auto, Menu, Up, Down, Power",Yes,No,"Windows 10, Windows 8, Windows 10",NA,350 mm,259 mm,20 mm,0.8 kg,352 mm,260 mm,21 mm,0.8 kg,1 Year Warranty,Manufacturing Defects,Physical Damages will not Cover Under Warranty,1 Year,,,0 Hz,0 ms,20 - 60 %,0 Languages,,
