title,price,rating,reviews,image_url,product_url,collection_date,Sales Package,Model Number,Model Name,Dial Color,Dial Shape,Strap Color,Strap Material,Size,Touchscreen,Water Resistant,Usage,Dial Material,Ideal For,Compatible OS,Brand Strap Color,Closure,Sensor,Compatible Device,Notification,Notification Type,Charge Time,Battery Life,Rechargeable Battery,Charger Type,Call Function,Bluetooth,Messaging Support,Email Support,Operating Range,Call Features,Display Resolution,Display Size,Scratch Resistant,Calorie Count,Step Count,Heart Rate Monitor,Date & Time Display,Calendar,Alarm Clock,Speaker,Microphone,Gesture Control,Voice Control,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,Water Resistance Depth,Maximum Operating Altitude,Talk time,Battery Type,Stand By Time,Other Features,Operating System,RAM,Number of Cores,Processor Name,Processor Speed,Internal Memory,Expandable Memory,Wi-Fi,GPS,Bluetooth Version,Third Party App Support,Other Connectivity Features,Display Type,Flash,Primary Camera,Other Camera Features,Backlight Display,Other Display Features,Altimeter,Other Fitness Features,Compass,Chronograph,Language,Number of Buttons,Other Watch Functions,Audio Features,Supported Audio Format,Video Features,Supported Video Format,Speaker Volume,HD Recording,HD Playback,Other Multimedia Features,Width,Height,Thickness,Diameter,Weight,Other Dimensions,International Warranty,Compatible Operating System
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-01 01:13:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-01 01:13:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noise Colorfit Icon 2 1.8'' Display with Bluetooth Call...,"₹1,099",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/s/i/u/-original-imah76jt64ffmwg4.jpeg?q=70,https://www.flipkart.com/noise-colorfit-icon-2-1-8-display-bluetooth-calling-ai-voice-assistant-smartwatch/p/itmd4cd819eadb9f?pid=SMWGEH7VGYMGCP3V&lid=LSTSMWGEH7VGYMGCP3VOS17SZ&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_1_1&otracker=search&fm=organic&iid=en_F22S1NYkWpAkVXlLJknehfp9JfScFGbiyERbvC4P0w4fpznLbwkqGN5wyF6e44QW6ETLF2gOzr9gjZEtpsC6UQ%3D%3D&ppt=None&ppn=None&ssid=38fz4n4icg0000001738368814082&qH=87968ec020b2016b,2025-02-01 01:13:36,"Smartwatch, Magnetic Charger, User Manual, Warranty Card",wrb-sw-colorfiticon2-std-blk_blk,"Colorfit Icon 2 1.8'' Display with Bluetooth Calling, AI Voice Assistant",Black,Rectangle,Black,Silicone,Regular,Yes,Yes,Fitness & Outdoor,Polycarbonate,Men & Women,Android & iOS,Black,Buckle,"Heart Rate, SpO2","iPhone, Android Smartphones","Smart Notifications (Calls, Text, Email, Social Media App Alerts, Weather), Alarm Clock, Calendar Alerts)",Vibration,2 hours,Upto 7 days,Yes,Magnetic Charger,Yes,Yes,Yes,Yes,10 m,"Reject Calls, Take Calls, Speed Dial",240 x 286 pixel,1.8 inch,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Change Music, Answer Calls",Yes,1 Year Manufacturer Warranty,Contact - productfeedback@nexxbase.com | support.gonoise.com | +91 8882132132,Manufacturing Defects,Physical Damage,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satyam TRADERS T800 \ S8 ULTRA SMARTWATCH Smartwatch,₹386,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/n/q/u/49-ultra-800-smart-watch-android-ios-satyam-traders-yes-original-imagy3rnbkxb8f2m.jpeg?q=70,https://www.flipkart.com/satyam-traders-t800-s8-ultra-smartwatch/p/itm5c1ec2137ebcb?pid=SMWGVHT9CDHRBAF9&lid=LSTSMWGVHT9CDHRBAF97U0ZUL&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_1_5&otracker=search&fm=organic&iid=731b3078-e2f8-440b-bf71-91ff6fd61526.SMWGVHT9CDHRBAF9.SEARCH&ppt=None&ppn=None&ssid=38fz4n4icg0000001738368814082&qH=87968ec020b2016b,2025-02-01 01:13:36,"Smart watch, Wireless Charger,Strap",ULTRA -800 SMART WATCH,T800 \ S8 ULTRA SMARTWATCH,Black,Square,Orange,Silicone,Free Size,Yes,Yes,Watchphone,Aluminium,Men & Women,Android & iOS,Orange,Belt,"Accelerometer, Gyroscope, Proximity Sensor",Android & IOS,"Calendar Reminder, Missed Call Notification, Call Notifications: Receive alerts for incoming calls directly on your smartwatch, allowing you to quickly answer or decline calls without reaching for your phone., Text Message Notifications: Stay informed about new text messages and chat notifications from messaging apps like WhatsApp, Messenger, and SMS, directly on your wrist., Email Notifications: Get instant notifications for new emails, allowing you to stay updated on important messages and respond promptly when necessary., App Notifications: Receive notifications from your favorite apps and social media platforms, including Facebook, Twitter, Instagram, and more, ensuring you never miss important updates or alerts., Alarm Notifications: Set alarms and reminders directly from your smartwatch, with vibrating alerts to wake you up or notify you of important tasks throughout the day.","Ringer,, Vibration",60 min,3 Days,Yes,Magnetic Charger,Yes,Yes,Yes,Yes,40 m,"Mute Calls, Reject Calls, Take Calls, Speed Dial, Call Notifications: Receive alerts for incoming calls directly on your smartwatch, allowing you to quickly answer or decline calls without reaching for your phone., Text Message Notifications: Stay informed about new text messages and chat notifications from messaging apps like WhatsApp, Messenger, and SMS, directly on your wrist., Email Notifications: Get instant notifications for new emails, allowing you to stay updated on important messages and respond promptly when necessary., App Notifications: Receive notifications from your favorite apps and social media platforms, including Facebook, Twitter, Instagram, and more, ensuring you never miss important updates or alerts., Calendar Reminders: Stay on top of your schedule with calendar reminders and event notifications, helping you remember appointments, meetings, and important dates.",320 x 320 pixel,49 44,Yes,Yes,Yes,Yes,Date & Time,Yes,Yes,Yes,Yes,"Change Music, Answer Calls, Music Control: Control your music playback directly from your wrist, whether you're jogging, working out, or simply enjoying your favorite tunes on the go., Remote Camera Control: Capture the perfect selfie or group photo with ease using the remote camera control feature, enabling you to snap photos from your smartphone camera with a simple tap on your smartwatch., Notifications: Stay updated and connected at all times with customizable notifications for emails, social media alerts, calendar reminders, and more, ensuring you never miss important updates or appointments.",No,NA,NA,NA,NA,1 Months,10 m,10 m,72 hr,Lithium Ion,72 hr,"Notification Actions: Take action on notifications directly from your smartwatch, such as responding to messages, dismissing alerts, or snoozing reminders, for added convenience and efficiency.",Android,128 MB,2,AS800,800,256 MB,1 GB,Yes,Yes,5.1,App Mentions in manual,"Customizable Notifications: Customize notification settings to prioritize important alerts and mute or filter out less critical notifications, ensuring you stay focused and productive.",AMOLED,Amoled,1 MP,NA,Yes,"Customizable Display: Personalize your smartwatch experience with the customizable touchscreen display, allowing you to choose from a variety of watch faces and adjust settings to suit your preferences",Yes,"Activity Tracking: Monitor your daily steps, distance traveled, and calories burned to stay on top of your fitness goals., Heart Rate Monitoring: Keep track of your heart rate throughout the day and during workouts to optimize your training intensity and ensure cardiovascular health., Sleep Tracking: Analyze your sleep patterns, including duration and quality, to improve sleep habits and overall well-being., Workout Modes: Access a variety of workout modes tailored to different activities such as running, cycling, swimming, and more, with real-time tracking of performance metrics.",Yes,Yes,English,3,"Multi-Sport Modes: Whether you're running, cycling, or practicing yoga, the T800 offers multi-sport modes tailored to your preferred activity, providing real-time metrics to optimize your performance., Call & Message Alerts: Never miss an important call or message again, as the T800 Smartwatch delivers instant notifications directly to your wrist, keeping you connected and informed on the go.",Yes,Mp4,Yes,Mp4,12 dB,HD,HD,Emergency SOS Alerts,10 mm,10 mm,10 mm,10 mm,100 g,10x10x10,1 Months,
HLMT Teenagers LED Luxurious Fashion Silicone Digital W...,₹279,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/4/k/1/34-blue-smart-watch-for-kids-android-hlmt-no-original-imahft9hyw3tpkh7.jpeg?q=70,https://www.flipkart.com/hlmt-teenagers-led-luxurious-fashion-silicone-digital-watch-not-smart-watch-smartwatch/p/itmf853564db18a8?pid=SMWGT3FUXGYZVAA4&lid=LSTSMWGT3FUXGYZVAA4PN1MZG&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_1_9&otracker=search&fm=organic&iid=731b3078-e2f8-440b-bf71-91ff6fd61526.SMWGT3FUXGYZVAA4.SEARCH&ppt=None&ppn=None&ssid=38fz4n4icg0000001738368814082&qH=87968ec020b2016b,2025-02-01 01:13:36,1,Blue Smart Watch For Kids,Teenagers LED Luxurious Fashion Silicone Digital Watch (Not smart watch),BLACK,Rectangle,Blue,Rubber,Free Size,Yes,No,Fitness & Outdoor,,Kids,Android,Blue,,NA,,,,,6 Months,,,No,No,No,,,,No pixel,34 mm,Yes,,,No,,,No,no,,,,,,,,6 Months,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,22 mm,,10 mm,35 mm,50 g,,6 Months,
"GameSir Black T800 Ultra Smartwatch Stainless Steel, BT...",₹747,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/8/1/s/40-t800-ultra-metal-black-android-ios-gamesir-yes-original-imah7n5dj2n5w5zr.jpeg?q=70,https://www.flipkart.com/gamesir-black-t800-ultra-smartwatch-stainless-steel-bt-calling-fitness-music/p/itmefd278ed744b5?pid=SMWH78HHFPGSTQHW&lid=LSTSMWH78HHFPGSTQHWRGDQ8P&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_1_13&otracker=search&fm=organic&iid=731b3078-e2f8-440b-bf71-91ff6fd61526.SMWH78HHFPGSTQHW.SEARCH&ppt=None&ppn=None&ssid=38fz4n4icg0000001738368814082&qH=87968ec020b2016b,2025-02-01 01:13:36,1 Smart watch,T800 Ultra Metal Black,"Black T800 Ultra Smartwatch Stainless Steel, BT Calling, Fitness & Music",Black,Rectangle,Black,Stainless steel,Regular Size,Yes,Yes,"Health & Medical, Fitness & Outdoor, Notifier, Watchphone, Safety & Security",Amoled Display,Men & Women,Android & iOS,Black Metal,Clip-on,Heartbeat | Fitness Tracking | BP Monitoring | Sleep Detection,All Smart Phones & iOS,Call & Message Notifications | Alarm & Reminder | Social media Notification,Vibrate and ringing,100 min,2 to 3 Days | Depend on uses,Yes,Wireless Charger,Yes,Yes,Yes,Yes,10 m,Take Calls Reject | Missed Calls | Dial Pad | Contacts,360*360 pixel,40 mm,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Make Calls | Answer Calls | Mute Rejects Calls | Missed calls | Contacts,Yes,3 month warranty,Carry on Warranty - ircinnovations@gmail.com,Manufacturing Defects,Physical Damage,3 Months,0.5 m,10 m,8 hr,Lithium Polymer,72 hr,"IP67 waterproof protection, Stay connected with Bluetooth calling, easy to manage your calls directly from your Smart watch, this Smart watch covered yoga or gym workouts, 100 dynamic watch faces to match your style and 100+ sports modes for accurate tracking activities. health monitoring, fitness tracking and heart rate monitoring. This smartwatch is designed to support your active lifestyle and help you achieve your wellness goals",Android and ios,1 GB,Dual core,,,512 MB,,No,No,5.0,Hi Watch,Aap & Bluetooth,AMOLED,Yes,,Remote camera,Yes,Touchscreen Interface | Customizable Watch Faces | Adjustable Brightness Levels | Adjustable Brightness Levels | Always-On Display Option | High Resolution,No,Heart rate | Blood pressure | Blood oxygen | Time display | Step counting | Calories Distance,No,No,Multi language,3,Fitness Tracking | Heart Rate Monitoring | Weather Forecast,"Clear voice, Better Speaker Quality",Mp3,,,10 dB,,,Music controlMake call and received callApp notificationsCamera control,,,,,,Standard,0 Months,
AOKO New T800 Ultra Watch Smartwatch,₹539,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/q/y/s/49-new-t800-ultra-android-aoko-yes-original-imah8ubgzxgh7zac.jpeg?q=70,https://www.flipkart.com/aoko-new-t800-ultra-watch-smartwatch/p/itm296d8a0bc48fc?pid=SMWGTHRMUHJHHPUA&lid=LSTSMWGTHRMUHJHHPUADKCTDF&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_1_17&otracker=search&fm=organic&iid=en_F22S1NYkWpAkVXlLJknehfp9JfScFGbiyERbvC4P0w5AHqDw-aMkx5JoCcpB2Mz4gCSRo9OuWXTbAhy_Ex4nUA%3D%3D&ppt=None&ppn=None&ssid=38fz4n4icg0000001738368814082&qH=87968ec020b2016b,2025-02-01 01:13:36,Users manual Watch Strap Wireless Charger 1 smartwatch,New t800 Ultra,New T800 Ultra Watch,Silver,Square,Orange,Silicone,For All,Yes,Yes,Fitness & Outdoor,Metal,Men & Women,Android,Orange,SMARTWATCH,Heart Rate Monitor Step Count Multiple sports Features,,,,,4 year,,,Yes,Yes,,,10 m,yes,1024 pixel pixel,49 mm,Yes,,,,YES,,,,,,,,,,,,0.5 m,4500 m,7 hr,,48 hr,,ANDROID,,DUAL CORE,,,,,,,,,,AMOLED,,,NA,,big display of 1.99 Inches Size,,,,,,,SMARTWATCH,,,,,,,,,,,,,,,,
JOKIN T800 Ultra smartwatch Bluetooth Call Fitness Brac...,₹649,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/i/0/n/1-99-android-ios-t800-ultra-biggest-display-smart-watch-with-bt-original-imagppngk3nfwv7n.jpeg?q=70,https://www.flipkart.com/jokin-t800-ultra-smartwatch-bluetooth-call-fitness-bracelet-magnetic-charging-g4/p/itm3f3dd6ee2c869?pid=SMWGQMWQCG3TGCJP&lid=LSTSMWGQMWQCG3TGCJPIWLBBH&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_1_21&otracker=search&fm=organic&iid=en_F22S1NYkWpAkVXlLJknehfp9JfScFGbiyERbvC4P0w4GTWKw-zQk1iVmwm7dwIs5-Sr26Q-m8nXBuMw3SCo7yw%3D%3D&ppt=None&ppn=None&ssid=38fz4n4icg0000001738368814082&qH=87968ec020b2016b,2025-02-01 01:13:36,"1 Smartwatch, Strap, 1 Wireless Charger",T800 Ultra smartwatch Bluetooth Call Fitness Bracelet Magnetic Charging G4,T800 Ultra smartwatch Bluetooth Call Fitness Bracelet Magnetic Charging G4,Silver,Square,Orange,Silicone,Free Size,Yes,No,"Fitness & Outdoor, Health & Medical, Notifier, Watchphone",Metal,Men & Women,Android & iOS,Orange,,"Accelerometer, Gyroscope, Proximity Sensor",,yes,Vibrate,120 min,3 days,Yes,Wireless Charger,Yes,Yes,Yes,,10 m,BT Calling,1080 pixel,49 mm,Yes,Yes,Yes,Yes,yes,Yes,Yes,yes,yes,,Yes,,,,,,10 m,,,Lithium Ion,,,,,,,,,,,,4,,"Multi-functions: Step counting, distance measurement, calorie consumption management, sleep monitoring, time display, incoming call reminder, intelligent alarm clock, heart rate, blood pressure, blood oxygen, intelligent remote control camera, prevent the loss, information push (WeChat, QQ, SMS, Facebook, Twitter), event reminder.",HD,,,,Yes,"1.99 inch Large TFT screen with 320*386 pixels offers a very clear display with super bright colors., Bright Screen Time Setting: Support, Set in the App. Can set 5s, 10s, and 15s to automatically turn off the screen.",,,Yes,,Multi Language,3,,,,,,,,,,,,,,,,,
TECHMAZE T500 Smart Watch Bluetooth Calling Full Touch ...,₹499,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/f/m/b/1-33-a139-t500-smart-watch-with-bluetooth-calling-heart-rate-original-imagmesnvrhuh8rn.jpeg?q=70,https://www.flipkart.com/techmaze-t500-smart-watch-bluetooth-calling-full-touch-display-t487-smartwatch/p/itmb0872e1b4241e?pid=SMWGRWYS2GWHGDEH&lid=LSTSMWGRWYS2GWHGDEH6SRSFP&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_1_25&otracker=search&fm=organic&iid=731b3078-e2f8-440b-bf71-91ff6fd61526.SMWGRWYS2GWHGDEH.SEARCH&ppt=None&ppn=None&ssid=38fz4n4icg0000001738368814082&qH=87968ec020b2016b,2025-02-01 01:13:36,1 Smart Watch,T500 Smart Watch ||fitness tracker||bluetooth smartwatch||Wrist Watch Phone T487,T500 Smart Watch Bluetooth Calling Full Touch Display T487,,Square,Black,Rubber,Free Size,Yes,Yes,Fitness & Outdoor,Stainless Steel,Men & Women,Android & iOS,Black,,"Accelerometer, Gyroscope, Proximity Sensor","Android, IOS",,,,8 Hours,,,No,Yes,,,,,315*309 pixel,44 mm,,,,,,,,,,,,,,,,,1 m,,48 hr,,,,,,,,,,,,,,,,,,,,,"The T500 Smart watch has a high definition 1.54 inch IPS LCD, with 240 x 240 pixel resolution., It has a full touch screen method of operation. And with sharp, vivid graphic display. The screen is protected by a 2.5D tempered glass that goes all the way to the side, showing a very slim bezel.",,,,,,,,,,,,,,,,,,,,,,,
TECHMAZE T500 Smart Watch Bluetooth Calling Full Touch ...,₹555,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/v/s/6/1-33-udz-225o-t500-smart-watch-compatiable-with-all-smartphones-original-imagh4z2ngh4v6vs.jpeg?q=70,https://www.flipkart.com/techmaze-t500-smart-watch-bluetooth-calling-full-touch-display-t86-smartwatch/p/itm74e8cbba02586?pid=SMWGRWYSFHPBMYNZ&lid=LSTSMWGRWYSFHPBMYNZMP520V&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_1_29&otracker=search&fm=organic&iid=731b3078-e2f8-440b-bf71-91ff6fd61526.SMWGRWYSFHPBMYNZ.SEARCH&ppt=None&ppn=None&ssid=38fz4n4icg0000001738368814082&qH=87968ec020b2016b,2025-02-01 01:13:36,1 Smart Watch,T500 Smart Watch ||fitness tracker||bluetooth smartwatch||Wrist Watch Phone T86,T500 Smart Watch Bluetooth Calling Full Touch Display T86,,Square,Black,Rubber,Free Size,Yes,Yes,Fitness & Outdoor,Stainless Steel,Men & Women,Android & iOS,Black,,"Accelerometer, Gyroscope, Proximity Sensor","Android, IOS",,,,8 Hours,,,No,Yes,,,,,315*309 pixel,44 mm,,,,,,,,,,,,,,,,,1 m,,48 hr,,,,,,,,,,,,,,,,,,,,,"The T500 Smart watch has a high definition 1.54 inch IPS LCD, with 240 x 240 pixel resolution., It has a full touch screen method of operation. And with sharp, vivid graphic display. The screen is protected by a 2.5D tempered glass that goes all the way to the side, showing a very slim bezel.",,,,,,,,,,,,,,,,,,,,,,,
