title,price,rating,reviews,image_url,product_url,collection_date,Sales Package,Model Number,Model Name,Dial Shape,Strap Color,Strap Material,Size,Touchscreen,Water Resistant,Water Resistance Depth,Usage,Dial Material,Ideal For,Compatible OS,Brand Strap Color,Closure,Sensor,Notification,Notification Type,Battery Type,Charge Time,Battery Life,Rechargeable Battery,Charger Type,Other Features,Call Function,Bluetooth,Wi-Fi,GPS,Messaging Support,Bluetooth Version,Operating Range,Call Features,Third Party App Support,Display Resolution,Display Size,Display Type,Other Camera Features,Backlight Display,Scratch Resistant,Other Display Features,Calorie Count,Step Count,Heart Rate Monitor,Altimeter,Other Fitness Features,Date & Time Display,Compass,Calendar,Alarm Clock,Chronograph,Language,Number of Buttons,Other Watch Functions,Speaker,Microphone,Audio Features,Gesture Control,Voice Control,Other Multimedia Features,Width,Height,Thickness,Weight,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,Dial Color,Maximum Operating Altitude,Compatible Device,Talk time,Stand By Time,Operating System,RAM,Internal Memory,Email Support,Other Connectivity Features,Flash,Supported Audio Format,Speaker Volume,International Warranty,Number of Cores,Processor Name,Other Dimensions,Processor Speed,Compatible Operating System,Primary Camera,Diameter,Video Features,Expandable Memory,Supported Video Format,HD Recording,HD Playback
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:30:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:30:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fastrack Revoltt X-1.83'|Blazing Fast UI|Single Sync BT...,₹999,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/t/v/z/-original-imah63b2hzuzehaf.jpeg?q=70,https://www.flipkart.com/fastrack-revoltt-x-1-83-blazing-fast-ui-single-sync-bt-calling-calculator-in-built-games-smartwatch/p/itm94d55d2118343?pid=SMWH3PYKY7UFNZCW&lid=LSTSMWH3PYKY7UFNZCWF5XA3W&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_1_1&otracker=search&fm=organic&iid=en_xnscYzKrUaPegXD46pe_hSBO67KKBVf6PYbdiwOBfrC2sjAcSxjzoF0zJDONSIT6qDOxq9c5ZDtpIPEMCUHwcg%3D%3D&ppt=None&ppn=None&ssid=9kmqrt8qr40000001738524630964&qH=87968ec020b2016b,2025-02-02 20:30:31,"Watch Head, Watch Strap, Charging Cable, Quick Start Guide, Product Manual",38100PP06K,Revoltt X-1.83'|Blazing Fast UI|Single Sync BT Calling|Calculator|In-built games,Square,Black,Silicone,Free Size,Yes,Yes,1 m,Fitness & Outdoor,Polycarbonate,Men & Women,Android & iOS,Black,Buckle,Heart Rate & SpO2,"Call Notifications , Call Answer & Reject, Call Mute, Social Media Notifications, SMS Notifictaions, Other App Notification",Ring and Vibration,Lithium Polymer,150 min,Upto 5 Days,Yes,Pogo Pin Charging Cable,"Large 1.83"" UltraVU Display, SingleSync BT Calling, 85+ Multisports, Sleep Monitor, Stress Monitor, 24x7 HRM, SpO2, Womens Health, Breathe Exercise, Music & Camera Control, Calculator, Alarm, Stopwatch & Timer, IP67 Water Resistance, 100+ Watchfaces, 7 Days Battery",Yes,Yes,No,No,Yes,v5.3,10 m,"Call Answer, Call Reject, Call Mute, Call Notifications",Not Supported,240 x 286 Pixels,46.4 mm,LCD,Camera Control,Yes,No,450 Nits Brightness,Yes,Yes,Yes,No,"Stress Monitor, 24x7 HRM, SpO2, Sleep Tracker, Women's Health, Activity Tracker, 85+ Multisports",Yes,No,Yes,Yes,No,English,1,"Alarm, Stopwatch, Timer",Yes,Yes,Music Control,No,No,Music Control,37.22 mm,45.22 mm,11.34 mm,40 g,1 Year Limited warranty,Titan customer care at 1800-266-0123 or email us at customercare@titan.co.in,Manufacturing Defects,Physical Damage,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,
"beatXP Unbound Neo 1.8"" Super AMOLED Display, BT Callin...",₹999,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/f/c/2/45-72-bxio3001-bxsm3001-android-ios-beatxp-yes-original-imagymykg87rd6p2.jpeg?q=70,https://www.flipkart.com/beatxp-unbound-neo-1-8-super-amoled-display-bt-calling-500nits-brightness-smartwatch/p/itm3f6a3dcb89d27?pid=SMWGN9HQBYG3GVSX&lid=LSTSMWGN9HQBYG3GVSXLHNQJS&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_1_5&otracker=search&fm=organic&iid=321c30d6-360f-4c59-9b2e-7d50c9ba9a69.SMWGN9HQBYG3GVSX.SEARCH&ppt=None&ppn=None&ssid=9kmqrt8qr40000001738524630964&qH=87968ec020b2016b,2025-02-02 20:30:31,"Smartwatch, Charging Cable, User's Manual, Warranty Card, Offer Card, Features Card",BXIO3001/BXSM3001,"Unbound Neo 1.8"" Super AMOLED Display, BT Calling, 500nits Brightness",Rectangle,Black,Silicone,Free Size,Yes,Yes,,Fitness & Outdoor,,Men & Women,Android & iOS,Electric Black,,Health & SpO2 Monitoring,,,,,Upto 5 Days,,,,Yes,Yes,,,,,,,,368*448 pixel,45.72 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GameSir I8 Pink-A1 Full Screen Touch Watch Specially Ma...,₹511,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/o/b/a/39-i8-pink-a1-69-android-ios-gamesir-yes-original-imah8pxzjczmtncb.jpeg?q=70,https://www.flipkart.com/gamesir-i8-pink-a1-full-screen-touch-watch-specially-made-girl-women-smartwatch/p/itm58f97c3e23277?pid=SMWHFG3KTCFTRSC2&lid=LSTSMWHFG3KTCFTRSC2HZ5V5L&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_1_9&otracker=search&fm=organic&iid=321c30d6-360f-4c59-9b2e-7d50c9ba9a69.SMWHFG3KTCFTRSC2.SEARCH&ppt=None&ppn=None&ssid=9kmqrt8qr40000001738524630964&qH=87968ec020b2016b,2025-02-02 20:30:31,Watch + Charger,I8 Pink-A1-69,I8 Pink-A1 Full Screen Touch Watch Specially Made for Girl & Women,Rectangle,Pink,Silicone,1.75 Inch Full Screen Display Notifications smartwatch,Yes,No,0.5 m,Fitness & Outdoor,TFT IPS,Women,Android & iOS,Pink,Clip on,Fitness Health Sports Real time Track and Accurate answer,"Whatsapp, Text, Facebook,",Ring Vibrate,Lithium Polymer,100 min,Upto 3 days Battery,Yes,magnetic charger,"Running watch: Tailored for runners with features 
Sport watch: Designed for sports activities with durability and specialized tracking.
Music watch: Enables music playback directly from the watch.
Game watch: Features built-in games or gaming apps for entertainment.
Calculator watch: Includes a built-in calculator function for basic calculations.
Calendar watch: Displays calendar information and event reminders.
Luxury watch: A premium timepiece crafted with high-quality materials and superior design.
Fashion watch: Combines style with functionality for a trendy look.
Best watch: Recognized for its outstanding performance and user satisfaction.
Calling watch: Allows making and receiving calls directly from the wrist.
Calling smart watch: Smartwatch with calling capabilities for seamless communication.
Watch: Portable timepiece displaying time and sometimes additional features.
BT calling watch: Enables calls via Bluetooth connection with a smartphone.
BT watch: Timepiece with Bluetooth connectivity for wireless interaction.
BT calling smart watch: Smartwatch with Bluetooth calling functionality for hands-free communication.",Yes,Yes,No,No,No,5.0,10 m,"Make Calls, Receive Calls, Mute & Reject Calls, Pick Calls, Mobile like dial, Contacts by NAME",you will find in manual guide,300X200 pixel,39 mm,IPS TFT,Operate Smooth,Yes,Yes,Size: Big Display Type:Amoled Oled Resolution: 200X300 Touchscreen: Smooth & YES Brightness and Visibility: Increase,Yes,Yes,Yes,No,Best Look Wrist watch & Running all fitness cover,Yes,No,Yes,Yes,No,20+ Languages,2,"Music Operate Camera Operate, Customize Watch Faces, Normal Battery Standby 7 Days, Games, Real time activity tracker also Health parameter",Speaker Available 1,Mic Available 1,Music control,"Wheather, Calls, Music, Camera, Health, Watch Faces",Yes,Streaming musicNotifications:Make call and received call,,,,,3 Month of Manufacturing Warranty,Contact - bellstartrading2012@gmail.com|+91 11 4167 5188,Manufacturing defect,physical damaged,3 Months,Peach,10 m,"iPhone, Samsung, VIVO, Oppo, MI, Realme, Nokia, Motorola",1 hr,50 hr,Android and ios,512 MB,1 GB,No,App and Bluetooth,Yes,Mp3,100 dB,0 Months,,,,,,,,,,,,
"Noise Icon Buzz 1.69"" Display with Bluetooth Calling, B...",₹999,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/i/4/b/-original-imah2thy4cphhcbe.jpeg?q=70,https://www.flipkart.com/noise-icon-buzz-1-69-display-bluetooth-calling-built-in-games-voice-assistant-smartwatch/p/itmfb38271d722a7?pid=SMWGAU62XCAESACH&lid=LSTSMWGAU62XCAESACHWSCPNH&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_1_13&otracker=search&fm=organic&iid=321c30d6-360f-4c59-9b2e-7d50c9ba9a69.SMWGAU62XCAESACH.SEARCH&ppt=None&ppn=None&ssid=9kmqrt8qr40000001738524630964&qH=87968ec020b2016b,2025-02-02 20:30:31,"1x Smartwatch, Charging Cable, User Manual, Thank You Card",NSW-201,"Icon Buzz 1.69"" Display with Bluetooth Calling, Built-In Games, Voice Assistant",Rectangle,Black,Silicone,Regular,Yes,Yes,1 m,Fitness & Outdoor,Polycarbonate,Men & Women,Android & iOS,Jet Black,Buckle,"Heart Rate, SpO2","Smart Notifications (Calls, Text, Email, Social Media App Alerts, Weather), Alarm Clock, Calendar Alerts)",,,120 min,7 Days,Yes,Magnetic Charger,"● Bluetooth calling: Make the smart call with Noise’s first Bluetooth calling smartwatch, loaded with smart features.
● Voice Assistance (AI voice assistance): From making calls, playing music, checking the weather, let your smartwatch do as you command, thanks to ColorFit Icon Buzz’s voice assistance feature.
● 1.69” TFT LCD display: Maximise your viewing experience with ColorFit Buzz’s stunning 1.69” TFT LCD display.
● In-built games: ColorFit Icon Buzz is more than just fitness, it’s your partner in fun, with 2 in-built games.
● Noise Health Suite: Keep a closer eye on your health with ColorFit Icon Buzz, that comes with SpO2, sleep and 24/7 heart rate monitor.
● Up to 7-day battery: Empower your workouts with ColorFit Icon Buzz’s up to 7-day battery.
● 100+ watch faces: Different faces for different moods. Get more than 100 cloud-based & customisable watch faces with ColorFit Icon Buzz.
● IP67 Waterproof: Be adventure ready with IP67 rated waterproof ColorFit Icon Buzz.
● Weather report: Take a weather check before making plans, with ColorFit Icon Buzz’s weather report feature.",Yes,Yes,,,Yes,v5.1,10 m,"Reject Calls, Take Calls, Speed Dial",NoiseFit Track App,240 x 280 pixel,1.69 inch,LCD,,,Yes,1.69” TFT LCD Display,Yes,Yes,Yes,,"Keep a closer eye on your health with ColorFit Icon Buzz, that comes with SpO2, sleep and 24/7 heart rate monitor.",Yes,,Yes,Yes,,,,Bluetooth Calling | Voice Assistant | Built-in Games | 7-day battery | Cloud-based watch faces | SpO2 monitor | 1.69’’ TFT LCD display | 24/7 heart rate monitor | IP67 waterproof | Weather Report,Yes,Yes,,"Change Music, Answer Calls",Yes,,,,,50 g,1 Year Manufacturer Warranty,Contact - help@nexxbase.com | support.gonoise.in | +91 8882132132,Manufacturing Defects,Physical Damage,1 Year,Black,,"iPhone, Android Smartphones",,,,,,Yes,,,,,,,,,,,,,,,,,
Satyam TRADERS T800 Ultra Modern Smart Watch Series 8 S...,₹535,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-smartwatch/p/y/x/1-99-android-ios-new-t800-ultra-t12-bornfire-yes-original-imagvcu4zymwcek4.jpeg?q=70,https://www.flipkart.com/satyam-traders-t800-ultra-modern-smart-watch-series-8-s3-smartwatch/p/itm6769615efa576?pid=SMWGVCVKVCHEGKWM&lid=LSTSMWGVCVKVCHEGKWMPA2XSS&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_1_17&otracker=search&fm=organic&iid=en_xnscYzKrUaPegXD46pe_hSBO67KKBVf6PYbdiwOBfrBSv1np1R7yg7dS-vmOvZKoZWSny3TtkamR_0ylB4RTAg%3D%3D&ppt=None&ppn=None&ssid=9kmqrt8qr40000001738524630964&qH=87968ec020b2016b,2025-02-02 20:30:31,"Smart watch, Wireless Charger, User Manual,Smart watch Strap",y7,T800 Ultra Modern Smart Watch Series 8 S3,Square,Orange,Silicone,Free Size,Yes,Yes,,Watchphone,Aluminium,Men & Women,Android & iOS,Orange,,"Accelerometer, Gyroscope, Proximity Sensor","Calendar Reminder, Missed Call Notification","Ringer, Vibration",Lithium Ion,60 min,3 Days,Yes,Wireless,,Yes,Yes,,,Yes,,,"Mute Calls, Reject Calls, Take Calls, Speed Dial",,320 x 320 pixel,49 44,AMOLED,,Yes,Yes,"Additional Features are Blood oxygen and Blood Pressure Monitor, Multisports modes, Sedentary Reminder, Find Phone, Bluetooth, and many more. This smartwatch has a 400 mAh battery capacity with 2-3 days of normal usage and 7 days of standby time.",Yes,Yes,Yes,Yes,,Date & Time,,Yes,Yes,Yes,,3,,Yes,Yes,,,,,,,,,,,,,,,,,72 hr,72 hr,,,,Yes,,,,,,,,,,,,,,,,,
Veritas Enterprises T800 Ultra Connect with Bluetooth C...,₹669,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-smartwatch/p/h/0/1-99-android-ios-newt800-ultra-4g-smart-watch-wifi-gps-4g-original-imagvz6tywftkz6g.jpeg?q=70,https://www.flipkart.com/veritas-enterprises-t800-ultra-connect-bluetooth-calling-voice-assistant-smartwatch/p/itma9069078f9785?pid=SMWGXKFJ8HQ52K9M&lid=LSTSMWGXKFJ8HQ52K9M53S2TO&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_1_21&otracker=search&fm=organic&iid=en_xnscYzKrUaPegXD46pe_hSBO67KKBVf6PYbdiwOBfrB07cubnD0WFYw4WfN_8sMTw5p21oeahKxH7U8OtlnsrQ%3D%3D&ppt=None&ppn=None&ssid=9kmqrt8qr40000001738524630964&qH=87968ec020b2016b,2025-02-02 20:30:31,"Smart watch, Wireless Charger, User Manual, Smart watch Strap",T800 watch,"T800 Ultra Connect with Bluetooth Calling, Voice Assistant",Square,Orange,Silicone,Free Size,Yes,Yes,,Watchphone,Aluminium,Men & Women,Android & iOS,Orange,,"Accelerometer, Gyroscope, Proximity Sensor","Calendar Reminder, Missed Call Notification","Ringer, Vibration",Lithium Ion,60 min,3 Days,Yes,Wireless,,Yes,Yes,,,Yes,,,"Mute Calls, Reject Calls, Take Calls, Speed Dial",,320 x 320 pixel,49 44,AMOLED,,Yes,Yes,"Additional Features are Blood oxygen and Blood Pressure Monitor, Multisports modes, Sedentary Reminder, Find Phone, Bluetooth, and many more. This smartwatch has a 400 mAh battery capacity with 2-3 days of normal usage and 7 days of standby time.",Yes,Yes,Yes,Yes,,Date & Time,Yes,Yes,Yes,,,3,,Yes,Yes,,,,,,,,,,,,,,,,,72 hr,72 hr,,,,Yes,,,,,,,,,,,,,,,,,
"Noise Icon Buzz 1.69"" Display with Bluetooth Calling, B...",₹999,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/s/3/l/-original-imah2thyufannsyg.jpeg?q=70,https://www.flipkart.com/noise-icon-buzz-1-69-display-bluetooth-calling-built-in-games-voice-assistant-smartwatch/p/itm0b0922f8a67cc?pid=SMWGGKT5FYQHNRJP&lid=LSTSMWGGKT5FYQHNRJPDZXRAR&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_1_25&otracker=search&fm=organic&iid=321c30d6-360f-4c59-9b2e-7d50c9ba9a69.SMWGGKT5FYQHNRJP.SEARCH&ppt=None&ppn=None&ssid=9kmqrt8qr40000001738524630964&qH=87968ec020b2016b,2025-02-02 20:30:31,"1x Smartwatch, Charging Cable, User Manual, Thank You Card",wrb-sw-colorfiticonbuzz-std-blu_blu,"Icon Buzz 1.69"" Display with Bluetooth Calling, Built-In Games, Voice Assistant",Rectangle,Blue,Silicone,Regular,Yes,Yes,1 m,Fitness & Outdoor,Polycarbonate,Men & Women,Android & iOS,Blue,Buckle,"Heart Rate, SpO2","Smart Notifications (Calls, Text, Email, Social Media App Alerts, Weather), Alarm Clock, Calendar Alerts)",,,120 min,7 Days,Yes,Magnetic Charger,"• Bluetooth calling: Make the smart call with Noise’s first Bluetooth calling smartwatch, loaded with smart features.
• Voice Assistance (AI voice assistance): From making calls, playing music, checking the weather, let your smartwatch do as you command, thanks to ColorFit Icon Buzz’s voice assistance feature.
• 1.69” TFT LCD display: Maximise your viewing experience with ColorFit Buzz’s stunning 1.69” TFT LCD display.
• In-built games: ColorFit Icon Buzz is more than just fitness, it’s your partner in fun, with 2 in-built games.
• Noise Health Suite: Keep a closer eye on your health with ColorFit Icon Buzz, that comes with SpO2, sleep and 24/7 heart rate monitor.
• Up to 7-day battery: Empower your workouts with ColorFit Icon Buzz’s up to 7-day battery.
• 100+ watch faces: Different faces for different moods. Get more than 100 cloud-based &
customisable watch faces with ColorFit Icon Buzz.
• IP67 Waterproof: Be adventure ready with IP67 rated waterproof ColorFit Icon Buzz.
• Weather report: Take a weather check before making plans, with ColorFit Icon Buzz’s weather report feature.",Yes,Yes,,,Yes,v5.1,10 m,"Reject Calls, Take Calls, Speed Dial",NoiseFit Track App,240 x 280 pixel,1.69 inch,LCD,,,Yes,1.69” TFT LCD Display,Yes,Yes,Yes,,"Keep a closer eye on your health with ColorFit Icon Buzz, that comes with SpO2, sleep and 24/7 heart rate monitor.",Yes,,Yes,Yes,,,,Bluetooth Calling | Voice Assistant | Built-in Games | 7-day battery | Cloud-based watch faces | SpO2 monitor | 1.69’’ TFT LCD display | 24/7 heart rate monitor | IP67 waterproof | Weather Report,Yes,Yes,,"Change Music, Answer Calls",Yes,,,,,50 g,1 Year Manufacturer Warranty,,Manufacturing Defects,Physical Damage,1 Year,Blue,,"iPhone, Android Smartphones",,,,,,Yes,,,,,,,,,,,,,,,,,
"GameSir Silver T800 Ultra Smartwatch Stainless Steel, B...",₹779,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/n/a/h/40-t800-ultra-metal-silver-android-ios-gamesir-yes-original-imah7n7esfzaggxp.jpeg?q=70,https://www.flipkart.com/gamesir-silver-t800-ultra-smartwatch-stainless-steel-bt-calling-fitness-music/p/itmfb5e9269e409f?pid=SMWH78HJEEVHFARH&lid=LSTSMWH78HJEEVHFARHSSCHU1&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_1_29&otracker=search&fm=organic&iid=321c30d6-360f-4c59-9b2e-7d50c9ba9a69.SMWH78HJEEVHFARH.SEARCH&ppt=None&ppn=None&ssid=9kmqrt8qr40000001738524630964&qH=87968ec020b2016b,2025-02-02 20:30:31,1 Smart watch,T800 Ultra Metal Silver,"Silver T800 Ultra Smartwatch Stainless Steel, BT Calling, Fitness & Music",Rectangle,Silver,Stainless steel,Free Size,Yes,Yes,0.5 m,"Health & Medical, Fitness & Outdoor, Notifier, Watchphone, Safety & Security",Amoled,Men & Women,Android & iOS,Silver Metal,Clip-on,Proxymity,Call & Message Notifications | Alarm & Reminder | Social media Notification,Vibrate and ringing,Lithium Polymer,100 min,3-5 Days,Yes,Wireless Charger,"IP67 waterproof protection, Stay connected with Bluetooth calling, easy to manage your calls directly from your Smart watch, this Smart watch covered yoga or gym workouts, 100 dynamic watch faces to match your style and 100+ sports modes for accurate tracking activities. health monitoring, fitness tracking and heart rate monitoring. This smartwatch is designed to support your active lifestyle and help you achieve your wellness goals",Yes,Yes,No,No,Yes,5.0,10 m,Take Calls Reject | Missed Calls | Dial Pad | Contacts,Hi Watch,360*360 pixel,40 mm,AMOLED,Remote camera,Yes,Yes,Touchscreen Interface | Customizable Watch Faces | Adjustable Brightness Levels | Adjustable Brightness Levels | Always-On Display Option | High Resolution,Yes,Yes,Yes,No,Heart rate | Blood pressure | Blood oxygen | Time display | Step counting | Calories Distance,Yes,No,Yes,Yes,No,Multi language,3,Fitness Tracking | Heart Rate Monitoring | Weather Forecast,Yes,Yes,"Clear voice, Better Speaker Quality",Make Calls | Answer Calls | Mute Rejects Calls | Missed calls | Contacts,Yes,Music controlMake call and received callApp notificationsCamera control,,,,,3 month warranty,Carry on Warranty - ircinnovations@gmail.com,Manufacturing Defects,Physical Damage,3 Months,Silver,10 m,All Smart Phones & iOS,8 hr,72 hr,Android and ios,1 GB,512 MB,No,App and Bluetooth,Yes,Mp3,,0 Months,Dual core,Snapdragon,Standard,,,,,,,,,
