title,price,rating,reviews,image_url,product_url,collection_date,Sales Package,Model Number,Model Name,Dial Color,Dial Shape,Strap Color,Strap Material,Size,Touchscreen,Water Resistant,Water Resistance Depth,Usage,Dial Material,Ideal For,Compatible OS,Brand Strap Color,Sensor,Compatible Device,Notification,Notification Type,Battery Type,Charge Time,Battery Life,Rechargeable Battery,Charger Type,Stand By Time,Other Features,Call Function,Bluetooth,GPS,Messaging Support,Bluetooth Version,Email Support,Operating Range,Call Features,Display Resolution,Display Size,Display Type,Backlight Display,Scratch Resistant,Other Display Features,Calorie Count,Step Count,Heart Rate Monitor,Altimeter,Other Fitness Features,Date & Time Display,Compass,Calendar,Alarm Clock,Chronograph,Language,Number of Buttons,Other Watch Functions,Speaker,Microphone,Gesture Control,Voice Control,Width,Height,Thickness,Weight,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,Closure,Wi-Fi,Third Party App Support,Other Connectivity Features,Other Camera Features,Audio Features,Diameter,Maximum Operating Altitude,Talk time,Operating System,RAM,Internal Memory,Flash,Speaker Volume,International Warranty,Other Multimedia Features,Number of Cores,Supported Audio Format,Other Dimensions,Processor Name,Processor Speed,Compatible Operating System,Video Features,Supported Video Format,HD Recording,HD Playback,Primary Camera,Expandable Memory
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2/5/2025 17:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2/5/2025 17:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boult Drift Max 2.01''HD Screen,BT Calling, Working Cro...","₹1,199",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/5/u/s/-original-imah8xv5bjyppg6q.jpeg?q=70,https://www.flipkart.com/boult-drift-max-2-01-hd-screen-bt-calling-working-crown-complete-health-track-ip68-smartwatch/p/itm41b5b7a847d77?pid=SMWH6PTYSTM6EEWP&lid=LSTSMWH6PTYSTM6EEWPDGY9ZJ&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_1_1&otracker=search&fm=organic&iid=en_uhnrx6f1h2MBHn7SIldWocg_oIyO8Sgye-9CFwkKStu1dTAYpP82Y65amKldnRwJRlMzaud9Dfq5wOHvns7bjfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=gkpot4zxyo0000001738686501662&qH=87968ec020b2016b,2/5/2025 17:28,"Smartwatch, Charging Cable, Warranty Card, User Manual",Drift Max,"Drift Max 2.01''HD Screen,BT Calling, Working Crown, Complete Health Track, IP68",Multicolour,Square,Silver,Stainless steel,Free Size,Yes,Yes,1 m,Fitness & Outdoor,Zinc Alloy,Men & Women,Android & iOS,Silver,"Real Heart rate, SPO2, Pedometer",Smartphone,"Social Media, Messages, Incoming Calls, Emails, Water Drink reminder, sedentary reminder, Alarm Clock, Low battery reminder",Vibrate,Lithium Polymer,150 min,Upto 5 days,Yes,Magnetic Charging Cable,480 hr,"Remote Camera, 150+ Watch Faces with Custom watch faces, 2.0inch 1000 Nits High Brightness Display​, 120+ Sports Modes, Health Monitor- 24x7 Heart Rate Monitor, SpO2 Blood Oxygen Saturation Monitor, Female Menstrual Cycle Tracking, Blood Pressure Monitor, Drink Water Reminders, Sedentary Reminders, Sleep Monitoring, Calorie’s count",Yes,Yes,No,No,v5.2,No,10 m,"Pick up incoming calls, reject incoming calls, dial, Dedicated Speaker and Mic, AI voice assistant",240x296 Pixel,2 inch,HD,Yes,No,1000 Nits High Brightness,Yes,Yes,Yes,No,120+ Workout modes,Date and Time,No,No,Yes,No,English,2,"Bluetooth Calling, 2.0inch 1000 Nits High Brightness Display​ with 240x296 display resolution , Complete Health Monitoring, Female Cycle Tracker, 150+ Cloud Watch faces with custom watch face, 120+ Workout Modes, Sleep Tracking, Intelligent AI Voice assistance, Weather Details, Find My Phone, Other Functions : Alarm clock, Stopwatch, Timer, DND, Flashlight & more.",1 Speaker,Yes,Wrist to Screen Wake,Yes,48 mm,11 mm,39 mm,50 g,1 Year Warranty from the date of purchase,Repair or Replace,Any kind of technical issue,"Physical damage, loss of smartwatch or any accessories.",1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"boAt Lunar Discovery w/ Turn by Turn Navigation, 3.53 c...","₹1,499",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/p/j/a/-original-imah5upykzphmxkv.jpeg?q=70,https://www.flipkart.com/boat-lunar-discovery-w-turn-navigation-3-53-cm-hd-display-bt-calling-smartwatch/p/itm49ddaa9294db0?pid=SMWH44GEEK2WDVHU&lid=LSTSMWH44GEEK2WDVHUYEJ6CE&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_1_5&otracker=search&fm=organic&iid=079a2e73-958b-4b3e-a5f6-db65cdccbf4a.SMWH44GEEK2WDVHU.SEARCH&ppt=None&ppn=None&ssid=gkpot4zxyo0000001738686501662&qH=87968ec020b2016b,2/5/2025 17:28,"1 Smart Watch, Charging Cable, User Manual, Warranty Card",Lunar Discovery,"Lunar Discovery w/ Turn by Turn Navigation, 3.53 cm HD Display & BT Calling",,Round,Black,Silicone,Free Size,Yes,Yes,,Fitness & Outdoor,,Men & Women,Android & iOS,Active Black,"HR, SpO2, G-sensor",,,,,,7 Days,,,,,Yes,Yes,,,,,,,240 x 240 pixel,35.3 mm,,,,,Yes,Yes,Yes,,,Yes,,Yes,Yes,,,,,,,,,,,,,1 Year Warranty,"Carry-in, If Customer Any Query or Complaint Please Reach Out to Us at info@imaginemarketingindia.com or Call on +912269181920",Manufacturing Defects,Physical Damages,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Noise Crew Go with 1.39"" Display, BT Calling with Metal...","₹1,599",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/z/f/6/-original-imah759hrk24uyjw.jpeg?q=70,https://www.flipkart.com/noise-crew-go-1-39-display-bt-calling-metal-strap-7-days-battery-life-smartwatch/p/itm0e03c14e438f7?pid=SMWGZW3CCRQGAWW7&lid=LSTSMWGZW3CCRQGAWW7EFOBHP&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_1_9&otracker=search&fm=organic&iid=079a2e73-958b-4b3e-a5f6-db65cdccbf4a.SMWGZW3CCRQGAWW7.SEARCH&ppt=None&ppn=None&ssid=gkpot4zxyo0000001738686501662&qH=87968ec020b2016b,2/5/2025 17:28,"Smartwatch, Magnetic Charger, User Manual, Warranty Card",wrb-sw-crewgo-meshmtl-gld_gld,"Crew Go with 1.39"" Display, BT Calling with Metal Strap and 7 Days Battery Life",Gold,Round,Gold,Stainless steel,Regular,Yes,Yes,1 m,Fitness & Outdoor,Metal,Women,Android & iOS,Gold Link,"Heart Rate, Accelerometer",,Yes,,,,Up to 7 Days,Yes,,,,Yes,Yes,,,v5.3,,10 m,,240 x 240 pixel,35.306 mm,TFT,,,,Yes,Yes,Yes,,,Yes,,,Yes,,,,,Yes,Yes,,,,,,,1 Year Warranty from the date of purchase,Contact - help@nexxbase.com | support.gonoise.com | 02268056040,Warranty is applicable on manufacturing defects for all the products for 1 Year and accessories (If any) for 3 months from the date of purchase.,"unauthorized tampering, modification or repairs ; physical damage ; water logging or any other damage due to heat, humidity or moisture doing operations",1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire-Boltt Ninja Talk 35.3mm (1.39) Round Bluetooth Cal...,"₹1,499",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/8/h/e/-original-imah4fe3t3gg3hxt.jpeg?q=70,https://www.flipkart.com/fire-boltt-ninja-talk-35-3mm-1-39-round-bluetooth-calling-metal-body-120-sports-modes-smartwatch/p/itm7eedef2f3e96f?pid=SMWGNYZKTDZZZGWS&lid=LSTSMWGNYZKTDZZZGWSFWF7AJ&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_1_13&otracker=search&fm=organic&iid=079a2e73-958b-4b3e-a5f6-db65cdccbf4a.SMWGNYZKTDZZZGWS.SEARCH&ppt=None&ppn=None&ssid=gkpot4zxyo0000001738686501662&qH=87968ec020b2016b,2/5/2025 17:28,"Smartwatch, Charging Cable, Manual, Warranty Card",BSW136,"Ninja Talk 35.3mm (1.39) Round Bluetooth Calling Metal Body,120 Sports Modes",Black,Round,Black,Silicone,1.39,Yes,Yes,1 m,"Fitness & Outdoor, Health & Medical, Watchphone",Zinc alloy,Men & Women,Android & iOS,Black,"SpO2, Heart Rate Sensor","Mobile Phones, Smart Phones","Call, SMS, Whatsapp, Facebook, Twiter, Other Social Apps, Sedentary Reminder, Goal Completion",Ring (Only in Bluetooth Calling Mode) and Vibration,Lithium Ion,120 Min,Upto 5 Days,Yes,Magnetic Charging,360 Hr,"1. Fire-Boltt Ninja Talk Bluetooth Calling Smartwatch with Metal Body & AI Voice Assistant2. Round Bigger Display : 1.39"" Round Display featuring 240*240 pixel high resolution3.Supports Bluetooth Calling : Recieve and dial calls from Fire-Boltt Ninja Talk4.AI Voice Assistant - The watch supports waking your mobile phone's AI Voice to ensure you get your work on time5. 360 Health Control : Monitor your Blood Oxygen Levels and heart rate (dynamic & continuous) on this watch6. Multiple Sports Modes - Track 120+ sports modes efficiently and with 7.Metal Body - This watch features a metal body for longer and lasting durability with anti-corrossion properties8.Built in Mic and Speaker for HD, person to person calling experience9.Contact Sync : Sync favourite contacts on your watch via your the app10.Call Logs : Check missed calls and answered calls on the watch11.Sedentary Reminders : Time to work out, change the unhealthy mode of life12.Other Functions : Alarm clock, Stopwatch, Timer, Low Power Mode, DND, Flashlight & more.",Yes,Yes,No,No,v5.0,No,10 m,"Make Calls, Answer Calls, Reject Calls, Speed Dial, Contact Sync",240 x 240 Pixels,1.39 inch,TFT,No,Yes,"1.39"" Round Display with High Resolution of 240 x 240 Pixels",Yes,Yes,Yes,No,"SPO2, Heart Rate Tracking, Sports Data Analysis, Sleep Tracking, Step Count, Calorie Count, Distance Measurement, Multiple Sports Mode",Date & Time,No,No,Yes,Yes,English,1,"1. Fire-Boltt Ninja Talk Bluetooth Calling Smartwatch with Metal Body & AI Voice Assistant2. Round Bigger Display : 1.39"" Round Display featuring 240*240 pixel high resolution3.Supports Bluetooth Calling : Recieve and dial calls from Fire-Boltt Ninja Talk4.AI Voice Assistant - The watch supports waking your mobile phone's AI Voice to ensure you get your work on time5. 360 Health Control : Monitor your Blood Oxygen Levels and heart rate (dynamic & continuous) on this watch6. Multiple Sports Modes - Track 120+ sports modes efficiently and with 7.Metal Body - This watch features a metal body for longer and lasting durability with anti-corrossion properties8.Built in Mic and Speaker for HD, person to person calling experience9.Contact Sync : Sync favourite contacts on your watch via your the app10.Call Logs : Check missed calls and answered calls on the watch11.Sedentary Reminders : Time to work out, change the unhealthy mode of life12.Other Functions : Alarm clock, Stopwatch, Timer, Low Power Mode, DND, Flashlight & more.",Yes,Yes,,Yes,39 mm,9.8 mm,9.8 mm,36.8 g,Covers Manufacturing Defects,Contact : Ph : 022-69846666 / Mail : infocare@boltt.com,Manufacturing Defects,Physical & Water Damage,1 Year,Buckle,No,Limited Support,Android 5.0 or IOS 9.0 Supporting Bluetooth 5.0 Mobile Phones with System Version and Above,Remote Camera Control,Playing music through the watch via the inbuilt speaker,35.3 mm,,,,,,,,,,,,,,,,,,,,,
"Boult Drift BT Calling HD Display, 140+ Watchfaces, Com...","₹1,099",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/t/f/b/-original-imah8mtvdugzm4yd.jpeg?q=70,https://www.flipkart.com/boult-drift-bt-calling-hd-display-140-watchfaces-complete-health-monitoring-smartwatch/p/itmfb17bcbb4e204?pid=SMWGMHUGERGB5YXD&lid=LSTSMWGMHUGERGB5YXD5XBFU7&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_1_17&otracker=search&fm=organic&iid=en_uhnrx6f1h2MBHn7SIldWocg_oIyO8Sgye-9CFwkKSts0DOVBSvrwvG-8mZDSUbGwlSGT89oLZhpAVmaDS82sa2Vkv0XZFiOX7bbXdlao_f8%3D&ppt=None&ppn=None&ssid=gkpot4zxyo0000001738686501662&qH=87968ec020b2016b,2/5/2025 17:28,"Smartwatch, User Manual, Charging Cable, Warranty Card",Drift,"Drift BT Calling HD Display, 140+ Watchfaces, Complete Health Monitoring",,Rectangle,Beige,Silicone,Free Size,Yes,Yes,1.5 m,Fitness & Outdoor,ABS,Women,Android & iOS,Beige,"Real Heart Rate, Real SPO2, Pedometer",Smartphone,"Social Media, Messages, Incoming Calls, Emails",Vibrate,Lithium Polymer,60 min,Upto 7 Days,Yes,Magnetic Charging Cable,288 Hr,"Fun Mini Games, Remote Camera, Custom Watch Face Option, 150+ watch faces, 500 nits high brightness display, Multiple Sports Modes",Yes,Yes,No,No,v5.0,,10 m,"Pick Up Incoming Calls, Reject Incoming Calls, Dial",240 x 280 Pixels,1.69 Inch,TFT,Yes,No,High Brightness,Yes,Yes,Yes,No,60 Workout Modes,Date and Time,No,No,Yes,No,English,1,"Female Cycle Tracker, Multiple Workout Modes, Sleep Tracking, Weather Details, Find Phone",1 Speaker,Yes,,Yes,35.78 mm,44.17 mm,11.6 mm,45 g,1 Year Warranty from the Date of Purchase,Repair or Replace,Any Kind of Technical Issue,"Physical Damage, Loss of Smartwatch or Any Accessories",1 Year,,No,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boult Drift BT Calling HD Display, 140+ Watchfaces, Com...","₹1,099",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/9/a/w/-original-imah8mtk5qagwhhz.jpeg?q=70,https://www.flipkart.com/boult-drift-bt-calling-hd-display-140-watchfaces-complete-health-monitoring-smartwatch/p/itm8e3a483f91c22?pid=SMWGMHUGET5DCJ3C&lid=LSTSMWGMHUGET5DCJ3CEHZXG3&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_1_21&otracker=search&fm=organic&iid=en_uhnrx6f1h2MBHn7SIldWocg_oIyO8Sgye-9CFwkKSttcLRdxNFQK9bCayedGW9pPs4TmtGriNZeNJSf1EaPU1YE8waCTrWcncKeK_ydPfoM%3D&ppt=None&ppn=None&ssid=gkpot4zxyo0000001738686501662&qH=87968ec020b2016b,2/5/2025 17:28,"Smartwatch, User Manual, Charging Cable, Warranty Card",Drift,"Drift BT Calling HD Display, 140+ Watchfaces, Complete Health Monitoring",Multicolour,Rectangle,Green,Silicone,Free Size,Yes,Yes,1.5 m,Fitness & Outdoor,ABS,Men & Women,Android & iOS,Green,"Real Heart Rate, Real SPO2, Pedometer",Smartphone,"Social Media, Messages, Incoming Calls, Emails",Vibrate,Lithium Polymer,60 min,Upto 7 Days,Yes,Magnetic Charging Cable,288 Hr,"Fun Mini Games, Remote Camera, Custom Watch Face Option, 150+ watch faces, 500 nits high brightness display, Multiple Sports Modes",Yes,Yes,No,No,v5.0,,10 m,"Pick Up Incoming Calls, Reject Incoming Calls, Dial",240 x 280 Pixels,1.69 Inch,TFT,Yes,No,High Brightness,Yes,Yes,Yes,No,60 Workout Modes,Date and Time,No,No,Yes,No,English,1,"Female Cycle Tracker, Multiple Workout Modes, Sleep Tracking, Weather Details, Find Phone",1 Speaker,Yes,,Yes,35.78 mm,44.17 mm,11.6 mm,45 g,1 Year Warranty from the Date of Purchase,Contact : Ph : (+91)9555602502 / Mail : support@boultaudio.com,Any Kind of Technical Issue,"Physical Damage, Loss of Smartwatch or Any Accessories",1 Year,,No,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maxima Max Pro Infinity 2.01""Ultra HD 2.5D Curved Displ...",₹999,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/t/m/5/-original-imagzgeytz3shyxg.jpeg?q=70,https://www.flipkart.com/maxima-max-pro-infinity-2-01-ultra-hd-2-5d-curved-display-bt-calling-ai-voice-assistant-smartwatch/p/itm2b053d3786cce?pid=SMWGXY2U46Z93ESD&lid=LSTSMWGXY2U46Z93ESD1HK8DQ&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_1_25&otracker=search&fm=organic&iid=079a2e73-958b-4b3e-a5f6-db65cdccbf4a.SMWGXY2U46Z93ESD.SEARCH&ppt=None&ppn=None&ssid=gkpot4zxyo0000001738686501662&qH=87968ec020b2016b,2/5/2025 17:28,"Smart Watch, Usb Magnetic pin Charger, Pairing Card, User Manual/ Warranty card",I124PPSP69833,"Max Pro Infinity 2.01""Ultra HD 2.5D Curved Display,BT Calling,AI Voice Assistant",,Square,Pink,Silicone,Free Size,Yes,Yes,,Fitness & Outdoor,,Women,Android & iOS,Pink,"Hear Rate Sensor, Pedometer, G- Sensor",Smartphones,"Call, Text, Social Media, Drinking Alert, Sedentary Reminder,Alarm, Timer","Vibration, Vibration & Ring",Lithium Ion,,"Upto 5 Days without calling, Upto 3 Days with Bluetooth calling function",Yes,USB Pogo Pin Magnetic charger,480 hr,"Bluetooth Calling, 2.01"" Display with 600 Nits, Multiple Watch Faces, Customize your own watch face with any picture from gallery, Advanced UI",Yes,Yes,,,Bluetooth 5.2,,,"Bluetooth Calling Function with Access to Recent Call Logs, Dial Pad and Favourite Contacts",240x286 pixel,51.04 mm,HD,,,600 Nits Brightness,Yes,Yes,Yes,,"Heart Rate/Spo2 Monitor. Intelligent AI In-depth Sleep Monitoring, Multiple sports mode, Calorie Count,",Date & Time,,,Yes,,,1,"2.01"" Ultra HD Display, Bigger Screen, Bluetooth Calling, Multiple Sports Mode, Multople Watch Faces, Heart Rate, SpO2, Sleep Monitor",Yes,Yes,Lift wrist to wake up screen,Yes,39.55 mm,47.45 mm,9.3 mm,40 g,1 year Manufacturer Warranty,"Watch Head, Charger","Watch Head, Charger","Straps, if damaged, will not be repaired/covered under warranty.",1 Year,Buckle & Finger,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noise Colorfit Icon 2 1.8'' Display with Bluetooth Call...,"₹1,099",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/g/s/y/-original-imah76jfhkg3epzj.jpeg?q=70,https://www.flipkart.com/noise-colorfit-icon-2-1-8-display-bluetooth-calling-ai-voice-assistant-smartwatch/p/itm9d8957f65c72e?pid=SMWGEH7WC8F4VKKZ&lid=LSTSMWGEH7WC8F4VKKZXFMRNR&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_1_29&otracker=search&fm=organic&iid=079a2e73-958b-4b3e-a5f6-db65cdccbf4a.SMWGEH7WC8F4VKKZ.SEARCH&ppt=None&ppn=None&ssid=gkpot4zxyo0000001738686501662&qH=87968ec020b2016b,2/5/2025 17:28,"Smartwatch, Magnetic Charger, User Manual, Warranty Card",wrb-sw-colorfiticon2-std-gld_win,"Colorfit Icon 2 1.8'' Display with Bluetooth Calling, AI Voice Assistant",Gold,Rectangle,Maroon,Silicone,Regular,Yes,Yes,,Fitness & Outdoor,Polycarbonate,Women,Android & iOS,Deep Wine,"Heart Rate, SpO2","iPhone, Android Smartphones","Smart Notifications (Calls, Text, Email, Social Media App Alerts, Weather), Alarm Clock, Calendar Alerts)",Vibration,,,Upto 7 days,Yes,Magnetic Charger,,,Yes,Yes,,Yes,,Yes,10 m,"Reject Calls, Take Calls, Speed Dial",240 x 286 pixel,1.8 inch,,,Yes,,Yes,Yes,Yes,,,Yes,,Yes,Yes,,,,,Yes,Yes,"Change Music, Answer Calls",Yes,,,,,1 Year Manufacturer Warranty,Contact - productfeedback@nexxbase.com | support.gonoise.com | +91 8882132132,Manufacturing Defects,Physical Damage,1 Year,Buckle,,,,,,,,,,,,,,,,,,,,,,,,,,,
