title,price,rating,reviews,image_url,product_url,collection_date,Sales Package,Model Number,Model Name,Dial Color,Dial Shape,Strap Color,Strap Material,Size,Touchscreen,Water Resistant,Water Resistance Depth,Usage,Ideal For,Compatible OS,Brand Strap Color,Sensor,Compatible Device,Notification,Notification Type,Battery Type,Charge Time,Battery Life,Rechargeable Battery,Charger Type,Stand By Time,Other Features,Call Function,Bluetooth,Wi-Fi,GPS,Messaging Support,Email Support,Operating Range,Call Features,Display Resolution,Display Size,Display Type,Backlight Display,Scratch Resistant,Other Display Features,Calorie Count,Step Count,Heart Rate Monitor,Altimeter,Other Fitness Features,Date & Time Display,Compass,Calendar,Alarm Clock,Chronograph,Language,Other Watch Functions,Speaker,Microphone,Voice Control,Width,Height,Thickness,Weight,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,Dial Material,Closure,Gesture Control,Bluetooth Version,Third Party App Support,Other Connectivity Features,Number of Buttons,Diameter,Maximum Operating Altitude,Talk time,Operating System,RAM,Internal Memory,Flash,Other Camera Features,Audio Features,Supported Audio Format,Speaker Volume,Other Multimedia Features,International Warranty,Video Features,Supported Video Format,HD Recording,HD Playback,Compatible Operating System,Processor Name
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 17:15:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 17:15:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boult Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brigh...","₹1,099",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/e/e/p/-original-imah8mtwtmmxa47x.jpeg?q=70,https://www.flipkart.com/boult-drift-bluetooth-calling-1-85-hd-500nits-brightness-150-watchfaces-spo2-smartwatch/p/itm9aab07df7f268?pid=SMWGMH4JA69PG4TF&lid=LSTSMWGMH4JA69PG4TF75UAZN&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_1_1&otracker=search&fm=organic&iid=en_ZDnZWtBGII0W_7hSvVnomiz8kt0eJjQ7BQ-Af_hsFF-SdnJVJomqnu2oQmLilolMDkJiK0KAyVoBicHEcdhZWQ%3D%3D&ppt=None&ppn=None&ssid=ltjo2u6h340000001739031350985&qH=87968ec020b2016b,2025-02-08 17:15:55,"Smartwatch, User Manual, Charging Cable, Warranty Card",Drift +,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",Multicolour,Rectangle,Black,Silicone,Free Size,Yes,Yes,1.5 m,Fitness & Outdoor,Men & Women,Android & iOS,Jet Black,"Real Heart Rate, Real SPO2, Pedometer",Smartphone,"Social Media, Messages, Incoming Calls, Emails, Water Drink Reminder, Sedentary Reminder, Alarm Clock, Low Battery Reminder",Vibrate,Lithium Ion,150 min,Upto 7 Days,Yes,Magnetic Charging Cable,600 Hr,"Remote Camera, 150+ Watch Faces with Custom watch faces, 1.85inch 500 Nits High Brightness Display, 100+ Sports Modes, Health Monitor- 24x7 Heart Rate Monitor, SpO2 Blood Oxygen Saturation Monitor, Female Menstrual Cycle Tracking, Blood Pressure Monitor, Drink Water Reminders, Sedentary Reminders, Sleep Monitoring, Calorie count",Yes,Yes,No,No,No,No,10 m,"Pick Up Incoming Calls, Reject Incoming Calls, Dial, Dedicated Speaker and Mic, AI Voice Assistant",240 x 280 Pixels,1.85 inch,TFT,Yes,No,High Brightness,Yes,Yes,Yes,No,100+ Workout Modes,Date and Time,No,No,Yes,No,"English (Default), Chinese, Traditional Chinese, German, Korean, Spanish, Japanese, French, Russian, Arabic, Ukrainian, Italian, Portuguese","Bluetooth Calling, 1.85inch 500 Nits High Brightness Display, Complete Health Monitoring, Female Cycle Tracker, 150+ Cloud Watch faces with custom watch face, 100+ Workout Modes, Sleep Tracking, Weather Details, Find My Phone, Multiple Fun Mini Games",1 Speaker,Yes,Yes,37.28 mm,10.75 mm,44.17 mm,42 g,1 Year Warranty from the Date of Purchase,Contact : Ph : (+91)9555602502 / Mail : support@boultaudio.com,Any Kind of Technical Issue,"Physical Damage, Loss of Smartwatch or Any Accessories",1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,
"boAt Storm Call w/ 4.29 cm(1.69""), BT Calling & 550 Nit...","₹1,299",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/n/z/f/-original-imah8762zqn7v9gt.jpeg?q=70,https://www.flipkart.com/boat-storm-call-w-4-29-cm-1-69-bt-calling-550-nits-brightness-smartwatch/p/itm04a51b781b8d6?pid=SMWH6WJWHDHFMGAG&lid=LSTSMWH6WJWHDHFMGAG07UZP2&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_1_5&otracker=search&fm=organic&iid=601d1595-d6c1-465d-a54d-07181143265b.SMWH6WJWHDHFMGAG.SEARCH&ppt=None&ppn=None&ssid=ltjo2u6h340000001739031350985&qH=87968ec020b2016b,2025-02-08 17:15:55,Storm Call||Magnetic Charging Cable||User Manual||Warranty Card,Storm Call,"Storm Call w/ 4.29 cm(1.69""), BT Calling & 550 Nits Brightness",,Rectangle,Black,Silicone,Free Size,Yes,Yes,,Fitness & Outdoor,Men & Women,Android & iOS,Bold Black,"HR, SpO2 & G-sensor",,,,,,Upto 7 days,,,,,Yes,Yes,,,,,,,240 x 280 Pixel,42 mm,,,,,Yes,Yes,Yes,,,Yes,,Yes,Yes,,,,Yes,Yes,,,,,,1 year warranty against manufacturing defects,Reach out to us at info@imaginemarketingindia.com,Manufacturing Defects,Physical Damage,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,
"boAt Lunar Discovery w/ Turn by Turn Navigation, 3.53 c...","₹1,499",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/p/j/a/-original-imah5upykzphmxkv.jpeg?q=70,https://www.flipkart.com/boat-lunar-discovery-w-turn-navigation-3-53-cm-hd-display-bt-calling-smartwatch/p/itm49ddaa9294db0?pid=SMWH44GEEK2WDVHU&lid=LSTSMWH44GEEK2WDVHUYEJ6CE&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_1_9&otracker=search&fm=organic&iid=601d1595-d6c1-465d-a54d-07181143265b.SMWH44GEEK2WDVHU.SEARCH&ppt=None&ppn=None&ssid=ltjo2u6h340000001739031350985&qH=87968ec020b2016b,2025-02-08 17:15:55,"1 Smart Watch, Charging Cable, User Manual, Warranty Card",Lunar Discovery,"Lunar Discovery w/ Turn by Turn Navigation, 3.53 cm HD Display & BT Calling",,Round,Black,Silicone,Free Size,Yes,Yes,,Fitness & Outdoor,Men & Women,Android & iOS,Active Black,"HR, SpO2, G-sensor",,,,,,7 Days,,,,,Yes,Yes,,,,,,,240 x 240 pixel,35.3 mm,,,,,Yes,Yes,Yes,,,Yes,,Yes,Yes,,,,,,,,,,,1 Year Warranty,"Carry-in, If Customer Any Query or Complaint Please Reach Out to Us at info@imaginemarketingindia.com or Call on +912269181920",Manufacturing Defects,Physical Damages,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,
Noise Colorfit Icon 2 1.8'' Display with Bluetooth Call...,"₹1,099",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/d/v/r/-original-imah76jcgq3y3srt.jpeg?q=70,https://www.flipkart.com/noise-colorfit-icon-2-1-8-display-bluetooth-calling-ai-voice-assistant-smartwatch/p/itm4972b80df3e9f?pid=SMWGEH7V3NRGVPQ9&lid=LSTSMWGEH7V3NRGVPQ9NF6ZOC&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_1_13&otracker=search&fm=organic&iid=601d1595-d6c1-465d-a54d-07181143265b.SMWGEH7V3NRGVPQ9.SEARCH&ppt=None&ppn=None&ssid=ltjo2u6h340000001739031350985&qH=87968ec020b2016b,2025-02-08 17:15:55,"Smartwatch, Magnetic Charger, User Manual, Warranty Card",wrb-sw-colorfiticon2-std-gld_blk,"Colorfit Icon 2 1.8'' Display with Bluetooth Calling, AI Voice Assistant",Gold,Rectangle,Black,Silicone,Regular,Yes,Yes,,Fitness & Outdoor,Men & Women,Android & iOS,Glossy Black,"Heart Rate, SpO2","iPhone, Android Smartphones","Smart Notifications (Calls, Text, Email, Social Media App Alerts, Weather), Alarm Clock, Calendar Alerts)",Vibration,,,Upto 7 days,Yes,Magnetic Charger,,,Yes,Yes,,,Yes,Yes,10 m,"Reject Calls, Take Calls, Speed Dial",240 x 286 pixel,1.8 inch,,,Yes,,Yes,Yes,Yes,,,Yes,,Yes,Yes,,,,Yes,Yes,Yes,,,,,1 Year Manufacturer Warranty,Contact - productfeedback@nexxbase.com | support.gonoise.com | +91 8882132132,Manufacturing Defects,Physical Damage,1 Year,Polycarbonate,Buckle,"Change Music, Answer Calls",,,,,,,,,,,,,,,,,,,,,,,
"Noise Crew Go with 1.39"" Display, BT Calling with Metal...","₹1,599",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/z/f/6/-original-imah759hrk24uyjw.jpeg?q=70,https://www.flipkart.com/noise-crew-go-1-39-display-bt-calling-metal-strap-7-days-battery-life-smartwatch/p/itm0e03c14e438f7?pid=SMWGZW3CCRQGAWW7&lid=LSTSMWGZW3CCRQGAWW7EFOBHP&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_1_17&otracker=search&fm=organic&iid=en_ZDnZWtBGII0W_7hSvVnomiz8kt0eJjQ7BQ-Af_hsFF_fqDe4jA_VQ6Cual_1L2s2pL1D63jAbQcFaY_GGqZbAYnfEY2D5bWfIUmTlXs_oiU%3D&ppt=None&ppn=None&ssid=ltjo2u6h340000001739031350985&qH=87968ec020b2016b,2025-02-08 17:15:55,"Smartwatch, Magnetic Charger, User Manual, Warranty Card",wrb-sw-crewgo-meshmtl-gld_gld,"Crew Go with 1.39"" Display, BT Calling with Metal Strap and 7 Days Battery Life",Gold,Round,Gold,Stainless steel,Regular,Yes,Yes,1 m,Fitness & Outdoor,Women,Android & iOS,Gold Link,"Heart Rate, Accelerometer",,Yes,,,,Up to 7 Days,Yes,,,,Yes,Yes,,,,,10 m,,240 x 240 pixel,35.306 mm,TFT,,,,Yes,Yes,Yes,,,Yes,,,Yes,,,,Yes,Yes,,,,,,1 Year Warranty from the date of purchase,Contact - help@nexxbase.com | support.gonoise.com | 02268056040,Warranty is applicable on manufacturing defects for all the products for 1 Year and accessories (If any) for 3 months from the date of purchase.,"unauthorized tampering, modification or repairs ; physical damage ; water logging or any other damage due to heat, humidity or moisture doing operations",1 Year,Metal,,,v5.3,,,,,,,,,,,,,,,,,,,,,,
"Noise Icon 4 with Stunning 1.96'' AMOLED Display, Metal...","₹1,699",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/x/l/2/-original-imah6s6ps2qqg67c.jpeg?q=70,https://www.flipkart.com/noise-icon-4-stunning-1-96-amoled-display-metallic-finish-bt-calling-smartwatch/p/itm2300420ac9f28?pid=SMWGWZVPGGTDVZRG&lid=LSTSMWGWZVPGGTDVZRGOCH4NS&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_1_21&otracker=search&fm=organic&iid=en_ZDnZWtBGII0W_7hSvVnomiz8kt0eJjQ7BQ-Af_hsFF9V9eRmGZMZ_q7pfIGho8LlIEs5RJUcb7S9I2dA-DkywPcUmN_6PwCReg_VTM4VLxo%3D&ppt=None&ppn=None&ssid=ltjo2u6h340000001739031350985&qH=87968ec020b2016b,2025-02-08 17:15:55,1 smartwatch,wrb-sw-colorfiticon4-std-gld_blk,"Icon 4 with Stunning 1.96'' AMOLED Display, Metallic Finish, BT Calling",Gold,Rectangle,Black,Silicone,Regular,Yes,Yes,,Fitness & Outdoor,Men & Women,Android & iOS,Midnight Gold,"Heart Rate, SpO2",,Yes,,,,Upto 7 days,Yes,,,,Yes,Yes,,,,,10 m,,410 x 502 pixel,49.784 mm,AMOLED,,,,Yes,Yes,Yes,,,Yes,,,Yes,,,,Yes,Yes,,,,,,1 Year Manufacturer Warranty,Contact - help@nexxbase.com | support.gonoise.in | +91 8882132132,Manufacturing Defects,Physical Damage,1 Year,Polycarbonate,Buckle,,,,,,,,,,,,,,,,,,,,,,,,
Fire-Boltt Hurricane 33.02mm (1.3) Curved Glass Display...,"₹1,199",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/8/1/l/-original-imah4edd7hhah6eu.jpeg?q=70,https://www.flipkart.com/fire-boltt-hurricane-33-02mm-1-3-curved-glass-display-bt-calling-100-sports-modes-smartwatch/p/itm64b4fe6864a92?pid=SMWGD53JGHQMYZFF&lid=LSTSMWGD53JGHQMYZFFAT40XM&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_1_25&otracker=search&fm=organic&iid=601d1595-d6c1-465d-a54d-07181143265b.SMWGD53JGHQMYZFF.SEARCH&ppt=None&ppn=None&ssid=ltjo2u6h340000001739031350985&qH=87968ec020b2016b,2025-02-08 17:15:55,"1 Smartwatch, 1 Charging Cable, 1 Manual",BSW034,"Hurricane 33.02mm (1.3) Curved Glass Display with BT Calling, 100+ Sports Modes",Black,Round,Black,Silicone,Free Size,Yes,Yes,1 m,"Fitness & Outdoor, Health & Medical",Men & Women,Android & iOS,Black,"SpO2, Heart Rate Sensor, Accelerometer, Barometer",Mobile Phones,"Call, SMS, Whatsapp, Facebook, Twiter, Other Social Apps, Sedentary Reminder, Goal Completion","Call, SMS, Whatsapp, Facebook, Twiter, Other Social Apps, Sedentary Reminder, Goal Completion",Lithium Ion,120 Min,"7 days normal, 15 days standby",Yes,USB Cable With Metalic Charging Points,360 hr,,No,Yes,No,No,No,No,10 m,"Reject Calls, Silent Calls",240 x 240 Pixels,1.3 mm,HD,No,Yes,2.5D Curved Glass for Best Retina HD Color Display with Automatic Motion Recognition,Yes,Yes,Yes,No,"Automatic Motion Recognition, 360 Health Cover – SpO2, Heart Rate & Sleep Monitoring, Breathe Monitoring 30 Sports Mode IP67 Water Resistance Smart Alarm, Sedentary Reminder Notifications",Date & Time,No,No,Yes,No,English,"1.3 Color HD Full Touch Screen with 240 x 240 pixel resolution, 2.5D Curved Glass for Best Retina HD Color Display with Automatic Motion Recognition,SpO2 Monitoring, Continuous Heart Rate Tracking, 30 Sports Modes | IP67 Water Resistance, Superior Battery Life 7 Days & Standby Time 15 Days, Find Phone Feature – Use this feature to find your phone, Stay Socially Connected with all Notification Alerts",No,No,No,39 mm,39 mm,9.8 mm,36 g,Contact infocare@boltt.com to Claim Warranty. Replacement will be given by the brand against Manufacturing Defects.,Carry-in,Manufacturing Defects,Physical & Water Damage,1 Year,Zink Alloy,Buckle,,v5.0,Limited Support,"Compatible OS Android 5.0 or above , iOS 9.0 or above.",1,33 mm,,,,,,,,,,,,,,,,,,
GameSir I8 Pro Smart Watch Series 8 with multiple Featu...,₹569,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/0/5/d/39-i8-black-050-android-ios-gamesir-yes-original-imah34nusyudfb6c.jpeg?q=70,https://www.flipkart.com/gamesir-i8-pro-smart-watch-series-8-multiple-features-smartwatch-men-women/p/itm71dd684be3e44?pid=SMWH34NUNFTUCASU&lid=LSTSMWH34NUNFTUCASUPQPZBI&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_1_29&otracker=search&fm=organic&iid=601d1595-d6c1-465d-a54d-07181143265b.SMWH34NUNFTUCASU.SEARCH&ppt=None&ppn=None&ssid=ltjo2u6h340000001739031350985&qH=87968ec020b2016b,2025-02-08 17:15:55,1 Watch + Charger,I8 Black-050,I8 Pro Smart Watch Series 8 with multiple Features Smartwatch for Men & Women,Black,Rectangle,Black,Silicone,1.75 Inch Full Screen Display,Yes,No,0.5 m,Fitness & Outdoor,Men & Women,Android & iOS,Black,Fitness Health Sports Real time Track and Accurate answer,"iPhone, Samsung, VIVO, Oppo, MI, Realme, Nokia, Motorola","The Gamesir I8 BT smartwatch keeps you connected with timely notifications for calls, messages, and social media updates, ensuring you stay informed without needing to check your phone constantly.",Ring Vibrate,Lithium Polymer,100 min,2 Days Battery after Proper use,Yes,magnetic charger,50 hr,"Running watch: Tailored for runners with features 
Sport watch: Designed for sports activities with durability and specialized tracking.
Music watch: Enables music playback directly from the watch.
Game watch: Features built-in games or gaming apps for entertainment.
Calculator watch: Includes a built-in calculator function for basic calculations.
Calendar watch: Displays calendar information and event reminders.
Luxury watch: A premium timepiece crafted with high-quality materials and superior design.
Fashion watch: Combines style with functionality for a trendy look.
Best watch: Recognized for its outstanding performance and user satisfaction.
Calling watch: Allows making and receiving calls directly from the wrist.
Calling smart watch: Smartwatch with calling capabilities for seamless communication.
Watch: Portable timepiece displaying time and sometimes additional features.
BT calling watch: Enables calls via Bluetooth connection with a smartphone.
BT watch: Timepiece with Bluetooth connectivity for wireless interaction.
BT calling smart watch: Smartwatch with Bluetooth calling functionality for hands-free communication.",Yes,Yes,No,No,No,No,10 m,"Make Calls, Receive Calls, Mute & Reject Calls, Pick Calls, Mobile like dial, Contacts by NAME",300X200 pixel,39 mm,IPS TFT,Yes,Yes,Size: Big Display Type:Amoled Oled Resolution: 200X300 Touchscreen: Smooth & YES Brightness and Visibility: Increase,Yes,Yes,Yes,No,Best Look Wrist watch & Running all fitness cover,Yes,No,Yes,Yes,No,20+ Languages,"Music Operate Camera Operate, Customize Watch Faces, Normal Battery Standby 7 Days, Games, Real time activity tracker also Health parameter",Speaker Available 1,Mic Available 1,Yes,,,,,3 Month of Manufacturing Warranty,"WOWSTORES ENTERPRISES PLOT NO 2A 190/191, G NEELKANTH PALACE, EAST OF KAILASH,NEW DELHI, SOUTH DELHI, DELHI, 110065 DELHI,India-110065 melbon.2015@gmail.com 8130422368",Manufacturing defect,physical damaged,3 Months,TFT IPS,Clip on,"Wheather, Calls, Music, Camera, Health, Watch Faces",5.0,you will find in manual guide,App and Bluetooth,2,,10 m,1 hr,Android and ios,512 MB,1 GB,Yes,Operate Smooth,Music control,Mp3,100 dB,Streaming musicNotifications:Make call and received call,0 Months,,,,,,
