title,price,rating,reviews,image_url,product_url,collection_date,Sales Package,Model Number,Model Name,Dial Shape,Strap Color,Strap Material,Size,Touchscreen,Water Resistant,Water Resistance Depth,Usage,Dial Material,Ideal For,Compatible OS,Brand Strap Color,Closure,Sensor,Compatible Device,Battery Type,Charge Time,Battery Life,Rechargeable Battery,Charger Type,Operating System,Number of Cores,Processor Name,Processor Speed,Internal Memory,Call Function,Bluetooth,Wi-Fi,GPS,Messaging Support,Bluetooth Version,Email Support,Operating Range,Call Features,Third Party App Support,Other Connectivity Features,Display Resolution,Display Size,Display Type,Scratch Resistant,Calorie Count,Step Count,Heart Rate Monitor,Other Fitness Features,Date & Time Display,Compass,Calendar,Alarm Clock,Number of Buttons,Other Watch Functions,Speaker,Microphone,Voice Control,Width,Height,Thickness,Weight,Domestic Warranty,Notification,Notification Type,Other Features,Other Camera Features,Backlight Display,Other Display Features,Altimeter,Chronograph,Language,Audio Features,Gesture Control,Other Multimedia Features,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Talk time,Stand By Time,Dial Color,Maximum Operating Altitude,RAM,Flash,Supported Audio Format,Other Dimensions,International Warranty,Diameter,Expandable Memory,Video Features,Primary Camera,Speaker Volume,Supported Video Format,HD Recording,HD Playback,Compatible Operating System
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,1/29/2025 2:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,1/29/2025 2:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAMSUNG Galaxy Watch FE, 40mm BT, Sapphire Crystal Disp...","₹11,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/1/r/h/-original-imah5fafm32rfa7n.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-watch-fe-40mm-bt-sapphire-crystal-display-sleep-coach-fall-detection/p/itmeffd133da0cf5?pid=SMWH4YYBX9D6SMDM&lid=LSTSMWH4YYBX9D6SMDMFNXQQL&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_1_1&otracker=search&fm=organic&iid=en_qDuUExRnKyG3ic_744byhfw0hy3WOpdwgvrNoWOXfP4ohPMpIMZBVb8QNoWl_8KWbHyjomi1H-5CRJHZWPb1Pw%3D%3D&ppt=None&ppn=None&ssid=b926zj6jps0000001738113730406&qH=87968ec020b2016b,1/29/2025 2:22,"Smartwatch, Silicone Strap, Wireless Charger, Quick Start Guide",SM-R861NZKAINS,"Galaxy Watch FE, 40mm BT, Sapphire Crystal Display, Sleep Coach, Fall Detection",Round,Black,Silicone,Small,Yes,Yes,50 m,Fitness & Outdoor,Aluminum,Men & Women,Android,Black,Hook Buckle,"Accelerometer, Barometer, Bioelectrical Impedance Analysis Sensor, Electrical Heart Sensor, Gyro Sensor, Geomagnetic Sensor, Light Sensor, Optical Heart Rate Sensor",Android Smartphone,Lithium Ion,107 min,Upto 40 Hours,Yes,Type C Wireless Charger,Android,2,Exynos W920 (5nm),1.18 GHz,16 GB,Yes,Yes,Yes,Yes,Yes,v5.3,Yes,10 m,"Answer, Mute, Reject Calls, Speed Dial",Full Support,Bluetooth,396 x 396 Pixels,40 mm,Super AMOLED,Yes,Yes,Yes,Yes,"Accelerometer, Barometer, Bioelectrical Impedance Analysis Sensor, Electrical Heart Sensor, Gyro Sensor, Geomagnetic Sensor, Light Sensor, Optical Heart Rate Sensor",Date & Time,Yes,Yes,Yes,2,"Blood Pressure Monitor, ECG, IHRN, Activity Tracker, Always On Display, Contactless Payments",Yes,Yes,Yes,40.4 mm,39.3 mm,9.8 mm,26.6 mm,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fastrack Revoltt X2 with 1.91'' BT Calling|Rotating Cro...,"₹1,199",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/q/e/7/-original-imahyzbj9jhhsh3h.jpeg?q=70,https://www.flipkart.com/fastrack-revoltt-x2-1-91-bt-calling-rotating-crown-60-hz-refresh-rate-fast-charge-smartwatch/p/itm8318d5eb87c01?pid=SMWHY8YMK5KUC7Y3&lid=LSTSMWHY8YMK5KUC7Y3EGGF0C&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_1_5&otracker=search&fm=organic&iid=f242cb1c-2abf-4f83-983d-fd7017101604.SMWHY8YMK5KUC7Y3.SEARCH&ppt=None&ppn=None&ssid=b926zj6jps0000001738113730406&qH=87968ec020b2016b,1/29/2025 2:22,"Smartwatch, Charging Cable, Quick Start Guide, Warranty Card",38137PP01,Revoltt X2 with 1.91'' BT Calling|Rotating Crown|60 Hz Refresh Rate|Fast Charge,Rectangle,Black,Silicone,Free Size,Yes,Yes,1.5 m,Fitness & Outdoor,Polycarbonate,Men & Women,Android & iOS,Black,Buckle,Accelerometer,,Lithium Polymer,120 min,7 Days,Yes,Pogo Pin Charging Cable,,,,,,Yes,Yes,No,No,Yes,v5.3,,10 m,"Call Answer, Call Reject, Call Mute, Call Notifications, Quick Replies (Android)",Not Supported,,240 x 296 Pixels,48.514 mm,LCD,No,Yes,Yes,Yes,"One Click Health Measurement, 24*7 HRM, Auto Stress, SpO2, Sleep Tracker, Women's Health, Activity Tracker, Breathe Exercise, 100+ Multisports",Yes,No,No,Yes,1,"Functional Crown, AI Voice Assistant, 100+ Sports Modes with Sports Records, Multiple Menu Styles, Built-In Games, Calculator, Alarm, Stopwatch, Timer, 100+ Watchfaces",Yes,Yes,Yes,38 mm,46.6 mm,10.78 mm,42.5 g,1 Year,"Call Notifications , Call Answer & Reject, Call Mute, Social Media Notifications, SMS Notifictaions, Other App Notification",Ring and Vibration,"1.91"" UltraVU HD Display with bright Pixel Resolution, SingleSync BT Calling with Quick Replies, Calculator, AI Voice Assistant, 100+ Sports Modes with Sports Records, One Click Health Measurement, Auto Stress Monitor, 24x7 Heart Rate Monitor, SpO2 and Sleep Monitor with REM Sleep, Breathe Exercise, Alarm, Stopwatch and Timer, Notifications, Weather Display, Camera and Music Control, Multiple Menu Styles, In-Built Games",Camera Control,Yes,UltraVU HD Display,No,No,English,Music Control,No,Music Control,1 Year Limited Warranty,Titan customer care At 1800-266-0123 or email us at customercare@titan.co.in,Manufacturing Defects,Physical Damage,,,,,,,,,,,,,,,,,,
Yash Enterprises PulseWave Smart Band Watch T500 T800 M...,₹491,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/g/k/p/49-t800-ultra-special-edition-smartwatch-with-bluetooth-calling-original-imah5yk2xxnjmgbt.jpeg?q=70,https://www.flipkart.com/yash-enterprises-pulsewave-smart-band-watch-t500-t800-men-bt-call-x8-ultra-smartwatch/p/itm262c81a4bf741?pid=SMWGZ5HKE8HHG2VU&lid=LSTSMWGZ5HKE8HHG2VUVZE1RD&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_1_9&otracker=search&fm=organic&iid=f242cb1c-2abf-4f83-983d-fd7017101604.SMWGZ5HKE8HHG2VU.SEARCH&ppt=None&ppn=None&ssid=b926zj6jps0000001738113730406&qH=87968ec020b2016b,1/29/2025 2:22,"1 SMART WATCH, 1 USER MANUAL",PulseWave Smart Band T500 T800,PulseWave Smart Band Watch T500 T800 Men BT Call X8 Ultra,Square,Black,Silicone,Free Size,Yes,Yes,,Watchphone,Aluminium,Men & Women,Android & iOS,Black,,"Accelerometer, Gyroscope, Proximity Sensor",,Lithium Ion,60 min,3 Days,Yes,Wireless,,,,,,Yes,Yes,,,Yes,,Yes,,"Mute Calls, Reject Calls, Take Calls, Speed Dial",,,320 x 320 pixel,49 44,AMOLED,Yes,Yes,Yes,Yes,,Date & Time,,Yes,Yes,3,,Yes,Yes,,,,,,,"Calendar Reminder, Missed Call Notification","Ringer, Vibration",,,Yes,,Yes,Yes,,,,,,,,,72 hr,72 hr,,,,,,,,,,,,,,,,
"GameSir Silver T800 Ultra Smartwatch Stainless Steel, B...",₹760,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/n/a/h/40-t800-ultra-metal-silver-android-ios-gamesir-yes-original-imah7n7esfzaggxp.jpeg?q=70,https://www.flipkart.com/gamesir-silver-t800-ultra-smartwatch-stainless-steel-bt-calling-fitness-music/p/itmfb5e9269e409f?pid=SMWH78HJEEVHFARH&lid=LSTSMWH78HJEEVHFARHSSCHU1&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_1_13&otracker=search&fm=organic&iid=f242cb1c-2abf-4f83-983d-fd7017101604.SMWH78HJEEVHFARH.SEARCH&ppt=None&ppn=None&ssid=b926zj6jps0000001738113730406&qH=87968ec020b2016b,1/29/2025 2:22,1 Smart watch,T800 Ultra Metal Silver,"Silver T800 Ultra Smartwatch Stainless Steel, BT Calling, Fitness & Music",Rectangle,Silver,Stainless steel,Free Size,Yes,Yes,0.5 m,"Health & Medical, Fitness & Outdoor, Notifier, Watchphone, Safety & Security",Amoled,Men & Women,Android & iOS,Silver Metal,Clip-on,Proxymity,All Smart Phones & iOS,Lithium Polymer,100 min,3-5 Days,Yes,Wireless Charger,Android and ios,Dual core,Snapdragon,,512 MB,Yes,Yes,No,No,Yes,5,No,10 m,Take Calls Reject | Missed Calls | Dial Pad | Contacts,Hi Watch,App and Bluetooth,360*360 pixel,40 mm,AMOLED,Yes,Yes,Yes,Yes,Heart rate | Blood pressure | Blood oxygen | Time display | Step counting | Calories Distance,Yes,No,Yes,Yes,3,Fitness Tracking | Heart Rate Monitoring | Weather Forecast,Yes,Yes,Yes,,,,,3 Months,Call & Message Notifications | Alarm & Reminder | Social media Notification,Vibrate and ringing,"IP67 waterproof protection, Stay connected with Bluetooth calling, easy to manage your calls directly from your Smart watch, this Smart watch covered yoga or gym workouts, 100 dynamic watch faces to match your style and 100+ sports modes for accurate tracking activities. health monitoring, fitness tracking and heart rate monitoring. This smartwatch is designed to support your active lifestyle and help you achieve your wellness goals",Remote camera,Yes,Touchscreen Interface | Customizable Watch Faces | Adjustable Brightness Levels | Adjustable Brightness Levels | Always-On Display Option | High Resolution,No,No,Multi language,"Clear voice, Better Speaker Quality",Make Calls | Answer Calls | Mute Rejects Calls | Missed calls | Contacts,Music controlMake call and received callApp notificationsCamera control,3 month warranty,Carry on Warranty - ircinnovations@gmail.com,Manufacturing Defects,Physical Damage,8 hr,72 hr,Silver,10 m,1 GB,Yes,Mp3,Standard,0 Months,,,,,,,,,
"boAt Storm call 3 w/TBT Navigation,Watch Face Studio,1....","₹1,399",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/p/3/t/-original-imahy7fhzhwbugaf.jpeg?q=70,https://www.flipkart.com/boat-storm-call-3-w-tbt-navigation-watch-face-studio-1-83-4-6-cm-hd-display-qr-tray-smartwatch/p/itm586335e08aa88?pid=SMWGXWZDAAFJXCXB&lid=LSTSMWGXWZDAAFJXCXBJAG2M1&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_1_17&otracker=search&fm=organic&iid=en_qDuUExRnKyG3ic_744byhfw0hy3WOpdwgvrNoWOXfP7VYWlPvVE0GaFIIOU4cwRnvFofHMvFnhcHduVESq7jakhz9c-MSIoFe8xMxkfU6dM%3D&ppt=None&ppn=None&ssid=b926zj6jps0000001738113730406&qH=87968ec020b2016b,1/29/2025 2:22,"Storm Call 3, ?User Manual, Warranty Card, USB Magnetic Charging Cable",Storm call 3,"Storm call 3 w/TBT Navigation,Watch Face Studio,1.83''(4.6 cm)HD Display,QR Tray",Rectangle,Black,Silicone,Free Size,Yes,Yes,,Fitness & Outdoor,,Men & Women,Android & iOS,Active Black,,"HR, SpO2 & G-sensor",,,,Upto 7 days,Yes,,,,,,,Yes,Yes,,,,,,,,,,240 x 284 Pixel,46.48 mm,,,Yes,Yes,Yes,100+ Sports Modes,,,Yes,Yes,,,,,,,,,,1 Year,"Text, Call and Social media",,,,,,,,,,,,1 year warranty from the date of purchase,,Manufacturing Defects,Physical Damages,,,,,,,,,,,,,,,,,,
"boAt Lunar Vista w/ 3.8 cm(1.52"") HD & Always On Displa...","₹1,499",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/y/p/x/-original-imah4rgecdbyhptn.jpeg?q=70,https://www.flipkart.com/boat-lunar-vista-w-3-8-cm-1-52-hd-always-display-bt-calling-functional-crown-smartwatch/p/itmeb8245d23caf1?pid=SMWH4DGGD4QRQ6GC&lid=LSTSMWH4DGGD4QRQ6GC4I35MX&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_1_21&otracker=search&fm=organic&iid=en_qDuUExRnKyG3ic_744byhfw0hy3WOpdwgvrNoWOXfP7lmlkiT-rxMiYJGec-DmBLzL4rqnNh0IP-0jUpX1aQzssrgPW5YLzJU0_H6_RHKR0%3D&ppt=None&ppn=None&ssid=b926zj6jps0000001738113730406&qH=87968ec020b2016b,1/29/2025 2:22,"Smartwatch, Charging Cable, User Manual",Lunar Vista,"Lunar Vista w/ 3.8 cm(1.52"") HD & Always On Display,BT Calling, Functional Crown",Round,Black,Silicone,Free Size,Yes,Yes,,Fitness & Outdoor,,Men & Women,Android & iOS,Active Black,,"HR, SpO2 & G-sensor",,,,Upto 7 days,,,,,,,,Yes,Yes,,,,,,,,,,360 x 360 Pixels,38.6 mm,,,Yes,Yes,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,1 year warranty from the date of purchase,Reach out to us at info@imaginemarketingindia.com,Manufacturing Defects,Physical Damage,,,,,,,,,,,,,,,,,,
"Noise Icon Buzz 1.69"" Display with Bluetooth Calling, B...","₹1,399",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/i/4/b/-original-imah2thy4cphhcbe.jpeg?q=70,https://www.flipkart.com/noise-icon-buzz-1-69-display-bluetooth-calling-built-in-games-voice-assistant-smartwatch/p/itmfb38271d722a7?pid=SMWGAU62XCAESACH&lid=LSTSMWGAU62XCAESACHPEGSDQ&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_1_25&otracker=search&fm=organic&iid=f242cb1c-2abf-4f83-983d-fd7017101604.SMWGAU62XCAESACH.SEARCH&ppt=None&ppn=None&ssid=b926zj6jps0000001738113730406&qH=87968ec020b2016b,1/29/2025 2:22,"1x Smartwatch, Charging Cable, User Manual, Thank You Card",NSW-201,"Icon Buzz 1.69"" Display with Bluetooth Calling, Built-In Games, Voice Assistant",Rectangle,Black,Silicone,Regular,Yes,Yes,1 m,Fitness & Outdoor,Polycarbonate,Men & Women,Android & iOS,Jet Black,Buckle,"Heart Rate, SpO2","iPhone, Android Smartphones",,120 min,7 Days,Yes,Magnetic Charger,,,,,,Yes,Yes,,,Yes,v5.1,Yes,10 m,"Reject Calls, Take Calls, Speed Dial",NoiseFit Track App,,240 x 280 pixel,1.69 inch,LCD,Yes,Yes,Yes,Yes,"Keep a closer eye on your health with ColorFit Icon Buzz, that comes with SpO2, sleep and 24/7 heart rate monitor.",Yes,,Yes,Yes,,Bluetooth Calling | Voice Assistant | Built-in Games | 7-day battery | Cloud-based watch faces | SpO2 monitor | 1.69’’ TFT LCD display | 24/7 heart rate monitor | IP67 waterproof | Weather Report,Yes,Yes,Yes,,,,50 g,1 Year,"Smart Notifications (Calls, Text, Email, Social Media App Alerts, Weather), Alarm Clock, Calendar Alerts)",,"● Bluetooth calling: Make the smart call with Noise’s first Bluetooth calling smartwatch, loaded with smart features.
● Voice Assistance (AI voice assistance): From making calls, playing music, checking the weather, let your smartwatch do as you command, thanks to ColorFit Icon Buzz’s voice assistance feature.
● 1.69” TFT LCD display: Maximise your viewing experience with ColorFit Buzz’s stunning 1.69” TFT LCD display.
● In-built games: ColorFit Icon Buzz is more than just fitness, it’s your partner in fun, with 2 in-built games.
● Noise Health Suite: Keep a closer eye on your health with ColorFit Icon Buzz, that comes with SpO2, sleep and 24/7 heart rate monitor.
● Up to 7-day battery: Empower your workouts with ColorFit Icon Buzz’s up to 7-day battery.
● 100+ watch faces: Different faces for different moods. Get more than 100 cloud-based & customisable watch faces with ColorFit Icon Buzz.
● IP67 Waterproof: Be adventure ready with IP67 rated waterproof ColorFit Icon Buzz.
● Weather report: Take a weather check before making plans, with ColorFit Icon Buzz’s weather report feature.",,,1.69” TFT LCD Display,,,,,"Change Music, Answer Calls",,1 Year Manufacturer Warranty,Contact - help@nexxbase.com | support.gonoise.in | +91 8882132132,Manufacturing Defects,Physical Damage,,,Black,,,,,,,,,,,,,,,
"Fire-Boltt Rise BT Calling 47mm (1.85), Voice Assistanc...","₹1,199",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/h/u/i/-original-imah82pnswgua2vh.jpeg?q=70,https://www.flipkart.com/fire-boltt-rise-bt-calling-47mm-1-85-voice-assistance-123-sports-single-connection-smartwatch/p/itme16438ff2af16?pid=SMWGKVYJNGEXZEHJ&lid=LSTSMWGKVYJNGEXZEHJSVIZKS&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_1_29&otracker=search&fm=organic&iid=f242cb1c-2abf-4f83-983d-fd7017101604.SMWGKVYJNGEXZEHJ.SEARCH&ppt=None&ppn=None&ssid=b926zj6jps0000001738113730406&qH=87968ec020b2016b,1/29/2025 2:22,"1 Smartwatch, 1 Charging Cable, 1 Manual",BSW069,"Rise BT Calling 47mm (1.85), Voice Assistance & 123 Sports Single BT Connection",Square,Grey,Silicone,Free Size,Yes,Yes,1 m,Fitness & Outdoor,,Men & Women,Android & iOS,Grey,Buckle,"Bluetooth Calling, SpO2, Optical Heart Rate Sensor Tianyihexin 3605, Accelerometer, Barometer, Gyro Sensor, Light Sensor.G-Sensor SC7A20",,Lithium Ion,120 min,Upto 7 Days,Yes,USB Cable With Magnetic Charging Points,,,,,,Yes,Yes,No,No,No,v5.0,No,10 m,,,"Single BT Connection Bluetooth Calling Smartwatch, Compatible OS Android 4.4 or above , iOS 8.0 or above, Bluetooth Version:BT 5.0 or above",240 x 280 Pixels,1.85 inch,HD,Yes,Yes,Yes,Yes,"SPO2, Heart Rate Tracking, Sports Data Analysis, Sleep Tracking, Step Count, Calorie Count, Distance Measurement, 123 Sports Mode (running/walking/badminton/cycling/basketball/soccer/skipping rope)",Date & Time,No,No,Yes,2,"1. Fire-Boltt Rise Bluetooth Calling Smartwatch with Neon UI & 8 UI style switching, 2.Supports Bluetooth Calling : You can make and receive calls through the watch, 3. InBuilt Voice Assistance, 4.Large Squaare Screen : 1.85 inch screen with Ultra High Resolution of 240 x 280 Pixels, 5.123 Sports Mode & 360 Health Control : Heart rate monitor, blood oxygen measure, Sleep Monitoring, Breathe Exercise, 6.Music Player : Control your phone music playing and play the music on the watch with independent speaker, 7.Enjoy seamless calling and talking through the watch with latest microphone 4015MIC & mic is IP67 Waterproof, 8.Contact Sync : Sync favourite contacts on your watch via your the app, 9.Call Logs : Check missed calls and answered calls on the watch, 10.Pedometer : Multiple sports modes selection, steps, calorie, distance record, 11.Sedentary Reminders : Time to work out, change the unhealthy mode of life, 12.Other Functions : Alarm clock, Stopwatch, Timer, Low Power Mode, DND, Flashlight & more.",Yes,Yes,Yes,43.4 mm,37.8 mm,11.48 mm,80 g,,"Call, SMS, Whatsapp, Facebook, Twiter, Other Social Apps, Sedentary Reminder, Goal Completion",Ring (Only in Bluetooth Calling Mode) and Vibration,,,No,,No,Yes,English,,Wrist Wake Function,,,,,,,,Grey,,,,,,,46.99 mm,,,,,,,,
