Category,Title,Price,Case Size,Battery Capacity,Brand,Model,Operating System,Storage Capacity,Collection Date
Smart Watches,"Smartwatch militar masculino (responder/fazer chamadas) 2,01"""" smartwatch para Android-","US $35,99 por unidade",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:59:45
Smart Watches,"🔥2025 Smartwatch Masculino/Feminino, Smartwatch Impermeável Bluetooth iPhone Samsung","EUR 21,90",22 mm,300mAh,IOWODO,Smart Watches,Android Wear,1 GB,2025-01-27 11:56:59
Smart Watches,Smartwatch premium à prova d'água Bluetooth masculino feminino smartwatch para Android iOS,"EUR 9,99",49 mm,N/A,Unbranded,/,N/A,N/A,2025-01-27 11:59:54
Smart Watches,"Smartwatch Fitness Tracker Fitnessuhr mit Schrittzähler, Blutdruck, Puls,  Z21","€ 84,00",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 12:00:01
Smart Watches,Smartwatch masculino | Smartwatch feminino Bluetooth monitor de frequência cardíaca pressão arterial-,"US $8,68",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:57:06
Smart Watches,"Smartwatch 2025 masculino/feminino, smartwatch à prova d'água Bluetooth iPhone Samsung","EUR 19,04",22 mm,300mAh,IOWODO,Smart Watches,Android Wear,1 GB,2025-01-27 11:57:34
Smart Watches,Smartwatch Samsung Galaxy Watch 6 40mm GPS + WiFi + Bluetooth R930 - Muito bom,"EUR 93,35",40 mm,N/A,Samsung,Samsung Galaxy Watch6,Wear OS,16 GB,2025-01-27 12:00:18
Smart Watches,Smartwatch Bluetooth tela grande telefone reprodutor de música fitness monitor de frequência cardíaca,"EUR 48,58",49 mm,N/A,Unbranded,T91,Android Wear,N/A,2025-01-27 12:00:28
Smart Watches,Smartwatch esportivo à prova d'água pulseira esporte monitor de frequência cardíaca fitness,"EUR 5,60","1.3""",N/A,Unbranded,Smart Bracelet,N/A,N/A,2025-01-27 11:59:56
Smart Watches,smartwatch Donna,"€ 34,99",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:56:25
