title,price,image_url,product_url,Special Feature,Part Number,Package Weight,Screen Surface Description,Lighting Method,Indoor/Outdoor Usage,Color,Base Material,Brand,Recommended Uses For Product,Lamp Type,Connectivity Protocol,Style,Item Dimensions  LxWxH,Color Rendering Index (CRI),Finish Type,ASIN,Shade Material,Screen Size,Size,Total Usb Ports,Finish types,Shade Color,Country of Origin,Date First Available,Connectivity Technology,Batteries Required?,Is Waterproof,Item model number,Included Components,Item Weight,Controller Type,Batteries Included?,Voltage,Series,Manufacturer,Material,Screen Resolution,Product Dimensions,Max Screen Resolution,Department,Resolution,Number of Pieces,Water Resistance Level,Room Type,Switch Type,Number of Light Sources,Number of Items,Power Source,Control Method,Specific Uses For Product,Wattage,Is Discontinued By Manufacturer,Shape,Aspect Ratio,Installation Type,Package Dimensions,Light Source Type,Special Features,Image brightness,Mounting Type,Standing screen display size
"24 Inch Monitor IPS Screen FHD 1080p Computer PC Monitor 75hz Flicker Free, 5ms Low ...",MAD 1054,https://m.media-amazon.com/images/I/71x56UDrWeL._AC_US218_.jpg,https://www.ubuy.ma/en/product/MKTIJPZX8-24-inch-monitor-ips-screen-fhd-1080p-computer-pc-monitor-75hz-flicker-free-5ms-low-blue-light-anti-glare-led-24-desktop-display,,,,Glossy,,,,,ADPOP,,,,,,,,B0DHVPQNSZ,,24 Inches (61 cm),,,,,China,"September 24, 2024",,,,BM25TM-ADPOP-NEW,,7.73 pounds (3.51 kg),,,,,ADPOP,,,10 x 2 x 12 inches (25.4 x 5.1 x 30.5 cm),,,1920 x 1080 Pixels,,,,,,,,,,,,,16:9,,,,,250 cd/m²,,24 Inches (61 cm)
"21.5 Inch Monitor, Full HD 1080p Computer Monitor with VGA & HDMI Ports, 75Hz ...",MAD 1286,https://m.media-amazon.com/images/I/718hrjhyFCL._AC_SL1500_.jpg,https://www.ubuy.ma/en/product/8ROV6862U-feihe-17-inch-computer-monitor-fhd-1920x1200-led-monitor-with-hdmi-vga-build-in-speakers-60hz-refresh-rate-vesa-mounting,,,,Glossy,,,,,Feihe,,,,,,,,B09Q3NF7W6,,21.5 Inches (54.6 cm),,,,,China,"January 10, 2022",,,,FH-21.5 INCH (54.6 cm),,7.37 pounds (3.34 kg),,,,,Feihe,,,0.7 x 20.1 x 14.9 inches (1.8 x 51.1 x 37.8 cm),,,1920x1080 Pixels,,,,,,,,,,,,,16:9,,,,,,,21.5 Inches (54.6 cm)
"21.5 Inch Monitor, Full HD 1080p Computer Monitor with VGA & HDMI Ports, 75Hz ...",MAD 1286,https://m.media-amazon.com/images/I/718hrjhyFCL._AC_US218_.jpg,https://www.ubuy.ma/en/product/4KGGXKEM4-feihe-1920-x-1080p-computer-monitor-21-5-inch-monitor-with-75hz-refresh-rate-5s-response-time-built-in-dual-speakers-computer-screen-with,,,,Glossy,,,,,Feihe,,,,,,,,B09Q3NF7W6,,21.5 Inches (54.6 cm),,,,,China,"January 10, 2022",,,,FH-21.5 INCH (54.6 cm),,7.37 pounds (3.34 kg),,,,,Feihe,,,0.7 x 20.1 x 14.9 inches (1.8 x 51.1 x 37.8 cm),,,1920x1080 Pixels,,,,,,,,,,,,,16:9,,,,,,,21.5 Inches (54.6 cm)
"24 Inch Monitor 75Hz FHD IPS Computer Screen 1080P PC Monitor, 5msGTG 99% sRGB Low ...",MAD 1067,https://m.media-amazon.com/images/I/81wRACzPHfL._AC_US218_.jpg,https://www.ubuy.ma/en/product/MW0PX2WO0-24-inch-monitor-75hz-fhd-ips-computer-screen-1080p-pc-monitor-5ms-gtg-99-srgb-low-blue-light-anti-glare-led-desktop-display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24 Inch Monitor 75Hz FHD IPS Computer Screen 1080P PC Monitor, 5msGTG 99% sRGB Low ...",MAD 1067,https://m.media-amazon.com/images/I/71UHSQ-gDAL._AC_SL1500_.jpg,https://www.ubuy.ma/en/product/IRKRLDHH6-24-inch-computer-monitor-fhd-1080p-pc-monitor-75hz-built-in-speakers-99-srgb-low-blue-light-anti-glare-va-screen-desktop-display-whdmiusb,,,,,,,,,GreBear,,,,,,,,B0CTC8PMDY,,,,,,,,"November 16, 2022",,,,,,,,,,,GreBear,,,24 x 18 x 1 inches (61 x 45.7 x 2.5 cm),,,,,,,,,,,,,,,,,,,,,,,
27 Inch Monitor FHD 1080p 75Hz Gaming Monitor Home Office PC Monitor IPS Panel ...,MAD 1286,https://m.media-amazon.com/images/I/71u+LQUnCyL._AC_US218_.jpg,https://www.ubuy.ma/en/product/MKTIJPZV4-27-inch-monitor-fhd-1080p-75hz-gaming-monitor-home-office-pc-monitor-ips-panel-computer-display-hdmi-vga-flicker-free-flicker-free-blue-light,,,,Glossy,,,,,ADPOP,,,,,,,,B0DHVQ8DQN,,27 Inches (68.6 cm),,,,,China,"September 24, 2024",,,,BM27TM-ADPOP,,10.08 pounds (4.57 kg),,,,,ADPOP,,,10 x 2 x 12 inches (25.4 x 5.1 x 30.5 cm),,,1920 x 1080 Pixels,,,,,,,,,,,,,16:9,,,,,,,27 Inches (68.6 cm)
"27 inch Curved Gaming Monitor, 144hz/180hz PC Monitor FHD 1080P VA Screen 1800R ...",MAD 1833,https://m.media-amazon.com/images/I/719+stkL4PL._AC_US218_.jpg,https://www.ubuy.ma/en/product/IQDU0DOMS-zer-lon-27-inch-gaming-monitor-full-hd-1920-x-1080p-computer-monitor-180hz-1ms-1800r-va-curved-monitors-with-dp1-4-hdmi1-4-eye-care-frameless-100-x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inch Monitor 75Hz IPS Panel PC Computer Monitors FHD 1080p LED Display Home ...,MAD 1259,https://m.media-amazon.com/images/I/71KdBrlOc1L._AC_US218_.jpg,https://www.ubuy.ma/en/product/MWAR0ZPX4-27inch-monitor-75hz-ips-panel-pc-computer-monitors-fhd-1080p-led-display-home-office-desktop-screen-hdmi-vga-flicker-free-blue-light-filter,,,,Glossy,,,,,GreBear,,,,,,,,B0DHVF1N4B,,27 Inches (68.6 cm),,,,,China,"September 24, 2024",,,,BM27TM-NEW,,10.1 pounds (4.58 kg),,,,,GreBear,,,1.7 x 25.5 x 18.1 inches (4.3 x 64.8 x 46 cm),,,1920 x 1080 Pixels,,,,,,,,,,,,,16:9,,,,,300 Candela,,27 Inches (68.6 cm)
PC Monitor 15.6 Inch Touchscreen Portable Monitor HDR 1920x1080 100% sRGB ...,MAD 1559,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/JN2FYD7C8-showscren-pc-monitor-15-6-inch-touchscreen-portable-monitor-hdr-1920x1080-100-srgb-hdmi-usb-c-ips-desktop-monitor-with-speakers-for,,,,霧面,,,,,Showscren,,,,,,,,B0D295T94W,,15.6 Inches (39.6 cm),,,,,China,"May 30, 2024",,,,Computer Monitor,,3.67 pounds (1.66 kg),,,,,"Shenzhen Kenowa Electronics Co., LTD",,,1.38 x 14.96 x 9.45 inches (3.5 x 38 x 24 cm),,,1920 x 1080,,,,,,,,,,,,,16:9,,,,,300 Lux,,15.6 Inches (39.6 cm)
KOORUI Monitor 22 Inch Computer Monitor FHD 1080P 75Hz PC Monitor VA Panel 30001 ...,"MAD 1013                                                                        
                                                                            1559",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/4QZHV5E5S-koorui-27-inch-fhd-monitor-computer-monitor-ips-panel-1080p-75hz-hdmi-vga-99-srgb-5ms-response-eye-care-virtually-borderless-design-display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOORUI Monitor 22 Inch Computer Monitor FHD 1080P 75Hz PC Monitor VA Panel 30001 ...,"MAD 1013                                                                        
                                                                            1559",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/JS6O5AEJO-koorui-24-inch-computer-monitor-full-hd-1920-x-1080p-va-display-75hz-3000-1-contrast-ratio-with-hdmi-vga-frameless-75-x-75-mm-vesa-mountable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOORUI Monitor 22 Inch Computer Monitor FHD 1080P 75Hz PC Monitor VA Panel 30001 ...,"MAD 1013                                                                        
                                                                            1559",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/EQJSF6AY8-koorui-22-inch-computer-gaming-monitor-fhd-1080p-desktop-display-with-2-speakers-100hz-ultra-thin-bezel-eye-care-ergonomic-tilt-hdmi-vga-ports-led,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOORUI Monitor 22 Inch Computer Monitor FHD 1080P 75Hz PC Monitor VA Panel 30001 ...,"MAD 1013                                                                        
                                                                            1559",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/BI8IRXA6S-koorui-24-full-hd-ips-monitor-computer-monitors-75hz-5ms-1080p-3-sided-frameless-ultra-slim-design-hdmi-vga-vesa-compatible-eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell 27 inch Monitor, P2722H Full HD 1080p Computer Monitor, Anti Glare 169 IPS ...",MAD 3732,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/FSVXWOZ20-dell-27-inch-monitor-p2722h-full-hd-1080p-computer-monitor-anti-glare-16-9-ips-computer-screen-lcd-60hz-monitor-with-slim-design-for-home-and,,,,Flat,,,,,Le Benton,,,,,,,,B0CH8XJ8GW,,27 Inches (68.6 cm),,4,,,,"September 4, 2023",,,,P2722H,,19.11 pounds (8.67 kg),,,240 Volts (AC),,Le Benton,,,7 x 24 x 15 inches (17.8 x 61 x 38.1 cm),,,1920 x 1080 Pixels,,,,,,,,,,,,,16:9,,,,,300 Lux,,27 Inches (68.6 cm)
