title,price,image_url,product_url,Manufacturer,Colour,Model number,Graphics Card Description,Graphics processor manufacturer,Package Weight,Brand Name,Number of Processors,Country of Origin,Resolution,Memory Clock Speed,Series,Product Dimensions,Computer Memory Type,Graphics RAM size,Language,Graphics co-processor,Guaranteed software updates until,Package Dimensions,Card Description,Color,Graphics Ram Size,Graphics Card Ram Size,Item Dimensions  LxWxH,Compatible devices,Graphics Processor Manufacturer,GPU Clock Speed,Graphics Card Interface,Item Weight,ASIN,Included components,Item model number,Batteries,Video output interface,Graphics Coprocessor,Max Screen Resolution,Are Batteries Included,Processor,Voltage,Is Discontinued By Manufacturer,Operating System,Wattage,GPU clock speed,Memory Speed,Graphics Chipset Brand,Hardware Platform,Brand,Recommended uses for product,Number of Items,RAM,Video Output Interface,Form Factor,Graphics RAM type,Graphics RAM Type,Chipset Brand,Date First Available
RX 580 8GB GDDR5 256bit Gaming Graphics Card 8K 7000MHz 16 PCI Express 3.0 Video ...,MAD 2194,https://m.media-amazon.com/images/I/61z9XY3H4UL._AC_US218_.jpg,https://www.ubuy.ma/en/product/80XLAAOJK-amd-radeon-rx-580-8gb-gddr5-256bit-gaming-graphics-card-8k-7000mhz-16-pci-express-3-0-video-card-with-dual-cooling-fans-dp-hdml-dvi,"Shenzhen IngenuitySuperior Digital Technology Co., Ltd",,,,,,,,China,,,,5.7 x 4.8 x 0.04 inches (14.5 x 12.2 x 0.1 cm),,,,,,,,,4 GB,,,,,1183 MHz,,1.11 pounds (0.5 kg),B0DNX2X87K,,,,,AMD Radeon RX 550,,,,,,,,,,,,Generic,,,,"DisplayPort, DVI, HDMI",,,,,"November 23, 2024"
"RX 580 Graphics Card, GDDR5 8GB 256Bit PCI Express 3.0 x 16 Dual Fan Graphics Card, ...",MAD 1983,https://m.media-amazon.com/images/I/71h48w-NEsL._AC_US218_.jpg,https://www.ubuy.ma/en/product/8CVI01JCA-rx-580-graphics-card-gddr5-8gb-256bit-pci-express-3-0-x-16-dual-fan-graphics-card-8k-desktop-gaming-video-card-computer-gpu-support-dp-dvi-d-pc,"Shenzhen IngenuitySuperior Digital Technology Co., Ltd",,,,,,,,China,,,,5.7 x 4.8 x 0.04 inches (14.5 x 12.2 x 0.1 cm),,,,,,,,,4 GB,,,,,1183 MHz,,1.11 pounds (0.5 kg),B0DNX2X87K,,,,,AMD Radeon RX 550,,,,,,,,,,,,Generic,,,,"DisplayPort, DVI, HDMI",,,,,"November 23, 2024"
"RX 580 Graphics Card, 8GB GDDR5 256bit Gaming Graphics Card Video Cards for PC, PCI ...",MAD 1983,https://m.media-amazon.com/images/I/71Y12gadBRL._AC_US218_.jpg,https://www.ubuy.ma/en/product/7T13T79L8-rx-580-graphics-card-8gb-gddr5-256bit-gaming-graphics-card-video-cards-for-pc-pci-express-x16-3-0-hdmi-2-cooling-fans-1080p-support-hd-60hz,"Shenzhen IngenuitySuperior Digital Technology Co., Ltd",,,,,,,,China,,,,5.7 x 4.8 x 0.04 inches (14.5 x 12.2 x 0.1 cm),,,,,,,,,4 GB,,,,,1183 MHz,,1.11 pounds (0.5 kg),B0DNX2X87K,,,,,AMD Radeon RX 550,,,,,,,,,,,,Generic,,,,"DisplayPort, DVI, HDMI",,,,,"November 23, 2024"
Computer Graphics Cards 4GB HD6770 128bit DDR5 Display Port PC Gaming Video Card ...,MAD 890,https://m.media-amazon.com/images/I/610mvM-5DmL._AC_US218_.jpg,https://www.ubuy.ma/en/product/N26CMQM0E-computer-graphics-cards-4gb-hd6770-128bit-ddr5-display-port-pc-gaming-video-card-pci-express-2-0-16x-with-dvi-i-and-vga-ports-for-gaming-desktop-pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD RX 550 Graphics Card 4GB GDDR5 Outperforms GT 1030 by 25% 4K 128-bit ...,MAD 1081,https://m.media-amazon.com/images/I/514ob-aRlYL._AC_US218_.jpg,https://www.ubuy.ma/en/product/MVW4USLW4-amd-rx-550-graphics-card-4gb-gddr5-outperforms-gt-1030-by-25-4k-128-bit-hdmi-dp-dvi-1100-1183-1500-base-boost-mem-no-power-cable-needed,VBESTLIFE,,,,,,,,China,,,,,,,,,,11.61 x 7.8 x 4.37 inches (29.5 x 19.8 x 11.1 cm),,,8 GB,,,,,1244 MHz,,1.78 pounds (0.81 kg),B0CSFDMXZT,,VBESTLIFEvu1cbgm5kf,,,AMD Radeon RX 580,,,,,,,,,,,,VBESTLIFE,,,,HDMI,,,,,"January 16, 2024"
"AMD RX 550 Graphics Card, 4GB GDDR5, Outperforms GT 1030 by 25% 4K 128-bit ...",MAD 1081,https://m.media-amazon.com/images/I/61VCqjdMVLL._AC_US218_.jpg,https://www.ubuy.ma/en/product/JUVKML8J6-amd-rx-550-graphics-card-4gb-gddr5-outperforms-gt-1030-by-25-4k-128-bit-hdmi-dp-dvi-1100-1183-1500-base-boost-mem-no-power-cable-needed,VBESTLIFE,,,,,,,,China,,,,,,,,,,11.61 x 7.8 x 4.37 inches (29.5 x 19.8 x 11.1 cm),,,8 GB,,,,,1244 MHz,,1.78 pounds (0.81 kg),B0CSFDMXZT,,VBESTLIFEvu1cbgm5kf,,,AMD Radeon RX 580,,,,,,,,,,,,VBESTLIFE,,,,HDMI,,,,,"January 16, 2024"
Gaming graphicsFit for YESTON Graphics Card GT-1030 4GB DDR4 64-Bit PCI Express ...,MAD 4369,https://m.media-amazon.com/images/I/6103vsjMy4L._AC_US218_.jpg,https://www.ubuy.ma/en/product/AYO3QH4OG-jyhf-gaming-graphicsfit-for-yeston-graphics-card-gt-1030-4gb-ddr4-64-bit-pci-express-computer-gaming-video-card-gpu-geforce-windows7-8-10-btc-min,ZER-LON,,,,,,,,China,,,,6.1 x 4.2 x 0.8 inches (15.5 x 10.7 x 2 cm),,,,,,,,,4.00,,,,,700 MHz,,13.4 ounces (379.89 grams),B09KTFWNPK,,GT 730 4G,,,GT 730,,,,,,,,,,,,ZER-LON,,,,"VGA, DVI, HDMI",,,,,"November 2, 2021"
"EVGA GeForce GTX TITAN Z 12GB GAMING, Fastest NVIDIA GPU Graphics Card 12G-P4-3990-KR",MAD 12340,https://m.media-amazon.com/images/I/71w+wxT6puL._AC_US218_.jpg,https://www.ubuy.ma/en/product/7NVP6662-evga-geforce-gtx-titan-z-12gb-gddr5-768-bit-gpu-graphics-card-12g-p4-3990-kr,ZER-LON,,,,,,,,China,,,,6.1 x 4.2 x 0.8 inches (15.5 x 10.7 x 2 cm),,,,,,,,,4.00,,,,,700 MHz,,13.4 ounces (379.89 grams),B09KTFWNPK,,GT 730 4G,,,GT 730,,,,,,,,,,,,ZER-LON,,,,"VGA, DVI, HDMI",,,,,"November 2, 2021"
"RX 580 Gaming Graphics Card, 8GB GDDR5 256bit Gaming GPU Graphics Card with , DVI, ...",MAD 1959,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/IW5GXIDM8-rx-580-gaming-graphics-card-8gb-gddr5-256bit-gaming-gpu-graphics-card-with-dp-hdmi-dvi-16-x-pci-express-3-0-dual-cooling-fans-graphics-card,ZER-LON,,,,,,,,China,,,,6.1 x 4.2 x 0.8 inches (15.5 x 10.7 x 2 cm),,,,,,,,,4.00,,,,,700 MHz,,13.4 ounces (379.89 grams),B09KTFWNPK,,GT 730 4G,,,GT 730,,,,,,,,,,,,ZER-LON,,,,"VGA, DVI, HDMI",,,,,"November 2, 2021"
Gaming graphicsFit for Yeston GT1030 64-Bit 4GB DDR4 Graphics Card GP108 PCI ...,MAD 4814,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/AXS77VEJM-jyhf-gaming-graphicsfit-for-yeston-gt1030-64-bit-4gb-ddr4-graphics-card-gp108-pci-express-3-0-x4-dvi-d-gaming-video-card-gpu-windows7-8-10-btc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
