title,price,image_url,product_url,Standing screen display size,Special Features,Mounting Type,Is Waterproof,Country of Origin,Recommended Uses For Product,Batteries Included?,Connectivity Protocol,Batteries Required?,Manufacturer,Finish Type,Style,Package Weight,Number of Items,Connectivity Technology,Included Components,Size,Date First Available,Resolution,Room Type,Item Weight,Light Source Type,Shade Color,Material,ASIN,Item model number,Switch Type,Shape,Base Material,Aspect Ratio,Controller Type,Finish types,Screen Size,Special Feature,Product Dimensions,Voltage,Lighting Method,Specific Uses For Product,Water Resistance Level,Wattage,Power Source,Lamp Type,Installation Type,Shade Material,Part Number,Color,Brand,Screen Surface Description,Total Usb Ports,Color Rendering Index (CRI),Control Method,Number of Pieces,Image brightness,Indoor/Outdoor Usage,Is Discontinued By Manufacturer,Number of Light Sources
"24 Inch Monitor IPS Screen FHD 1080p Computer PC Monitor 75hz Flicker Free, 5ms Low ...",MAD 1054,https://m.media-amazon.com/images/I/71x56UDrWeL._AC_US218_.jpg,https://www.ubuy.ma/en/product/MKTIJPZX8-24-inch-monitor-ips-screen-fhd-1080p-computer-pc-monitor-75hz-flicker-free-5ms-low-blue-light-anti-glare-led-24-desktop-display,,,,,,,,,,GreBear,,,,,,,,"November 16, 2022",,,,,,,B0CTC8PMDY,,,,,,,,,,24 x 18 x 1 inches (61 x 45.7 x 2.5 cm),,,,,,,,,,,,GreBear,,,,,,,,,
"21.5 Inch Monitor, Full HD 1080p Computer Monitor with VGA & HDMI Ports, 75Hz ...",MAD 1286,https://m.media-amazon.com/images/I/718hrjhyFCL._AC_SL1500_.jpg,https://www.ubuy.ma/en/product/8ROV6862U-feihe-17-inch-computer-monitor-fhd-1920x1200-led-monitor-with-hdmi-vga-build-in-speakers-60hz-refresh-rate-vesa-mounting,,,,,,,,,,GreBear,,,,,,,,"November 16, 2022",,,,,,,B0CTC8PMDY,,,,,,,,,,24 x 18 x 1 inches (61 x 45.7 x 2.5 cm),,,,,,,,,,,,GreBear,,,,,,,,,
"21.5 Inch Monitor, Full HD 1080p Computer Monitor with VGA & HDMI Ports, 75Hz ...",MAD 1286,https://m.media-amazon.com/images/I/718hrjhyFCL._AC_US218_.jpg,https://www.ubuy.ma/en/product/4KGGXKEM4-feihe-1920-x-1080p-computer-monitor-21-5-inch-monitor-with-75hz-refresh-rate-5s-response-time-built-in-dual-speakers-computer-screen-with,,,,,,,,,,GreBear,,,,,,,,"November 16, 2022",,,,,,,B0CTC8PMDY,,,,,,,,,,24 x 18 x 1 inches (61 x 45.7 x 2.5 cm),,,,,,,,,,,,GreBear,,,,,,,,,
"24 Inch Monitor 75Hz FHD IPS Computer Screen 1080P PC Monitor, 5msGTG 99% sRGB Low ...",MAD 1067,https://m.media-amazon.com/images/I/81wRACzPHfL._AC_US218_.jpg,https://www.ubuy.ma/en/product/MW0PX2WO0-24-inch-monitor-75hz-fhd-ips-computer-screen-1080p-pc-monitor-5ms-gtg-99-srgb-low-blue-light-anti-glare-led-desktop-display,,,,,,,,,,GreBear,,,,,,,,"November 16, 2022",,,,,,,B0CTC8PMDY,,,,,,,,,,24 x 18 x 1 inches (61 x 45.7 x 2.5 cm),,,,,,,,,,,,GreBear,,,,,,,,,
27 Inch Monitor FHD 1080p 75Hz Gaming Monitor Home Office PC Monitor IPS Panel ...,MAD 1286,https://m.media-amazon.com/images/I/71u+LQUnCyL._AC_US218_.jpg,https://www.ubuy.ma/en/product/MKTIJPZV4-27-inch-monitor-fhd-1080p-75hz-gaming-monitor-home-office-pc-monitor-ips-panel-computer-display-hdmi-vga-flicker-free-flicker-free-blue-light,15.6 Inches (39.6 cm),,,,China,,,,,"Shenzhen Kenowa Electronics Co., LTD",,,,,,,,"May 30, 2024",1920 x 1080,,3.67 pounds (1.66 kg),,,,B0D295T94W,Computer Monitor,,,,16:9,,,15.6 Inches (39.6 cm),,1.38 x 14.96 x 9.45 inches (3.5 x 38 x 24 cm),,,,,,,,,,,,Showscren,霧面,,,,,300 Lux,,,
"24 Inch Monitor 75Hz FHD IPS Computer Screen 1080P PC Monitor, 5msGTG 99% sRGB Low ...",MAD 1067,https://m.media-amazon.com/images/I/71UHSQ-gDAL._AC_SL1500_.jpg,https://www.ubuy.ma/en/product/IRKRLDHH6-24-inch-computer-monitor-fhd-1080p-pc-monitor-75hz-built-in-speakers-99-srgb-low-blue-light-anti-glare-va-screen-desktop-display-whdmiusb,15.6 Inches (39.6 cm),,,,China,,,,,"Shenzhen Kenowa Electronics Co., LTD",,,,,,,,"May 30, 2024",1920 x 1080,,3.67 pounds (1.66 kg),,,,B0D295T94W,Computer Monitor,,,,16:9,,,15.6 Inches (39.6 cm),,1.38 x 14.96 x 9.45 inches (3.5 x 38 x 24 cm),,,,,,,,,,,,Showscren,霧面,,,,,300 Lux,,,
"27 inch Curved Gaming Monitor, 144hz/180hz PC Monitor FHD 1080P VA Screen 1800R ...",MAD 1833,https://m.media-amazon.com/images/I/719+stkL4PL._AC_US218_.jpg,https://www.ubuy.ma/en/product/IQDU0DOMS-zer-lon-27-inch-gaming-monitor-full-hd-1920-x-1080p-computer-monitor-180hz-1ms-1800r-va-curved-monitors-with-dp1-4-hdmi1-4-eye-care-frameless-100-x,15.6 Inches (39.6 cm),,,,China,,,,,"Shenzhen Kenowa Electronics Co., LTD",,,,,,,,"May 30, 2024",1920 x 1080,,3.67 pounds (1.66 kg),,,,B0D295T94W,Computer Monitor,,,,16:9,,,15.6 Inches (39.6 cm),,1.38 x 14.96 x 9.45 inches (3.5 x 38 x 24 cm),,,,,,,,,,,,Showscren,霧面,,,,,300 Lux,,,
27 Inch Monitor 75Hz IPS Panel PC Computer Monitors FHD 1080p LED Display Home ...,MAD 1259,https://m.media-amazon.com/images/I/71KdBrlOc1L._AC_US218_.jpg,https://www.ubuy.ma/en/product/MWAR0ZPX4-27inch-monitor-75hz-ips-panel-pc-computer-monitors-fhd-1080p-led-display-home-office-desktop-screen-hdmi-vga-flicker-free-blue-light-filter,15.6 Inches (39.6 cm),,,,China,,,,,"Shenzhen Kenowa Electronics Co., LTD",,,,,,,,"May 30, 2024",1920 x 1080,,3.67 pounds (1.66 kg),,,,B0D295T94W,Computer Monitor,,,,16:9,,,15.6 Inches (39.6 cm),,1.38 x 14.96 x 9.45 inches (3.5 x 38 x 24 cm),,,,,,,,,,,,Showscren,霧面,,,,,300 Lux,,,
PC Monitor 15.6 Inch Touchscreen Portable Monitor HDR 1920x1080 100% sRGB ...,MAD 1559,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/JN2FYD7C8-showscren-pc-monitor-15-6-inch-touchscreen-portable-monitor-hdr-1920x1080-100-srgb-hdmi-usb-c-ips-desktop-monitor-with-speakers-for,15.6 Inches (39.6 cm),,,,China,,,,,"Shenzhen Kenowa Electronics Co., LTD",,,,,,,,"May 30, 2024",1920 x 1080,,3.67 pounds (1.66 kg),,,,B0D295T94W,Computer Monitor,,,,16:9,,,15.6 Inches (39.6 cm),,1.38 x 14.96 x 9.45 inches (3.5 x 38 x 24 cm),,,,,,,,,,,,Showscren,霧面,,,,,300 Lux,,,
KOORUI Monitor 22 Inch Computer Monitor FHD 1080P 75Hz PC Monitor VA Panel 30001 ...,"MAD 1013                                                                        
                                                                            1559",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/4QZHV5E5S-koorui-27-inch-fhd-monitor-computer-monitor-ips-panel-1080p-75hz-hdmi-vga-99-srgb-5ms-response-eye-care-virtually-borderless-design-display,27 Inches (68.6 cm),,,,,,,,,Le Benton,,,,,,,,"September 4, 2023",1920 x 1080 Pixels,,19.11 pounds (8.67 kg),,,,B0CH8XJ8GW,P2722H,,,,16:9,,,27 Inches (68.6 cm),,7 x 24 x 15 inches (17.8 x 61 x 38.1 cm),240 Volts (AC),,,,,,,,,,,Le Benton,Flat,4,,,,300 Lux,,,
