title,price,image_url,product_url,Style,Warranty,Battery Power Rating,Weight,Color,Memory Storage Capacity,Item Weight,GPS,Operating System,Battery Capacity,Human Interface Input,Brand,Special Feature,Whats in the box,Screen Size,Department,Is Discontinued By Manufacturer,Supports Bluetooth,Voice command,Standing screen display size,Battery Cell Composition,Battery Life,Wireless Communication Standard,Item model number,Display technology,Manufacturer,Display Size,Date First Available,Other display features,Compatible Phone Models,Package Dimensions,Wireless communication technologies,Country of Origin,Compatible Devices,OS,Connectivity technologies,Scanner Resolution,Product Dimensions,ASIN,Connectivity Technology,Model Name,Special features,Ram Memory Installed Size,Batteries,Shape,Collection Date
"Smart Watch for Men Women Answer/Make Calls, Sports Fitness with 100 Sports, Alexa ...",MAD 876,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/MRSHMA4QW-smart-watch-for-men-women-answer-make-calls-sports-fitness-with-100-sports-alexa-built-in-heart-rate-spo2-sleep-stress-monitor-smartwatch-for,,,,,,128 MB,11.3 ounces (320.36 grams),GPS Via Smartphone,"Android,ios",400 Milliamp Hours,,,"Calendaring, Weather Forecast, Activity Tracker, Custom Activity Tracking, Voice Control",,1.39 Inches (3.5 cm),,,,,1.39 Inches (3.5 cm),Lithium Polymer,,Bluetooth,,,Masis,,1-Mar-23,,,,,China,,,,,6.69 x 4.33 x 1.18 inches (17 x 11 x 3 cm),B0BX6R246Y,Bluetooth,,,,1 Lithium Polymer batteries required. (included),Round,1/29/2025 22:26
"Smartwatch for Men Women with Bluetooth Call 1.43"" AMOLED screen Round Smart Watch ...","MAD 248                                                                        
                                                                            330",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/JHTU32B54-smartwatch-for-men-women-with-bluetooth-call-1-43-amoled-screen-round-smart-watch-compatible-android-ios-phone-100-sport-mode-wrist-fitness-tracker,,,,,,128 MB,11.3 ounces (320.36 grams),GPS Via Smartphone,"Android,ios",400 Milliamp Hours,,,"Calendaring, Weather Forecast, Activity Tracker, Custom Activity Tracking, Voice Control",,1.39 Inches (3.5 cm),,,,,1.39 Inches (3.5 cm),Lithium Polymer,,Bluetooth,,,Masis,,1-Mar-23,,,,,China,,,,,6.69 x 4.33 x 1.18 inches (17 x 11 x 3 cm),B0BX6R246Y,Bluetooth,,,,1 Lithium Polymer batteries required. (included),Round,1/29/2025 22:26
"Smartwatch for Men Women with Bluetooth Call 1.43"" AMOLED screen Round Smart Watch ...","MAD 248                                                                        
                                                                            330",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/J4QMCS4C8-smartwatch-for-men-women-with-bluetooth-call-1-43-amoled-screen-round-smart-watch-compatible-android-ios-phone-100-sport-mode-wrist-fitness,,,,,,128 MB,11.3 ounces (320.36 grams),GPS Via Smartphone,"Android,ios",400 Milliamp Hours,,,"Calendaring, Weather Forecast, Activity Tracker, Custom Activity Tracking, Voice Control",,1.39 Inches (3.5 cm),,,,,1.39 Inches (3.5 cm),Lithium Polymer,,Bluetooth,,,Masis,,1-Mar-23,,,,,China,,,,,6.69 x 4.33 x 1.18 inches (17 x 11 x 3 cm),B0BX6R246Y,Bluetooth,,,,1 Lithium Polymer batteries required. (included),Round,1/29/2025 22:26
"Smart Watch Men with Metal Bezel, Answer Make Call/Heart Rate/Step Counter/Sleep ...",MAD 384,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/IK724A6MO-smart-watch-for-men-with-answer-make-call-fitness-sport-watch-with-alexa-heart-rate-step-counter-sleep-tracker-100-sports-for-run-ip68-waterproof,,,,,,128 MB,11.3 ounces (320.36 grams),GPS Via Smartphone,"Android,ios",400 Milliamp Hours,,,"Calendaring, Weather Forecast, Activity Tracker, Custom Activity Tracking, Voice Control",,1.39 Inches (3.5 cm),,,,,1.39 Inches (3.5 cm),Lithium Polymer,,Bluetooth,,,Masis,,1-Mar-23,,,,,China,,,,,6.69 x 4.33 x 1.18 inches (17 x 11 x 3 cm),B0BX6R246Y,Bluetooth,,,,1 Lithium Polymer batteries required. (included),Round,1/29/2025 22:26
Smart Watch for Men Fitness TrackerAnswer/Dial Call Bluetooth Call 1.39''HD ...,MAD 971,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/8QLZMPTMW-smart-watch-for-men-fitness-tracker-make-answer-call-bluetooth-call-1-39-x27-x27-hd-military-smartwatch-fitness-watch-for-android-ios-outdoor,,,,,Silver,,7.8 ounces (221.13 grams),No GPS,Android,4.5E+2 Milliamp Hours,Touchscreen,motsfit,"Phone Call, Notifications, Waterproof, Multisport Tracker, Stopwatch, timer, Compass, Barometer, Flashlight, Activity Tracker, Heart rate, blood pressure, blood oxygen, sleep monitoring, Calculator, Alarm, Music Player,remote camera, Weather    See more","Watch Band, Silicone Strap, Steel Strap, Charging Cable, User Manual",1.43 Inches (3.6 cm),,,,,1.43 Inches (3.6 cm),Lithium Polymer,,Bluetooth,smart watch KCBK80,AMOLED,Motsfit,,26-Aug-24,Wireless,,6.02 x 4.45 x 0.94 inches (15.3 x 11.3 x 2.4 cm),,,,Android,Bluetooth,466 x 466,,B0DF7P7BLF,Bluetooth,,"Phone Call, Notifications, Waterproof, Multisport Tracker, Stopwatch, timer, Compass, Barometer, Flashlight, Activity Tracker, Heart rate, blood pressure, blood oxygen, sleep monitoring, Calculator, Alarm, Music Player,remote camera, Weather",,1 Lithium Polymer batteries required. (included),Round,1/29/2025 22:26
"Smart Watch for MenAnswer/Make Call,Alexa Built-in,1.8""Fitness Tracker with Heart ...",MAD 1122,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/8RQ4ELEKG-fitness-tracker-call-receive-dial-1-8-smart-watch-with-24h-heart-rate-sleep-spo2-monitor-alexa-built-in-100-sports-modes-ip68-waterproof,,,,,Silver,,7.8 ounces (221.13 grams),No GPS,Android,4.5E+2 Milliamp Hours,Touchscreen,motsfit,"Phone Call, Notifications, Waterproof, Multisport Tracker, Stopwatch, timer, Compass, Barometer, Flashlight, Activity Tracker, Heart rate, blood pressure, blood oxygen, sleep monitoring, Calculator, Alarm, Music Player,remote camera, Weather    See more","Watch Band, Silicone Strap, Steel Strap, Charging Cable, User Manual",1.43 Inches (3.6 cm),,,,,1.43 Inches (3.6 cm),Lithium Polymer,,Bluetooth,smart watch KCBK80,AMOLED,Motsfit,,26-Aug-24,Wireless,,6.02 x 4.45 x 0.94 inches (15.3 x 11.3 x 2.4 cm),,,,Android,Bluetooth,466 x 466,,B0DF7P7BLF,Bluetooth,,"Phone Call, Notifications, Waterproof, Multisport Tracker, Stopwatch, timer, Compass, Barometer, Flashlight, Activity Tracker, Heart rate, blood pressure, blood oxygen, sleep monitoring, Calculator, Alarm, Music Player,remote camera, Weather",,1 Lithium Polymer batteries required. (included),Round,1/29/2025 22:26
"Smart Watches for Men Women,Built-in Alexa, Fitness Watch with Blood Oxygen/Heart ...",MAD 289,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/MCDEAFFFQ-smart-watches-for-men-women-built-in-alexa-fitness-watch-with-blood-oxygen-heart-rate-sleep-monitor-100-sport-modes-ip68-waterproof-smart-watch-for,,,,,Silver,,7.8 ounces (221.13 grams),No GPS,Android,4.5E+2 Milliamp Hours,Touchscreen,motsfit,"Phone Call, Notifications, Waterproof, Multisport Tracker, Stopwatch, timer, Compass, Barometer, Flashlight, Activity Tracker, Heart rate, blood pressure, blood oxygen, sleep monitoring, Calculator, Alarm, Music Player,remote camera, Weather    See more","Watch Band, Silicone Strap, Steel Strap, Charging Cable, User Manual",1.43 Inches (3.6 cm),,,,,1.43 Inches (3.6 cm),Lithium Polymer,,Bluetooth,smart watch KCBK80,AMOLED,Motsfit,,26-Aug-24,Wireless,,6.02 x 4.45 x 0.94 inches (15.3 x 11.3 x 2.4 cm),,,,Android,Bluetooth,466 x 466,,B0DF7P7BLF,Bluetooth,,"Phone Call, Notifications, Waterproof, Multisport Tracker, Stopwatch, timer, Compass, Barometer, Flashlight, Activity Tracker, Heart rate, blood pressure, blood oxygen, sleep monitoring, Calculator, Alarm, Music Player,remote camera, Weather",,1 Lithium Polymer batteries required. (included),Round,1/29/2025 22:26
"Smart Watch for MenAnswer/Make Call,Alexa Built-in,1.8""Fitness Tracker with Heart ...",MAD 1122,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/J4RY7KE0M-woneligo-smart-watch-for-women-with-text-and-call-alexa-built-in-24h-heart-rate-sleep-blood-oxygen-monitor-5atm-waterproof-100-sports-modes-1-8-mens,,,,,Silver,,7.8 ounces (221.13 grams),No GPS,Android,4.5E+2 Milliamp Hours,Touchscreen,motsfit,"Phone Call, Notifications, Waterproof, Multisport Tracker, Stopwatch, timer, Compass, Barometer, Flashlight, Activity Tracker, Heart rate, blood pressure, blood oxygen, sleep monitoring, Calculator, Alarm, Music Player,remote camera, Weather    See more","Watch Band, Silicone Strap, Steel Strap, Charging Cable, User Manual",1.43 Inches (3.6 cm),,,,,1.43 Inches (3.6 cm),Lithium Polymer,,Bluetooth,smart watch KCBK80,AMOLED,Motsfit,,26-Aug-24,Wireless,,6.02 x 4.45 x 0.94 inches (15.3 x 11.3 x 2.4 cm),,,,Android,Bluetooth,466 x 466,,B0DF7P7BLF,Bluetooth,,"Phone Call, Notifications, Waterproof, Multisport Tracker, Stopwatch, timer, Compass, Barometer, Flashlight, Activity Tracker, Heart rate, blood pressure, blood oxygen, sleep monitoring, Calculator, Alarm, Music Player,remote camera, Weather",,1 Lithium Polymer batteries required. (included),Round,1/29/2025 22:26
"Smartwatch, Built-in Alexa, GPS, VO2 Max, HRV, Blood Oxygen, Sleep Monitoring, ...",MAD 1416,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/MD9TP9C16-smartwatch-built-in-alexa-gps-vo2-max-hrv-blood-oxygen-sleep-monitoring-women-x27-s-health-custom-reminders-sports-tracking-1-32,,,,,,,4.2 ounces (119.07 grams),GPS Via Smartphone,"Android,iOS",280 Milliamp Hours,,LOJUSIMEH,"Sleep Monitor, Heart Rate Monitor, SpO2, Pedometer, SMS Notifications, Phone Call, Alarm Clock, Calorie Tracker, Camera & Music Player Control, AI Voice Control, Sedentary Reminder, Weather Display, Activity Tracker    See more",,1.96 Inches (5 cm),Unisex,,,,1.96 Inches (5 cm),Lithium Ion,,Bluetooth,7.07457E+11,,LOJUSIMEH,,8-Nov-23,,,5.83 x 3.5 x 0.75 inches (14.8 x 8.9 x 1.9 cm),,China,,,,,,B0CMW83T2J,Bluetooth,,,,1 Lithium Ion batteries required. (included),Square,1/29/2025 22:26
"Smart Watch, Built-in Alexa, GPS, VO2 Max, HRV, SpO2 Sleep Monitoring, Noise ...",MAD 1416,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/M83TZ0NOO-smartwatch-built-in-alexa-gps-vo2-max-hrv-blood-oxygen-sleep-monitoring-noise-detection-women-x27-s-health-sports-tracking-1-32,,,,,,,4.2 ounces (119.07 grams),GPS Via Smartphone,"Android,iOS",280 Milliamp Hours,,LOJUSIMEH,"Sleep Monitor, Heart Rate Monitor, SpO2, Pedometer, SMS Notifications, Phone Call, Alarm Clock, Calorie Tracker, Camera & Music Player Control, AI Voice Control, Sedentary Reminder, Weather Display, Activity Tracker    See more",,1.96 Inches (5 cm),Unisex,,,,1.96 Inches (5 cm),Lithium Ion,,Bluetooth,7.07457E+11,,LOJUSIMEH,,8-Nov-23,,,5.83 x 3.5 x 0.75 inches (14.8 x 8.9 x 1.9 cm),,China,,,,,,B0CMW83T2J,Bluetooth,,,,1 Lithium Ion batteries required. (included),Square,1/29/2025 22:26
