title,price,image_url,collection_date,brand,model_name,screen_size,color,hard_disk_size,cpu_model,ram_memory,operating_system,special_feature,graphics_card,extracted_brand,extracted_model,extracted_screen_size,extracted_ram,extracted_cpu,extracted_hard_disk
"Laptop, 16GB RAM 1152GB Storage, Office 365 One Year, Laptop Computer with Celeron N5095 CPU(Up to 2.9GHz), FHD IPS 1200P Display, 38WH Battery, 2 Speakers, HDMI, 16 Inch Business Laptops.",,https://m.media-amazon.com/images/I/81MPf9xXOwL._AC_UY218_.jpg,2025-01-13 11:23:11,Brand not available,Model Name not available,Screen Size not available,Color not available,Hard Disk Size not available,CPU Model not available,RAM Memory not available,Operating System not available,Special Feature not available,Graphics Card not available,,,16,16 GB,Celeron N5095 CPU(Up to 2.9GHz),1152 GB
"Laptop, 4GB RAM 320GB Storage, Office 365 One Year, Laptop Computer with Celeron N4100 CPU, FHD 1080P Display, 2.4G+5G WiFi, BT4.0, 35.52WH Battery, 2 Speakers, Protable Laptops 14 Inch.",,https://m.media-amazon.com/images/I/81eH0lMrkRL._AC_UY218_.jpg,2025-01-13 11:23:11,jumper,Ezbook S5 Laptop,14 Inches,Space Gray,320 GB,Celeron N,4 GB,Windows 11,Lightweight,Integrated,,,14,4 GB,Celeron N4100 CPU,320 GB
"2023 MacBook Pro Laptop with Apple M2 Pro chip with 12‑core CPU and 19‑core GPU: 16.2-inch Liquid Retina XDR Display, 16GB Unified Memory, 512GB SSD Storage. Works with iPhone/iPad; Silver",,https://m.media-amazon.com/images/I/61bwiPRcv2L._AC_UY218_.jpg,2025-01-13 11:23:11,Apple,MacBook Pro,16.2 Inches,Silver,512 GB,Unknown,16 GB,Mac OS,Anti Glare Coating,Integrated,Apple,,,,M2 Pro chip with 12‑core CPU and 19‑core GPU: 16.2-inch Liquid Retina XDR Display,512 GB
"2024 MacBook Pro Laptop with M4, 10‑core CPU, 10‑core GPU: Built for Apple Intelligence, 14.2-inch Liquid Retina XDR Display, 24GB Unified Memory, 512GB SSD Storage; Space Black - Z1DS0005P",,https://m.media-amazon.com/images/I/61-oTP1X4rL._AC_UY218_.jpg,2025-01-13 11:23:11,Apple,MacBook Pro,14.2,Color not available,Hard Disk Size not available,Apple M4,24 GB,Mac OS,Special Feature not available,Integrated,Apple,,,,M4,512 GB
"15.6 FHD Student Laptop, 16GB RAM, 1TB SSD, Intel Pentium Quad-Core N100(Beat to i3-1115G4, Up to 3.4GHz), 2 Years Warranty, Backlit Keyboard, Fingerprint, Win 11, Rose Gold",,https://m.media-amazon.com/images/I/71EWAUphg2L._AC_UY218_.jpg,2025-01-13 11:23:11,Brand not available,Model Name not available,Screen Size not available,Color not available,Hard Disk Size not available,CPU Model not available,RAM Memory not available,Operating System not available,Special Feature not available,Graphics Card not available,,,,16 GB,Intel Pentium Quad-Core N100(Beat to i3-1115G4,1 TB
"2023 MacBook Air Laptop with M2 chip: 15.3-inch Liquid Retina Display, 16GB Unified Memory, 256GB SSD Storage, 1080p FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Midnight",,https://m.media-amazon.com/images/I/81EHBhjC-+L._AC_UY218_.jpg,2025-01-13 11:23:11,Brand not available,Model Name not available,Screen Size not available,Color not available,Hard Disk Size not available,CPU Model not available,RAM Memory not available,Operating System not available,Special Feature not available,Graphics Card not available,Apple,,,,M2 chip: 15.3-inch Liquid Retina Display,256 GB
"2023 MacBook Pro Laptop M3 Pro chip with 11‑core CPU, 14‑core GPU: Built for Apple Intelligence, 14.2-inch Liquid Retina XDR Display, 18GB Unified Memory, 512GB SSD Storage; Space Black",,https://m.media-amazon.com/images/I/61RJn0ofUsL._AC_UY218_.jpg,2025-01-13 11:23:11,Brand not available,Model Name not available,Screen Size not available,Color not available,Hard Disk Size not available,CPU Model not available,RAM Memory not available,Operating System not available,Special Feature not available,Graphics Card not available,Apple,,,,M3 Pro chip with 11‑core CPU,512 GB
"2025 Laptop Computer with Windows 11, Intel N150 Quad-Core Processor 16GB DDR4 RAM 512GB SSD, 15.6"" FHD IPS Display, Long Battery Life, Traditional Laptops for Business Office Student Gaming",,https://m.media-amazon.com/images/I/71-DpVOsHwL._AC_UY218_.jpg,2025-01-13 11:23:11,Brand not available,Model Name not available,Screen Size not available,Color not available,Hard Disk Size not available,CPU Model not available,RAM Memory not available,Operating System not available,Special Feature not available,Graphics Card not available,,,15.6,,Intel N150 Quad-Core Processor 16GB DDR4 RAM 512GB SSD,512 GB
"2023 MacBook Pro Laptop M3 chip with 8‑core CPU, 10‑core GPU: Built for Apple Intelligence, 14.2-inch Liquid Retina XDR Display, 8GB Unified Memory, 512GB SSD Storage; Silver",,https://m.media-amazon.com/images/I/61HUaSA6c0L._AC_UY218_.jpg,2025-01-13 11:23:11,Apple,MacBook Pro,14.2 Inches,Silver,512 GB,Apple M3,8 GB,Mac OS,Special Feature not available,Integrated,Apple,,,,M3 chip with 8‑core CPU,512 GB
"MacBook Pro 16.2"", M4 Pro Chip with 14-Core CPU and 20-Core GPU, Late 2024 - Space Black, Standard Display, 24GB, 1TB SSD",,https://m.media-amazon.com/images/I/41S2OSRfBuL._AC_UY218_.jpg,2025-01-13 11:23:11,Brand not available,Model Name not available,Screen Size not available,Color not available,Hard Disk Size not available,CPU Model not available,RAM Memory not available,Operating System not available,Special Feature not available,Graphics Card not available,Apple,,16.2,,M4 Pro Chip with 14-Core CPU and 20-Core GPU,1 TB
"Laptop, 2025 Gaming Laptop Computer with Intel N150 Processor(Up to 3.6GHz), 16GB DDR4 512GB SSD, Windows 11 Laptop, 15.6"" IPS 1080P, Metal Shell, USB3.2, Long Battery Life",,https://m.media-amazon.com/images/I/71a8eNpIHTL._AC_UY218_.jpg,2025-01-13 11:23:11,Brand not available,Model Name not available,Screen Size not available,Color not available,Hard Disk Size not available,CPU Model not available,RAM Memory not available,Operating System not available,Special Feature not available,Graphics Card not available,,,15.6,,Intel N150 Processor(Up to 3.6GHz),512 GB
"Laptop Screen Extender, 14"" 1080P FHD Triple Monitor for Laptop Extension- 315°Rotate Portable Dual Monitor Screen for 13.3-16.5"" Laptops Type-C/HDMI/USB-A Plug & Play for Wins/Mac/Chro",,https://m.media-amazon.com/images/I/61OxpvQV-5L._AC_UY218_.jpg,2025-01-13 11:23:11,Brand not available,Model Name not available,Screen Size not available,Color not available,Hard Disk Size not available,CPU Model not available,RAM Memory not available,Operating System not available,Special Feature not available,Graphics Card not available,,,14,,,
"16.0-inch Laptop, 16GB DDR4 512GB SSD Gaming Laptop, Windows 11 Laptop with Intel 12th Quad-Core Processor(Up to 3.6GHz), 1920P FHD Display, Metal Shell, WiFi 6, USB3.2, Type_C, Long Battery Life",,https://m.media-amazon.com/images/I/71Ls2+M7TSL._AC_UY218_.jpg,2025-01-13 11:23:11,KAIGERR,AX16,16 Inches,Sliver Gray,512 GB,Intel Mobile CPU,16 GB,Windows 11,"Lightweight, Numeric Keypad",Integrated,,,,,Intel 12th Quad-Core Processor(Up to 3.6GHz),512 GB
"Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode",,https://m.media-amazon.com/images/I/61gKkYQn6lL._AC_UY218_.jpg,2025-01-13 11:23:11,acer,Laptop,15.6 Inches,Silver,128 GB,Ryzen 3,8 GB,Windows 11 S,Backlit Keyboard,Integrated,,,15.6,,AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode,
"Portable Laptop (Include 1 Year Microsoft 365), 14’’ HD Display, 16GB RAM, 64GB eMMC, Intel Quad-Core N4120, Student and Business, Webcam, HDMI, Wi-Fi, RJ-45, Windows 11 Home, Pink",,https://m.media-amazon.com/images/I/61DVg3ECW-L._AC_UY218_.jpg,2025-01-13 11:23:11,HP,TPN-I130,14 Inches,Pink,64 GB,Celeron N,16 GB,Windows 11 Home,HD Audio,Integrated,,,,16 GB,Intel Quad-Core N4120,
