Title,Price,Case Size,Battery Capacity,Brand,Model,Operating System,Storage Capacity
"Smartwatch, Built-in Alexa, GPS, VO2 Max, HRV, Blood Oxygen, Sleep Monitoring, ...",1416,1.8'',300000.0,Vrpefit,IDW15,Android,
Smartwatch for Men Android iPhone Watch Smart Watch Answer/Make Call with Heart ...,603,1.8'',300000.0,Vrpefit,IDW15,Android,
"Smart Watches for Men, 2.02 Inches Sports Fitness Watch with Bluetooth Call, ...",343,1.8'',300000.0,Vrpefit,IDW15,Android,
"Smart Watch Answer/Make Calls, Ultra Thin 1.43  AMOLED Smart Watches for Men Women, ...",193,1.8'',300000.0,Vrpefit,IDW15,Android,
"Smart Watch for Men Women, Bluetooth 5.3 Calling Alexa Built in, 1.8"" Activity ...",330,1.8'',300000.0,Vrpefit,IDW15,Android,
"Smart Watch for Men Answer/Make Call for Android iOS, Military Smartwatch Heart ...",603,1.32'',300000.0,,C4B17757-4101-474D-A5EC-F854C3053736,Ios/Android,256MB
"BANGWEI Smart Watches for Men Answer/Make Call, 1,43"" AMOLED HD Touch Screen ...",876,1.32'',300000.0,,C4B17757-4101-474D-A5EC-F854C3053736,Ios/Android,256MB
"Smart Watch for Men Women Answer/Make Calls,1.83"" HD IP68 Waterproof Fitness Watch ...",330,1.32'',300000.0,,C4B17757-4101-474D-A5EC-F854C3053736,Ios/Android,256MB
"Smart Watch Answer/Make Call, 1.96"" HD Smartwatch for Women, 2025 Fitness Watch ...",1423,1.32'',300000.0,,C4B17757-4101-474D-A5EC-F854C3053736,Ios/Android,256MB
"Smart Watch, Built-in Alexa, GPS, VO2 Max, HRV, SpO2 Sleep Monitoring, Noise ...",1416,1.32'',300000.0,,C4B17757-4101-474D-A5EC-F854C3053736,Ios/Android,256MB
