Title,Price,Case Size,Battery Capacity,Model,Operating System,Storage Capacity,Price (USD)
"SAMSUNG Galaxy Watch FE, 40mm BT, Sapphire Crystal Disp...",11999.0,40.0,Upto 40 Hours,"Galaxy Watch FE, 40mm BT, Sapphire Crystal Display, Sleep Coach, Fall Detection",Android,16.0,143.988
Fastrack Revoltt X2 with 1.91'' BT Calling|Rotating Cro...,1199.0,48.514,7 Days,Revoltt X2 with 1.91'' BT Calling|Rotating Crown|60 Hz Refresh Rate|Fast Charge,Android & iOS,,14.388
Yash Enterprises PulseWave Smart Band Watch T500 T800 M...,491.0,49.0,3 Days,PulseWave Smart Band Watch T500 T800 Men BT Call X8 Ultra,Android & iOS,,5.892
"GameSir Silver T800 Ultra Smartwatch Stainless Steel, B...",760.0,40.0,3-5 Days,"Silver T800 Ultra Smartwatch Stainless Steel, BT Calling, Fitness & Music",Android & iOS,512.0,9.120000000000001
"boAt Storm call 3 w/TBT Navigation,Watch Face Studio,1....",1399.0,46.48,Upto 7 days,"Storm call 3 w/TBT Navigation,Watch Face Studio,1.83''(4.6 cm)HD Display,QR Tray",Android & iOS,,16.788
"boAt Lunar Vista w/ 3.8 cm(1.52"") HD & Always On Displa...",1499.0,38.6,Upto 7 days,"Lunar Vista w/ 3.8 cm(1.52"") HD & Always On Display,BT Calling, Functional Crown",Android & iOS,,17.988
"Noise Icon Buzz 1.69"" Display with Bluetooth Calling, B...",1399.0,1.69,7 Days,"Icon Buzz 1.69"" Display with Bluetooth Calling, Built-In Games, Voice Assistant",Android & iOS,,16.788
"Fire-Boltt Rise BT Calling 47mm (1.85), Voice Assistanc...",1199.0,1.85,Upto 7 Days,"Rise BT Calling 47mm (1.85), Voice Assistance & 123 Sports Single BT Connection",Android & iOS,,14.388
Fire-Boltt Hunter 51.1mm (2.01) HD Display Buetooth Cal...,1399.0,2.01,Upto 5 Days,"Hunter 51.1mm (2.01) HD Display Buetooth Calling with Single Chipset, Metal Body",Android & iOS,,16.788
"boAt Wave Fury with 1.83'' HD Display, Bluetooth Callin...",1499.0,1.83,7 Days,"Wave Fury with 1.83'' HD Display, Bluetooth Calling & Functional Crown",Android & iOS,,17.988
,1199.0,,,,,,14.388
